"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
0,3.57228136981855,0.562,0.198,0,"Ptgds"
4.6435760172884e-212,2.49852850583222,0.207,0.077,1.07860983729575e-207,"Cldn11"
3.48387205422489e-70,2.36187601869905,0.136,0.072,8.09233800755358e-66,"H2-D1"
2.77888961533736e-187,2.32679605525471,0.235,0.106,6.45480479850561e-183,"Mal"
1.08839141587223e-194,2.2442075208825,0.236,0.105,2.52811558078801e-190,"Trf"
5.36929009939539e-213,2.18614003734774,0.209,0.077,1.24717870428756e-208,"Cd9"
8.84263597366211e-210,2.15065618793223,0.3,0.151,2.05396748396224e-205,"mt-Cytb"
0,2.14268134324803,0.659,0.448,0,"Cst3"
2.75517191210166e-253,2.12178519465571,0.392,0.212,6.39971331742974e-249,"Plp1"
4.74268969123862e-201,2.11955304448739,0.196,0.071,1.10163196148091e-196,"Cd63"
0,2.04973055495038,0.498,0.288,0,"mt-Co3"
0,1.9955135124899,0.669,0.39,0,"Cd81"
2.86065814500511e-185,1.98932187350507,0.238,0.107,6.64473673921786e-181,"Apod"
4.24702838728793e-162,1.9528405393334,0.256,0.131,9.86499753799241e-158,"mt-Nd4"
1.29902374659008e-59,1.95104338475266,0.104,0.051,3.01737235857944e-55,"Hcrt"
1.49549428220631e-101,1.93627219740875,0.103,0.035,3.47373411870882e-97,"Pllp"
2.87473873272513e-188,1.88797111977342,0.319,0.178,6.67744312837394e-184,"mt-Co1"
8.54943142282544e-245,1.83919553308167,0.49,0.33,1.98586193089389e-240,"Scd2"
1.0612006746039e-231,1.80601430019751,0.266,0.114,2.46495692696993e-227,"Spcs1"
6.77241628516231e-178,1.79246167446302,0.263,0.126,1.5730968547175e-173,"Oxt"
0,1.77757714146488,0.516,0.311,0,"Fth1"
3.80471725338342e-168,1.77310647660557,0.346,0.208,8.83759723615902e-164,"mt-Co2"
3.56356652534553e-180,1.7694428502936,0.281,0.146,8.27745232507259e-176,"Sec11c"
0,1.75592455525302,0.351,0.159,0,"Dad1"
5.05684587338995e-176,1.73143527419934,0.192,0.074,1.17460415947102e-171,"Ppp1r14b"
2.38712855280819e-74,1.72933210083791,0.134,0.068,5.54482220246286e-70,"Tmem176b"
6.39821793078426e-59,1.72881962268808,0.171,0.109,1.48617806096257e-54,"Cnp"
0,1.69926565384128,0.806,0.552,0,"Itm2b"
0,1.69855474002231,0.466,0.255,0,"Actb"
5.4827865659233e-165,1.68684086554093,0.243,0.119,1.27354166353266e-160,"Rpl18"
1.35033589668674e-137,1.66601939576636,0.192,0.087,3.13656022082397e-133,"Ndufb11"
6.21061449063848e-99,1.65619735839624,0.138,0.061,1.44260153388551e-94,"Cmtm5"
5.86347707350004e-102,1.65572847117518,0.148,0.067,1.36196845463259e-97,"Cryab"
8.78168855020845e-86,1.63087748012373,0.13,0.06,2.03981061644242e-81,"Olig1"
1.56259294967866e-184,1.6282296293658,0.302,0.162,3.62959090351359e-180,"Fau"
5.52665972720628e-219,1.62573299259692,0.288,0.135,1.28373252143547e-214,"Ndufa13"
4.72186112183729e-100,1.61128861558245,0.164,0.08,1.09679390138037e-95,"Rpl18a"
2.00585270195089e-85,1.60693463718821,0.128,0.058,4.65919465609152e-81,"Gstm5"
1.32560584649146e-89,1.60142836353552,0.173,0.092,3.07911726023037e-85,"mt-Nd1"
2.86503333803605e-294,1.59677112972086,0.356,0.165,6.65489943759013e-290,"Cox4i1"
2.03966201480976e-105,1.57564216331426,0.195,0.104,4.7377269280001e-101,"Selenos"
1.16225438496043e-126,1.55299605037953,0.215,0.111,2.69968448538609e-122,"Rpl23"
1.27336282500387e-265,1.55264310885832,0.41,0.233,2.957767169919e-261,"Selenok"
1.98451295760489e-132,1.54742140896095,0.282,0.167,4.60962669792465e-128,"Stmn4"
2.46573882074541e-129,1.54318849669181,0.231,0.122,5.72741813282745e-125,"Rps10"
1.25798896513326e-102,1.54021526106542,0.186,0.097,2.92205676821154e-98,"Krtcap2"
6.31359991966856e-93,1.53712473642841,0.247,0.152,1.46652298934061e-88,"Ctsd"
0,1.53482075141613,0.577,0.353,0,"Bsg"
2.41162730635611e-253,1.52545457841195,0.358,0.185,5.60172790720398e-249,"Ndufc2"
1.73607009939271e-95,1.51845189875118,0.22,0.129,4.03254362686939e-91,"mt-Nd2"
2.17443409516011e-84,1.50965576584126,0.16,0.084,5.0507755162379e-80,"Rps4x"
4.74195985877648e-107,1.50669228603344,0.21,0.115,1.1014624359966e-102,"Tpt1"
9.23909646791878e-115,1.49896579676248,0.184,0.09,2.14605732756817e-110,"Dbi"
3.23947997774491e-133,1.4969809086455,0.268,0.154,7.52466409230589e-129,"Rps24"
2.84803199693162e-91,1.49255123825322,0.161,0.082,6.61540872247276e-87,"Tubb3"
0,1.4895641949808,0.518,0.302,0,"Arl6ip1"
1.00194109859096e-136,1.48272974798983,0.206,0.099,2.32730878380708e-132,"Tmx2"
4.26709500474285e-199,1.45436624252836,0.307,0.159,9.91160827701669e-195,"Ndufa4"
5.50506467458622e-98,1.44296738894598,0.154,0.073,1.27871642261289e-93,"Arxes2"
3.54985572112606e-45,1.44092903576202,0.1,0.054,8.24560486903162e-41,"Fabp5"
3.99986073282889e-291,1.43157198348153,0.432,0.244,9.29087651021494e-287,"Gapdh"
0,1.42387499005545,0.662,0.436,0,"Ubb"
7.96212613411266e-93,1.42218345974487,0.342,0.246,1.84944265843169e-88,"mt-Atp6"
4.2015063218171e-51,1.41369525368144,0.106,0.057,9.75925888431676e-47,"Gpr37"
6.30776602568016e-74,1.41132093721781,0.161,0.09,1.46516789244499e-69,"Rps3"
4.38139879351268e-74,1.40432777655906,0.12,0.056,1.01771131175713e-69,"Arxes1"
8.40698418824782e-93,1.38936105807228,0.2,0.113,1.9527742872462e-88,"Elob"
1.29525824794832e-149,1.38522264674707,0.436,0.318,3.00862585833437e-145,"Lamp1"
5.50683294093136e-90,1.37902323712094,0.179,0.097,1.27912715551954e-85,"Cox5b"
6.95522424905175e-55,1.37846854329363,0.153,0.094,1.61555948856974e-50,"Degs1"
2.41344697733184e-49,1.37844193984956,0.147,0.092,5.60595463894639e-45,"Cldnd1"
3.69484608420672e-83,1.37208990584763,0.196,0.114,8.58238848439538e-79,"Rps16"
2.66196604092039e-154,1.36959259737232,0.276,0.148,6.18321471984988e-150,"Tmsb4x"
2.12102783910495e-194,1.36835931248229,0.332,0.184,4.92672346467298e-190,"Fkbp2"
2.31307214554785e-41,1.36289761330292,0.1,0.056,5.37280397967855e-37,"Psmb6"
1.82166937884948e-182,1.35723172617131,0.36,0.219,4.23137363319156e-178,"Timp2"
3.58065232621113e-55,1.35327956607991,0.124,0.068,8.31713922332322e-51,"Pcp4"
7.18047768398653e-82,1.35037623005694,0.179,0.1,1.66788135643639e-77,"Ndufs7"
0,1.34212516322982,0.517,0.327,0,"Itm2c"
1.11277778291251e-55,1.33095018436542,0.138,0.079,2.58476023414918e-51,"Btf3"
2.52544168689566e-81,1.32791636422574,0.152,0.078,5.86609595032124e-77,"Chchd10"
5.91442233235028e-106,1.3244972510346,0.227,0.129,1.37380201935832e-101,"Chchd2"
1.55985381424939e-79,1.32388953491104,0.163,0.088,3.62322843973849e-75,"Ndufb8"
4.5122214905545e-34,1.32177445816165,0.107,0.067,1.048098807826e-29,"Rpl7"
8.68444626600494e-129,1.314759301414,0.238,0.128,2.01722317866763e-124,"Rps7"
0,1.31276509945269,0.574,0.42,0,"Caly"
