"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","cell_type"
0,-2.03826218511399,0.342,0.796,0,"Cmss1","Neuron"
0,-2.05615997815961,0.308,0.746,0,"AY036118","Neuron"
0,3.30919778215973,0.462,0.089,0,"Ptgds","Neuron"
0,-1.41278622322912,0.357,0.674,0,"Gm20275","Neuron"
0,-1.36853714632971,0.546,0.851,0,"Gm26848","Neuron"
0,-1.27290728779752,0.341,0.628,0,"Atp5o","Neuron"
0,-1.14792309489944,0.437,0.721,0,"Rnf25","Neuron"
0,1.44482528164539,0.699,0.42,0,"Bsg","Neuron"
0,-1.91124767582092,0.136,0.412,0,"Gm11149","Neuron"
0,1.32664675588402,0.641,0.374,0,"Cst3","Neuron"
0,-2.38065790571911,0.074,0.339,0,"Gm16105","Neuron"
0,-1.36138060584312,0.253,0.516,0,"Gm48678","Neuron"
0,1.46686245762081,0.802,0.54,0,"Caly","Neuron"
0,1.36759904901014,0.816,0.554,0,"Stmn3","Neuron"
0,-1.26213968952566,0.284,0.541,0,"Gm36975","Neuron"
0,-1.72759775069521,0.153,0.402,0,"1700024B18Rik","Neuron"
0,-1.61518057240047,0.151,0.4,0,"Gm26749","Neuron"
0,1.31253690274802,0.613,0.365,0,"Arl6ip1","Neuron"
0,1.3315965252453,0.632,0.385,0,"Itm2c","Neuron"
0,-1.0504123069935,0.445,0.688,0,"Gm37240","Neuron"
0,-2.45933178163382,0.099,0.34,0,"B230217J21Rik","Neuron"
0,1.14849968429168,0.717,0.485,0,"Ubb","Neuron"
0,1.18143351420519,0.808,0.589,0,"Itm2b","Neuron"
0,-1.00569288905483,0.598,0.811,0,"Tro","Neuron"
0,-1.22016409832625,0.703,0.902,0,"Prpf4b","Neuron"
0,-0.974740167355243,0.681,0.88,0,"Fgfr2","Neuron"
0,-1.03718776321352,0.593,0.78,0,"Nrg3os","Neuron"
0,-0.867934735064451,0.664,0.847,0,"Hnrnpa2b1","Neuron"
0,1.10574697673879,0.839,0.695,0,"Resp18","Neuron"
0,0.91959041686196,0.839,0.7,0,"Tecr","Neuron"
0,-0.810082276272841,0.746,0.879,0,"Peg3","Neuron"
0,1.29025462257738,0.91,0.784,0,"Pcsk1n","Neuron"
0,-0.626015241278985,0.794,0.895,0,"Srrm2","Neuron"
0,-0.71913649117714,0.899,0.965,0,"Gm20388","Neuron"
0,0.847023490600552,0.933,0.878,0,"Ly6h","Neuron"
0,0.846475965501665,0.971,0.927,0,"Rtn1","Neuron"
0,-0.754263344966052,0.94,0.975,0,"Ube3a","Neuron"
0,0.399819580671757,0.987,0.99,0,"Nrxn1","Neuron"
0,0.540037082790697,0.982,0.98,0,"Nrg3","Neuron"
0,0.561321363197657,0.974,0.973,0,"Mdga2","Neuron"
0,-0.666800662289283,1,1,0,"Malat1","Neuron"
4.44216913617269e-306,-2.10926075725233,0.077,0.287,1.03182704695019e-301,"Gm16183","Neuron"
2.37741003764657e-299,-0.472252640212491,0.898,0.951,5.52224803544545e-295,"Mycbp2","Neuron"
1.67617695259056e-298,1.26314242872985,0.611,0.377,3.89342382547734e-294,"Pgrmc1","Neuron"
5.10227209473932e-293,-1.43952756726763,0.178,0.423,1.18515576216605e-288,"Fndc9","Neuron"
1.94109042940599e-291,-1.01489474507382,0.618,0.768,4.50876484942424e-287,"Ctnna3","Neuron"
2.77923140931237e-291,1.33870752809774,0.566,0.326,6.45559871755078e-287,"Ndn","Neuron"
2.52485807881432e-285,-2.65485822563015,0.039,0.213,5.86474034546991e-281,"Gm49179","Neuron"
1.66090515166097e-284,-0.703885835363805,0.718,0.864,3.85795048627811e-280,"Klhdc10","Neuron"
4.37854595322101e-280,0.36948348449511,0.983,0.987,1.01704865401418e-275,"Fgf14","Neuron"
5.22201448628535e-275,-1.27937326618686,0.241,0.483,1.21296952487436e-270,"Gm43713","Neuron"
2.14741150861962e-272,-1.45252516181046,0.179,0.413,4.98800745222165e-268,"Gm44151","Neuron"
2.62838568139436e-271,1.40195598216921,0.506,0.279,6.10521426074281e-267,"Ssbp4","Neuron"
4.53493513619557e-271,-1.18551334588567,0.276,0.521,1.05337473343551e-266,"D830024N08Rik","Neuron"
5.59869188875895e-268,-2.26473286925913,0.047,0.222,1.30046415192093e-263,"Ptprq","Neuron"
2.37073038767928e-267,-0.865121325134456,0.533,0.734,5.50673254450144e-263,"Rnpc3","Neuron"
3.63627897527035e-266,1.19305957032119,0.587,0.37,8.44634880375796e-262,"Serinc1","Neuron"
6.31379944284827e-266,-1.8151288432376,0.106,0.311,1.4665693345848e-261,"Gm43376","Neuron"
3.06682961905408e-263,-1.03104408542362,0.351,0.586,7.12363183913883e-259,"Clk4","Neuron"
4.54504296224521e-256,1.34770096778997,0.501,0.277,1.05572257927032e-251,"Gapdh","Neuron"
1.5991799560948e-255,-0.884189801697117,0.436,0.664,3.714575202017e-251,"Leng8","Neuron"
1.4897741628035e-252,-1.01715541059503,0.366,0.59,3.46044742535997e-248,"Galnt11","Neuron"
1.40520413118176e-248,0.48181333752871,0.956,0.948,3.26400815590898e-244,"Gabrb1","Neuron"
7.61537911780494e-246,-1.38401362931251,0.179,0.399,1.76890026148373e-241,"Bc1","Neuron"
4.25401632414863e-244,0.430526298749721,0.981,0.983,9.88122911773244e-240,"Fam155a","Neuron"
8.73732353065888e-243,1.1579681802667,0.572,0.354,2.02950550970144e-238,"Cd81","Neuron"
1.2957360426836e-237,-0.987241161267146,0.381,0.6,3.00973567994547e-233,"Gm35188","Neuron"
3.97762485480158e-235,-1.42468832747744,0.136,0.341,9.2392270127331e-231,"Gm44686","Neuron"
5.45477147973946e-234,-1.65381310050834,0.109,0.301,1.26703431931388e-229,"Far1os","Neuron"
8.12858056349514e-234,-0.783267807837685,0.511,0.714,1.88810669328865e-229,"Nfx1","Neuron"
6.50991837439347e-232,-0.988325981074073,0.214,0.447,1.51212384000412e-227,"Htr1f","Neuron"
8.10983009152968e-231,0.704846624978233,0.849,0.764,1.88375133366051e-226,"Atp1b1","Neuron"
1.31263507322246e-230,-1.91536287408689,0.065,0.235,3.04898874808114e-226,"Gm28379","Neuron"
2.10276694249825e-226,-2.19851066627454,0.047,0.202,4.88430705403493e-222,"1700109K24Rik","Neuron"
3.856068011664e-226,-0.837846679169779,0.452,0.668,8.95687477749314e-222,"Gm26904","Neuron"
4.1487247830272e-226,-1.85017783427302,0.08,0.255,9.63665792601558e-222,"Gm26804","Neuron"
6.54409154958764e-225,1.45225369740112,0.391,0.181,1.52006158513822e-220,"Dad1","Neuron"
1.11399039524723e-220,1.1757753780509,0.519,0.308,2.58757689008027e-216,"Rabac1","Neuron"
7.60263311540664e-218,-2.70594599521497,0.025,0.156,1.76593962004666e-213,"Gm26906","Neuron"
