"gene","rho","pval","padj"
"Airn",0.138634597230278,2.68915227112644e-07,0.00165430132748742
"Myof",0.13559059958632,4.90453995697427e-07,0.00165430132748742
"Sash1",0.130822293138539,1.22496764546427e-06,0.00275454391210066
"Iqgap1",0.12633324994178,2.81730847142829e-06,0.00475139073706381
"Mthfd2l",0.119520612910993,9.45586567486687e-06,0.0127578539685304
"Rbms1",0.113740700168963,2.5130516519816e-05,0.0270446341169423
"Ms4a7",0.111530929455443,3.60808934261015e-05,0.0270446341169423
"Snx8",0.109959274623481,4.64777376757988e-05,0.0313538818360939
"Gab3",0.108811678247128,5.5798822288234e-05,0.0342198959233115
"Uba1",0.108250013140351,6.09809589357525e-05,0.0342814624150489
"Sp100",0.107128714878663,7.27177460497888e-05,0.0377349165270673
"Klra2",0.105407451913725,9.49640284201865e-05,0.0457590954087556
"Dab2",0.104076009150624,0.000116423038051824,0.0498631126735052
"Rabggtb",0.103315765603416,0.000130646220307107,0.0498631126735052
"Ifi207",0.103195184378744,0.000133047143214215,0.0498631126735052
"Mdfic",0.102537579680047,0.000146888501268687,0.0500295886789299
"Rusc2",0.102472764998567,0.000148323713842069,0.0500295886789299
"Snap23",0.102014450911319,0.000158855001151382,0.0507877219338345
"Ldlrad3",0.101495129016136,0.000171636327963165,0.0507877219338345
"Tsen2",0.101435777358324,0.000173157071520633,0.0507877219338345
"Cct5",0.0983846130218927,0.000270791788180331,0.0712079388902938
"Plekhm2",0.0983126036629646,0.000273623589714414,0.0712079388902938
"H2-Aa",0.0982918450539096,0.000274445065393958,0.0712079388902938
"Coq5",0.0972293731286618,0.000319710361193454,0.0789754283787711
"Eaf2",0.0970545509832108,0.000327796026475777,0.0789754283787711
"Wbp1l",0.0964538050343635,0.000357061543931579,0.0830599025987045
"Ms4a4a",0.095975007763352,0.000382115270776986,0.0847041020092827
"Hnrnpul1",0.0956745754755114,0.000398663869662033,0.0847041020092827
"Clock",0.0956189858153454,0.000401798289993633,0.0847041020092827
"Rftn1",0.0946947914917668,0.000457397341218812,0.0924481866567566
"Apoe",0.0944539403093952,0.000473022012114991,0.0924481866567566
"Usp3",0.0943540757686918,0.000479645202043653,0.0924481866567566
"Map3k2",0.0938594855146329,0.00051373985999389,0.0962691415421884
"Reps2",0.0936520890789548,0.000528697438139749,0.0963944031808311
"Yae1d1",0.0930067740051071,0.000577871083593656,0.0999568802544309
"Znfx1",0.0923771098417826,0.000629923527818186,0.106236602966537
"Arhgap25",0.0919318055713959,0.000669330418430636,0.110047900574278
"Gm26917",0.0917598780157329,0.000685148506391889,0.110047900574278
"Mthfsl",0.0913261842623743,0.000726605335832755,0.113992548733204
"Rasa4",0.0910492846517269,0.000754279157020622,0.115644708937753
"Ddhd1",0.0906224164818492,0.000798862136282943,0.119126650697071
"Rnf111",0.0904980143941174,0.000812307431376409,0.119126650697071
"Zfp933",0.0900237580961723,0.000865511926997244,0.124228584245179
"Ambra1",0.0896768874267784,0.000906449780250973,0.125990074085886
"Peak1",0.0896051498510003,0.000915136915239904,0.125990074085886
"Fam104a",0.0892420213359248,0.000960304795594744,0.129564323021643
"Trappc10",0.0889169169564949,0.00100248399406271,0.132106111788774
"Rpl7l1",0.0887053474975269,0.00103084644524491,0.132106111788774
"Itfg1",0.0886536213437575,0.00103789266599541,0.132106111788774
"Pla2g7",0.0882070124698628,0.00110060828586591,0.137494509193545
"Rpl19",0.0879828693413753,0.00113338644115412,0.139014998764104
"Nagk",0.0876796368805984,0.00117916599166198,0.142047388924138
"Lyz2",0.0866435353451697,0.00134877663318159,0.156876675300742
"Golph3l",0.0859721913408017,0.0014703895731132,0.168122848478333
"Mrps17",0.0857812537420009,0.00150677695974785,0.169411956174317
"Rps26",0.0849194064647411,0.00168156069824414,0.183334125176805
"Trps1",0.0849034931467645,0.00168495638318439,0.183334125176805
"Tatdn3",0.0845062091617997,0.00177180067955274,0.185713326666271
"Flywch1",0.084493163688853,0.00177472083920164,0.185713326666271
"Synj1",0.0843149872205678,0.00181504955962862,0.185713326666271
"Dzip3",0.0842281731233132,0.0018350024662344,0.185713326666271
"Sh2b3",0.0841872841633247,0.00184446974305368,0.185713326666271
"Iqgap2",0.0837743839297436,0.00194261450337711,0.188841118439123
"Nxf1",0.0835847951291394,0.00198926422063378,0.188841118439123
"Rubcn",0.0835016002673905,0.00201005734034194,0.188841118439123
"Tep1",0.083388279123243,0.00203870057986724,0.188841118439123
"Nceh1",0.0833513754556677,0.00204810885489073,0.188841118439123
"Zdhhc5",0.0831525773346824,0.00209947878489982,0.188841118439123
"Htra2",0.082898985760742,0.00216672034121259,0.192324939760791
"Aoah",0.082367696424916,0.0023140327328765,0.200134164307498
"Cd74",0.0821754118576542,0.00236956780403482,0.200910106141272
"Myo5a",0.0820193456361029,0.00241553562841302,0.200910106141272
"Fbxo33",0.0818755494688433,0.00245860961390091,0.200910106141272
"Atp5d",0.081831596707907,0.00247191503257124,0.200910106141272
"Man1b1",0.0817035701087721,0.00251104727564385,0.20166101097016
"Nr2c2",0.0813294329521982,0.00262867150519481,0.208623740871108
"Vav3",0.0810990415168821,0.00270358484641161,0.212074225277822
"Kif5b",0.0807094621975436,0.00283470498216229,0.219803675973182
"Trim37",0.0802613790033753,0.00299267109614585,0.229415445620453
"Trim14",0.0797931310303979,0.00316628137679735,0.232737348791778
"Ms4a6d",0.07978694585426,0.00316863476664245,0.232737348791778
"St18",0.079773810381223,0.00317363794947081,0.232737348791778
"Clybl",0.0796835310802598,0.00320821956721471,0.232737348791778
"Fam126b",0.0795921781468483,0.00324356127005818,0.232737348791778
