"gene","rho","pval","padj"
"Wwp2",0.952166479438449,6.25456021302788e-06,0.00631397853505165
"Kdm2a",0.952166479438449,6.25456021302788e-06,0.00631397853505165
"Rap2a",0.938499018011103,1.899741948362e-05,0.0127852633124762
"Larp1",0.915719915632192,7.58450509351965e-05,0.0299736232873791
"Trak1",0.91116409515641,9.5474186045433e-05,0.0299736232873791
"Ankrd17",0.906608274680628,0.00011876621411542,0.0299736232873791
"Smurf1",0.906608274680628,0.00011876621411542,0.0299736232873791
"Rhoa",0.897496633729064,0.000178133811313009,0.0304537821010376
"Alkbh1",0.8883849927775,0.000257795571633036,0.0304537821010376
"Esco1",0.8883849927775,0.000257795571633036,0.0304537821010376
"Jak1",0.883829172301718,0.000306550750982617,0.0304537821010376
"Stat5b",0.883829172301718,0.000306550750982617,0.0304537821010376
"Mllt10",0.879273351825936,0.000362006325123776,0.0304537821010376
"Rapgef2",0.879273351825936,0.000362006325123776,0.0304537821010376
"Crtc3",0.879273351825936,0.000362006325123776,0.0304537821010376
"Rabep1",0.879273351825936,0.000362006325123776,0.0304537821010376
"Mkl1",0.874717531350154,0.000424756130061927,0.0343033050638012
"Raf1",0.870161710874372,0.000495418089753465,0.0362558011012615
"Aatf",0.870161710874372,0.000495418089753465,0.0362558011012615
"Stim1",0.86560589039859,0.000574633796552931,0.0362558011012615
"Cbfb",0.86560589039859,0.000574633796552931,0.0362558011012615
"Nedd4l",0.86560589039859,0.000574633796552931,0.0362558011012615
"Slc6a6",0.861050069922808,0.000663068065506344,0.040567709825979
"Prkcb",0.851938428971244,0.000870364820821275,0.0474936911685989
"Pdlim5",0.84282678801968,0.0011230729173029,0.0596706373693303
"Ifnar2",0.838270967543897,0.00126835089507827,0.0624585477356835
"Map3k2",0.838270967543897,0.00126835089507827,0.0624585477356835
"Snx24",0.838270967543897,0.00126835089507827,0.0624585477356835
"Slc23a2",0.833715147068116,0.00142729618722247,0.0654934318636855
"Uvrag",0.833715147068116,0.00142729618722247,0.0654934318636855
"Abl2",0.824603506116551,0.00178945985274921,0.072258388854013
"Cdc42",0.824603506116551,0.00178945985274921,0.072258388854013
"Wdfy3",0.824603506116551,0.00178945985274921,0.072258388854013
"Rnf150",0.824603506116551,0.00178945985274921,0.072258388854013
"Ino80d",0.810936044689205,0.00245613840986343,0.0945031986602374
"Pdss2",0.810936044689205,0.00245613840986343,0.0945031986602374
"Kdm7a",0.806380224213423,0.0027148021408092,0.0945031986602374
"Prkch",0.806380224213423,0.0027148021408092,0.0945031986602374
"Dyrk1a",0.806380224213423,0.0027148021408092,0.0945031986602374
"Arhgap25",0.801824403737641,0.00299320000454511,0.0963345147519964
"Arhgap17",0.801824403737641,0.00299320000454511,0.0963345147519964
"Vps13c",0.801824403737641,0.00299320000454511,0.0963345147519964
"Acsl4",0.797268583261859,0.00329226424858234,0.0963345147519964
"Chic2",0.797268583261859,0.00329226424858234,0.0963345147519964
"Sgpl1",0.797268583261859,0.00329226424858234,0.0963345147519964
"Mib1",0.797268583261859,0.00329226424858234,0.0963345147519964
"Rin2",0.792712762786077,0.00361294154277164,0.101312902428555
"Man1c1",0.792712762786077,0.00361294154277164,0.101312902428555
"Wdr37",0.779045301358731,0.00471432055119653,0.11772562918181
"Cab39",0.774489480882949,0.00513118146012842,0.11772562918181
"Fmn1",0.774489480882949,0.00513118146012842,0.11772562918181
"Tbck",0.774489480882949,0.00513118146012842,0.11772562918181
"Tet3",0.774489480882949,0.00513118146012842,0.11772562918181
"Gm26740",0.774489480882949,0.00513118146012842,0.11772562918181
"Gng2",0.774489480882949,0.00513118146012842,0.11772562918181
"Clint1",0.774489480882949,0.00513118146012842,0.11772562918181
"Nsd1",0.774489480882949,0.00513118146012842,0.11772562918181
"Vti1b",0.774489480882949,0.00513118146012842,0.11772562918181
"Snx5",0.769933660407167,0.00557458130156403,0.117986805395782
"Skap2",0.769933660407167,0.00557458130156403,0.117986805395782
"Adcy7",0.769933660407167,0.00557458130156403,0.117986805395782
"Tec",0.765377839931385,0.00604553893321258,0.117986805395782
"Ptk2b",0.765377839931385,0.00604553893321258,0.117986805395782
"Rab8b",0.765377839931385,0.00604553893321258,0.117986805395782
"Sgms1",0.765377839931385,0.00604553893321258,0.117986805395782
"Fbxw4",0.765377839931385,0.00604553893321258,0.117986805395782
"Pid1",0.760822019455603,0.00654508281541735,0.117986805395782
"Trip12",0.760822019455603,0.00654508281541735,0.117986805395782
"Spi1",0.760822019455603,0.00654508281541735,0.117986805395782
"Dgkz",0.760822019455603,0.00654508281541735,0.117986805395782
"Snap23",0.760822019455603,0.00654508281541735,0.117986805395782
"Ralgapb",0.760822019455603,0.00654508281541735,0.117986805395782
"Mir142hg",0.760822019455603,0.00654508281541735,0.117986805395782
"Sla",0.760822019455603,0.00654508281541735,0.117986805395782
"Nr3c1",0.760822019455603,0.00654508281541735,0.117986805395782
"Dmxl1",0.760822019455603,0.00654508281541735,0.117986805395782
"Hdlbp",0.756266198979821,0.00707425031037905,0.120415793850845
"Lst1",0.756266198979821,0.00707425031037905,0.120415793850845
"Abcb7",0.751710378504039,0.0076340869801427,0.120415793850845
"Rsbn1l",0.751710378504039,0.0076340869801427,0.120415793850845
"Actr2",0.751710378504039,0.0076340869801427,0.120415793850845
"Map3k14",0.751710378504039,0.0076340869801427,0.120415793850845
"Fam172a",0.751710378504039,0.0076340869801427,0.120415793850845
"Fcho2",0.751710378504039,0.0076340869801427,0.120415793850845
"Synj1",0.751710378504039,0.0076340869801427,0.120415793850845
"Phf21a",0.747154558028256,0.00822564588389481,0.123937157011818
"Ppp3ca",0.747154558028256,0.00822564588389481,0.123937157011818
"Pik3c2a",0.747154558028256,0.00822564588389481,0.123937157011818
"Epsti1",0.747154558028256,0.00822564588389481,0.123937157011818
"Smad2",0.747154558028256,0.00822564588389481,0.123937157011818
"Tank",0.742598737552475,0.00884998687509756,0.129479155803058
"Erp29",0.738042917076692,0.00950817589896449,0.135190191126826
"Wapl",0.738042917076692,0.00950817589896449,0.135190191126826
"Tpd52",0.73348709660091,0.0102012842907634,0.136399953530141
"Mlxip",0.73348709660091,0.0102012842907634,0.136399953530141
"Gab2",0.73348709660091,0.0102012842907634,0.136399953530141
"Arih1",0.73348709660091,0.0102012842907634,0.136399953530141
