"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene"
1.92631914395997e-51,11.1893375634186,0.105,0,4.47445410759023e-47,"Unc5cl"
1.50196138219668e-129,8.944808018006,0.281,0.001,3.48875589856646e-125,"Wdr63"
3.34114973932099e-144,8.40382123194006,0.329,0.003,7.76082261449479e-140,"Dnah6"
7.74613359105263e-115,8.27457119597855,0.281,0.005,1.79927191052971e-110,"Dnah12"
1.96530935556466e-53,8.12554488518003,0.114,0,4.56502057110559e-49,"Iqca"
5.51576294445568e-49,8.10028115085268,0.114,0.001,1.28120141673816e-44,"Gm10714"
2.56319716209481e-40,7.98829037264541,0.1,0.002,5.95379436811383e-36,"Tmem212"
6.47534816713294e-58,7.93592141980634,0.129,0.001,1.50409387226164e-53,"Spag17"
2.70342782284253e-99,7.76355689656873,0.229,0.002,6.27952214689863e-95,"Fndc3c1"
1.71642744899059e-78,7.66340152595164,0.176,0.001,3.98691767851534e-74,"Ccdc180"
1.04464661990002e-171,7.56202063006728,0.376,0.002,2.42650516870376e-167,"C230072F16Rik"
1.60021488952312e-104,7.54815593883041,0.248,0.003,3.71697914538429e-100,"Cfap65"
8.00751866996341e-92,7.51691682659385,0.257,0.008,1.8599864366591e-87,"Scn7a"
5.66991398583145e-65,7.47089868598676,0.152,0.002,1.31700762062893e-60,"Cfap221"
5.21986662858531e-91,7.33666522041903,0.224,0.004,1.2124706204878e-86,"Tll1"
1.31740042884119e-83,7.33280948547274,0.2,0.003,3.06005771611232e-79,"Armc4"
2.47678978903792e-99,7.28394688756687,0.229,0.002,5.75308732197728e-95,"Frzb"
5.34984632060218e-127,7.18510004153544,0.329,0.007,1.24266230334947e-122,"3300002A11Rik"
3.23057964670763e-60,7.16952581381829,0.138,0.001,7.50399040337249e-56,"Crym"
7.92738527759544e-110,7.15476854524772,0.286,0.006,1.84137305227987e-105,"1700007G11Rik"
2.34053738939869e-102,6.96984764103477,0.248,0.004,5.43660024809528e-98,"Gm31592"
1.35492730762407e-62,6.95401135238701,0.148,0.002,3.1472251501492e-58,"Ttll6"
1.87603604590808e-83,6.89382478371649,0.2,0.003,4.3576565274353e-79,"Ttc29"
1.10221393074028e-40,6.88194360779688,0.105,0.002,2.56022251832353e-36,"Cfap77"
6.09930313344851e-47,6.81417400225916,0.114,0.002,1.41674613183742e-42,"Fsip1"
4.8369520514545e-105,6.67721786463356,0.295,0.009,1.12352722251185e-100,"Ak7"
1.81366945769109e-86,6.65862875418044,0.214,0.004,4.21279141632486e-82,"Mia"
6.67279795057015e-47,6.6406996971311,0.114,0.002,1.54995750795843e-42,"Drc7"
1.71007863665555e-49,6.6167103437997,0.124,0.002,3.97217065722352e-45,"Cfap161"
6.90590514789748e-73,6.6068783168419,0.21,0.007,1.60410364775363e-68,"Hydin"
1.48958517903524e-75,6.58492723353381,0.195,0.004,3.46000845386305e-71,"Flt1"
5.66810127078635e-39,6.57761733078824,0.105,0.003,1.31658656317825e-34,"Wdr49"
5.6828170061027e-79,6.56327351410608,0.433,0.06,1.32000473417754e-74,"Col25a1"
6.87988389589112e-49,6.52952152334259,0.114,0.001,1.59805943133759e-44,"Lrrc71"
3.89788034296637e-104,6.51966702413016,0.248,0.003,9.05399646064228e-100,"Daw1"
1.26731774344643e-51,6.49508248033071,0.129,0.002,2.94372565447737e-47,"Lrrc36"
4.4674781910477e-83,6.48796440269607,0.195,0.002,1.03770583421656e-78,"Cfap52"
8.79940748132085e-117,6.48433960085358,0.286,0.005,2.04392636976121e-112,"Hmcn1"
3.86964062717248e-153,6.44434938691455,0.41,0.011,8.98840124879623e-149,"Fgf10"
1.64763243878099e-94,6.3629785665082,0.295,0.013,3.82712062880048e-90,"Vwa3a"
1.25725821252846e-116,6.34037115781747,0.286,0.005,2.9203593760611e-112,"Armc3"
1.33261727212825e-119,6.31820501989823,0.324,0.009,3.0954033996995e-115,"Ak9"
4.76418772834278e-148,6.29399929840897,0.39,0.01,1.10662552553946e-143,"Cfap43"
4.58641680821427e-96,6.28553808065949,0.276,0.009,1.06533289621201e-91,"Zbbx"
6.7825814839437e-86,6.28142343483979,0.238,0.007,1.57545802709044e-81,"Ccbe1"
2.93292094852567e-54,6.2599556265184,0.138,0.003,6.81258877923541e-50,"Fam166b"
1.21141180690213e-207,6.17826406809151,0.533,0.013,2.81386734507227e-203,"Tshr"
1.13956224661268e-112,6.17826145766348,0.31,0.009,2.64697518643194e-108,"Cfap61"
1.57616811947911e-39,6.13701074756136,0.11,0.003,3.66112330792608e-35,"Fbxl13"
1.34446632951649e-265,6.1275715564786,0.843,0.051,3.12292639020091e-261,"Col23a1"
1.22468921148125e-43,6.12076537634935,0.129,0.005,2.84470810042866e-39,"Abca8a"
1.48339425943093e-94,6.11533190863222,0.257,0.007,3.44562818580615e-90,"Maats1"
6.72948343430103e-142,6.11177374575908,0.39,0.012,1.56312441211944e-137,"Kif27"
7.5042179703064e-122,6.06116646527679,0.305,0.006,1.74307975014277e-117,"Dnaaf3"
1.11017299263342e-195,6.01257454419127,0.519,0.014,2.57870982728891e-191,"Dnah11"
2.78646160260207e-43,5.97823525035247,0.114,0.003,6.47239301052408e-39,"Tbx3"
6.02185240744614e-68,5.97490717622577,0.171,0.003,1.39875587720159e-63,"Cfap99"
1.64163148330737e-88,5.92305798211648,0.3,0.016,3.81318160942636e-84,"Wdr66"
3.29146564253023e-43,5.91931960413935,0.114,0.003,7.64541639446921e-39,"Capsl"
1.99513379578192e-68,5.88124362960572,0.19,0.006,4.63429678084225e-64,"9130410C08Rik"
1.41533347608953e-85,5.82508511816772,0.238,0.007,3.28753659826076e-81,"1700028P14Rik"
3.4124132384162e-48,5.74773804889783,0.248,0.028,7.92635347019316e-44,"P3h2"
9.57974249686281e-157,5.72633633043248,0.438,0.014,2.22518258717129e-152,"Ccdc170"
2.78363763032903e-57,5.69971687974837,0.152,0.004,6.46583348772828e-53,"Mlf1"
1.49290702900255e-46,5.68500307288079,0.129,0.004,3.46772444696712e-42,"Ccdc81"
1.55713795724966e-42,5.66358789224592,0.138,0.006,3.6169200470995e-38,"Eno4"
1.37261419555872e-46,5.66191290232819,0.11,0.001,3.18830825344379e-42,"Efcab11"
6.04591089341413e-154,5.6016799346714,0.405,0.01,1.40434418232223e-149,"Ccdc146"
2.55973488990712e-44,5.60064302018119,0.133,0.005,5.94575220227626e-40,"Cfap45"
3.84624628057878e-61,5.57290994474314,0.171,0.005,8.93406086052839e-57,"Lhx2"
6.42551785746374e-122,5.571042390091,0.424,0.026,1.49251928793168e-117,"Dnah9"
9.85655068487813e-37,5.55871097864707,0.152,0.012,2.28947959308349e-32,"Gm13481"
6.57492113006942e-39,5.55191194878216,0.105,0.003,1.52722268009252e-34,"Ak8"
2.18578042763268e-37,5.52136836963201,0.105,0.003,5.07713077730519e-33,"Gm16263"
2.23443145400555e-62,5.50900044022015,0.214,0.012,5.1901373813641e-58,"Pifo"
6.2904190744987e-99,5.49538366784415,0.257,0.006,1.46113854262456e-94,"Gpr50"
3.05211304321674e-61,5.48292651003889,0.157,0.003,7.08944817678385e-57,"Fzd5"
5.88605562626048e-38,5.48273476436966,0.11,0.004,1.36721300086778e-33,"Col4a4"
6.33228686758694e-114,5.42947097864285,0.281,0.005,1.47086359360309e-109,"Anxa2"
1.24285557284202e-127,5.37876737466523,0.443,0.026,2.88690492459745e-123,"Ap1s2"
9.5666518893038e-135,5.36136442939521,0.419,0.019,2.22214190084749e-130,"Gm42722"
1.48349661570413e-87,5.34819692304733,0.262,0.01,3.44586593895755e-83,"Adgb"
1.58751089255362e-144,5.34022033908248,0.538,0.039,3.68747030122354e-140,"Slc16a2"
1.57651050622798e-237,5.33613641477569,0.752,0.041,3.66191860386635e-233,"Adgrv1"
1.46110996510971e-103,5.32833018107143,0.281,0.007,3.39386622695684e-99,"Ttc21a"
2.34682611813786e-39,5.32683141015907,0.119,0.005,5.45120770721061e-35,"Mapk15"
1.17068103280844e-32,5.31913044781717,0.124,0.008,2.71925790300744e-28,"Itga9"
3.44117791378752e-132,5.31390710337951,0.395,0.015,7.99316805814565e-128,"Enkur"
2.21185355233011e-73,5.31233509688436,0.238,0.011,5.13769343135237e-69,"Cdkl4"
1.36220490090667e-152,5.26455343233159,0.443,0.016,3.164129543826e-148,"Mamdc2"
1.9319930210141e-102,5.25284154929991,0.438,0.04,4.48763338921155e-98,"Grik3"
5.93041148300125e-71,5.23193761318199,0.219,0.009,1.37751597927153e-66,"Dynlrb2"
8.9453173136439e-90,5.20172018389572,0.267,0.01,2.0778183056132e-85,"Mob3b"
9.6772521805975e-34,5.19384209508404,0.1,0.004,2.24783213650919e-29,"Tmem232"
2.02413038404284e-32,5.18291221639308,0.1,0.004,4.70165005605472e-28,"Lrrc74b"
