gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,16.257013,3.9265168,1.992125437457884e-59,3.2157884874163893e-55
ENSMUSG00000035885,13.243676,0.9619831,4.90859441876321e-40,3.961849270244256e-36
ENSMUSG00000060143,12.753907,1.8566762,2.9650413873456767e-37,1.9145272238091033e-33
ENSMUSG00000014313,11.986787,1.1036882,4.1676079203980696e-33,2.2425203618341945e-29
ENSMUSG00000004267,11.757728,1.4767457,6.44457225192419e-32,2.9723287879053213e-28
ENSMUSG00000055839,11.609753,1.4101862,3.676789910523363e-31,1.4838145282655847e-27
ENSMUSG00000022285,11.378899,0.79760605,5.3268352799328205e-30,1.9108541890292343e-26
ENSMUSG00000016252,11.217219,1.1965662,3.3566039392077665e-29,9.851632561574795e-26
ENSMUSG00000062997,11.179206,1.1368704,5.154934799315499e-29,1.3868922499658405e-25
ENSMUSG00000009549,10.842305,1.4979795,2.1693376711789674e-27,5.387466670308689e-24
ENSMUSG00000044894,10.5011635,1.7876529,8.532161946835612e-26,1.9675774889541981e-22
ENSMUSG00000086503,10.470002,1.1587175,1.1863972430530442e-25,2.553522332797835e-22
ENSMUSG00000090733,10.355963,0.92297274,3.9321198313452163e-25,7.052693819721128e-22
ENSMUSG00000071528,10.335896,1.0193512,4.848634423756175e-25,8.238850651103585e-22
ENSMUSG00000014294,10.170953,1.0289913,2.672808803286936e-24,4.109125343529464e-21
ENSMUSG00000031840,10.103573,1.0000029,5.3265402561101034e-24,7.816697825841578e-21
ENSMUSG00000001175,10.054302,0.7052736,8.794212958070951e-24,1.234439849353568e-20
ENSMUSG00000035242,9.998669,0.71858084,1.5445911805169177e-23,2.0777969276245286e-20
ENSMUSG00000036751,9.911548,1.6016691,3.708546537544606e-23,4.7892169985851046e-20
ENSMUSG00000032330,9.812843,1.165161,9.913466951660887e-23,1.2309856943629683e-19
ENSMUSG00000031760,9.766673,1.3003855,1.5650731364854465e-22,1.8714217115345424e-19
ENSMUSG00000027805,9.7453,1.3759191,1.9320619328802504e-22,2.2277364108228175e-19
ENSMUSG00000035530,9.711203,0.6013077,2.7013050680273145e-22,3.007297728319374e-19
ENSMUSG00000064370,9.6847725,0.7272942,3.4998577003430743e-22,3.766430195185872e-19
ENSMUSG00000075706,9.577095,1.1509683,9.981250663068908e-22,1.0070146176786866e-18
ENSMUSG00000029632,9.528315,1.392142,1.5985797882182598e-21,1.5639438928068642e-18
ENSMUSG00000024208,9.521952,1.7704545,1.699570814026071e-21,1.613842462671521e-18
ENSMUSG00000020738,9.51673,1.1079357,1.7871292738638388e-21,1.648499103048401e-18
ENSMUSG00000018451,9.483612,0.739072,2.4563080050917927e-21,2.2028306651219034e-18
ENSMUSG00000021290,9.459303,1.8047004,3.1000349880112913e-21,2.704989988863366e-18
ENSMUSG00000035640,9.446577,0.8860421,3.500915810887919e-21,2.9743964988030645e-18
ENSMUSG00000032966,9.413295,0.9746905,4.808220672416221e-21,3.980343702793787e-18
ENSMUSG00000030654,9.39698,0.9614813,5.6151439840155476e-21,4.532123088098549e-18
ENSMUSG00000017466,9.376587,0.8612604,6.814291343071998e-21,5.3658389270994985e-18
ENSMUSG00000079523,9.362556,0.7211007,7.783054608415747e-21,5.982759953159581e-18
ENSMUSG00000071076,9.316059,1.3566191,1.2074189147540746e-20,8.87820408624263e-18
ENSMUSG00000041881,9.313449,1.4524854,1.237476177422699e-20,8.87820408624263e-18
ENSMUSG00000028998,9.300397,1.1409446,1.3992241692717746e-20,9.820424414117226e-18
ENSMUSG00000031950,9.233832,1.2746998,2.6111770200883484e-20,1.7936563849691987e-17
ENSMUSG00000025855,9.204629,0.55100864,3.4285295596010675e-20,2.3060432673275096e-17
ENSMUSG00000037152,9.172,1.0646248,4.643245476267422e-20,3.059330208189668e-17
ENSMUSG00000023175,9.169553,1.4830995,4.749870202174436e-20,3.0669911895440333e-17
