gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000096768,14.307386,2.7977004,1.967691238090456e-46,1.0587818603625062e-42
ENSMUSG00000095041,12.639776,2.1441412,1.2741642968402667e-36,5.142049290436002e-33
ENSMUSG00000027273,12.524,0.79532355,5.51824325072638e-36,1.9795164816633462e-32
ENSMUSG00000024758,12.060376,0.48518023,1.710010427062973e-33,5.5207686637728084e-30
ENSMUSG00000064358,11.181957,0.47365996,4.997561376468388e-29,1.008414181495512e-25
ENSMUSG00000073590,10.777575,3.586142,4.3931898016717886e-27,8.343184279233747e-24
ENSMUSG00000002265,10.556642,0.44336033,4.7329125240647706e-26,8.042214781022691e-23
ENSMUSG00000045193,10.536236,1.9713917,5.880600053036991e-26,9.492758635614962e-23
ENSMUSG00000022285,10.390891,0.52468336,2.7279329684066327e-25,4.1938721850003877e-22
ENSMUSG00000045095,10.257624,0.7463392,1.0936507606840686e-24,1.5351528177689196e-21
ENSMUSG00000066357,9.954545,0.6888895,2.4092338171125547e-23,3.2409214077282847e-20
ENSMUSG00000015291,9.890826,0.66681975,4.562468407155052e-23,5.891971701000034e-20
ENSMUSG00000051853,9.72622,0.6330065,2.3309357375490366e-22,2.78719482543595e-19
ENSMUSG00000030654,9.644802,0.65514135,5.171073710029859e-22,5.962432668868357e-19
ENSMUSG00000030704,9.4829035,0.45663336,2.4730440261148566e-21,2.5755556897780045e-18
ENSMUSG00000020456,9.1079855,0.86448026,8.392610472185072e-20,7.323119705256623e-17
ENSMUSG00000022456,9.0663395,0.593541,1.230830092092292e-19,1.0457197242947275e-16
ENSMUSG00000026797,9.021778,0.48265868,1.8506126304338376e-19,1.4936757193389112e-16
ENSMUSG00000025151,8.85332,0.5786045,8.495390909573939e-19,6.530326083704633e-16
ENSMUSG00000023004,8.777211,0.7917703,1.675776161318959e-18,1.2581961248414554e-15
ENSMUSG00000064341,8.5538845,0.38727263,1.1901373947852798e-17,8.538574620142834e-15
ENSMUSG00000043384,8.467782,0.3579076,2.501107097265198e-17,1.714117518349196e-14
ENSMUSG00000032356,8.366478,0.804615,5.936617521095271e-17,3.685840320549247e-14
ENSMUSG00000043388,8.360543,0.40793398,6.243018958448199e-17,3.802940888179247e-14
ENSMUSG00000026123,8.245809,0.5677508,1.6404748514468683e-16,9.131505272234852e-14
ENSMUSG00000021910,8.232586,0.551402,1.8321500332846e-16,1.0025587088914121e-13
ENSMUSG00000021939,8.1391945,0.56149155,3.979163548007364e-16,2.0391634150383768e-13
ENSMUSG00000090101,7.981877,2.1977065,1.4412504052060047e-15,7.15857989724244e-13
ENSMUSG00000026575,7.9744844,1.312972,1.5301819077681737e-15,7.485139832165983e-13
ENSMUSG00000076432,7.970424,0.5229539,1.5813091681709601e-15,7.619786043940215e-13
ENSMUSG00000023826,7.9028535,0.58925337,2.725903244760914e-15,1.2572255179586587e-12
ENSMUSG00000059361,7.873805,0.4746989,3.440144266188131e-15,1.5418408636640123e-12
ENSMUSG00000032562,7.8721395,0.5151384,3.4862748349844477e-15,1.5418408636640123e-12
ENSMUSG00000040097,7.848922,0.7420351,4.196294673053718e-15,1.8307753178316117e-12
ENSMUSG00000007564,7.7553225,0.69618297,8.811940854753004e-15,3.793246806609343e-12
ENSMUSG00000037852,7.74793,0.4640671,9.3402525731066e-15,3.9677638726677185e-12
ENSMUSG00000021820,7.741579,0.7110334,9.818958981491476e-15,4.116949230096783e-12
ENSMUSG00000038486,7.7114897,0.50870585,1.2435736617748849e-14,5.082123502582552e-12
ENSMUSG00000020532,7.6974344,0.8580316,1.3882542540409322e-14,5.602473573963937e-12
ENSMUSG00000026825,7.6825457,0.5116586,1.5595769867346026e-14,6.216165804534154e-12
ENSMUSG00000044042,7.6804633,2.5484655,1.5851394962454378e-14,6.241003492229751e-12
