gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000031760,35.56363,1.0814501,5.115759982010937e-277,1.5014755547202101e-273
ENSMUSG00000026424,35.013775,0.8904361,1.388540991837369e-268,3.7357538267891215e-265
ENSMUSG00000064370,34.098953,0.99715036,7.644341608871071e-255,1.7628397774457325e-251
ENSMUSG00000041329,34.018295,0.90008277,1.1952036937244331e-253,2.5724767501262215e-250
ENSMUSG00000028517,33.655113,0.62836415,2.6246259969003792e-248,5.296003144370547e-245
ENSMUSG00000064360,33.262268,1.0166258,1.3569579804295559e-242,2.577022846951071e-239
ENSMUSG00000064341,32.813934,1.1324306,3.7261522448787044e-236,6.683268068106053e-233
ENSMUSG00000002985,31.83691,0.9042173,1.9978207389477317e-222,3.0714115503298817e-219
ENSMUSG00000064351,31.206324,0.79572433,8.744606752427726e-214,1.227476647835344e-210
ENSMUSG00000086503,30.86668,0.6654447,3.3460700303295923e-209,4.3211148371676355e-206
ENSMUSG00000065947,29.799786,1.5904983,3.931642937907195e-195,4.533324723226207e-192
ENSMUSG00000022132,29.523113,2.0152316,1.454289470774368e-191,1.5650578521316822e-188
ENSMUSG00000028957,28.90232,3.2765837,1.1163481985047574e-183,1.16262263189439e-180
ENSMUSG00000045092,28.603079,1.0615196,6.151775632086601e-180,6.206564883809873e-177
ENSMUSG00000058135,28.034191,2.0663955,6.226333560946506e-173,5.9122699710340574e-170
ENSMUSG00000064345,26.88034,0.6482449,3.7289256294356223e-159,3.0868811268289506e-156
ENSMUSG00000064356,26.636702,2.16255,2.551881100262191e-156,1.9159879377201125e-153
ENSMUSG00000027447,24.991106,0.6621904,7.638068745991813e-138,4.742212489698956e-135
ENSMUSG00000000567,24.359707,1.7536814,4.575003465258467e-131,2.6375711942119574e-128
ENSMUSG00000017390,24.14068,0.93783146,9.354309396008477e-129,5.298313664037433e-126
ENSMUSG00000059824,23.977789,3.8767583,4.742044283055358e-127,2.5097852406302007e-124
ENSMUSG00000031765,23.936455,0.6477557,1.2787367325109421e-126,6.658712162760608e-124
ENSMUSG00000007097,23.704918,0.39055693,3.208322833812651e-124,1.6184484795256475e-121
ENSMUSG00000029580,23.38186,1.8126106,6.537122234776723e-121,3.150014796265171e-118
ENSMUSG00000064358,23.155542,0.4949334,1.2783594105460452e-118,5.981425154996967e-116
ENSMUSG00000064363,22.958424,0.5777687,1.2139786841756967e-116,5.520183354734136e-114
ENSMUSG00000092341,22.603493,0.22575925,4.0042144234385785e-113,1.7236808354761935e-110
ENSMUSG00000029381,22.298418,3.3747363,3.828023506544347e-110,1.564401758339041e-107
ENSMUSG00000025203,21.755571,0.6211517,6.118058186472475e-105,2.3514465303602842e-102
ENSMUSG00000064367,21.649506,1.1658275,6.143650811392678e-104,2.333503134656619e-101
ENSMUSG00000064354,21.566717,0.49810764,3.689642728906889e-103,1.353637676167715e-100
ENSMUSG00000064357,21.51491,0.46704912,1.1290059797550321e-102,4.095500905212496e-100
ENSMUSG00000022037,21.4252,0.9172693,7.779960796069974e-102,2.7908448255679903e-99
ENSMUSG00000071866,21.013304,2.0512445,4.956283035642424e-98,1.7022723170820815e-95
ENSMUSG00000036570,20.991238,2.1992528,7.886667196600038e-98,2.6802215836024443e-95
ENSMUSG00000079037,20.84748,0.6946933,1.6065959161746842e-96,5.347314345742234e-94
ENSMUSG00000058254,20.720882,1.1567903,2.24531381573449e-95,7.396934340917144e-93
ENSMUSG00000030605,20.426203,1.3252712,9.782134413659528e-93,3.1581620954499786e-90
ENSMUSG00000069372,20.265593,5.825635,2.588234520325805e-91,8.112733154244525e-89
ENSMUSG00000023951,20.130629,1.6821638,3.979191130258891e-90,1.2352710157731566e-87
ENSMUSG00000063524,19.719818,2.2747824,1.4574995061757205e-86,4.35697884785955e-84
ENSMUSG00000062980,19.085346,2.7325146,3.34256433442255e-81,9.549972525383365e-79
ENSMUSG00000001270,18.823906,0.8297756,4.81036794764573e-79,1.327373753758482e-76
ENSMUSG00000068748,18.693497,0.33801115,5.59241997465106e-78,1.504593990680079e-75
ENSMUSG00000020889,18.51073,2.5750926,1.6918957714574376e-76,4.302664666223458e-74
ENSMUSG00000025666,18.4824,1.2401719,2.8616176659800687e-76,7.217759870794259e-74
ENSMUSG00000019505,18.47626,1.8934839,3.20661950420144e-76,8.025248890941356e-74
ENSMUSG00000020333,18.283043,0.86549586,1.1294521624401777e-74,2.7624517473016014e-72
ENSMUSG00000029570,18.082981,1.7328267,4.3396661469763085e-73,1.0301920702583097e-70
ENSMUSG00000050708,17.882427,1.7702942,1.6164285546981691e-71,3.754416970390676e-69
ENSMUSG00000090733,17.823399,2.0641806,4.652299336396792e-71,1.0577428456026086e-68
ENSMUSG00000036790,17.765154,2.207755,1.3157844672548724e-70,2.950007050369691e-68
ENSMUSG00000032482,17.594471,1.6022363,2.715761749085927e-69,6.046784004775114e-67
ENSMUSG00000021684,17.529455,2.1414924,8.538391036887706e-69,1.8880955796295863e-66
ENSMUSG00000022564,17.5027,1.5918888,1.366341164191589e-68,3.000838400403092e-66
ENSMUSG00000026473,17.470654,0.49552286,2.397364602634887e-68,5.229656499734279e-66
ENSMUSG00000030310,17.369484,0.39295712,1.4048328355562668e-67,2.9838834273640836e-65
ENSMUSG00000023175,17.19168,2.128596,3.065179391862801e-66,6.223856394106323e-64
ENSMUSG00000022114,17.143131,2.2048042,7.073716058808147e-66,1.4273432684913813e-63
ENSMUSG00000034892,16.914314,1.3833525,3.5289468068950385e-64,6.904972585491293e-62
ENSMUSG00000008348,16.90227,1.3782914,4.32920750189848e-64,8.419786999927254e-62
ENSMUSG00000057666,16.649714,1.9392536,3.0405522825447156e-62,5.774366496585655e-60
ENSMUSG00000045136,16.606003,2.1380308,6.3058187823953204e-62,1.1836241824978657e-59
ENSMUSG00000064215,16.27193,2.388261,1.5615375569022263e-59,2.800791112477132e-57
ENSMUSG00000073418,16.236597,2.8929167,2.7792055334957685e-59,4.9572735165144135e-57
ENSMUSG00000063260,16.14774,2.6615438,1.1779955846314598e-58,2.089647662078389e-56
ENSMUSG00000024076,16.028204,2.057748,8.119578747726668e-58,1.4246771732084535e-55
ENSMUSG00000026223,15.99786,0.84162,1.322440533764986e-57,2.2954297114302462e-55
ENSMUSG00000027574,15.799419,1.0995082,3.1399534942295165e-56,5.335442029536839e-54
ENSMUSG00000057322,15.791246,1.6948087,3.574481242774059e-56,6.041996173976989e-54
ENSMUSG00000043496,15.777673,0.80749536,4.432339365522571e-56,7.453024813327928e-54
ENSMUSG00000010064,15.712266,1.6545349,1.2464331024439738e-55,2.074283129505345e-53
ENSMUSG00000024661,15.609187,0.5103452,6.303525057654976e-55,1.0383127881958721e-52
ENSMUSG00000035885,15.567693,0.7898957,1.2068176918916935e-54,1.9777720397321485e-52
ENSMUSG00000024121,15.483961,1.4682771,4.4519868787571424e-54,7.222733486466048e-52
ENSMUSG00000099696,15.423486,2.1610699,1.1379281024033434e-53,1.818713306242175e-51
ENSMUSG00000022961,15.195909,0.19647646,3.764098700663909e-52,5.870721089417116e-50
ENSMUSG00000030647,15.160384,2.0442283,6.4689918940311045e-52,1.0040932850903568e-49
ENSMUSG00000034755,15.094474,1.8027524,1.7608606703636227e-51,2.7200663513248592e-49
ENSMUSG00000017778,15.075648,1.3257592,2.3420606531653786e-51,3.600639437497345e-49
ENSMUSG00000095041,15.015115,1.3470815,5.846071910282311e-51,8.945044152770824e-49
ENSMUSG00000029309,14.96921,0.25556475,1.1669903168745072e-50,1.768839548370585e-48
ENSMUSG00000041309,14.894134,1.7081668,3.5981770815748064e-50,5.37810866104827e-48
ENSMUSG00000014313,14.82363,1.2563567,1.0306071279325512e-49,1.519321969191891e-47
ENSMUSG00000002459,14.797945,1.0145382,1.510266516268495e-49,2.2163161126240164e-47
ENSMUSG00000018822,14.792045,2.0298598,1.6486890381975169e-49,2.408503420733341e-47
ENSMUSG00000022949,14.789378,2.080427,1.7152997491350633e-49,2.494524882920068e-47
ENSMUSG00000020044,14.743201,0.6422128,3.402632195796579e-49,4.882399130724114e-47
ENSMUSG00000075012,14.70526,1.8291425,5.964138883707601e-49,8.482476822048453e-47
ENSMUSG00000050953,14.69241,0.40488806,7.210254332266055e-49,1.0165199175423998e-46
ENSMUSG00000004032,14.628529,1.6194044,1.8473998690869517e-48,2.5819612456048587e-46
ENSMUSG00000074637,14.584682,1.282351,3.5155295340752877e-48,4.871196180584577e-46
ENSMUSG00000060802,14.420342,2.1151402,3.8542599417799527e-47,5.250412751914168e-45
ENSMUSG00000079641,14.378797,1.7011772,7.030612593973133e-47,9.537114604891705e-45
ENSMUSG00000020585,14.306411,1.4763852,1.995506018386247e-46,2.6732328549211613e-44
ENSMUSG00000021508,14.2166395,1.3484259,7.223949147773615e-46,9.597744783369183e-44
ENSMUSG00000032324,14.197765,1.2079934,9.458066762097877e-46,1.2514495303865982e-43
ENSMUSG00000029723,14.044498,0.9066577,8.325567188096029e-45,1.0882224156586247e-42
ENSMUSG00000025351,14.042123,1.5593762,8.60950597114951e-45,1.1207979849942013e-42
ENSMUSG00000031633,13.996077,1.5894101,1.6471654748281141e-44,2.1186747950129748e-42
ENSMUSG00000030246,13.957866,1.2748358,2.817448435741448e-44,3.5811544388941984e-42
ENSMUSG00000033208,13.936322,1.4714415,3.810765281478259e-44,4.8247277299029646e-42
"gene_symbol
Aldoa    ENSMUSG00000030695
Aldoa    ENSMUSG00000114515
Name: gene_identifier, dtype: object",13.890449,1.5526124,7.238031426264715e-44,9.128118929568607e-42
ENSMUSG00000008035,13.87364,1.2846022,9.1511985766572e-44,1.1495970663322091e-41
ENSMUSG00000031626,13.861474,1.8014171,1.084252512960853e-43,1.3567865263930675e-41
ENSMUSG00000020591,13.820156,0.3551956,1.9265261428186207e-43,2.38306116938311e-41
ENSMUSG00000062825,13.7640085,1.317693,4.195994479656579e-43,5.15086242493204e-41
ENSMUSG00000029838,13.460045,0.8887251,2.6875447724778374e-41,3.2136067770165554e-39
ENSMUSG00000039001,13.399335,1.2798338,6.100730175681174e-41,7.214727975159953e-39
ENSMUSG00000028691,13.38262,1.446595,7.640623540121138e-41,9.002829598277773e-39
ENSMUSG00000008540,13.363439,1.7728157,9.888857575763023e-41,1.1609518793945789e-38
ENSMUSG00000049422,13.310664,1.0936167,2.006895157178233e-40,2.3223157759677151e-38
ENSMUSG00000022899,13.258883,1.8864443,4.008198544825238e-40,4.5726038876213e-38
ENSMUSG00000037706,13.243164,0.39888868,4.942172518698049e-40,5.598527711093561e-38
ENSMUSG00000045294,13.203681,1.7072878,8.355003831482978e-40,9.39865152262815e-38
ENSMUSG00000020719,13.191159,0.46819007,9.865619138415206e-40,1.105942756540746e-37
ENSMUSG00000073590,13.173271,2.01051,1.2505902240057895e-39,1.3970693903815544e-37
ENSMUSG00000028583,13.171596,1.8300252,1.2786678365098997e-39,1.4235100379904177e-37
ENSMUSG00000021939,13.15598,1.2668458,1.5723142509098236e-39,1.7384303284460158e-37
ENSMUSG00000026249,13.123108,0.49111736,2.4277086668003697e-39,2.6750366657901004e-37
ENSMUSG00000052188,13.095826,1.7494,3.478697059338719e-39,3.807109646127137e-37
ENSMUSG00000085715,13.0891285,1.5965533,3.799413147235384e-39,4.130102810050316e-37
ENSMUSG00000000202,13.066778,1.7165321,5.0979304991568777e-39,5.5045714436548425e-37
ENSMUSG00000063458,13.056619,1.75575,5.825853538975684e-39,6.269589383527666e-37
ENSMUSG00000041841,13.027692,1.2874861,8.514480758773212e-39,9.07227760056083e-37
ENSMUSG00000090137,12.998175,2.6629894,1.2529794334572113e-38,1.3263095412841333e-36
ENSMUSG00000029632,12.995526,1.1655681,1.2971224767859681e-38,1.3685489922560451e-36
ENSMUSG00000064368,12.951957,1.6049327,2.290410874009956e-38,2.3776821565084062e-36
ENSMUSG00000035674,12.918343,1.8301839,3.5469826482248415e-38,3.6703312435236865e-36
ENSMUSG00000061232,12.7562685,1.847813,2.876543844394472e-37,2.911260752861302e-35
ENSMUSG00000050288,12.751164,1.7225244,3.071233493777697e-37,3.0985866670816547e-35
ENSMUSG00000055447,12.735825,1.407285,3.7387325280207746e-37,3.748601853017103e-35
ENSMUSG00000026701,12.7125225,0.9398372,5.0382482615594305e-37,5.035908517784712e-35
ENSMUSG00000060143,12.522263,2.0430722,5.6404019818082964e-36,5.501521993434467e-34
ENSMUSG00000039375,12.500898,0.68166655,7.381237233860183e-36,7.13482766752024e-34
ENSMUSG00000029821,12.469216,1.2728832,1.0990203026276465e-35,1.0591603125472707e-33
ENSMUSG00000044080,12.414566,1.5306295,2.1786565930029124e-35,2.074865135843629e-33
ENSMUSG00000019437,12.405972,1.2979853,2.425518778960966e-35,2.30317275819867e-33
ENSMUSG00000016319,12.361119,1.5059063,4.242093577745823e-35,4.004561144956839e-33
ENSMUSG00000032383,12.321611,1.5812093,6.929529074048552e-35,6.484633221903116e-33
ENSMUSG00000041577,12.285791,2.0943618,1.079835680847218e-34,1.0046828517623179e-32
ENSMUSG00000039830,12.270573,1.7991393,1.3032887587430445e-34,1.209099930345379e-32
ENSMUSG00000030307,12.25684,0.1891216,1.544045867838646e-34,1.428353032755607e-32
