gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000097156,12.960557,1.5603174,2.0475649720986975e-38,9.443662160600922e-35
ENSMUSG00000095041,12.493361,6.183293,8.115081466046844e-36,2.6199540513132236e-32
ENSMUSG00000059974,11.912626,1.0878376,1.0172181739379297e-32,2.5262222111989277e-29
ENSMUSG00000022112,11.613797,1.7661883,3.5069030412402304e-31,6.66002145214358e-28
ENSMUSG00000021268,11.545225,2.8222766,7.803683521821903e-31,1.3260101184316849e-27
ENSMUSG00000092341,10.704955,0.99965256,9.647727115845917e-27,1.0382562331169515e-23
ENSMUSG00000033981,9.533434,3.0505166,1.5216456403383864e-21,9.63261362712251e-19
ENSMUSG00000027273,9.233373,5.6431584,2.6224237469448043e-20,1.5393627394566e-17
ENSMUSG00000029673,9.103557,2.9948554,8.742121935573409e-20,4.9515685384208333e-17
ENSMUSG00000050587,8.882085,1.6278312,6.561885320062319e-19,3.416943025132451e-16
ENSMUSG00000093497,8.737614,4.3128657,2.3808508079466494e-18,1.130378946096435e-15
ENSMUSG00000075415,8.684475,2.0749774,3.804949990973961e-18,1.7803305863564398e-15
ENSMUSG00000097023,8.37835,2.4522624,5.3674518303800475e-17,2.2504958745950626e-14
ENSMUSG00000032826,8.315388,0.8967898,9.145258240155821e-17,3.7374007883978567e-14
ENSMUSG00000037697,8.220393,1.2382922,2.0283776131254037e-16,7.964906512112866e-14
ENSMUSG00000021219,8.044701,1.7292657,8.645676456144357e-16,3.1013962709624507e-13
ENSMUSG00000055430,7.84213,3.0995696,4.429664382728508e-15,1.4897053603790611e-12
ENSMUSG00000008658,7.7700896,4.203975,7.843066409370599e-15,2.5577111012780787e-12
ENSMUSG00000037266,7.7216516,2.3466167,1.1483181796514488e-14,3.7073452430047024e-12
ENSMUSG00000049336,7.667929,4.4058075,1.7479537225055358e-14,5.532616267754041e-12
ENSMUSG00000035131,7.639852,3.207435,2.174714419005699e-14,6.816568448310582e-12
ENSMUSG00000052372,7.577538,1.5819569,3.5217439554765486e-14,1.0626121832014989e-11
ENSMUSG00000022377,7.5197625,2.1762984,5.4875806328879323e-14,1.6106049157526082e-11
ENSMUSG00000044349,7.517169,2.099153,5.597511055861464e-14,1.6280688688152015e-11
ENSMUSG00000035864,7.3451724,4.1820464,2.0549406364190152e-13,5.622352410744738e-11
ENSMUSG00000026657,7.2253423,1.3079774,4.998413658561226e-13,1.3227359423495835e-10
ENSMUSG00000032036,7.1680207,2.8957503,7.608968107627847e-13,1.9652442828381203e-10
ENSMUSG00000022197,7.161407,4.2189097,7.985323030048547e-13,2.0141105783212293e-10
ENSMUSG00000041014,7.1495404,3.9931514,8.706878373194901e-13,2.1790819246402898e-10
ENSMUSG00000060882,7.1012974,1.1815411,1.2359116885399576e-12,3.069339143424041e-10
ENSMUSG00000112437,7.0443,3.7814918,1.863959114038204e-12,4.593734350894917e-10
ENSMUSG00000062209,7.0347033,0.9288628,1.996853078694661e-12,4.883969821640691e-10
ENSMUSG00000063511,6.996219,2.3236833,2.6296240276551316e-12,6.335627741257158e-10
ENSMUSG00000027309,6.9471326,0.9344097,3.7278494044228214e-12,8.915082816428948e-10
ENSMUSG00000020863,6.907546,2.1060045,4.9310912467392016e-12,1.1705903007424642e-09
ENSMUSG00000096054,6.8929887,1.1678962,5.463221477993321e-12,1.278116705920394e-09
ENSMUSG00000055421,6.7629457,0.9430045,1.3521385927592741e-11,3.052712899806515e-09
ENSMUSG00000063458,6.7385,3.4927218,1.600301639440165e-11,3.5878985020365087e-09
ENSMUSG00000034755,6.6592293,3.8153026,2.7526746280913024e-11,6.086993175885459e-09
ENSMUSG00000086600,6.6251216,2.6398873,3.4696229769180706e-11,7.418329656278139e-09
ENSMUSG00000028248,6.592473,0.9672841,4.3255947533917065e-11,9.187620171924424e-09
ENSMUSG00000030657,6.5028925,1.3648766,7.879019313839367e-11,1.6306034522263076e-08
ENSMUSG00000031626,6.445636,3.2937171,1.1511677647094645e-10,2.3522437521294345e-08
ENSMUSG00000090386,6.422811,0.7262595,1.3378052010530484e-10,2.6994400572498543e-08
ENSMUSG00000039419,6.405109,3.1405027,1.5026212904935287e-10,2.994575824912566e-08
ENSMUSG00000039375,6.395188,2.6175928,1.603500900890408e-10,3.15664796251505e-08
ENSMUSG00000054728,6.3869853,2.7257748,1.6918800469057752e-10,3.297483619018068e-08
ENSMUSG00000029108,6.386661,1.5924534,1.695469353436578e-10,3.297483619018068e-08
ENSMUSG00000020121,6.3399415,1.7659091,2.2985242639540557e-10,4.4171342774855174e-08
ENSMUSG00000052581,6.2524033,3.7188563,4.041841431711848e-10,7.499474173725114e-08
ENSMUSG00000028634,6.219398,3.4843924,4.990656532738238e-10,9.207048351968801e-08
ENSMUSG00000026825,6.21327,3.6470392,5.189303364228174e-10,9.519128358756057e-08
ENSMUSG00000045083,6.195698,3.485486,5.802732581705248e-10,1.0584249796630166e-07
ENSMUSG00000021010,6.179617,0.5368865,6.425737359341667e-10,1.1589660929963447e-07
ENSMUSG00000022961,6.170993,0.576115,6.786256624720893e-10,1.2038148084017253e-07
ENSMUSG00000049690,6.102259,1.7475607,1.0457976709290578e-09,1.7864326881452188e-07
ENSMUSG00000028524,6.0951586,2.7188282,1.0932899262142346e-09,1.85772975093824e-07
ENSMUSG00000020704,6.075219,1.9826146,1.238183548790963e-09,2.0820185350373044e-07
ENSMUSG00000045103,6.0415335,1.3271854,1.526564622948771e-09,2.540471074840261e-07
ENSMUSG00000020181,5.9926414,3.091212,2.0645953160578325e-09,3.3664373625720767e-07
ENSMUSG00000021221,5.9894643,3.1780388,2.1053335781044863e-09,3.4156127924172534e-07
ENSMUSG00000116305,5.978149,2.832253,2.2568705192396172e-09,3.6250280952065193e-07
ENSMUSG00000021097,5.9213142,2.7088473,3.193791247642656e-09,4.970989066251117e-07
ENSMUSG00000036019,5.9208603,1.3287549,3.2026195625839625e-09,4.970989066251117e-07
ENSMUSG00000003847,5.9168077,1.8243726,3.2825041560723063e-09,5.070605104248536e-07
ENSMUSG00000001472,5.9092855,2.1585839,3.435942750748321e-09,5.282352938471883e-07
ENSMUSG00000026610,5.870996,3.5741937,4.33185107646465e-09,6.47471351868802e-07
ENSMUSG00000029088,5.8180513,2.813706,5.953758767208721e-09,8.697606416259437e-07
ENSMUSG00000040037,5.814388,1.6502446,6.0856192218764615e-09,8.850189935958629e-07
ENSMUSG00000028649,5.781188,0.4597035,7.417490067723456e-09,1.0690788698055882e-06
ENSMUSG00000032238,5.778465,0.5770751,7.538536419418123e-09,1.0767197006356198e-06
ENSMUSG00000096768,5.744973,3.0732107,9.193554862685308e-09,1.2961306495274898e-06
ENSMUSG00000027620,5.7066507,0.91981834,1.1522076239180523e-08,1.5965245982057646e-06
ENSMUSG00000029381,5.6885595,3.9855313,1.2811535594187212e-08,1.767608660933052e-06
ENSMUSG00000020661,5.6785736,2.228694,1.3582242142641782e-08,1.8580622354880932e-06
ENSMUSG00000022987,5.673419,2.9875727,1.3997547914641928e-08,1.9067967697224246e-06
ENSMUSG00000061080,5.6580834,0.5520655,1.5307277191036166e-08,2.0764514458512714e-06
ENSMUSG00000025551,5.6184316,1.0804081,1.9269843639199255e-08,2.5814394269358834e-06
ENSMUSG00000097623,5.6031938,2.6081865,2.1043788603505315e-08,2.795879485860778e-06
ENSMUSG00000064115,5.596677,0.47683325,2.1849934141411898e-08,2.8792862194101353e-06
ENSMUSG00000028957,5.5935645,2.4976525,2.2245459921834836e-08,2.9076707432244442e-06
ENSMUSG00000052572,5.5350113,2.4974256,3.112086738523953e-08,4.002937065866368e-06
ENSMUSG00000022974,5.523858,3.0701642,3.3163541056809786e-08,4.182362980543375e-06
ENSMUSG00000026576,5.504016,2.8430836,3.712357107219666e-08,4.64548252738709e-06
ENSMUSG00000043384,5.4767494,1.7513762,4.332097632786299e-08,5.338235575362811e-06
ENSMUSG00000068205,5.453049,2.477575,4.951332228627623e-08,6.05506670459253e-06
ENSMUSG00000040430,5.4465003,0.68333316,5.137054921060226e-08,6.258483702884128e-06
ENSMUSG00000045095,5.442545,2.469627,5.2524758180030955e-08,6.375044427978569e-06
ENSMUSG00000030516,5.4227676,1.4755535,5.868326920412004e-08,7.0430830715799834e-06
ENSMUSG00000032356,5.4220867,2.7154696,5.8907283092825084e-08,7.043783832043919e-06
ENSMUSG00000014592,5.4170938,1.7181122,6.057555891872862e-08,7.216538449044847e-06
ENSMUSG00000035954,5.412814,0.98684216,6.20418675898798e-08,7.3640503497767255e-06
ENSMUSG00000037736,5.3829865,1.2938136,7.326010645150391e-08,8.56957440864784e-06
ENSMUSG00000033569,5.371055,0.75363195,7.827724810233433e-08,9.090578974762101e-06
ENSMUSG00000087259,5.3533854,1.9070958,8.632370207448351e-08,9.918009684963346e-06
ENSMUSG00000024109,5.330042,0.48106244,9.819011357150174e-08,1.1123044970722574e-05
ENSMUSG00000062825,5.3220987,1.1058533,1.0257693968129878e-07,1.1579358383254304e-05
ENSMUSG00000021318,5.304656,1.838577,1.1288579309112036e-07,1.256730286188559e-05
ENSMUSG00000068742,5.3019648,2.6037269,1.1456292758126064e-07,1.2710185968938144e-05
ENSMUSG00000025959,5.2490206,1.9261218,1.5291015961964278e-07,1.6621900684579686e-05
ENSMUSG00000024238,5.241174,1.1238784,1.5955785675802578e-07,1.722851306164837e-05
ENSMUSG00000042246,5.234982,2.1707027,1.6500108638808673e-07,1.7707196074584444e-05
ENSMUSG00000034187,5.2348847,2.664072,1.6508799809353935e-07,1.7707196074584444e-05
ENSMUSG00000031925,5.2173443,0.9843881,1.8150648491346745e-07,1.9403764455070518e-05
ENSMUSG00000074415,5.204246,0.6621195,1.9478564297121574e-07,2.061853928959246e-05
ENSMUSG00000033721,5.1925097,3.149443,2.0747819348539825e-07,2.1748160638558708e-05
ENSMUSG00000015305,5.125656,0.49530172,2.965030825601946e-07,3.0485993695719375e-05
ENSMUSG00000062980,5.1189127,2.9985964,3.073023132730825e-07,3.143750634374447e-05
ENSMUSG00000071424,5.115476,1.0330341,3.1295087481797977e-07,3.1772386772007786e-05
