gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000057863,5.195153,2.3515584,2.0455104480689506e-07,0.002201310160530202
ENSMUSG00000062997,4.9753585,4.9985657,6.512699513276544e-07,0.005256562594653331
ENSMUSG00000079641,4.9154143,1.9691632,8.859484671626383e-07,0.005720569252469155
ENSMUSG00000067288,4.835489,2.04547,1.3281873218482676e-06,0.007146754614311886
ENSMUSG00000007892,4.715601,1.5061159,2.4099851394387086e-06,0.011115195746682674
ENSMUSG00000034892,4.6356754,1.2466701,3.557739166195338e-06,0.014054155878325019
ENSMUSG00000057841,4.615694,1.834267,3.9178380952431525e-06,0.014054155878325019
ENSMUSG00000058600,4.515787,1.5530661,6.308197838007343e-06,0.01851456065455155
ENSMUSG00000057322,4.515787,1.7660643,6.308197838007343e-06,0.01851456065455155
ENSMUSG00000039001,4.4958057,1.4961193,6.930694841550221e-06,0.018646456913287406
ENSMUSG00000041841,4.455843,1.583998,8.35641130258116e-06,0.020752826069525596
ENSMUSG00000037742,4.41588,1.3238447,1.005996825446394e-05,0.02319900536395488
ENSMUSG00000038274,4.2959924,1.4668345,1.739136374749308e-05,0.037432011905854275
ENSMUSG00000008682,4.1960855,2.1449625,2.7156778902810894e-05,0.05157391805160293
ENSMUSG00000006333,4.1960855,1.5736547,2.7156778902810894e-05,0.05157391805160293
ENSMUSG00000049517,4.1361413,1.1758082,3.531945998674126e-05,0.05701443828359708
ENSMUSG00000058546,4.1361413,1.6642877,3.531945998674126e-05,0.05701443828359708
ENSMUSG00000071415,4.0961785,1.3741634,4.200257856318246e-05,0.06163878404147026
ENSMUSG00000028234,4.076197,1.3452697,4.5778176066647814e-05,0.06425862670920542
ENSMUSG00000046330,4.056216,1.3806609,4.987414745932324e-05,0.06709111878017711
ENSMUSG00000069516,4.0162535,1.3736049,5.913071450082952e-05,0.07636140470637123
ENSMUSG00000090137,3.9962718,7.3568606,6.434782767745786e-05,0.076943319132101
ENSMUSG00000008683,3.9762905,1.5391561,6.999860155977632e-05,0.07792775349508202
ENSMUSG00000064351,3.9363277,1.1824261,8.27379377214913e-05,0.08347482247932334
ENSMUSG00000046364,3.9363277,1.4019654,8.27379377214913e-05,0.08347482247932334
ENSMUSG00000060636,3.9163465,1.4988391,8.990103109353799e-05,0.08795317541984465
ENSMUSG00000090733,3.8963652,1.5853184,9.7647160177696e-05,0.09272172253932104
ENSMUSG00000040952,3.8763838,1.3497766,0.00010602043719133528,0.09779628042063598
ENSMUSG00000045128,3.836421,2.3351552,0.00012484032400497802,0.10334538103847989
ENSMUSG00000061983,3.836421,1.3826613,0.00012484032400497802,0.10334538103847989
ENSMUSG00000090862,3.8164396,2.73535,0.00013539117080313507,0.10769838994725288
ENSMUSG00000063316,3.7964582,3.0833158,0.00014677804422112827,0.10769838994725288
ENSMUSG00000025290,3.7964582,1.3150016,0.00014677804422112827,0.10769838994725288
ENSMUSG00000060802,3.7764769,1.9873182,0.0001590622838702787,0.11163751814678147
ENSMUSG00000078974,3.7664862,5.6681466,0.00016556119636641377,0.11353074194985562
ENSMUSG00000003429,3.7564955,1.1281204,0.0001723093187406822,0.11353074194985562
ENSMUSG00000028081,3.7564955,1.4377062,0.0001723093187406822,0.11353074194985562
ENSMUSG00000093674,3.6965516,1.0557454,0.00021854794642138723,0.14111640900428973
ENSMUSG00000029614,3.6765702,2.5401335,0.00023639088549608458,0.1496447007498253
ENSMUSG00000061477,3.646598,1.6462729,0.00026573506073497235,0.16187276294016192
ENSMUSG00000060126,3.6366074,0.95498073,0.0002762524734202989,0.16216020189771543
ENSMUSG00000030432,3.5966446,0.9024211,0.00032234830561655623,0.18257921134790384
ENSMUSG00000047675,3.5367007,1.3463069,0.00040515865578010586,0.21800912003101197
ENSMUSG00000025794,3.5367007,2.5729592,0.00040515865578010586,0.21800912003101197
ENSMUSG00000060938,3.5167193,1.0299991,0.0004369156344680799,0.22390192474288825
ENSMUSG00000052146,3.496738,1.420121,0.00047098433181007196,0.2339342946536642
ENSMUSG00000030579,3.4168124,0.93363166,0.0006335890926435386,0.29645541820284993
ENSMUSG00000060036,3.3768497,1.4132904,0.0007332109155480723,0.333404428288303
ENSMUSG00000050708,3.3768497,0.76138794,0.0007332109155480723,0.333404428288303
ENSMUSG00000027435,3.366859,4.2300787,0.0007602953346795273,0.34091854000178523
ENSMUSG00000017404,3.3368871,1.906155,0.0008472237915945454,0.36470160148839864
ENSMUSG00000060143,3.3368871,3.8335862,0.0008472237915945454,0.36470160148839864
ENSMUSG00000032518,3.3169057,2.05088,0.0009102034363757139,0.38665681504460425
ENSMUSG00000079435,3.2969244,2.3403237,0.0009774984172069637,0.3994751442978079
ENSMUSG00000016319,3.2969244,6.3783684,0.0009774984172069637,0.3994751442978079
ENSMUSG00000037805,3.2969244,2.7573555,0.0009774984172069637,0.3994751442978079
ENSMUSG00000028936,3.276943,1.486599,0.0010493757167869466,0.4182604323020564
ENSMUSG00000028843,3.276943,3.1193435,0.0010493757167869466,0.4182604323020564
ENSMUSG00000028998,3.2369802,2.776361,0.0012080178165950854,0.4642958953425278
ENSMUSG00000023170,3.2269895,6.7449236,0.001251000300597849,0.4751593494682536
ENSMUSG00000074129,3.2169988,0.7848812,0.0012953911003322357,0.475246609934389
ENSMUSG00000062006,3.2169988,0.794851,0.0012953911003322357,0.475246609934389
ENSMUSG00000024661,3.1970174,0.9744503,0.0013885649808087312,0.4981091156156654
ENSMUSG00000059291,3.1970174,0.9544127,0.0013885649808087312,0.4981091156156654
ENSMUSG00000020372,3.177036,2.5864577,0.0014878848914286608,0.5165200399975732
ENSMUSG00000064370,3.1370735,1.331743,0.0017064338399492382,0.5799180686606438
ENSMUSG00000044533,3.1170921,1.0037526,0.0018264452118545078,0.6017018741298243
ENSMUSG00000000740,3.0971107,2.0701203,0.0019541687626797853,0.6309033850311687
ENSMUSG00000073702,3.0371666,2.8069065,0.0023881339876309156,0.748552483404506
ENSMUSG00000030744,3.0171852,1.1054279,0.002551338226292063,0.7920187945753775
ENSMUSG00000026238,2.9972038,3.216135,0.002724683927258786,0.8145038943662029
ENSMUSG00000024608,2.9972038,0.663515,0.002724683927258786,0.8145038943662029
ENSMUSG00000086841,2.9572413,5.8002996,0.003104052048052325,0.8868523926669851
ENSMUSG00000025967,2.8972971,3.8495572,0.0037639310028684215,1.0
ENSMUSG00000037563,2.8773158,1.0568337,0.004010740444635593,1.0
ENSMUSG00000041453,2.8773158,1.3296295,0.004010740444635593,1.0
ENSMUSG00000017754,2.8573344,5.18171,0.00427215495652174,1.0
ENSMUSG00000012848,2.837353,0.7242198,0.004548928279293455,1.0
ENSMUSG00000047215,2.837353,0.894387,0.004548928279293455,1.0
ENSMUSG00000038717,2.8173716,2.1024942,0.004841845816537558,1.0
ENSMUSG00000009927,2.7973902,1.0813029,0.005151725520313304,1.0
ENSMUSG00000031029,2.7973902,4.4095507,0.005151725520313304,1.0
ENSMUSG00000073418,2.7873995,5.46801,0.005313290912217584,1.0
ENSMUSG00000003062,2.7873995,5.640399,0.005313290912217584,1.0
ENSMUSG00000037649,2.7574277,6.5961676,0.0058258112773758395,1.0
ENSMUSG00000031320,2.7574277,0.88251024,0.0058258112773758395,1.0
ENSMUSG00000025492,2.7574277,2.2185147,0.0058258112773758395,1.0
ENSMUSG00000048758,2.7574277,3.3273063,0.0058258112773758395,1.0
ENSMUSG00000063457,2.7374463,0.7233948,0.006191823911038984,1.0
ENSMUSG00000032399,2.7274556,2.6100805,0.006382485388038032,1.0
ENSMUSG00000008475,2.717465,4.768625,0.006578413612826374,1.0
ENSMUSG00000012405,2.7074742,1.5982256,0.0067797339763387265,1.0
ENSMUSG00000036751,2.7074742,3.702327,0.0067797339763387265,1.0
ENSMUSG00000038642,2.6974835,2.3195643,0.006986574229225571,1.0
ENSMUSG00000021486,2.6375394,5.168931,0.008350991292121994,1.0
ENSMUSG00000028691,2.6375394,3.3516042,0.008350991292121994,1.0
ENSMUSG00000058655,2.617558,4.85724,0.008856141433330007,1.0
ENSMUSG00000003873,2.617558,4.751997,0.008856141433330007,1.0
ENSMUSG00000064354,2.617558,0.7941092,0.008856141433330007,1.0
ENSMUSG00000029468,2.617558,2.6867163,0.008856141433330007,1.0
ENSMUSG00000061315,2.617558,3.1416254,0.008856141433330007,1.0
ENSMUSG00000031681,2.5775955,5.3117414,0.009949042401974854,1.0
ENSMUSG00000053332,2.5676048,3.0399299,0.010240386336387962,1.0
ENSMUSG00000065947,2.557614,4.0812926,0.010539300477043271,1.0
ENSMUSG00000024601,2.5476234,34.607693,0.010845950917060442,1.0
ENSMUSG00000039221,2.5176513,4.8709197,0.011814022097065648,1.0
ENSMUSG00000026223,2.5176513,4.0016165,0.011814022097065648,1.0
ENSMUSG00000046805,2.5076606,4.902553,0.012153333642290445,1.0
ENSMUSG00000029580,2.49767,0.93575007,0.012501253348332415,1.0
ENSMUSG00000104960,2.4776886,4.787681,0.01322365119844355,1.0
ENSMUSG00000025508,2.4776886,0.6646035,0.01322365119844355,1.0
ENSMUSG00000031532,2.4577072,3.8737926,0.013982712063133262,1.0
ENSMUSG00000020460,2.4377258,0.92538553,0.014779978292303281,1.0
ENSMUSG00000064357,2.4377258,0.5857844,0.014779978292303281,1.0
ENSMUSG00000008668,2.4377258,0.8572183,0.014779978292303281,1.0
ENSMUSG00000078671,2.4377258,4.775803,0.014779978292303281,1.0
ENSMUSG00000021357,2.4177444,5.9872575,0.015617038598230657,1.0
ENSMUSG00000025362,2.397763,1.3745191,0.016495528429460813,1.0
ENSMUSG00000043716,2.397763,0.8445613,0.016495528429460813,1.0
ENSMUSG00000030220,2.3877726,3.4768376,0.01695083335321364,1.0
ENSMUSG00000018293,2.3777819,2.7543693,0.017417130286899955,1.0
ENSMUSG00000031494,2.3777819,35.59114,0.017417130286899955,1.0
ENSMUSG00000058715,2.3677912,1.0041444,0.017894636936873477,1.0
ENSMUSG00000047843,2.3677912,1.2932332,0.017894636936873477,1.0
ENSMUSG00000062328,2.3578005,0.73546207,0.018383573978587642,1.0
ENSMUSG00000022841,2.337819,4.163788,0.01939663680960715,1.0
ENSMUSG00000020018,2.3178377,4.318899,0.02045814370357682,1.0
ENSMUSG00000098274,2.3178377,0.82047457,0.02045814370357682,1.0
ENSMUSG00000052102,2.3178377,4.664128,0.02045814370357682,1.0
ENSMUSG00000055762,2.307847,3.8895874,0.02100764699720933,1.0
ENSMUSG00000002602,2.2978563,4.3373036,0.02156996725215939,1.0
ENSMUSG00000018774,2.277875,1.6133966,0.02273402768903239,1.0
ENSMUSG00000001289,2.277875,2.8325357,0.02273402768903239,1.0
ENSMUSG00000067274,2.2578936,0.7089914,0.023952292784775946,1.0
ENSMUSG00000058558,2.2578936,0.8108969,0.023952292784775946,1.0
ENSMUSG00000032725,2.2379122,4.603234,0.025226777659162033,1.0
ENSMUSG00000024858,2.2279215,3.8293784,0.025885745119762396,1.0
ENSMUSG00000050856,2.2279215,3.2661574,0.025885745119762396,1.0
ENSMUSG00000006717,2.2179308,5.4978085,0.026559544507365477,1.0
ENSMUSG00000034940,2.2179308,4.4908986,0.026559544507365477,1.0
ENSMUSG00000057596,2.20794,4.710622,0.0272484408923059,1.0
ENSMUSG00000000838,2.20794,33.829178,0.0272484408923059,1.0
ENSMUSG00000051504,2.1979496,3.9274642,0.027952702236665395,1.0
ENSMUSG00000031453,2.187959,3.7004223,0.028672599377788186,1.0
ENSMUSG00000031231,2.1779683,4.6375427,0.029408406010268433,1.0
ENSMUSG00000056201,2.1579869,2.9058533,0.03092885669495621,1.0
ENSMUSG00000030894,2.1579869,3.122004,0.03092885669495621,1.0
ENSMUSG00000038690,2.1579869,3.5796201,0.03092885669495621,1.0
ENSMUSG00000038900,2.1380055,0.70964366,0.032516300209347634,1.0
ENSMUSG00000025208,2.1380055,4.432901,0.032516300209347634,1.0
ENSMUSG00000035242,2.1380055,2.1157696,0.032516300209347634,1.0
ENSMUSG00000038608,2.1380055,3.314512,0.032516300209347634,1.0
