gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000026385,5.226428,3.1036332,1.7281607855964266e-07,0.0012150786952964006
ENSMUSG00000071866,5.2224836,2.925653,1.7653927624743043e-07,0.0012150786952964006
ENSMUSG00000078974,5.21065,3.3214796,1.8818006741465086e-07,0.0012150786952964006
ENSMUSG00000035674,4.883259,4.671219,1.04346793769162e-06,0.0056147270613956584
ENSMUSG00000017778,4.745202,1.5548164,2.082981893091393e-06,0.009607010059779375
ENSMUSG00000021290,4.551923,3.5329936,5.315780617633082e-06,0.021452497155035506
ENSMUSG00000078771,4.5124784,5.9054275,6.407452088687039e-06,0.02298495452036234
ENSMUSG00000032562,4.3625884,1.998462,1.285327443842003e-05,0.03772436047676279
ENSMUSG00000050856,4.3625884,2.6542282,1.285327443842003e-05,0.03772436047676279
ENSMUSG00000019505,4.3389215,2.1697361,1.431837493494168e-05,0.03852239456454934
ENSMUSG00000029447,4.2994766,3.127345,1.712019416045721e-05,0.04251734372848932
ENSMUSG00000021520,4.212698,3.1754131,2.5233814247212777e-05,0.05819097806937604
ENSMUSG00000060636,4.1456423,1.350018,3.38862731451429e-05,0.07293455523272922
ENSMUSG00000029309,4.0904193,5.055588,4.305936643373829e-05,0.08604983308562529
ENSMUSG00000062006,4.078586,1.56648,4.531042782888741e-05,0.08604983308562529
ENSMUSG00000055839,4.0549192,1.842752,5.015162990454287e-05,0.08995252063712035
ENSMUSG00000035227,4.0154743,2.5592723,5.9326316867320876e-05,0.09576750700307272
ENSMUSG00000002985,3.944474,4.927673,7.997534471544309e-05,0.12295257162562286
ENSMUSG00000036199,3.9286962,2.3074043,8.540770378465592e-05,0.12533580530398258
ENSMUSG00000038274,3.8261397,1.5227422,0.00013016841837974638,0.17356578793074967
ENSMUSG00000021131,3.8221953,3.708458,0.000132268885645655,0.17356578793074967
ENSMUSG00000064370,3.818251,0.8872074,0.00013440126059373523,0.17356578793074967
ENSMUSG00000025499,3.7709172,3.9285467,0.00016264870216498397,0.20196589805371182
ENSMUSG00000042541,3.7393613,1.1564434,0.0001844884001883534,0.2206002962992959
ENSMUSG00000030805,3.6841388,4.0448933,0.00022947729071423262,0.25945606010515465
ENSMUSG00000027805,3.652583,0.72677433,0.00025961576071083687,0.2742666962104117
ENSMUSG00000090137,3.6486385,4.394596,0.0002636338579870398,0.2742666962104117
ENSMUSG00000040118,3.6407495,4.830502,0.0002718455715884521,0.2742666962104117
ENSMUSG00000064341,3.628916,1.0163541,0.00028461378183593667,0.2742977543003885
ENSMUSG00000034892,3.621027,1.0262752,0.0002934357832917298,0.2742977543003885
ENSMUSG00000002797,3.6131382,4.2074585,0.00030251342751932915,0.2742977543003885
ENSMUSG00000035048,3.5973601,3.9159725,0.00032146311525507943,0.2742977543003885
ENSMUSG00000002416,3.5894713,2.9325993,0.00033134930827675855,0.2742977543003885
ENSMUSG00000041841,3.5894713,1.0095725,0.00033134930827675855,0.2742977543003885
ENSMUSG00000025508,3.494804,1.4744694,0.000474410135871144,0.37356905455121664
ENSMUSG00000031765,3.471137,3.3893876,0.0005182593587251474,0.38027280446457695
ENSMUSG00000014313,3.471137,1.6016306,0.0005182593587251474,0.38027280446457695
ENSMUSG00000037742,3.4553592,0.8142158,0.0005495601728426697,0.394278892893902
ENSMUSG00000037072,3.4474702,1.2865235,0.0005658627507945827,0.3971495415087631
ENSMUSG00000037499,3.4395814,3.612463,0.0005826147904936576,0.40020677683165395
ENSMUSG00000056201,3.4238033,1.5086632,0.0006175127898712649,0.41534167543737055
ENSMUSG00000032383,3.4159145,2.4896023,0.0006356821547805505,0.41883670136918516
ENSMUSG00000042682,3.4080255,1.5407839,0.0006543478014982945,0.42251237542744874
ENSMUSG00000024145,3.3922477,4.271978,0.000693217661828312,0.4345971707597778
ENSMUSG00000044080,3.3843586,1.6566497,0.0007134474229601432,0.4345971707597778
ENSMUSG00000073616,3.3764696,2.1236012,0.0007342245710692201,0.435595325098691
ENSMUSG00000041881,3.3725252,1.7621073,0.0007448226174269733,0.435595325098691
ENSMUSG00000024395,3.3685808,1.040045,0.000755562589609004,0.435595325098691
ENSMUSG00000090733,3.3488584,1.6723057,0.0008114525895452052,0.44818111726480964
ENSMUSG00000036057,3.3409693,3.9809816,0.000834864118275243,0.44818111726480964
ENSMUSG00000097097,3.337025,5.493906,0.0008468034118988194,0.44818111726480964
