gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,24.112747,5.002157,1.8373845427776753e-128,5.931995996357725e-124
ENSMUSG00000060143,22.289833,2.386533,4.637088475438175e-110,4.9902800476507155e-106
ENSMUSG00000062997,21.536427,1.7272367,7.09745062593061e-103,5.728529836454244e-99
ENSMUSG00000090733,18.658123,1.1875559,1.0847314409924848e-77,7.004110914488474e-74
ENSMUSG00000039221,18.2335,0.994145,2.7982370236076823e-74,1.505684705119567e-70
ENSMUSG00000041841,18.15763,1.0034931,1.1174201062643724e-73,5.153701161535038e-70
ENSMUSG00000079641,17.956253,1.1350628,4.28796777164103e-72,1.7304629938428831e-68
ENSMUSG00000057322,17.787815,1.0127676,8.783870236244701e-71,3.150969450857335e-67
ENSMUSG00000057863,17.568645,1.2223133,4.2827705131181795e-69,1.3826924601602043e-65
ENSMUSG00000007892,17.277338,0.93737274,6.969199678094645e-67,2.0454601055207782e-63
ENSMUSG00000035885,17.088871,0.91999733,1.7961841037091807e-65,4.832483649020908e-62
ENSMUSG00000046330,16.84313,0.9837243,1.178357912458947e-63,2.9264065541336235e-60
ENSMUSG00000039001,16.721695,1.0053707,9.109268459270346e-63,2.1006623729110225e-59
ENSMUSG00000028998,16.053854,1.5801992,5.3721441262117875e-58,1.0839979569671723e-54
ENSMUSG00000071528,15.822518,1.2045107,2.176113725263246e-56,4.1326959776543473e-53
ENSMUSG00000079523,15.770811,1.0134034,4.9411515038232295e-56,8.862504238940719e-53
ENSMUSG00000030654,15.410176,1.2009317,1.3983002552325532e-53,2.1497201781039516e-50
ENSMUSG00000030432,15.253388,1.0756958,1.5630617749953754e-52,2.2937931548057134e-49
ENSMUSG00000017778,15.221595,0.92286366,2.5425598333557675e-52,3.568980183473519e-49
ENSMUSG00000058546,15.168625,1.0536155,5.705997384213751e-52,7.675755231222539e-49
ENSMUSG00000037742,15.050288,0.9334329,3.437352162227758e-51,4.438996582300927e-48
ENSMUSG00000025290,14.860903,0.7653197,5.91227060070719e-50,7.087735193318173e-47
ENSMUSG00000070858,14.860731,1.6927478,5.927484906910041e-50,7.087735193318173e-47
ENSMUSG00000047215,14.832496,0.79607254,9.031216238406648e-50,1.0413314866319952e-46
ENSMUSG00000067288,14.8110895,0.90533245,1.2421102488293697e-49,1.3828113580502137e-46
ENSMUSG00000024661,14.728047,0.8553653,4.258355916811191e-49,4.582700692474977e-46
ENSMUSG00000037152,14.724775,1.3029011,4.469498339743014e-49,4.654766254793652e-46
ENSMUSG00000034892,14.695564,0.7341295,6.882246267539403e-49,6.943541273359676e-46
ENSMUSG00000079435,14.639266,1.0594229,1.57762877969226e-48,1.543446822798928e-45
ENSMUSG00000062328,14.6077585,0.855793,2.506273056542316e-48,2.3798536950137846e-45
ENSMUSG00000062006,14.521215,0.903755,8.891890013378353e-48,8.202133402340575e-45
ENSMUSG00000014313,14.495563,1.0987747,1.2923861838999675e-47,1.1590191096447346e-44
ENSMUSG00000041453,14.479838,0.79093176,1.624792061495294e-47,1.4177408569020425e-44
ENSMUSG00000059361,14.451717,0.9337822,2.4451202542102747e-47,2.0773870370310188e-44
ENSMUSG00000003429,14.290396,0.89313763,2.5117674786511397e-46,2.079292642262873e-43
ENSMUSG00000035640,14.283796,0.9913561,2.7613943473983327e-46,2.228790412643879e-43
ENSMUSG00000035242,14.247699,0.6806338,4.633001817094648e-46,3.6482064308512364e-43
ENSMUSG00000093674,14.190596,0.6147556,1.0476440262694542e-45,8.053139854311746e-43
ENSMUSG00000009927,14.063708,0.873808,6.347115944767686e-45,4.76550321574011e-42
ENSMUSG00000032330,13.821411,1.1490077,1.893229352295492e-43,1.3891570372468174e-40
ENSMUSG00000073702,13.8041935,0.9586522,2.404470858655744e-43,1.7250742593711265e-40
ENSMUSG00000016252,13.771195,1.1591239,3.798767775451013e-43,2.6661569050094773e-40
ENSMUSG00000060636,13.714953,0.7282524,8.261930259042979e-43,5.675242944961757e-40
ENSMUSG00000046364,13.670878,0.7490311,1.5155427234069968e-42,1.0193603505248935e-39
ENSMUSG00000044792,13.638855,3.0767837,2.3522381195820868e-42,1.5498368916470954e-39
ENSMUSG00000031760,13.602528,2.0830183,3.868284243554445e-42,2.497751136063105e-39
ENSMUSG00000045128,13.452857,1.0430351,2.9620446406779587e-41,1.8750904161625077e-38
ENSMUSG00000025362,13.398279,0.8938626,6.188120206876158e-41,3.8419896322883993e-38
ENSMUSG00000060803,13.355984,3.9402714,1.0930497632733262e-40,6.658322944769686e-38
ENSMUSG00000037805,13.3126545,1.1721187,1.9541343687375017e-40,1.16831903879056e-37
ENSMUSG00000014294,13.254117,1.1187451,4.271120901397388e-40,2.5071479691202667e-37
ENSMUSG00000008682,13.1936865,1.0374149,9.540330277456458e-40,5.500170767994317e-37
ENSMUSG00000027805,13.187718,1.2073734,1.0326403573124386e-39,5.848911216812646e-37
ENSMUSG00000038717,13.121262,1.1567295,2.4876033179728034e-39,1.3846943641508958e-36
ENSMUSG00000038690,13.008549,1.1994792,1.0940024014276498e-38,5.986418225439267e-36
ENSMUSG00000055839,12.93113,1.1486095,3.003698412412035e-38,1.5921195504125395e-35
ENSMUSG00000023089,12.931016,1.547864,3.008186234324451e-38,1.5921195504125395e-35
ENSMUSG00000057841,12.899508,0.775432,4.529746900802273e-38,2.358756107941958e-35
ENSMUSG00000004267,12.864616,1.32408,7.119467291739057e-38,3.6484444684729436e-35
ENSMUSG00000031840,12.812449,1.1340767,1.396556309016048e-37,7.044971943216111e-35
ENSMUSG00000047675,12.742205,0.64341664,3.4451888769781825e-37,1.7111988137421634e-34
ENSMUSG00000060938,12.711559,0.6786382,5.100733992165851e-37,2.4951090445011287e-34
ENSMUSG00000113902,12.705533,1.1149788,5.509275060493547e-37,2.6547305272840917e-34
ENSMUSG00000061983,12.647512,0.73212487,1.154732828277567e-36,5.482433729550184e-34
ENSMUSG00000025508,12.600683,0.7421503,2.0932455508544776e-36,9.79426559555606e-34
ENSMUSG00000016349,12.597527,1.4909768,2.1787061338365376e-36,1.0048503932987516e-33
ENSMUSG00000017466,12.596321,0.8835212,2.2122435674506497e-36,1.0059476559879467e-33
ENSMUSG00000012405,12.531357,0.9329172,5.0294989944876906e-36,2.2552413199588206e-33
ENSMUSG00000016427,12.526249,1.8550847,5.364030910279167e-36,2.3722977799775744e-33
ENSMUSG00000070394,12.488028,2.593017,8.677839618967325e-36,3.786000704031893e-33
ENSMUSG00000029614,12.477526,0.7950179,9.901642242179917e-36,4.2623269305170485e-33
ENSMUSG00000026797,12.4671955,0.7245776,1.1272419146732668e-35,4.7885533177929494e-33
ENSMUSG00000017404,12.4577265,0.64361537,1.2693870875071487e-35,5.3223587169049726e-33
ENSMUSG00000025794,12.441083,0.76615137,1.5636900989044116e-35,6.472273697837043e-33
ENSMUSG00000038274,12.434139,0.72871554,1.7056868672733163e-35,6.970645634166964e-33
ENSMUSG00000058600,12.43081,0.6907153,1.7782233407764387e-35,7.176242569620915e-33
ENSMUSG00000022577,12.362402,0.9495691,4.1749031092625614e-35,1.6640339121301456e-32
ENSMUSG00000061477,12.299045,0.76179546,9.16517820786375e-35,3.6085094931814775e-32
ENSMUSG00000028234,12.261856,0.7873841,1.4513647179472376e-34,5.586159111843046e-32
ENSMUSG00000035530,12.261742,0.57375914,1.4534222251659155e-34,5.586159111843046e-32
ENSMUSG00000031818,12.212157,1.0368466,2.6769600944518792e-34,1.0167724311691638e-31
ENSMUSG00000024423,12.205041,0.63749516,2.9216160666345985e-34,1.096795054782535e-31
ENSMUSG00000033307,12.127164,1.8027048,7.5830646886651575e-34,2.8140142927994783e-31
ENSMUSG00000037499,12.059559,1.4246867,1.7270512760316222e-33,6.336119368941014e-31
ENSMUSG00000063457,12.020133,0.79524326,2.785242294687934e-33,9.998224769300285e-31
ENSMUSG00000043716,12.020075,0.9801576,2.7871774174911744e-33,9.998224769300285e-31
ENSMUSG00000034891,11.94765,2.1851,6.678720930516505e-33,2.3694780795793997e-30
ENSMUSG00000033475,11.907879,1.1403482,1.0768143411035142e-32,3.7787990220137995e-30
ENSMUSG00000055430,11.842628,0.40573338,2.349743606727592e-32,8.15714756378498e-30
ENSMUSG00000022285,11.830116,0.5684257,2.7276267827174565e-32,9.368237306386498e-30
ENSMUSG00000061315,11.789599,0.8347725,4.416349340132738e-32,1.500861457328268e-29
ENSMUSG00000001289,11.779843,0.78213066,4.958501876675186e-32,1.667554511338108e-29
ENSMUSG00000008683,11.750288,0.74883723,7.037852301273402e-32,2.3424439334702247e-29
ENSMUSG00000019505,11.74673,0.8326757,7.340481776366659e-32,2.4182393280612e-29
ENSMUSG00000086503,11.743746,0.80842507,7.604237485552288e-32,2.4798263355662185e-29
ENSMUSG00000041571,11.707246,0.61394054,1.1701893512568383e-31,3.7779563205327026e-29
ENSMUSG00000023175,11.6964,1.405128,1.3297675608684878e-31,4.2506480893702104e-29
ENSMUSG00000001175,11.669943,0.5461709,1.8154476843312176e-31,5.746247891042485e-29
ENSMUSG00000050856,11.65881,1.0609579,2.0691516054228204e-31,6.485685396220947e-29
ENSMUSG00000018451,11.617719,0.7129278,3.3496100678214065e-31,1.039828471534751e-28
ENSMUSG00000093904,11.616513,0.93788683,3.3971840305040103e-31,1.0445532040459234e-28
ENSMUSG00000035674,11.578006,1.9626621,5.327113593642548e-31,1.62250813557311e-28
ENSMUSG00000084786,11.568594,1.1042329,5.9449206880012515e-31,1.7937548075899103e-28
