gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,23.223492,3.5414152,2.636743716138403e-119,8.512727087552835e-115
ENSMUSG00000024758,15.205865,0.631377,3.233319960040116e-52,1.159863721221057e-48
ENSMUSG00000026797,13.645666,0.69571364,2.1424750810324606e-42,4.068812234772529e-39
ENSMUSG00000044349,13.420854,0.39592254,4.564246080623464e-41,8.186482484051585e-38
ENSMUSG00000021939,13.187005,0.9708993,1.0424471162499407e-39,1.7713371130594386e-36
ENSMUSG00000004207,13.014358,0.86358273,1.0139184797674182e-38,1.558778958061481e-35
ENSMUSG00000051853,12.737415,0.7354832,3.663315027775435e-37,4.730805026869197e-34
ENSMUSG00000022285,12.447261,0.5190902,1.4472697371121914e-35,1.6112104642298998e-32
ENSMUSG00000026959,11.9782295,0.94538766,4.620880959100933e-33,4.1440317156826006e-30
ENSMUSG00000025203,11.884375,1.4234757,1.42698448555913e-32,1.2451403815209869e-29
ENSMUSG00000052459,11.836387,0.71336484,2.5312482126726695e-32,2.150561803845714e-29
ENSMUSG00000046434,11.516043,0.90490645,1.0952601917224911e-30,8.41916078327634e-28
ENSMUSG00000027273,11.480925,0.6209285,1.6451133013034233e-30,1.2351740216879307e-27
ENSMUSG00000030654,11.438139,0.72340953,2.696055841907833e-30,1.9782309739998726e-27
ENSMUSG00000020297,11.335557,0.5483404,8.747399989339238e-30,6.1393436664308105e-27
ENSMUSG00000027438,11.183274,1.4490364,4.9238917342587806e-29,3.244241727358056e-26
ENSMUSG00000073590,11.166264,3.0792618,5.963740197738845e-29,3.850787045679972e-26
ENSMUSG00000040035,11.010216,0.83362126,3.411853536099767e-28,2.118301757941942e-25
ENSMUSG00000023004,10.816723,1.0154274,2.8685207064081354e-27,1.6302086932427823e-24
ENSMUSG00000026825,10.816415,0.85539526,2.8781754844304968e-27,1.6302086932427823e-24
ENSMUSG00000022199,10.68823,0.7209783,1.1555607638806358e-26,6.3232676715061576e-24
ENSMUSG00000045095,10.486589,0.81050825,9.955707727018783e-26,5.022187874481272e-23
ENSMUSG00000002265,10.47728,0.3924797,1.098583682839661e-25,5.456580646227454e-23
ENSMUSG00000024423,10.448596,0.48408398,1.487100012840236e-25,7.165824464857764e-23
ENSMUSG00000028833,10.3671665,1.5091529,3.4974033484681036e-25,1.660495104489599e-22
ENSMUSG00000017390,10.307438,2.6094847,6.5216511007394895e-25,3.051471098367745e-22
ENSMUSG00000026123,10.265201,0.8835825,1.0111077569602094e-24,4.533835268536161e-22
ENSMUSG00000102869,10.13859,0.47969717,3.724378910300215e-24,1.5415586297313134e-21
ENSMUSG00000026223,10.092792,0.5790535,5.9453976738425834e-24,2.3993395487500975e-21
ENSMUSG00000025630,10.050999,1.3374391,9.094068111232449e-24,3.5805120606236534e-21
ENSMUSG00000046785,9.944036,0.77235645,2.677555545648868e-23,1.0051730324566709e-20
ENSMUSG00000030704,9.880884,0.55756384,5.0386459554713445e-23,1.827782973847105e-20
ENSMUSG00000058254,9.871231,0.6089178,5.547921807678514e-23,1.9901628395655648e-20
ENSMUSG00000021577,9.861374,0.9038389,6.120616561609861e-23,2.1714736889183998e-20
ENSMUSG00000004267,9.84864,0.7833947,6.947716212627646e-23,2.438119760050908e-20
ENSMUSG00000021087,9.770702,0.28613374,1.504051880603962e-22,5.006011852092671e-20
ENSMUSG00000000792,9.671304,2.672669,3.9926011339710204e-22,1.3020315920227716e-19
ENSMUSG00000064358,9.604832,0.38977584,7.628231328926077e-22,2.462774484543784e-19
ENSMUSG00000056851,9.601375,0.63817644,7.888509292520385e-22,2.5215893317724813e-19
ENSMUSG00000045193,9.4975605,1.563243,2.1486562330544867e-21,6.606606331825152e-19
ENSMUSG00000029405,9.491946,0.61829513,2.2675950289161203e-21,6.90653825552424e-19
ENSMUSG00000022973,9.470006,0.5505084,2.7982706255987834e-21,8.365015476616363e-19
ENSMUSG00000034891,9.377897,1.5692894,6.730128216840204e-21,1.9574972025287026e-18
ENSMUSG00000022456,9.362255,0.7305169,7.805259942991638e-21,2.2499358683882593e-18
ENSMUSG00000029651,9.315499,1.8664881,1.2138039077272566e-20,3.3782464793943514e-18
ENSMUSG00000090101,9.299823,2.2829876,1.4068021697567462e-20,3.8819323120167994e-18
ENSMUSG00000038486,9.282572,0.5717435,1.6543673467676627e-20,4.5263771008808465e-18
ENSMUSG00000096768,9.276136,1.6979784,1.75735348270314e-20,4.767744301602595e-18
ENSMUSG00000072825,9.258715,1.6013986,2.0690859851498252e-20,5.5667034192135085e-18
ENSMUSG00000022463,9.256284,1.566725,2.1167066227873578e-20,5.6014650259581845e-18
ENSMUSG00000036699,9.22452,0.73360896,2.8483346095157866e-20,7.476299420180257e-18
ENSMUSG00000022389,9.187724,1.6877491,4.0123869533738156e-20,1.0363193023173892e-17
ENSMUSG00000032193,9.11208,2.643527,8.081756396299582e-20,2.0544842933427718e-17
ENSMUSG00000062825,9.086614,0.5133867,1.0217146857183093e-19,2.5770358303449702e-17
ENSMUSG00000059361,9.07347,0.48024306,1.1528556845262062e-19,2.885267114335548e-17
ENSMUSG00000068923,9.040679,0.4056682,1.5570110948508862e-19,3.8372597860504475e-17
ENSMUSG00000035847,9.028871,0.67650133,1.7345268607371295e-19,4.2423636135528954e-17
ENSMUSG00000017466,9.015658,0.5466618,1.956914013945776e-19,4.7502984165593514e-17
ENSMUSG00000034825,8.996456,2.4600866,2.3312084997479395e-19,5.616646747340464e-17
ENSMUSG00000019877,8.971812,0.41321814,2.9167641766647203e-19,6.97538751434226e-17
ENSMUSG00000022564,8.957812,0.7482276,3.3118334037584143e-19,7.861951576495619e-17
ENSMUSG00000019923,8.923002,0.410677,4.53816078945056e-19,1.0543872317020961e-16
ENSMUSG00000110185,8.881757,1.6991503,6.581254379716816e-19,1.506920550703244e-16
ENSMUSG00000030058,8.769248,1.2168424,1.79863271356848e-18,3.97731898339441e-16
ENSMUSG00000027546,8.732452,0.7182517,2.4920869790280367e-18,5.363801874528011e-16
ENSMUSG00000040907,8.670259,0.4209671,4.311363073562751e-18,9.21803687615718e-16
ENSMUSG00000020340,8.604883,0.6567738,7.639441370069931e-18,1.6226273988993929e-15
ENSMUSG00000058297,8.578767,0.39109942,9.589543722081955e-18,2.0027647532057743e-15
ENSMUSG00000041329,8.552,1.5104795,1.2097328870823636e-17,2.5036042474009048e-15
ENSMUSG00000025855,8.547106,0.36465323,1.2621347896330917e-17,2.5954153938410426e-15
ENSMUSG00000001847,8.542656,0.679218,1.3117131409506908e-17,2.6745089711405646e-15
ENSMUSG00000007564,8.495318,0.6461619,1.973913341510422e-17,3.885840989674633e-15
ENSMUSG00000020532,8.493128,0.9988624,2.0114921948851257e-17,3.935819727991896e-15
ENSMUSG00000058793,8.453628,0.5584546,2.8238794863986414e-17,5.394612379785807e-15
ENSMUSG00000031604,8.388936,1.9062196,4.9056015119930436e-17,9.154759815878347e-15
ENSMUSG00000022415,8.384555,0.9342715,5.091795553596253e-17,9.447621807347989e-15
ENSMUSG00000035640,8.357686,0.507244,6.396050699074953e-17,1.1799799818264849e-14
ENSMUSG00000027301,8.3271885,2.584211,8.278499592247286e-17,1.5100076798627324e-14
ENSMUSG00000043388,8.315105,0.330686,9.167053273993696e-17,1.6626871626454295e-14
ENSMUSG00000034187,8.282966,0.5956448,1.2014551226414615e-16,2.1430374936176567e-14
ENSMUSG00000060681,8.237578,1.3260837,1.7573121611339767e-16,3.083414300120132e-14
ENSMUSG00000018411,8.230972,0.3814816,1.8569993541077373e-16,3.240714818776665e-14
ENSMUSG00000034723,8.16231,0.38230985,3.286770415386498e-16,5.6443288755719734e-14
ENSMUSG00000005873,8.113227,0.4924387,4.929303321044838e-16,8.288674881246489e-14
ENSMUSG00000093930,8.084201,1.4215508,6.257311306151275e-16,1.0359861308671483e-13
ENSMUSG00000036564,8.080573,0.4373861,6.446332070803347e-16,1.0618358719688065e-13
ENSMUSG00000003363,7.984562,0.86966574,1.4102210825275256e-15,2.2764493824700584e-13
ENSMUSG00000029580,7.961184,0.66804445,1.7040073817431995e-15,2.7100432669743447e-13
ENSMUSG00000002625,7.9534483,1.0374292,1.8139034700054924e-15,2.8706800749572216e-13
ENSMUSG00000020456,7.9371214,0.94798446,2.069274033898011e-15,3.22736773837668e-13
ENSMUSG00000013921,7.9316792,0.7313033,2.162024447951022e-15,3.339758818282237e-13
ENSMUSG00000040097,7.8281727,0.6549855,4.9501265450108765e-15,7.364738963395214e-13
ENSMUSG00000040722,7.809621,0.8999872,5.736036382638027e-15,8.494859385938932e-13
ENSMUSG00000030327,7.8073616,0.71815014,5.839755479048816e-15,8.608972860323791e-13
ENSMUSG00000025190,7.7981544,1.2442431,6.281924985330286e-15,9.177011228569605e-13
ENSMUSG00000079037,7.795724,0.38008523,6.40402627920708e-15,9.29664710072691e-13
ENSMUSG00000021910,7.7953815,0.50497174,6.421410263162772e-15,9.29664710072691e-13
ENSMUSG00000021259,7.7861056,1.6659228,6.910611883346176e-15,9.960227886331755e-13
ENSMUSG00000029223,7.7828884,0.42763436,7.088723279906153e-15,1.0081913263954633e-12
ENSMUSG00000021687,7.7645416,0.5310707,8.194087417577456e-15,1.1486280631025989e-12
ENSMUSG00000020402,7.7385283,0.8908463,1.005741926297772e-14,1.3876229953215202e-12
ENSMUSG00000021708,7.651417,0.95476437,1.987766244126958e-14,2.6964299660352456e-12
ENSMUSG00000038301,7.5923047,1.0536959,3.142653504069949e-14,4.107715318983737e-12
ENSMUSG00000027254,7.568687,0.8331823,3.770155070960074e-14,4.86877825863784e-12
ENSMUSG00000068151,7.5644426,0.6527331,3.8953125766830014e-14,4.990482799135345e-12
ENSMUSG00000020894,7.5397296,0.39993456,4.709465604119012e-14,6.009687629604044e-12
ENSMUSG00000064329,7.523574,1.0719993,5.32988515143314e-14,6.721693051328864e-12
ENSMUSG00000027634,7.506802,0.56910634,6.05892695538869e-14,7.61137964026163e-12
ENSMUSG00000022892,7.5053644,0.3657872,6.125795750314523e-14,7.665554875926526e-12
ENSMUSG00000024767,7.4863334,1.0020767,7.08243472712165e-14,8.790518726387632e-12
ENSMUSG00000060450,7.4661727,0.64264727,8.256086819800218e-14,1.0134895930693917e-11
ENSMUSG00000041380,7.366363,2.548577,1.7534615823118206e-13,2.1282145558247038e-11
ENSMUSG00000006651,7.3540406,0.49152762,1.9230324501023408e-13,2.3252847435038976e-11
ENSMUSG00000056812,7.3490434,0.9019431,1.9963054818397199e-13,2.4048777045222147e-11
ENSMUSG00000032479,7.3216605,0.65505326,2.4492104885964033e-13,2.928620763864255e-11
ENSMUSG00000034341,7.3156705,0.4886404,2.5609920944670116e-13,3.050982648334593e-11
ENSMUSG00000034245,7.3062234,0.7297518,2.7475492639941757e-13,3.249253772456116e-11
ENSMUSG00000039953,7.303451,0.6091519,2.8047895125263976e-13,3.30484048948594e-11
ENSMUSG00000076432,7.2937984,0.562975,3.0133570736789315e-13,3.512138379917845e-11
ENSMUSG00000018326,7.288767,0.28768048,3.12804332522716e-13,3.632693480394203e-11
ENSMUSG00000004071,7.2822638,0.5112314,3.2826468794969543e-13,3.785009089448542e-11
ENSMUSG00000030849,7.225958,0.80310833,4.975817223145589e-13,5.676475584779341e-11
ENSMUSG00000031227,7.224315,1.1496999,5.036340235083606e-13,5.706638584805913e-11
ENSMUSG00000030310,7.222501,1.1866419,5.104007546529431e-13,5.761639288101492e-11
ENSMUSG00000019894,7.1945705,1.4457911,6.26576852808332e-13,6.975528859626553e-11
ENSMUSG00000000826,7.1923456,0.5644261,6.368754576182493e-13,7.065815858833396e-11
ENSMUSG00000045294,7.1900864,1.8197106,6.475024918645012e-13,7.159115736248432e-11
ENSMUSG00000032011,7.1187205,1.6091423,1.0893366589035772e-12,1.180175638681275e-10
ENSMUSG00000040659,7.1049604,1.3693804,1.2035691888355274e-12,1.2995729518914716e-10
ENSMUSG00000006273,7.1001687,0.33282188,1.2460481255791309e-12,1.3409554578107412e-10
ENSMUSG00000074657,7.065735,0.48650312,1.5976829118078471e-12,1.7023495976144006e-10
ENSMUSG00000032594,7.047251,0.53834665,1.824863723630458e-12,1.9316631251609616e-10
ENSMUSG00000039686,7.0445476,0.8582762,1.8606528276090094e-12,1.963110344423427e-10
ENSMUSG00000004936,7.036743,0.8064906,1.967848456345099e-12,2.0694458440749682e-10
ENSMUSG00000015291,7.0171647,0.44673043,2.264156743222444e-12,2.365640791421897e-10
ENSMUSG00000032606,7.0105243,1.0520104,2.3742655853405743e-12,2.472682723313563e-10
ENSMUSG00000032356,7.00628,0.9503402,2.447377919302086e-12,2.540630100471635e-10
ENSMUSG00000031066,6.977049,0.5459497,3.0144458323648926e-12,3.0940854906029746e-10
ENSMUSG00000026575,6.976844,1.2768692,3.0188537387019887e-12,3.0940854906029746e-10
ENSMUSG00000021288,6.972223,0.484257,3.119719507369264e-12,3.1873463384625537e-10
ENSMUSG00000019087,6.942239,0.87282157,3.8593431220480975e-12,3.9305644383382595e-10
ENSMUSG00000026553,6.9163623,0.92053044,4.633892222232268e-12,4.689818507673002e-10
ENSMUSG00000032320,6.8827157,0.6558506,5.872222046795909e-12,5.887723254062296e-10
ENSMUSG00000031840,6.870496,0.43754104,6.397906221677945e-12,6.394935057797908e-10
ENSMUSG00000017707,6.853348,1.2116416,7.214152186060455e-12,7.188546398980302e-10
ENSMUSG00000113960,6.8407516,1.9488748,7.877880446982145e-12,7.777901230300261e-10
ENSMUSG00000032294,6.8403068,0.46833795,7.902389959754018e-12,7.778312800324953e-10
ENSMUSG00000024335,6.835275,1.3463397,8.18478866377407e-12,8.007451576058966e-10
ENSMUSG00000049571,6.8262386,1.4999444,8.716986533711441e-12,8.451288595822038e-10
ENSMUSG00000037852,6.8236713,0.43973836,8.874266086156113e-12,8.552408375867167e-10
ENSMUSG00000025777,6.8018336,0.7499895,1.0329571720059265e-11,9.925304255420041e-10
ENSMUSG00000027951,6.786397,0.70700866,1.1496866872739012e-11,1.0916951381952324e-09
ENSMUSG00000024462,6.7599726,0.39323688,1.3801795311389947e-11,1.2990990134933656e-09
ENSMUSG00000020577,6.757679,0.7614741,1.4021958572834773e-11,1.315985268965031e-09
ENSMUSG00000055447,6.748369,0.49733844,1.4951625196968178e-11,1.3911043789167654e-09
ENSMUSG00000021573,6.743885,0.9469028,1.5420647110835276e-11,1.4306195171647037e-09
ENSMUSG00000023011,6.722253,0.34024662,1.789361709448755e-11,1.6505583654158016e-09
ENSMUSG00000030105,6.7156124,0.60424846,1.8727790826520917e-11,1.7176895648699655e-09
ENSMUSG00000055067,6.7107177,0.3748259,1.9366932260708304e-11,1.77127877630869e-09
ENSMUSG00000039059,6.701476,1.7073224,2.063245476449574e-11,1.881691531276116e-09
ENSMUSG00000031672,6.6933985,1.0739529,2.180466792730395e-11,1.982522705329358e-09
ENSMUSG00000087403,6.6897016,0.5260614,2.2362616246195277e-11,2.0223447213120857e-09
ENSMUSG00000010803,6.6793303,1.0431,2.400365048927848e-11,2.161179083544088e-09
ENSMUSG00000022661,6.679159,0.641269,2.403169555497375e-11,2.161179083544088e-09
ENSMUSG00000032328,6.6742644,0.35365337,2.484750233222378e-11,2.222165132398462e-09
ENSMUSG00000031996,6.6606417,0.7370713,2.7263464177188195e-11,2.418134453188244e-09
ENSMUSG00000034156,6.6517763,1.1551489,2.8957621021892313e-11,2.5543628270267574e-09
ENSMUSG00000035964,6.649244,0.8404583,2.9460306625373155e-11,2.5916239765672267e-09
ENSMUSG00000031144,6.627303,0.31442928,3.418749793914397e-11,2.9830901917980087e-09
ENSMUSG00000048895,6.6200128,0.60953313,3.591683874981349e-11,3.117137470531529e-09
ENSMUSG00000039474,6.616624,1.1075009,3.6749479623138535e-11,3.180849730919645e-09
ENSMUSG00000022696,6.585955,1.4124924,4.5196984390435466e-11,3.8808102155457686e-09
ENSMUSG00000023017,6.575276,1.5645483,4.856299412080954e-11,4.1587699341918726e-09
ENSMUSG00000032936,6.559257,1.2059355,5.407648795181858e-11,4.6064892177426466e-09
ENSMUSG00000020668,6.5540204,0.61468714,5.6008391145012236e-11,4.758502389780842e-09
ENSMUSG00000028756,6.5378985,1.1001539,6.23891945250615e-11,5.272866872360237e-09
ENSMUSG00000025375,6.530163,0.83446234,6.569815698568677e-11,5.538028716143335e-09
ENSMUSG00000061981,6.5272536,1.161318,6.698658771780512e-11,5.602751255101913e-09
ENSMUSG00000029714,6.5158553,1.3797156,7.227651982741405e-11,5.983198570841187e-09
ENSMUSG00000022416,6.5122957,1.7525084,7.40108079453228e-11,6.111097019219301e-09
ENSMUSG00000036218,6.494497,0.9623224,8.33112930467092e-11,6.8233264632240214e-09
ENSMUSG00000056429,6.494189,0.66377634,8.348192513469067e-11,6.8233264632240214e-09
ENSMUSG00000046093,6.487446,0.8284072,8.730364708403516e-11,7.117672338656755e-09
ENSMUSG00000029095,6.4677305,1.1388172,9.948579621077111e-11,8.090425518047218e-09
ENSMUSG00000020657,6.462699,1.0147719,1.0285188241424028e-10,8.343148300863687e-09
ENSMUSG00000027104,6.4532175,0.47996292,1.0949999531917789e-10,8.860168794184606e-09
ENSMUSG00000020658,6.446372,1.1603181,1.145593845365682e-10,9.223316034321956e-09
ENSMUSG00000032788,6.430216,0.67796457,1.2742269737621494e-10,1.0208044130995283e-08
ENSMUSG00000027834,6.428402,1.6727227,1.2895238766447084e-10,1.0305019395414458e-08
ENSMUSG00000021947,6.424808,1.7886956,1.320360913236694e-10,1.0499470956612479e-08
ENSMUSG00000035596,6.419708,0.75771135,1.3653604135315787e-10,1.0804083566388974e-08
ENSMUSG00000004113,6.4015326,0.43718755,1.5382490418183405e-10,1.2083301779830931e-08
ENSMUSG00000023353,6.3987603,0.7384624,1.5664367222833286e-10,1.2274856693911957e-08
ENSMUSG00000020917,6.3980756,1.1959201,1.573473972488186e-10,1.2300147022223024e-08
ENSMUSG00000102494,6.3946185,2.1449244,1.6094867084916262e-10,1.2551274971896655e-08
ENSMUSG00000028020,6.3667564,0.76993006,1.9306718521327623e-10,1.494765965134442e-08
ENSMUSG00000045284,6.3658323,0.97223055,1.9423339654870794e-10,1.500197418080152e-08
ENSMUSG00000057230,6.3622727,0.33110118,1.9879012202815185e-10,1.5244510901850075e-08
ENSMUSG00000020612,6.342249,0.26025382,2.2643485007106103e-10,1.7160678719587335e-08
ENSMUSG00000030329,6.3407087,0.46460143,2.2871049584798525e-10,1.72925488488342e-08
ENSMUSG00000026667,6.3373885,1.0046513,2.3369201399668986e-10,1.758682207898166e-08
ENSMUSG00000025369,6.319487,0.5254949,2.6243272555141817e-10,1.9634324575100904e-08
