gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000058135,5.550741,1.8506426,2.8446130201641895e-08,0.00022959582839000216
ENSMUSG00000090137,5.443109,5.5490537,5.2358621336634035e-08,0.0002817330149755383
ENSMUSG00000090733,5.183425,1.318591,2.1784774752636762e-07,0.0008721333829527919
ENSMUSG00000064341,5.1697574,0.9380871,2.3439792655996493e-07,0.0008721333829527919
ENSMUSG00000064370,5.162924,0.85520256,2.4312220680115e-07,0.0008721333829527919
ENSMUSG00000062997,5.029665,2.689023,4.913376465824258e-07,0.0014943640303109634
ENSMUSG00000039001,5.022831,0.9158177,5.091529915880624e-07,0.0014943640303109634
ENSMUSG00000064351,4.9169073,0.6867608,8.79220612752448e-07,0.002365469790226065
ENSMUSG00000060143,4.8280683,1.5998068,1.3786379453052537e-06,0.0033184282315797207
ENSMUSG00000073411,4.773398,5.056232,1.8114326057151088e-06,0.003898806778367486
ENSMUSG00000046718,4.6743083,5.7304373,2.9494614291609693e-06,0.005951460140028868
ENSMUSG00000025492,4.6213465,4.27618,3.812576251508933e-06,0.007240530839997995
ENSMUSG00000034892,4.5837607,0.83674484,4.566871853492277e-06,0.007823762062333567
ENSMUSG00000041841,4.582052,0.9210212,4.604351221444565e-06,0.007823762062333567
ENSMUSG00000038393,4.438543,2.8851855,9.05700409593849e-06,0.013924065582732102
ENSMUSG00000057322,4.414624,0.6632477,1.0118551614047054e-05,0.014848974493614053
ENSMUSG00000061232,4.3428698,3.6291199,1.4063356954593734e-05,0.019740673012132986
ENSMUSG00000064215,4.2266955,3.4069908,2.371484012086328e-05,0.03062534453208284
ENSMUSG00000060802,4.209611,4.473999,2.5581087301028956e-05,0.03176482321206615
ENSMUSG00000029614,4.1241884,1.889763,3.720439800713778e-05,0.04124363878066822
ENSMUSG00000032324,4.1002703,1.3297399,4.126677821054401e-05,0.041634310453981666
ENSMUSG00000028945,3.9960551,3.1940885,6.440673919922773e-05,0.06301125984991113
ENSMUSG00000067288,3.953344,1.082929,7.706651961317413e-05,0.07314724238835928
ENSMUSG00000071866,3.8952568,2.1775794,9.809473445516906e-05,0.08797190283014257
ENSMUSG00000024164,3.8850062,5.1881146,0.0001023272984301278,0.08928748188693719
ENSMUSG00000046330,3.8337529,0.6295754,0.00012620298766102294,0.10447342196502886
ENSMUSG00000065947,3.7927501,1.169995,0.00014898809254797706,0.12025201419778599
ENSMUSG00000045031,3.7705402,2.2027464,0.0001628945141679079,0.12826949731490014
ENSMUSG00000057863,3.731246,0.9591099,0.00019053504592396152,0.14305637110825808
ENSMUSG00000060636,3.7244122,0.5287275,0.00019577080891851152,0.14364683104395784
ENSMUSG00000113902,3.7073278,2.8670058,0.0002094577753767641,0.15027431728975174
ENSMUSG00000007097,3.6424067,3.7544668,0.00027010076169377333,0.1895696324192059
ENSMUSG00000028998,3.61678,1.2195818,0.0002982904708918738,0.19653689495396218
ENSMUSG00000029413,3.6065295,1.8918778,0.0003103196480127627,0.20037339672184085
ENSMUSG00000002985,3.5774858,1.4280529,0.00034691496192705296,0.2074101767743501
ENSMUSG00000021040,3.5467339,3.0085378,0.0003900384164997151,0.22486411208380896
ENSMUSG00000015837,3.4886467,2.9083269,0.0004854723777954397,0.26458341533675567
ENSMUSG00000033307,3.4852297,2.4196556,0.0004917145708596977,0.26458341533675567
ENSMUSG00000061613,3.4510608,3.3273187,0.000558387615125938,0.2907668411990469
ENSMUSG00000093674,3.4305596,0.46100518,0.0006023378144481898,0.3077005659338983
ENSMUSG00000020390,3.416892,1.4941039,0.0006334041300941004,0.3098401869710308
ENSMUSG00000104960,3.4032245,3.2181826,0.0006659556482888551,0.31159968268124183
ENSMUSG00000021131,3.3963907,3.1233814,0.000682808460054519,0.3149210161837164
ENSMUSG00000074896,3.389557,4.8018527,0.0007000570021263033,0.31544576459978896
ENSMUSG00000020889,3.3861399,3.5399191,0.0007088323120330114,0.31544576459978896
ENSMUSG00000079641,3.3844314,0.051205177,0.0007132581946967506,0.31544576459978896
ENSMUSG00000020562,3.379306,2.3578649,0.0007266903769571661,0.3170432272981366
ENSMUSG00000021917,3.336595,3.0537534,0.0008481144060883546,0.359772836986726
ENSMUSG00000017778,3.3297613,1.3007962,0.000869204933714252,0.359772836986726
ENSMUSG00000022108,3.321219,0.591969,0.0008962518883696431,0.36169365270017406
ENSMUSG00000030246,3.290467,3.0757806,0.0010002125089794702,0.38442691490954994
ENSMUSG00000047139,3.2802162,1.2120371,0.0010372753801546931,0.3939815958622855
ENSMUSG00000036438,3.2597148,0.27637416,0.001115242482878951,0.4138575121809992
ENSMUSG00000030654,3.252881,2.0279396,0.001142412735350371,0.4191226722816674
ENSMUSG00000021537,3.2426305,2.2374098,0.0011843171213948775,0.42484086960259576
ENSMUSG00000079435,3.225546,0.85844785,0.0012573262789933948,0.43563527807046715
ENSMUSG00000059824,3.2170038,3.6310751,0.0012953689544607356,0.43563527807046715
