gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,43.654854,4.736438,0.0,0.0
ENSMUSG00000060143,37.211933,2.3863702,4.375900949088491e-303,4.7091987380440643e-299
ENSMUSG00000062997,34.635735,1.5310376,7.324801848765742e-263,5.91203069218505e-259
ENSMUSG00000035885,29.278898,0.84705704,1.9256014619944776e-188,1.0361340533415284e-184
ENSMUSG00000090733,28.94162,1.0848715,3.5776711874640055e-184,1.6500730612467917e-180
ENSMUSG00000014313,27.751255,1.0634043,1.6827631318196277e-169,6.791000963849586e-166
ENSMUSG00000057863,27.20867,1.0270079,5.128561974155709e-163,1.8397291481735227e-159
ENSMUSG00000035530,27.112068,0.69637316,7.096063647851092e-162,2.2909641487087254e-158
ENSMUSG00000079523,26.976007,0.9986037,2.8264644339427527e-160,8.29567311362198e-157
ENSMUSG00000057322,26.726643,0.8588341,2.3077930902401795e-157,6.20892499320035e-154
ENSMUSG00000041841,26.68383,0.8690047,7.251629694108286e-157,1.800914343648354e-153
ENSMUSG00000046330,25.714228,0.89037484,8.103780389043084e-146,1.868789641858971e-142
ENSMUSG00000055839,25.550953,1.267759,5.35851682003248e-144,1.1533314368983242e-140
ENSMUSG00000030432,25.462646,0.98746353,5.11375897177541e-143,1.0318606775235571e-139
ENSMUSG00000079641,25.315266,0.9905817,2.1692746977170875e-141,4.119707859752716e-138
ENSMUSG00000071528,25.266005,1.0637491,7.554793427641303e-141,1.3550361433966636e-137
ENSMUSG00000039001,25.204784,0.8631719,3.550008809408837e-140,5.730601720588215e-137
ENSMUSG00000028998,24.940083,1.3261855,2.7358518694891565e-137,4.2060465526884484e-134
ENSMUSG00000016252,24.817616,1.0643765,5.7867288026896885e-136,8.492024517947118e-133
ENSMUSG00000014294,24.411093,1.110603,1.3039786537073692e-131,1.8303891667366265e-128
ENSMUSG00000070858,24.233168,1.5359415,9.950907150092241e-130,1.3386043222530333e-126
ENSMUSG00000037152,24.157509,1.1398854,6.226188341245582e-129,8.040499623884544e-126
ENSMUSG00000032330,23.919323,1.0579737,1.9280642589442157e-126,2.394136715385154e-123
ENSMUSG00000045128,23.880741,0.97088015,4.856060532421012e-126,5.806589418118977e-123
ENSMUSG00000058546,23.486223,0.9321379,5.64071461147245e-122,6.503945401121003e-119
