gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,43.429344,4.7100463,0.0,0.0
ENSMUSG00000062997,36.32435,1.5318174,6.678670258731446e-289,7.187362310104824e-285
ENSMUSG00000060143,35.350212,2.2721553,9.950596047192355e-274,8.031374834590129e-270
ENSMUSG00000090733,33.648182,1.1168423,3.3149727361123192e-248,2.1404778957077243e-244
ENSMUSG00000041841,29.35471,0.8796951,2.080702461124949e-189,1.119591315956983e-185
ENSMUSG00000057322,29.278461,0.85430926,1.9503822502447144e-188,8.995441564164373e-185
ENSMUSG00000079641,28.931684,1.0026648,4.770913757311413e-184,1.925361883184987e-180
ENSMUSG00000057863,28.16875,0.976113,1.4124015993051846e-174,4.559938563356788e-171
ENSMUSG00000046330,27.445896,0.84959924,7.777197439941007e-166,2.2826074486226856e-162
ENSMUSG00000035242,27.431158,0.74285537,1.165919419551319e-165,3.1368090383511945e-162
ENSMUSG00000039001,27.073534,0.82656026,2.018536598435864e-161,5.012958006192452e-158
ENSMUSG00000058546,27.015175,0.9655858,9.804340671348438e-161,2.2609509898177455e-157
ENSMUSG00000039221,26.906118,0.7936594,1.862509914709803e-159,4.0087421730937324e-156
ENSMUSG00000014313,26.341585,0.9405213,6.408231955219524e-153,1.2930610542141396e-149
ENSMUSG00000035530,25.588484,0.6456932,2.0494264536465408e-144,3.892101944469328e-141
ENSMUSG00000009927,25.42057,0.8156542,1.4940383795254849e-142,2.6797238379433486e-139
ENSMUSG00000070858,25.163313,1.4860579,1.0104799289897343e-139,1.717018131970188e-136
ENSMUSG00000075706,25.036219,1.1153601,2.4668018314100257e-138,3.982034856353634e-135
ENSMUSG00000079523,24.88699,1.0229741,1.029113770792019e-136,1.5821399090485875e-133
ENSMUSG00000079435,24.805815,0.95509684,7.759066351172225e-136,1.138642987034524e-132
ENSMUSG00000035885,24.792635,0.72675335,1.0764175400502654e-135,1.5109626208922965e-132
ENSMUSG00000062328,24.663383,0.71307266,2.6443206943116945e-134,3.5571622339938773e-131
ENSMUSG00000003429,24.465927,0.7806871,3.4065218850292905e-132,4.3991823623268256e-129
ENSMUSG00000071528,24.267387,1.027911,4.333672540615658e-130,5.3812545374529424e-127
ENSMUSG00000016252,24.133253,1.0010866,1.1194647209189831e-128,1.3385895746247916e-125
ENSMUSG00000086503,23.958935,0.96355826,7.456927024400509e-127,8.598103177956088e-124
ENSMUSG00000028998,23.675861,1.2029094,6.393727192441795e-124,6.880716080266112e-121
ENSMUSG00000041571,23.65839,0.7363478,9.675222289374047e-124,1.0076275858465842e-120
ENSMUSG00000045128,23.64162,0.9259003,1.4394440500575688e-123,1.452264098628394e-120
ENSMUSG00000030432,23.482618,0.8478596,6.140167082861728e-122,6.007130129399723e-119
