gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,33.28637,2.8765697,6.080740732818745e-243,9.815835727952659e-239
ENSMUSG00000024758,23.898853,0.5436709,3.1479599479913253e-126,1.2703985865112491e-122
ENSMUSG00000030704,20.601564,0.58768976,2.6572022768310785e-94,5.36173596921821e-91
ENSMUSG00000022285,19.723227,0.47621349,1.3625118872531606e-86,2.1994348139984143e-83
ENSMUSG00000026797,19.045517,0.53670716,7.157702675246291e-81,1.0503928675923934e-77
ENSMUSG00000044349,17.974905,0.31599995,3.0638499055431757e-72,3.1908514258213366e-69
ENSMUSG00000096768,17.608528,1.9280592,2.1188389200028524e-69,2.0729307434027906e-66
ENSMUSG00000027273,17.29219,0.6601288,5.386658824712602e-67,4.4591866706627276e-64
ENSMUSG00000026825,17.00219,0.62468934,7.910945924069067e-65,5.675664203523774e-62
ENSMUSG00000052459,16.810703,0.5095904,2.0374262714367538e-63,1.3424144321088897e-60
ENSMUSG00000022973,16.725906,0.4696398,8.487571981709379e-63,5.372965910382104e-60
ENSMUSG00000021939,16.509344,0.6269192,3.142755761388642e-61,1.8789605510450428e-58
ENSMUSG00000073590,16.323917,3.058364,6.67135828930455e-60,3.713531075348231e-57
ENSMUSG00000040097,16.267324,0.67543346,1.6835316721222605e-59,9.212342378723252e-57
ENSMUSG00000027438,16.143469,0.9959298,1.2624090787989264e-58,6.469345572860847e-56
ENSMUSG00000021577,15.9376545,0.749704,3.471393635440848e-57,1.64814622823835e-54
ENSMUSG00000025630,15.757491,0.855885,6.10069336206175e-56,2.7355678499189384e-53
ENSMUSG00000051853,15.65614,0.5946631,3.01655836064666e-55,1.2985278223130322e-52
ENSMUSG00000026123,15.60806,0.58268964,6.415864176121597e-55,2.7254759858695493e-52
ENSMUSG00000004207,15.602771,0.5901875,6.970256132365698e-55,2.9225288212133317e-52
ENSMUSG00000002265,15.573964,0.32761934,1.0941191416920536e-54,4.528671344811276e-52
ENSMUSG00000001847,15.484623,0.5813935,4.406401613439487e-54,1.6736550128222804e-51
ENSMUSG00000026959,15.222894,0.55152965,2.4925909932432333e-52,8.747097849658455e-50
ENSMUSG00000019923,15.032176,0.32422298,4.519101765623425e-51,1.4589920050315227e-48
ENSMUSG00000068923,14.958335,0.3770637,1.3742091225546244e-50,4.349641325654514e-48
ENSMUSG00000072825,14.730476,1.233338,4.108026691426367e-49,1.239510670399068e-46
ENSMUSG00000000792,14.690739,2.535503,7.39033484714476e-49,2.2092311161117458e-46
ENSMUSG00000043384,14.647721,0.32552233,1.393096057679168e-48,4.0887369292883574e-46
ENSMUSG00000023004,14.5998335,0.672615,2.8153409734067777e-48,8.155418376618371e-46
ENSMUSG00000030654,14.455699,0.5791714,2.3077498903163217e-47,6.368008992210466e-45
ENSMUSG00000029405,14.393826,0.452238,5.657773221005793e-47,1.5349681381527061e-44
ENSMUSG00000058297,14.341075,0.39060503,1.211644601632463e-46,3.259828830308672e-44
ENSMUSG00000021288,14.294935,0.52002215,2.3532396023099628e-46,6.126962948433641e-44
ENSMUSG00000046785,14.220952,0.54524225,6.7922706729753316e-46,1.7266807769843196e-43
ENSMUSG00000031996,14.2021885,0.7380995,8.879582115328153e-46,2.239666473385699e-43
ENSMUSG00000046434,14.139838,0.5358554,2.157811815568851e-45,5.400384067103904e-43
ENSMUSG00000045193,14.137084,1.3040084,2.2439039785123848e-45,5.572649226636334e-43
ENSMUSG00000022415,14.022979,0.7470982,1.127794559435682e-44,2.7583975266197722e-42
ENSMUSG00000007564,13.964645,0.61519635,2.5617601736953355e-44,6.17212143341447e-42
ENSMUSG00000045095,13.728794,0.58613086,6.826036698661624e-43,1.5969463392484823e-40
ENSMUSG00000034891,13.666602,1.017649,1.607260112288389e-42,3.680169696824868e-40
ENSMUSG00000037266,13.634189,0.78949493,2.5076406186467806e-42,5.545149135137762e-40
ENSMUSG00000020894,13.612304,0.33189195,3.3840803424465e-42,7.38209688215441e-40
ENSMUSG00000027104,13.513689,0.5380181,1.2984780638941086e-41,2.7947576195214196e-39
ENSMUSG00000038486,13.43871,0.42256382,3.586351898172652e-41,7.470023937580908e-39
ENSMUSG00000068742,13.425462,1.4626951,4.289048784756197e-41,8.87640641127268e-39
ENSMUSG00000020297,13.424365,0.4308235,4.3529959659374346e-41,8.951367819126757e-39
ENSMUSG00000029651,13.349653,1.6125764,1.1900142912983403e-40,2.416327760664586e-38
ENSMUSG00000027301,13.02713,2.3893824,8.577338578121538e-39,1.628937505850905e-36
ENSMUSG00000036699,12.958972,0.49220356,2.090309486214196e-38,3.90090414811707e-36
ENSMUSG00000018411,12.923135,0.31458494,3.332809145133707e-38,6.148556757179528e-36
ENSMUSG00000022456,12.846255,0.5018543,9.027528215287379e-38,1.6466313470652714e-35
ENSMUSG00000021910,12.795488,0.41506165,1.7375731056204447e-37,3.1339412131260364e-35
ENSMUSG00000004267,12.787529,0.5402344,1.9249749835300253e-37,3.4526565190703813e-35
ENSMUSG00000056851,12.655865,0.44327462,1.0382556919526328e-36,1.8118964872805812e-34
ENSMUSG00000021820,12.59831,0.69743735,2.1571648585369002e-36,3.704471673290629e-34
ENSMUSG00000056812,12.573563,0.7558839,2.9511931316394733e-36,5.0412312304222435e-34
ENSMUSG00000090101,12.562799,1.8406979,3.381514737504186e-36,5.715822162320557e-34
ENSMUSG00000022564,12.529633,0.5407948,5.1400143570623005e-36,8.59820536361432e-34
ENSMUSG00000013921,12.497286,0.5608144,7.724369406911024e-36,1.2788782887288329e-33
ENSMUSG00000000826,12.434056,0.40429065,1.7074446871698463e-35,2.7840834204686106e-33
ENSMUSG00000020149,12.41562,0.55002326,2.1501630914245354e-35,3.488342482745785e-33
ENSMUSG00000022463,12.340941,1.0695888,5.451484660700692e-35,8.585423525401065e-33
ENSMUSG00000060450,12.32437,0.5599875,6.696457642479913e-35,1.0494909465410874e-32
ENSMUSG00000017390,12.321148,1.8795412,6.969492446383537e-35,1.0870051383163889e-32
ENSMUSG00000074657,12.3150215,0.5070638,7.519479565656961e-35,1.1671461431597836e-32
ENSMUSG00000058793,12.310009,0.43874565,8.001453638816941e-35,1.2360140226277747e-32
ENSMUSG00000028785,12.284399,1.9374567,1.0985834757621105e-34,1.6889413102371303e-32
ENSMUSG00000027634,12.233489,0.44688618,2.0589998753963184e-34,3.0918516733567507e-32
ENSMUSG00000106847,12.200297,0.58426017,3.0969172641826293e-34,4.586420819914504e-32
ENSMUSG00000024767,12.172143,0.864087,4.374434483885221e-34,6.44879531106093e-32
ENSMUSG00000019877,12.092184,0.31424832,1.1615712316595886e-33,1.6741663934879383e-31
ENSMUSG00000076432,11.955339,0.45400247,6.088414906873547e-33,8.472606692603986e-31
ENSMUSG00000025190,11.951817,0.8222305,6.352167360367129e-33,8.801704859633164e-31
ENSMUSG00000028833,11.941748,1.002746,7.170024535394676e-33,9.892488979710135e-31
ENSMUSG00000110185,11.823107,1.0163765,2.965130061711455e-32,3.939474240426104e-30
ENSMUSG00000027546,11.742428,0.42725438,7.723699402222269e-32,1.021965718035844e-29
ENSMUSG00000027951,11.730175,0.47975102,8.927367680369732e-32,1.1716262827672229e-29
ENSMUSG00000034187,11.700314,0.4389437,1.2698276689573812e-31,1.639855451691562e-29
ENSMUSG00000037852,11.666586,0.36207724,1.888502470956011e-31,2.4290957081599526e-29
ENSMUSG00000030161,11.490917,0.28701717,1.4654778352291493e-30,1.8481621839989487e-28
ENSMUSG00000040722,11.470915,0.53929865,1.8469641178964306e-30,2.3112107188483047e-28
ENSMUSG00000041720,11.453541,0.4708086,2.257338241056689e-30,2.7922668625484754e-28
ENSMUSG00000026575,11.43009,1.1567755,2.958023549351966e-30,3.6311707334915673e-28
ENSMUSG00000030058,11.410356,0.66979086,3.712095337898472e-30,4.505451052032036e-28
ENSMUSG00000020917,11.396094,1.2712314,4.373007150765386e-30,5.287735425560318e-28
ENSMUSG00000028248,11.373037,0.3935745,5.697007558516054e-30,6.812144038025586e-28
ENSMUSG00000010803,11.29076,1.284245,1.4577103624262848e-29,1.7302271709901696e-27
ENSMUSG00000020456,11.248579,0.5558392,2.353527400025059e-29,2.7731252594820814e-27
ENSMUSG00000020402,11.243122,0.49328256,2.5036717355862325e-29,2.939310617578237e-27
ENSMUSG00000020340,11.240085,0.35775533,2.591343863562246e-29,3.0202720806897874e-27
ENSMUSG00000047126,11.23092,0.33867446,2.874689852820746e-29,3.326500426463003e-27
ENSMUSG00000020392,11.2172785,1.4500515,3.3543503652638284e-29,3.853921763079811e-27
ENSMUSG00000040035,11.199226,0.42732286,4.1131083503453163e-29,4.692286328300302e-27
ENSMUSG00000064358,11.19854,0.318532,4.145091488311559e-29,4.7121224894415024e-27
ENSMUSG00000025855,11.155974,0.2765516,6.695539945434144e-29,7.558234515326619e-27
ENSMUSG00000045294,11.115166,1.5308062,1.0585351559664184e-28,1.1825192910164644e-26
ENSMUSG00000029823,11.0964775,0.3023066,1.3048555380747543e-28,1.4329000356035186e-26
ENSMUSG00000024423,11.094117,0.35028222,1.3397564357762124e-28,1.4662385264079668e-26
ENSMUSG00000051675,11.041165,0.7522549,2.4187446287174008e-28,2.5943245959515374e-26
ENSMUSG00000041986,11.003689,0.63329184,3.668139204713149e-28,3.908444693866799e-26
ENSMUSG00000041329,11.002233,1.2287236,3.7278724198802684e-28,3.9590250353892916e-26
ENSMUSG00000028809,11.001311,0.4825724,3.7661315566307025e-28,3.986542862485975e-26
ENSMUSG00000034341,10.985469,0.37058404,4.489014909457291e-28,4.7207767541312254e-26
ENSMUSG00000025220,10.967442,0.6569104,5.480105402848861e-28,5.744324770486216e-26
ENSMUSG00000031066,10.911896,0.5740777,1.011255632003659e-27,1.0497873980462422e-25
ENSMUSG00000032479,10.8982115,0.48615813,1.1754461452632617e-27,1.2163230384559104e-25
ENSMUSG00000029148,10.895148,1.0755625,1.2156782710704e-27,1.2539352390258103e-25
ENSMUSG00000032328,10.868961,0.33070412,1.6203460690319663e-27,1.6607261218633978e-25
ENSMUSG00000029580,10.838104,0.6034993,2.271284940041951e-27,2.3205200724447594e-25
ENSMUSG00000020657,10.827099,0.8691944,2.5614229581211803e-27,2.608692119966634e-25
ENSMUSG00000041028,10.8144865,0.7265586,2.9393400117622178e-27,2.9748148050076237e-25
ENSMUSG00000004071,10.805724,0.4084908,3.233956229750859e-27,3.252594295249423e-25
ENSMUSG00000031144,10.7796955,0.31113863,4.2930283510659945e-27,4.264628317358942e-25
ENSMUSG00000030327,10.774557,0.44080555,4.539611760718373e-27,4.495747413950695e-25
ENSMUSG00000017466,10.723999,0.30236968,7.853278696353211e-27,7.706477286071836e-25
ENSMUSG00000032294,10.717588,0.36589316,8.416952980416629e-27,8.234585665840936e-25
ENSMUSG00000003469,10.71291,1.2381433,8.853449113602639e-27,8.635456333313028e-25
ENSMUSG00000026833,10.698339,0.858507,1.0361885955706566e-26,1.0076309881927304e-24
ENSMUSG00000032193,10.660552,1.7039803,1.5567036309932645e-26,1.5047358301382499e-24
ENSMUSG00000048895,10.642148,0.52409863,1.8970399845352757e-26,1.817386821979863e-24
ENSMUSG00000021913,10.629536,1.630713,2.1719025023053716e-26,2.0745524345245244e-24
ENSMUSG00000039059,10.62823,1.6215752,2.202517992681949e-26,2.097589775626452e-24
ENSMUSG00000040276,10.627669,0.41619095,2.2157979280773524e-26,2.1040304737640388e-24
ENSMUSG00000033419,10.59164,0.2896654,3.258312095241146e-26,3.075865672364339e-24
ENSMUSG00000021087,10.588402,0.20494851,3.373023904362256e-26,3.1748710423421405e-24
ENSMUSG00000061298,10.565077,0.53304285,4.326152561593676e-26,4.0250673040648945e-24
ENSMUSG00000020612,10.548891,0.22352335,5.1400392121199857e-26,4.754904468862285e-24
ENSMUSG00000028756,10.543333,1.0791416,5.453102652919954e-26,5.030097689986306e-24
ENSMUSG00000030806,10.535567,0.55010146,5.922535320895157e-26,5.447551362823366e-24
ENSMUSG00000022199,10.460395,0.38967806,1.3130723179111412e-25,1.184149155970983e-23
ENSMUSG00000024335,10.459089,1.108871,1.3312900902098841e-25,1.1972339989533735e-23
ENSMUSG00000025203,10.435044,0.6429056,1.715330498920802e-25,1.534056652566706e-23
ENSMUSG00000027620,10.411201,0.28522804,2.204233531465457e-25,1.9550461418506118e-23
ENSMUSG00000079037,10.408565,0.31497306,2.2661267735657413e-25,2.0044356954676698e-23
ENSMUSG00000021687,10.377783,0.3840628,3.1295913068174845e-25,2.760624462857991e-23
ENSMUSG00000031604,10.339569,1.3361176,4.666310815992668e-25,4.071671478224954e-23
ENSMUSG00000030105,10.337401,0.5347095,4.773045542677854e-25,4.1535788502790976e-23
ENSMUSG00000039601,10.323207,0.5937832,5.534292062476605e-25,4.8030811622864836e-23
ENSMUSG00000032356,10.250228,0.783454,1.180646118329385e-24,1.0137542534644732e-22
ENSMUSG00000002028,10.229983,0.3419773,1.4554487301506048e-24,1.2430995305003247e-22
ENSMUSG00000022295,10.203578,0.49226686,1.910993126004663e-24,1.6235898177121195e-22
ENSMUSG00000000787,10.170353,0.78079605,2.6893327244693773e-24,2.261070495038902e-22
ENSMUSG00000055447,10.1683855,0.44160593,2.744183591696798e-24,2.3011939547514576e-22
ENSMUSG00000038453,10.152233,0.5476848,3.2386563767117083e-24,2.7018093313213825e-22
