gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,10.62005,3.5904882,2.404302392821421e-26,7.762290275223958e-22
ENSMUSG00000090733,9.753527,0.99774384,1.7816950343112866e-22,1.9174008060913294e-18
ENSMUSG00000070858,9.428715,1.5645579,4.15145420639433e-21,3.350742476336024e-17
ENSMUSG00000062997,9.10714,1.2436959,8.45821761449084e-20,5.461471113676735e-16
ENSMUSG00000086503,9.043472,1.0890689,1.517720325688313e-19,8.166600119141197e-16
ENSMUSG00000019505,8.5611105,1.0610058,1.1178510041195502e-17,5.155688523999954e-14
ENSMUSG00000020612,8.39277,0.6960528,4.748202818995055e-17,1.916196600140692e-13
ENSMUSG00000039221,8.269752,0.6724692,1.342385221850567e-16,4.815434098605062e-13
ENSMUSG00000041841,8.009686,0.6834776,1.1500146685976144e-15,3.3752930523339983e-12
ENSMUSG00000079641,7.8823514,0.82465935,3.21277042095999e-15,8.64369108672444e-12
ENSMUSG00000000792,7.838108,4.5733333,4.573858800043694e-15,1.1359002412262359e-11
ENSMUSG00000071528,7.8035765,0.93791443,6.017693478712436e-15,1.3877230997159358e-11
ENSMUSG00000060143,7.7879295,1.6433845,6.811625249594877e-15,1.440518699946733e-11
ENSMUSG00000035640,7.7819943,0.9150825,7.139011676985513e-15,1.440518699946733e-11
ENSMUSG00000057322,7.730197,0.6930026,1.0738026889519658e-14,1.925984434045234e-11
ENSMUSG00000016559,7.7140102,0.9109533,1.2192455109835126e-14,2.071754806426458e-11
ENSMUSG00000014294,7.689191,1.0451818,1.4806842481532352e-14,2.39019454758136e-11
ENSMUSG00000093674,7.6427894,0.528895,2.125658706817834e-14,3.2679472071244655e-11
ENSMUSG00000079523,7.630919,0.6757541,2.3308611851556722e-14,3.420538789215949e-11
ENSMUSG00000024208,7.615272,1.4446181,2.6313692737172528e-14,3.693641608780935e-11
ENSMUSG00000031760,7.5996246,0.82237625,2.9699047895279785e-14,3.995140672079616e-11
ENSMUSG00000071866,7.5575395,0.8818563,4.1076504740525787e-14,5.3046198221915e-11
ENSMUSG00000041571,7.3589835,0.7739451,1.8531588588246529e-13,2.3011243752751507e-10
ENSMUSG00000078974,7.327689,1.391516,2.3415466627325695e-13,2.799882740974852e-10
ENSMUSG00000025825,7.262943,1.4572662,3.7875803037981414e-13,4.318775364111578e-10
ENSMUSG00000067847,7.2597055,1.3604085,3.8793398036003027e-13,4.318775364111578e-10
ENSMUSG00000035242,7.2499933,0.6248076,4.167915443514084e-13,4.3406822610920064e-10
ENSMUSG00000027602,7.2499933,0.981256,4.167915443514084e-13,4.3406822610920064e-10
ENSMUSG00000018451,7.2359653,0.61393875,4.622301456561963e-13,4.663468828909468e-10
ENSMUSG00000022285,7.2294903,0.57061666,4.848095665087955e-13,4.743053592344382e-10
ENSMUSG00000051146,7.1561112,0.7919776,8.29979172081799e-13,7.881140461959083e-10
ENSMUSG00000055839,7.130752,1.0679027,9.982204332532049e-13,8.952096302105477e-10
ENSMUSG00000025508,7.0762568,0.66948855,1.4810010820421495e-12,1.292029536090155e-09
ENSMUSG00000021290,7.068703,1.1849027,1.563881986650498e-12,1.292029536090155e-09
ENSMUSG00000035530,7.065466,0.5362415,1.6007799734739416e-12,1.292029536090155e-09
ENSMUSG00000014313,7.065466,0.82210684,1.6007799734739416e-12,1.292029536090155e-09
ENSMUSG00000024423,7.0611496,0.6393249,1.65130860079777e-12,1.3003048335794146e-09
ENSMUSG00000057863,7.0503583,0.7505782,1.784575720990241e-12,1.3717863607659508e-09
ENSMUSG00000033307,7.005036,1.7100983,2.469226957013437e-12,1.853930053655321e-09
ENSMUSG00000028998,6.819429,1.2885946,9.140303800894639e-12,6.415102352432248e-09
ENSMUSG00000025739,6.8080983,2.7436597,9.88972079957494e-12,6.7933965109420625e-09
ENSMUSG00000031840,6.7741065,0.7283123,1.2517745809934144e-11,8.419487989035912e-09
ENSMUSG00000044792,6.7050433,2.595674,2.0134637096805484e-11,1.274601487588951e-08
ENSMUSG00000031950,6.662958,0.92018634,2.6836990786606704e-11,1.634777825557731e-08
ENSMUSG00000035885,6.6532464,0.53971416,2.8669785774562986e-11,1.714081543947715e-08
ENSMUSG00000084786,6.630585,1.0353459,3.343590933740618e-11,1.921712892062179e-08
ENSMUSG00000024661,6.6284266,0.5580684,3.392833664164293e-11,1.921712892062179e-08
ENSMUSG00000113902,6.5917373,0.82872957,4.3470998811198036e-11,2.4197606838267734e-08
ENSMUSG00000058546,6.5723133,0.6594326,4.953955085036538e-11,2.710821015600079e-08
ENSMUSG00000037152,6.560443,0.76720566,5.36481931027951e-11,2.886719857206233e-08
ENSMUSG00000075702,6.5528893,0.9322757,5.643441201321394e-11,2.986860642371495e-08
ENSMUSG00000067925,6.5329256,0.6047454,6.449717686999191e-11,3.358534443947885e-08
ENSMUSG00000073702,6.4692583,0.6664943,9.84851887489383e-11,5.0469751091420204e-08
ENSMUSG00000073590,6.459546,4.174403,1.0501741012928814e-10,5.297636071912606e-08
ENSMUSG00000046434,6.4336476,0.92795503,1.245775013368761e-10,6.187668662555454e-08
ENSMUSG00000009927,6.4309497,0.5974016,1.268090141144498e-10,6.203074273765169e-08
ENSMUSG00000030704,6.379153,0.54410464,1.780705336649066e-10,8.454422322605162e-08
ENSMUSG00000026797,6.3467793,0.4900004,2.1986914953711622e-10,1.0140679275436852e-07
ENSMUSG00000022564,6.335988,0.8519542,2.358247728350173e-10,1.0723384212645821e-07
ENSMUSG00000061518,6.2690835,1.0297238,3.631793800376366e-10,1.6285064284048745e-07
ENSMUSG00000033475,6.2475014,0.9088978,4.170707932022282e-10,1.8196122376397214e-07
ENSMUSG00000050071,6.2475014,1.1616176,4.170707932022282e-10,1.8196122376397214e-07
ENSMUSG00000004267,6.222682,0.686257,4.88727945146795e-10,2.1038108945419033e-07
ENSMUSG00000036751,6.2194443,0.9694041,4.98918136368362e-10,2.119417372717443e-07
ENSMUSG00000024038,6.2145886,1.3568479,5.145933008748363e-10,2.1576161972394923e-07
ENSMUSG00000042750,6.2000203,0.7998999,5.645580184154831e-10,2.3367635416081891e-07
ENSMUSG00000016349,6.1600933,0.9197649,7.270201426678521e-10,2.9339806632539506e-07
ENSMUSG00000039001,6.143907,0.5978284,8.051607258208935e-10,3.209211609028092e-07
ENSMUSG00000025630,6.1201663,1.1226466,9.34776596645104e-10,3.680397856425266e-07
ENSMUSG00000055430,6.11585,0.2910345,9.604362646089564e-10,3.7358656389036337e-07
ENSMUSG00000060636,6.098584,0.48326895,1.0701197776290992e-09,4.112954407232794e-07
ENSMUSG00000027805,6.094268,0.658834,1.0993945832318722e-09,4.155133656219693e-07
ENSMUSG00000046330,6.093189,0.5460698,1.106834426002458e-09,4.155133656219693e-07
ENSMUSG00000075706,6.0877934,0.7795655,1.144776165290332e-09,4.204535824872328e-07
ENSMUSG00000003038,6.0861745,2.1264668,1.1564038979623122e-09,4.204535824872328e-07
ENSMUSG00000073616,6.085635,0.6239983,1.1603053357227748e-09,4.204535824872328e-07
ENSMUSG00000038717,6.0840163,0.8332055,1.172086802659159e-09,4.204535824872328e-07
