gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,11.166549,3.4288626,5.944622800914969e-29,9.596107356376989e-25
ENSMUSG00000044349,7.27172,0.4121577,3.5493927825469937e-13,8.814780460348438e-10
ENSMUSG00000036699,6.301445,0.8013698,2.948830248548928e-10,3.0710640185291016e-07
ENSMUSG00000026797,5.9963274,0.48087063,2.0182988945426056e-09,1.4809268138706368e-06
ENSMUSG00000020612,5.7640567,0.4697143,8.21159065477939e-09,5.410432740603115e-06
ENSMUSG00000043384,5.7388844,0.50062895,9.530230905675489e-09,6.153670095794663e-06
ENSMUSG00000038886,5.710661,1.936019,1.1253829316275607e-08,7.124115283842313e-06
ENSMUSG00000022285,5.441013,0.40729904,5.297843729429276e-08,2.5915285576458208e-05
ENSMUSG00000030704,5.427283,0.44095957,5.721845227192251e-08,2.716614311175027e-05
ENSMUSG00000000792,5.361301,3.1933973,8.26247045685199e-08,3.604781874317115e-05
ENSMUSG00000096768,5.212175,2.1480904,1.8663966870150757e-07,6.926047935664566e-05
ENSMUSG00000037266,5.1645,1.0079967,2.4108243190084475e-07,8.192996119914497e-05
ENSMUSG00000029714,5.126742,2.427817,2.9479951355021047e-07,9.914169057258901e-05
ENSMUSG00000052459,4.961978,0.41270152,6.977886467241529e-07,0.0002105430510232643
ENSMUSG00000007564,4.877308,0.7978613,1.0754349061817827e-06,0.0003100037138042755
ENSMUSG00000073590,4.8460336,3.291339,1.259543594692303e-06,0.00035670495574246494
ENSMUSG00000001847,4.8048425,0.5675841,1.548734201582858e-06,0.000423736302526293
ENSMUSG00000018363,4.728563,2.12765,2.2611447942124455e-06,0.0005935045502532423
ENSMUSG00000096054,4.6492324,0.5216719,3.3317269941463975e-06,0.000814884893984973
ENSMUSG00000029823,4.6194835,0.41534132,3.846966951056356e-06,0.0009199950223322554
ENSMUSG00000024758,4.617195,0.28786898,3.889617530880168e-06,0.000923355161650487
ENSMUSG00000027273,4.5782924,0.46779004,4.6878692624262585e-06,0.0011047288988133704
ENSMUSG00000035847,4.5416784,0.6368523,5.580814645572251e-06,0.0012962345383618714
ENSMUSG00000051853,4.450143,0.64724547,8.581312969807933e-06,0.001897586912535953
ENSMUSG00000045095,4.364329,0.52969986,1.2751376774473571e-05,0.002708409205025521
ENSMUSG00000046434,4.340682,0.64876914,1.4204116562346768e-05,0.0029777915793205542
ENSMUSG00000032297,4.336487,0.9574132,1.4477823186749933e-05,0.003015590461833688
ENSMUSG00000025151,4.282328,0.64896053,1.849479032517936e-05,0.003685829047212442
ENSMUSG00000002265,4.233128,0.26998904,2.304632743919071e-05,0.004428873103418286
ENSMUSG00000047155,4.215584,1.8454264,2.4913296721180897e-05,0.004703659559317692
ENSMUSG00000056091,4.194607,1.0928246,2.733452749527335e-05,0.005071811610258046
ENSMUSG00000004936,4.1885047,0.80154884,2.807987482964602e-05,0.0051509020390631925
ENSMUSG00000028753,4.1846905,2.151853,2.8555486231911495e-05,0.005208552954786795
ENSMUSG00000032525,4.1785884,0.5343707,2.93324283680425e-05,0.005261096943679179
ENSMUSG00000032356,4.134346,1.0398717,3.559667137644815e-05,0.006212100191289885
ENSMUSG00000025203,4.1068854,0.58932567,4.010299202013892e-05,0.006886835624309495
ENSMUSG00000021939,4.0531087,0.47564015,5.054155249288345e-05,0.008282913818440317
ENSMUSG00000032594,4.0313687,0.7620545,5.545294127481078e-05,0.008920578957937065
ENSMUSG00000032178,4.030225,2.223343,5.572357256349012e-05,0.008920578957937065
ENSMUSG00000039852,4.0298433,0.3907984,5.5814060693922474e-05,0.008920578957937065
ENSMUSG00000027104,4.0222154,0.47618008,5.765332085132687e-05,0.009079694944805308
ENSMUSG00000040797,4.007341,1.2858495,6.140622399217721e-05,0.009577294403804065
ENSMUSG00000022973,3.9821687,0.5256699,6.82893105070905e-05,0.01035079995174374
ENSMUSG00000054611,3.9493685,0.4649857,7.835766747579003e-05,0.0116044830020912
ENSMUSG00000045193,3.9226706,0.88675386,8.757283578148765e-05,0.012565728903134794
ENSMUSG00000003469,3.9146612,0.9783782,9.053120893371426e-05,0.012932743718694536
ENSMUSG00000033768,3.9100845,0.35210273,9.226383533893452e-05,0.01295103445181522
