gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000031775,4.2982454,1.1232165,1.7215533380985823e-05,0.1852678317350424
ENSMUSG00000040118,3.9824562,6.1127152,6.820671469360064e-05,0.5505134459707242
ENSMUSG00000026349,3.8596492,3.5807738,0.00011354994802996083,0.6042142079598738
ENSMUSG00000034709,3.7719297,1.1675298,0.00016198981944028976,0.6537301650787194
ENSMUSG00000036810,3.6842105,3.8532596,0.00022941257493082375,0.8229538868490716
ENSMUSG00000060803,3.5263157,3.7748704,0.00042138419282039286,1.0
ENSMUSG00000062591,3.508772,0.8576704,0.00045018076569501553,1.0
ENSMUSG00000062997,3.4210527,2.1135998,0.0006237925909605345,1.0
ENSMUSG00000009549,3.3947368,1.9076538,0.0006869459479925644,1.0
ENSMUSG00000039656,3.3859649,3.27021,0.0007092845199354818,1.0
ENSMUSG00000029802,3.2807016,4.53286,0.0010354917641616636,1.0
ENSMUSG00000090137,3.2807016,4.7069883,0.0010354917641616636,1.0
ENSMUSG00000022044,3.2807016,0.94571185,0.0010354917641616636,1.0
ENSMUSG00000020205,3.2807016,4.219804,0.0010354917641616636,1.0
ENSMUSG00000020458,3.2631578,0.60387826,0.001101781164624019,1.0
ENSMUSG00000007891,3.2280703,1.6228129,0.0012462839640072468,1.0
ENSMUSG00000090733,3.2280703,1.0578856,0.0012462839640072468,1.0
ENSMUSG00000040759,3.2105262,1.2789327,0.001324921364716461,1.0
ENSMUSG00000000538,3.1929824,0.9516196,0.0014081150128825817,1.0
ENSMUSG00000031532,3.1403508,1.3232064,0.0016874559283920694,1.0
ENSMUSG00000003380,3.131579,3.111336,0.0017386903249790914,1.0
ENSMUSG00000077450,3.122807,1.412431,0.0017913516296667966,1.0
ENSMUSG00000036352,3.0877192,3.1213045,0.002016988910908183,1.0
ENSMUSG00000001270,3.0701754,1.1665915,0.0021393306458392766,1.0
ENSMUSG00000023921,3.0614035,3.506814,0.0022030198543161257,1.0
ENSMUSG00000050447,3.0,3.7897756,0.0026997960632601866,1.0
ENSMUSG00000023088,2.991228,4.558218,0.0027785788552844907,1.0
ENSMUSG00000041889,2.9824562,0.7726362,0.0028594561618192544,1.0
ENSMUSG00000029106,2.9473684,0.82695264,0.003204911127755158,1.0
ENSMUSG00000018593,2.9473684,3.7054207,0.003204911127755158,1.0
ENSMUSG00000060402,2.9298246,4.2332587,0.003391534248114335,1.0
ENSMUSG00000022354,2.9035087,2.7052093,0.0036900663344934634,1.0
ENSMUSG00000017734,2.8947368,0.9944484,0.003794765167592737,1.0
ENSMUSG00000029397,2.868421,2.5899532,0.004125261365976938,1.0
