gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000050272,3.4391413,9.216411,0.0005835627387778287,1.0
ENSMUSG00000047793,3.3559363,7.2497635,0.0007909681707475441,1.0
ENSMUSG00000052512,3.3282013,6.695286,0.0008740872112984741,1.0
ENSMUSG00000079470,3.217261,7.2797713,0.0012942074272466837,1.0
ENSMUSG00000024921,2.995381,4.700047,0.0027410217733863287,1.0
ENSMUSG00000015165,2.995381,4.6022773,0.0027410217733863287,1.0
ENSMUSG00000046727,2.9399111,4.188268,0.0032830649171196424,1.0
ENSMUSG00000023923,2.828971,1.8170682,0.004669793015266091,1.0
ENSMUSG00000040606,2.828971,0.7476284,0.004669793015266091,1.0
ENSMUSG00000045095,2.801236,2.2151434,0.005090727632189921,1.0
ENSMUSG00000035284,2.773501,6.851685,0.005545667315244056,1.0
ENSMUSG00000031775,2.773501,0.8206459,0.005545667315244056,1.0
ENSMUSG00000052557,2.773501,5.9082155,0.005545667315244056,1.0
ENSMUSG00000029472,2.773501,5.0431175,0.005545667315244056,1.0
ENSMUSG00000033075,2.773501,35.29494,0.005545667315244056,1.0
ENSMUSG00000023026,2.662561,0.6653833,0.00775485258096941,1.0
ENSMUSG00000070639,2.662561,2.332998,0.00775485258096941,1.0
ENSMUSG00000023032,2.634826,6.169313,0.008418044065352098,1.0
ENSMUSG00000020485,2.607091,6.5909195,0.009131510935335652,1.0
ENSMUSG00000052609,2.607091,1.514075,0.009131510935335652,1.0
ENSMUSG00000055013,2.607091,1.1018462,0.009131510935335652,1.0
ENSMUSG00000034613,2.551621,6.4233174,0.010722311518222847,1.0
ENSMUSG00000034723,2.551621,3.055672,0.010722311518222847,1.0
ENSMUSG00000024500,2.551621,6.919416,0.010722311518222847,1.0
ENSMUSG00000018415,2.551621,4.362397,0.010722311518222847,1.0
ENSMUSG00000021087,2.523886,6.565588,0.011606559575880577,1.0
ENSMUSG00000020650,2.496151,35.15841,0.012554918596966533,1.0
ENSMUSG00000020181,2.496151,35.445427,0.012554918596966533,1.0
ENSMUSG00000028954,2.496151,5.645252,0.012554918596966533,1.0
ENSMUSG00000018501,2.496151,2.246507,0.012554918596966533,1.0
ENSMUSG00000064358,2.496151,0.74154574,0.012554918596966533,1.0
ENSMUSG00000032898,2.468416,5.4455204,0.013571254794631683,1.0
ENSMUSG00000049583,2.468416,6.263293,0.013571254794631683,1.0
ENSMUSG00000067336,2.468416,4.511979,0.013571254794631683,1.0
ENSMUSG00000022883,2.468416,5.7767773,0.013571254794631683,1.0
ENSMUSG00000040722,2.440681,2.1187568,0.014659603227530288,1.0
ENSMUSG00000024302,2.440681,2.1983557,0.014659603227530288,1.0
ENSMUSG00000035770,2.440681,2.1437767,0.014659603227530288,1.0
ENSMUSG00000026991,2.4129457,1.4654121,0.015824170195812896,1.0
ENSMUSG00000044042,2.4129457,6.4512124,0.015824170195812896,1.0
ENSMUSG00000096768,2.4129457,5.2756906,0.015824170195812896,1.0
ENSMUSG00000032059,2.4129457,5.8685603,0.015824170195812896,1.0
ENSMUSG00000037415,2.4129457,4.9483695,0.015824170195812896,1.0
ENSMUSG00000042082,2.4129457,3.7914398,0.015824170195812896,1.0
ENSMUSG00000039219,2.3852108,3.0388007,0.017069335261845658,1.0
ENSMUSG00000000125,2.3852108,5.2737637,0.017069335261845658,1.0
ENSMUSG00000085134,2.3852108,5.344696,0.017069335261845658,1.0
ENSMUSG00000074264,2.3852108,4.3582716,0.017069335261845658,1.0
ENSMUSG00000030704,2.3852108,1.1178893,0.017069335261845658,1.0
ENSMUSG00000022438,2.3852108,3.7852116,0.017069335261845658,1.0
ENSMUSG00000030216,2.3852108,5.1273003,0.017069335261845658,1.0
ENSMUSG00000034235,2.3852108,1.180716,0.017069335261845658,1.0
ENSMUSG00000036528,2.3852108,3.928074,0.017069335261845658,1.0
ENSMUSG00000038383,2.3852108,3.977766,0.017069335261845658,1.0
ENSMUSG00000022841,2.3574758,3.0247946,0.018399652861192658,1.0
ENSMUSG00000032913,2.3574758,4.759765,0.018399652861192658,1.0
ENSMUSG00000007721,2.3297408,5.7351513,0.01981985346894061,1.0
ENSMUSG00000032497,2.3297408,4.0708833,0.01981985346894061,1.0
ENSMUSG00000004207,2.3297408,1.1022764,0.01981985346894061,1.0
ENSMUSG00000032468,2.3297408,5.5328393,0.01981985346894061,1.0
ENSMUSG00000022523,2.3297408,5.5554876,0.01981985346894061,1.0
ENSMUSG00000004270,2.3297408,5.0331106,0.01981985346894061,1.0
ENSMUSG00000063406,2.3297408,4.8602004,0.01981985346894061,1.0
ENSMUSG00000027546,2.3297408,2.2699533,0.01981985346894061,1.0
ENSMUSG00000053714,2.3020058,5.886929,0.021334844286149877,1.0
ENSMUSG00000024283,2.2742708,0.5970217,0.022949709411095993,1.0
ENSMUSG00000095041,2.2742708,5.6438875,0.022949709411095993,1.0
ENSMUSG00000004530,2.2742708,5.36106,0.022949709411095993,1.0
ENSMUSG00000030967,2.2742708,4.2773547,0.022949709411095993,1.0
ENSMUSG00000041444,2.2742708,3.3303995,0.022949709411095993,1.0
ENSMUSG00000027273,2.2742708,4.87065,0.022949709411095993,1.0
ENSMUSG00000020111,2.2742708,4.3477383,0.022949709411095993,1.0
ENSMUSG00000020863,2.2742708,2.5876575,0.022949709411095993,1.0
ENSMUSG00000028664,2.2742708,5.9763994,0.022949709411095993,1.0
ENSMUSG00000022914,2.2742708,2.342894,0.022949709411095993,1.0
ENSMUSG00000025503,2.2742708,1.172049,0.022949709411095993,1.0
ENSMUSG00000026223,2.2465358,3.0451138,0.024669709460034658,1.0
ENSMUSG00000040270,2.2465358,3.3106642,0.024669709460034658,1.0
ENSMUSG00000064357,2.2188008,0.5691946,0.026500280602491877,1.0
ENSMUSG00000034593,2.2188008,3.1741815,0.026500280602491877,1.0
ENSMUSG00000032507,2.2188008,34.180744,0.026500280602491877,1.0
ENSMUSG00000024640,2.2188008,2.0871787,0.026500280602491877,1.0
ENSMUSG00000041278,2.2188008,34.204647,0.026500280602491877,1.0
ENSMUSG00000071456,2.2188008,34.729652,0.026500280602491877,1.0
ENSMUSG00000016349,2.2188008,5.433984,0.026500280602491877,1.0
ENSMUSG00000116305,2.2188008,4.263958,0.026500280602491877,1.0
ENSMUSG00000025255,2.2188008,4.211468,0.026500280602491877,1.0
ENSMUSG00000003752,2.2188008,34.306202,0.026500280602491877,1.0
ENSMUSG00000030990,2.2188008,3.103012,0.026500280602491877,1.0
ENSMUSG00000026179,2.2188008,4.7316203,0.026500280602491877,1.0
ENSMUSG00000007021,2.2188008,34.109745,0.026500280602491877,1.0
ENSMUSG00000024012,2.2188008,3.5340745,0.026500280602491877,1.0
ENSMUSG00000000340,2.2188008,5.702437,0.026500280602491877,1.0
ENSMUSG00000043015,2.2188008,33.984707,0.026500280602491877,1.0
ENSMUSG00000024789,2.2188008,4.3167777,0.026500280602491877,1.0
ENSMUSG00000033454,2.1910658,5.522503,0.028447032976563036,1.0
ENSMUSG00000022761,2.1910658,3.8661048,0.028447032976563036,1.0
ENSMUSG00000070498,2.1910658,1.417216,0.028447032976563036,1.0
ENSMUSG00000073427,2.1910658,5.6803336,0.028447032976563036,1.0
ENSMUSG00000021838,2.1910658,3.3706455,0.028447032976563036,1.0
ENSMUSG00000002996,2.1910658,5.0452466,0.028447032976563036,1.0
ENSMUSG00000020919,2.1633308,4.575162,0.030515748450409167,1.0
ENSMUSG00000025404,2.1633308,2.7158027,0.030515748450409167,1.0
ENSMUSG00000061080,2.1633308,2.8586755,0.030515748450409167,1.0
ENSMUSG00000064351,2.1633308,0.60318995,0.030515748450409167,1.0
ENSMUSG00000024135,2.1633308,4.3367467,0.030515748450409167,1.0
ENSMUSG00000026335,2.1633308,4.9083767,0.030515748450409167,1.0
ENSMUSG00000030697,2.1633308,5.362679,0.030515748450409167,1.0
ENSMUSG00000056222,2.1633308,6.3746386,0.030515748450409167,1.0
ENSMUSG00000001120,2.1633308,5.6155915,0.030515748450409167,1.0
ENSMUSG00000061136,2.1355958,2.9016433,0.0327123776970761,1.0
ENSMUSG00000109006,2.1355958,4.3524733,0.0327123776970761,1.0
ENSMUSG00000024357,2.1355958,3.58143,0.0327123776970761,1.0
ENSMUSG00000040446,2.1355958,2.833542,0.0327123776970761,1.0
ENSMUSG00000019782,2.1078608,4.9757767,0.03504303655094346,1.0
ENSMUSG00000000915,2.1078608,4.2887335,0.03504303655094346,1.0
ENSMUSG00000040118,2.1078608,3.5432146,0.03504303655094346,1.0
ENSMUSG00000058318,2.1078608,0.30868793,0.03504303655094346,1.0
ENSMUSG00000028385,2.1078608,1.0635055,0.03504303655094346,1.0
ENSMUSG00000043259,2.1078608,2.269459,0.03504303655094346,1.0
ENSMUSG00000018076,2.1078608,2.5837564,0.03504303655094346,1.0
ENSMUSG00000022257,2.1078608,3.218665,0.03504303655094346,1.0
ENSMUSG00000048799,2.1078608,5.18241,0.03504303655094346,1.0
ENSMUSG00000053877,2.1078608,3.2876832,0.03504303655094346,1.0
ENSMUSG00000022840,2.0801258,3.0253966,0.037514001615540006,1.0
ENSMUSG00000034993,2.0801258,4.583766,0.037514001615540006,1.0
ENSMUSG00000029840,2.0801258,2.5526588,0.037514001615540006,1.0
ENSMUSG00000018372,2.0523908,4.847863,0.04013170509414969,1.0
ENSMUSG00000021690,2.0523908,0.8253144,0.04013170509414969,1.0
ENSMUSG00000026556,2.0523908,5.266494,0.04013170509414969,1.0
