gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000027199,27.126593,0.73033124,4.783220462464648e-162,3.86065681576678e-158
ENSMUSG00000041828,26.886713,5.658283,3.141125632081953e-159,1.6901873505294307e-155
ENSMUSG00000064370,26.67443,0.8128863,9.321692119386203e-157,4.2992975724911943e-153
ENSMUSG00000033308,26.144938,6.0297,1.125250028824755e-150,4.5410871475759017e-147
ENSMUSG00000058135,24.865564,5.456271,1.755118983274073e-136,6.296001819444827e-133
ENSMUSG00000090733,24.189045,1.5319487,2.901279455083716e-129,9.366780720737777e-126
ENSMUSG00000064351,23.605875,0.5459573,3.354267330734651e-123,9.844774615706203e-120
ENSMUSG00000064341,22.991163,0.757052,5.7136776134432525e-117,1.537217347916795e-113
ENSMUSG00000090137,22.970705,5.1119866,9.151338609484057e-117,2.2726997462091754e-113
ENSMUSG00000037742,21.813555,0.67613226,1.7253314616534963e-105,3.4813953899676955e-102
ENSMUSG00000029580,21.043934,1.3126485,2.5990118551353885e-98,4.661616541280334e-95
ENSMUSG00000024810,20.322119,3.2085006,8.196118768503964e-92,1.392693128637634e-88
ENSMUSG00000036510,20.266705,5.6016254,2.5304416509539545e-91,4.084765435052421e-88
ENSMUSG00000022048,19.994259,0.78408366,6.1790192843746886e-89,9.067710799819856e-86
ENSMUSG00000041841,19.989199,0.9384033,6.838541115469333e-89,9.599230430996844e-86
ENSMUSG00000020181,19.699896,4.689501,2.1606577820164353e-86,2.9065348538500254e-83
ENSMUSG00000039001,19.623465,0.8142933,9.747878409423673e-86,1.2588410177929732e-82
ENSMUSG00000064360,19.540264,0.6455425,4.9922388757019574e-85,6.199016619309142e-82
ENSMUSG00000030701,19.49612,0.95474494,1.1843374917828493e-84,1.416160589711455e-81
ENSMUSG00000006651,19.348877,0.53667784,2.0833580506819092e-83,2.4021862380809086e-80
ENSMUSG00000060803,18.95278,4.4210157,4.188583015164672e-80,4.663048367054877e-77
ENSMUSG00000034892,18.542776,0.7154404,9.327948223215402e-77,1.0038426946216976e-73
