gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000064351,12.7215395,0.67332,4.489267564728538e-37,7.246800166363042e-33
ENSMUSG00000064358,11.691108,0.6591532,1.4152874856199945e-31,1.142313911831038e-27
ENSMUSG00000041828,11.260361,5.125991,2.0591322854570014e-29,1.126235481690156e-25
ENSMUSG00000033308,11.258922,6.055318,2.093050298944072e-29,1.126235481690156e-25
ENSMUSG00000036510,11.184771,6.72005,4.8415645698639017e-29,2.2329987448293726e-25
ENSMUSG00000021268,10.94384,2.1949222,7.112194800581585e-28,2.2961720913677648e-24
ENSMUSG00000022883,10.640518,4.94841,1.930528572032415e-26,5.666101358915138e-23
ENSMUSG00000064357,8.575575,0.4151883,9.859329131600626e-18,1.5157544810177437e-14
ENSMUSG00000064363,8.351203,0.4419005,6.757145093230385e-17,9.91611042431559e-14
ENSMUSG00000044349,8.329365,2.1942692,8.127696620915249e-17,1.140881240896734e-13
ENSMUSG00000021087,8.2089,4.3738647,2.2322368935610953e-16,3.0028236711924984e-13
ENSMUSG00000064354,8.121071,0.41213194,4.620872084764093e-16,5.737879048331106e-13
ENSMUSG00000027273,8.010924,4.3778276,1.1384906541388597e-15,1.3127203846026102e-12
ENSMUSG00000021991,7.9823685,5.24762,1.43551902301068e-15,1.5981286778586138e-12
ENSMUSG00000020181,7.949972,3.9648488,1.8655313790568165e-15,2.007622685761644e-12
ENSMUSG00000062825,7.9334145,1.7371646,2.132015060637593e-15,2.22039052363499e-12
ENSMUSG00000022285,7.6992035,2.0145977,1.3691696260959326e-14,1.3395042841971873e-11
ENSMUSG00000029580,7.6459303,0.8910089,2.0744029380173277e-14,1.860336079274706e-11
ENSMUSG00000064370,7.4844303,0.43086404,7.185821635461813e-14,5.799856287522116e-11
ENSMUSG00000036438,7.476511,1.6098726,7.632165521386299e-14,6.009864972145284e-11
ENSMUSG00000026904,7.4582734,3.8153777,8.766359558373324e-14,6.738617103382924e-11
ENSMUSG00000058135,7.452994,3.4046636,9.124536731245257e-14,6.850829496936119e-11
ENSMUSG00000027827,7.372124,3.5728824,1.6793052242537888e-13,1.2321902082962177e-10
ENSMUSG00000021913,7.365165,4.2819753,1.769278816174244e-13,1.269359257337455e-10
ENSMUSG00000064341,7.253099,0.44907984,4.0734232308882453e-13,2.8589232393310213e-10
ENSMUSG00000019923,7.053444,3.2979038,1.7454310573663398e-12,1.1500253405524956e-09
ENSMUSG00000034656,6.979053,3.9229307,2.9717641294343333e-12,1.8812432337017144e-09
ENSMUSG00000114189,6.9447374,4.4224005,3.791653879835587e-12,2.3096895379338097e-09
ENSMUSG00000002808,6.9281793,3.299583,4.2629125730016766e-12,2.548669118877021e-09
ENSMUSG00000030701,6.8317113,0.47789106,8.390759512050702e-12,4.752555628886964e-09
ENSMUSG00000022708,6.7841973,0.524821,1.1673380349411805e-11,6.497846285875174e-09
ENSMUSG00000052512,6.767879,3.2831326,1.3068378443084275e-11,7.151060983643658e-09
ENSMUSG00000034265,6.6870093,1.0554582,2.2777747523958588e-11,1.1672691727158777e-08
ENSMUSG00000024810,6.651734,2.476332,2.8966057235225913e-11,1.4387217812911824e-08
ENSMUSG00000097098,6.642615,4.9342394,3.081665225240347e-11,1.4946536003692563e-08
ENSMUSG00000034245,6.641655,1.8063116,3.1018055203574475e-11,1.4946536003692563e-08
ENSMUSG00000095041,6.5811825,3.1050677,4.6672157311255763e-11,2.1837834765128875e-08
ENSMUSG00000045095,6.5051117,1.5732386,7.763559081929227e-11,3.433513766576509e-08
ENSMUSG00000090125,6.4352803,2.6864665,1.2324549068697237e-10,5.377000901120139e-08
ENSMUSG00000022817,6.311936,4.7950487,2.7556645226632585e-10,1.1405978091561963e-07
ENSMUSG00000030849,6.302337,0.4530294,2.9319072582766753e-10,1.1832078229182808e-07
ENSMUSG00000066113,6.1727533,1.815317,6.711095282316582e-10,2.5193919905766375e-07
ENSMUSG00000029757,6.1540356,3.480313,7.553577876938953e-10,2.74008159277499e-07
ENSMUSG00000033569,6.11756,2.9137511,9.501898850772028e-10,3.334443526056249e-07
ENSMUSG00000026576,6.092843,3.144052,1.1092278810284543e-09,3.8506905525810376e-07
