gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000073411,17.031622,5.497207,4.7858998192509025e-65,5.150425855483846e-61
ENSMUSG00000079641,16.976414,1.9034352,1.2276195759298488e-64,9.908424502223792e-61
ENSMUSG00000090137,15.903785,6.468082,5.964978719452305e-57,2.7511333993931096e-53
ENSMUSG00000060802,15.883027,1.972878,8.307117676876854e-57,3.3524411774746154e-53
ENSMUSG00000024661,15.722718,1.7428567,1.056894887016901e-55,3.791316825260072e-52
ENSMUSG00000041841,15.681641,1.7447743,2.019706810300894e-55,6.520623437056436e-52
ENSMUSG00000046330,15.378723,1.5648495,2.2738902303664996e-53,6.673867826125677e-50
ENSMUSG00000067288,15.372459,1.9104337,2.504789880228813e-53,6.738928440265602e-50
ENSMUSG00000039001,15.182726,1.8101437,4.6024997658220946e-52,1.143013114919741e-48
ENSMUSG00000062997,15.1525,3.3269403,7.29387261131812e-52,1.6820191232600393e-48
ENSMUSG00000034892,14.75468,1.2793733,2.8705242448089508e-49,5.792179702728561e-46
ENSMUSG00000038642,13.961078,1.2416534,2.693293749884433e-44,5.11488168911876e-41
ENSMUSG00000090733,13.890283,1.631373,7.254804097365795e-44,1.3012297237969702e-40
ENSMUSG00000037742,13.839882,1.297362,1.4644719831680798e-43,2.4884462092937606e-40
ENSMUSG00000036896,13.824805,0.9080168,1.8060089586874465e-43,2.9153499615612105e-40
ENSMUSG00000057322,13.654592,1.9563859,1.8954902360835256e-42,2.781631921452574e-39
ENSMUSG00000079435,13.451457,2.6737654,3.018650363764836e-41,4.0607136247561556e-38
ENSMUSG00000093674,13.162232,1.7425932,1.4474502659496746e-39,1.86923727344741e-36
ENSMUSG00000069516,13.126034,5.8664637,2.3357329339636182e-39,2.900351452808285e-36
ENSMUSG00000008682,12.885535,1.432036,5.429746115309785e-38,6.260691190456301e-35
ENSMUSG00000058600,12.73557,1.2609379,3.750982205329157e-37,4.175877948243166e-34
ENSMUSG00000057863,12.568997,1.9029377,3.126619731050836e-36,3.2562231618379434e-33
ENSMUSG00000022108,12.557781,1.3572636,3.602943407652676e-36,3.6350321223770824e-33
ENSMUSG00000062006,12.376279,1.1494211,3.5125577781531993e-35,3.4364523596265464e-32
ENSMUSG00000060636,12.315899,1.0651349,7.438165289713574e-35,7.062975481717728e-32
ENSMUSG00000037706,12.273655,1.0661389,1.254590926316328e-34,1.1572705158892186e-31
ENSMUSG00000071415,12.254499,1.319782,1.5892697077162918e-34,1.4252659031561242e-31
ENSMUSG00000004207,12.158213,1.1527958,5.1881207456829875e-34,4.526985899307439e-31
ENSMUSG00000058715,12.12704,1.9804871,7.594525303135392e-34,6.452348668729635e-31
ENSMUSG00000007892,12.116916,0.8400737,8.593225426830262e-34,7.113648279620898e-31
ENSMUSG00000025290,12.021358,1.0037135,2.7442553728919073e-33,2.2149571178453807e-30
ENSMUSG00000038274,11.837087,1.2149788,2.510209354412144e-32,1.9766368050535627e-29
ENSMUSG00000036887,11.787851,0.7927144,4.5089952842698285e-32,3.466021732205986e-29
ENSMUSG00000036905,11.783117,1.0279906,4.7696149376717063e-32,3.581093447970489e-29
ENSMUSG00000028234,11.688869,1.1465534,1.453080870966659e-31,1.0330433610681786e-28
ENSMUSG00000021242,11.687777,2.5736394,1.4718908040618313e-31,1.0330433610681786e-28
ENSMUSG00000057841,11.66833,1.1116178,1.8501920990754833e-31,1.270924508907489e-28
ENSMUSG00000025508,11.579909,1.1608278,5.21010781076977e-31,3.504340222306292e-28
ENSMUSG00000061983,11.573718,0.89836746,5.600179197839897e-31,3.6898323551481856e-28
ENSMUSG00000016256,11.439048,2.2909636,2.667967047355901e-30,1.688927767135005e-27
ENSMUSG00000008683,11.400009,1.1991787,4.1807612716617175e-30,2.5956899549153566e-27
ENSMUSG00000021939,11.31523,1.49414,1.1031271660458435e-29,6.719709538828313e-27
ENSMUSG00000061232,11.094907,3.150012,1.3279883167370838e-28,7.656089786760134e-26
ENSMUSG00000012848,11.03562,2.0160234,2.572725218697445e-28,1.4320764428559827e-25
ENSMUSG00000000682,10.985218,3.5780747,4.501496093198932e-28,2.4221800228154587e-25
ENSMUSG00000006333,10.968393,1.1605955,5.422731077225715e-28,2.8237560133585843e-25
ENSMUSG00000046364,10.891262,0.85959977,1.2686979013839862e-27,6.501573293044761e-25
ENSMUSG00000028936,10.837802,1.806871,2.278808803961819e-27,1.1318668036293435e-24
ENSMUSG00000060143,10.819157,3.8789616,2.7933722655859104e-27,1.3664245999157745e-24
ENSMUSG00000047675,10.787182,1.3489653,3.9573849265063545e-27,1.9069279455560844e-24
ENSMUSG00000044533,10.577784,1.5046698,3.7778895899573575e-26,1.7936641972319601e-23
ENSMUSG00000017404,10.56023,1.0834751,4.555412513762645e-26,2.1314709131424202e-23
ENSMUSG00000047215,10.487105,1.0547302,9.901571447746916e-26,4.5667462027215597e-23
ENSMUSG00000041453,10.438744,1.1977686,1.64980444203996e-25,7.501962874825367e-23
ENSMUSG00000026656,10.388997,3.9837518,2.7826264064761816e-25,1.2477374101817155e-22
ENSMUSG00000028081,10.309317,1.0257223,6.395433483080947e-25,2.828446164400937e-22
ENSMUSG00000003429,10.256075,1.0792241,1.1113245282828961e-24,4.848528702109905e-22
ENSMUSG00000049517,10.212156,0.8439139,1.749339120831903e-24,7.530321802141065e-22
ENSMUSG00000029614,10.048789,1.2229253,9.300337809032398e-24,3.9508079758501446e-21
ENSMUSG00000032359,9.973406,2.141424,1.992764518234077e-23,8.24825672707528e-21
ENSMUSG00000032518,9.885859,1.5782828,4.794530806763827e-23,1.9348928387046268e-20
ENSMUSG00000040612,9.797657,5.480708,1.152278771567401e-22,4.482086763861872e-20
ENSMUSG00000037805,9.785202,1.9929284,1.303348959398792e-22,5.009359661213095e-20
ENSMUSG00000020460,9.762041,1.0143126,1.6382509552971939e-22,6.222462599031753e-20
ENSMUSG00000032554,9.737205,2.6025765,2.0923163616058126e-22,7.854701597028332e-20
ENSMUSG00000025362,9.733708,2.2006307,2.165517182910229e-22,7.944741164801902e-20
ENSMUSG00000060938,9.693577,0.93309194,3.2108376903049146e-22,1.1517988314610463e-19
ENSMUSG00000037563,9.574638,1.0366565,1.0221452177189238e-21,3.586951995006027e-19
ENSMUSG00000045128,9.561455,1.076809,1.1611237388022106e-21,3.9907738957835756e-19
ENSMUSG00000031447,9.561382,2.2602081,1.1619412922523033e-21,3.9907738957835756e-19
ENSMUSG00000000740,9.5350895,0.9248168,1.4975668232015523e-21,5.089362619690749e-19
ENSMUSG00000064351,9.4683,1.333415,2.8443411338890613e-21,9.565578490375868e-19
ENSMUSG00000071866,9.398453,2.0082245,5.537153228526534e-21,1.8429586802368985e-18
ENSMUSG00000009927,9.351255,0.9437713,8.66132081828477e-21,2.8533749246767736e-18
ENSMUSG00000062328,9.349727,1.080018,8.787489027806936e-21,2.8656978107348175e-18
ENSMUSG00000052146,9.333411,0.86502165,1.0251704385855386e-20,3.309762760973411e-18
ENSMUSG00000060126,9.296848,0.65183645,1.4467002313285137e-20,4.624427422617927e-18
ENSMUSG00000058546,9.224889,0.9998717,2.8385632719204306e-20,8.984609336661872e-18
