gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000021268,4.1040783,2.8943675,4.059296112269734e-05,1.0
ENSMUSG00000061080,3.484862,6.8529716,0.0004923906505841428,1.0
ENSMUSG00000055430,3.3110697,6.1947637,0.0009294008564581914,1.0
ENSMUSG00000032000,3.2055068,37.10423,0.0013482488989633823,1.0
ENSMUSG00000096768,3.184909,6.4283257,0.001447994812091994,1.0
ENSMUSG00000039278,2.9480364,35.854633,0.0031979949198259476,1.0
ENSMUSG00000064351,2.914565,3.2034194,0.00356184441139117,1.0
ENSMUSG00000092274,2.9107032,6.9140096,0.003606165009612885,1.0
ENSMUSG00000051652,2.8579216,35.67964,0.0042642564101714325,1.0
ENSMUSG00000023992,2.7845426,2.1463792,0.005360327915663952,1.0
ENSMUSG00000002265,2.74206,5.9129105,0.0061055191389849045,1.0
ENSMUSG00000020859,2.650658,5.640015,0.008033514667963801,1.0
ENSMUSG00000064358,2.6184742,3.027848,0.00883239757367773,1.0
ENSMUSG00000035864,2.6158996,5.1625514,0.008899275352374445,1.0
ENSMUSG00000021939,2.6094627,2.1490152,0.009068452795154454,1.0
ENSMUSG00000020143,2.559256,0.39283422,0.010489646919979107,1.0
ENSMUSG00000024397,2.5103366,1.9383016,0.012061612806099955,1.0
ENSMUSG00000060802,2.4923136,1.0773556,0.012691390035638567,1.0
ENSMUSG00000064115,2.471716,34.829903,0.013446627688210802,1.0
ENSMUSG00000043384,2.4562678,4.4521327,0.014038848981047283,1.0
ENSMUSG00000064354,2.4485438,2.676294,0.014343502868313335,1.0
ENSMUSG00000040565,2.4305208,4.797723,0.01507714179067524,1.0
ENSMUSG00000074129,2.4305208,0.73527473,0.01507714179067524,1.0
ENSMUSG00000040552,2.427946,4.982743,0.015184601118767271,1.0
ENSMUSG00000052727,2.4150724,5.7496905,0.015732075910304746,1.0
ENSMUSG00000064357,2.3970497,2.239095,0.016527685486186917,1.0
ENSMUSG00000029999,2.3816013,34.687702,0.017237544722029166,1.0
ENSMUSG00000060739,2.3816013,3.230369,0.017237544722029166,1.0
ENSMUSG00000029484,2.376452,3.4101768,0.017480036285800325,1.0
ENSMUSG00000024401,2.3738773,5.067467,0.01760239981377551,1.0
ENSMUSG00000044471,2.3713026,4.7028,0.017725513521338207,1.0
ENSMUSG00000023004,2.3610039,4.498998,0.018225545904667684,1.0
ENSMUSG00000034341,2.354567,5.526865,0.018544300413209282,1.0
ENSMUSG00000019986,2.3455555,5.0067377,0.01899874813294869,1.0
ENSMUSG00000027273,2.3275325,5.1605396,0.019936935794242883,1.0
ENSMUSG00000039286,2.3275325,5.4697714,0.019936935794242883,1.0
ENSMUSG00000018930,2.3120844,5.779359,0.020773033853461912,1.0
ENSMUSG00000018707,2.303073,5.7676435,0.021274741002649977,1.0
ENSMUSG00000061983,2.296636,0.54569477,0.021639534445044253,1.0
ENSMUSG00000043388,2.288912,5.452265,0.022084463536327616,1.0
ENSMUSG00000020390,2.2657397,5.4521413,0.023467325133136582,1.0
ENSMUSG00000025551,2.2567282,5.6481524,0.024025061245987158,1.0
ENSMUSG00000040746,2.2399926,34.39198,0.025091399351913554,1.0
ENSMUSG00000010376,2.229694,4.647097,0.025767774866260713,1.0
ENSMUSG00000001525,2.2245445,4.9864426,0.026111836327528504,1.0
ENSMUSG00000064356,2.219395,4.642813,0.026459861694395587,1.0
ENSMUSG00000097415,2.167901,1.7403561,0.030166224119466577,1.0
ENSMUSG00000064341,2.1666136,5.3999133,0.030264330227463002,1.0
ENSMUSG00000006519,2.157602,3.0322711,0.030958779272092937,1.0
ENSMUSG00000095041,2.1267056,2.9603233,0.03344454566305503,1.0
ENSMUSG00000031320,2.1189816,0.4595094,0.03409202512409732,1.0
ENSMUSG00000025151,2.1125448,4.254675,0.03463974741711917,1.0
ENSMUSG00000039218,2.10997,2.5622365,0.03486093154830276,1.0
ENSMUSG00000052512,2.106108,0.63054484,0.03519496845003584,1.0
ENSMUSG00000022415,2.0970967,3.726361,0.035985026938486,1.0
ENSMUSG00000027523,2.0932345,2.0047626,0.03632822456746509,1.0
ENSMUSG00000026576,2.0906599,4.3960524,0.03655856953343151,1.0
ENSMUSG00000009013,2.080361,4.999816,0.037492433624494156,1.0
ENSMUSG00000037405,2.0790737,3.9155324,0.03761058179970495,1.0
ENSMUSG00000034723,2.0649128,3.9224873,0.038931254169764395,1.0
ENSMUSG00000037852,2.062338,5.02357,0.03917556090345388,1.0
ENSMUSG00000033880,2.0597634,33.97064,0.039421168333551616,1.0
ENSMUSG00000022952,2.0520391,0.49094427,0.0401658477373176,1.0
ENSMUSG00000035242,2.036591,3.4066741,0.041691042611418795,1.0
ENSMUSG00000020982,2.0340164,33.86011,0.04194994961145529,1.0
ENSMUSG00000035352,2.0262923,4.773184,0.04273484893253752,1.0
ENSMUSG00000046718,2.0211427,33.942566,0.04326498457825854,1.0
ENSMUSG00000035356,2.0211427,2.5959563,0.04326498457825854,1.0
ENSMUSG00000024335,2.0121315,4.9182587,0.04420609397727729,1.0
ENSMUSG00000028800,2.0082693,33.930458,0.044614684275287815,1.0
ENSMUSG00000026825,2.00312,4.903018,0.045164423337749074,1.0
ENSMUSG00000089809,1.9953958,4.3125486,0.04599973291903895,1.0
ENSMUSG00000035284,1.9953958,33.79263,0.04599973291903895,1.0
ENSMUSG00000036699,1.9953958,33.74445,0.04599973291903895,1.0
ENSMUSG00000040612,1.9915338,4.874306,0.04642224359667779,1.0
ENSMUSG00000020680,1.9876716,5.139709,0.04684801650486056,1.0
ENSMUSG00000078671,1.9850969,2.2531347,0.04713368673686822,1.0
ENSMUSG00000003429,1.9773729,0.38474664,0.047999502640403244,1.0
ENSMUSG00000033209,1.9773729,2.6132572,0.047999502640403244,1.0
ENSMUSG00000025855,1.9696487,33.708534,0.04887864397761914,1.0
ENSMUSG00000029088,1.963212,2.929299,0.04962155042574482,1.0
ENSMUSG00000062006,1.9593499,0.38033202,0.050071823403805775,1.0
ENSMUSG00000040943,1.9542005,4.786038,0.05067751097971857,1.0
ENSMUSG00000044349,1.9516258,0.36411673,0.050982649088921805,1.0
ENSMUSG00000050711,1.9477637,4.737363,0.051443240159697305,1.0
ENSMUSG00000021577,1.945189,4.6126723,0.051752231793823794,1.0
ENSMUSG00000059586,1.9439017,4.195945,0.05190730902833266,1.0
ENSMUSG00000024338,1.937465,4.8909326,0.05268853798225271,1.0
ENSMUSG00000061904,1.9361776,3.3472695,0.05284595734337007,1.0
ENSMUSG00000063234,1.9284534,4.291173,0.053798748805219725,1.0
ENSMUSG00000015396,1.9258788,1.8225721,0.054119515722605795,1.0
ENSMUSG00000021025,1.9233041,0.11375855,0.05444187713365534,1.0
ENSMUSG00000046201,1.9130052,4.2695923,0.055747383394355074,1.0
ENSMUSG00000025351,1.9104306,3.8427925,0.056077804097685945,1.0
ENSMUSG00000040687,1.9052811,33.59682,0.05674353914827544,1.0
ENSMUSG00000026353,1.9052811,4.0657225,0.05674353914827544,1.0
ENSMUSG00000000740,1.9027064,0.57717866,0.05707886514599388,1.0
ENSMUSG00000031497,1.8924075,33.57816,0.05843669519412786,1.0
ENSMUSG00000026434,1.8846835,4.589175,0.05947258404546103,1.0
ENSMUSG00000060579,1.8846835,3.892056,0.05947258404546103,1.0
ENSMUSG00000018451,1.8833961,4.645653,0.05964670471938651,1.0
ENSMUSG00000021458,1.8821088,3.8543608,0.05982124807740075,1.0
