gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000029309,29.716507,4.8382864,4.699604815114298e-194,1.5172674145596511e-189
ENSMUSG00000002985,24.388584,2.7531445,2.2604605830090713e-131,3.6489484961223934e-127
ENSMUSG00000026385,23.637966,1.5334257,1.5696136001223438e-123,1.689165835998329e-119
ENSMUSG00000046160,20.072868,0.8169958,1.2743267753898313e-89,6.856939990576783e-86
ENSMUSG00000031760,20.006042,1.8419509,4.878731800762765e-89,2.2501408026803697e-85
ENSMUSG00000001270,18.856352,1.8407542,2.6059325993530384e-79,9.348059330012537e-76
ENSMUSG00000019505,18.235165,1.9050527,2.714375058269917e-74,7.302799896353688e-71
ENSMUSG00000069662,18.101477,0.71170163,3.1023314340347284e-73,7.704520795985478e-70
ENSMUSG00000064341,17.510794,1.0330025,1.1852837614458331e-68,2.733349017019909e-65
ENSMUSG00000022108,17.480892,2.3662798,2.003364936347562e-68,4.311909131332069e-65
ENSMUSG00000017390,17.419033,3.2303765,5.916834858004681e-68,1.1939063336917571e-64
ENSMUSG00000055435,16.96757,4.375559,1.4271608996860812e-64,2.559771647020285e-61
ENSMUSG00000040118,16.787241,3.6830072,3.0259133446022936e-63,4.884580616524252e-60
ENSMUSG00000031425,16.713322,2.3690894,1.048315484522605e-62,1.611660257991062e-59
ENSMUSG00000062380,16.480352,4.33587,5.078718701551484e-61,7.453019694526803e-58
ENSMUSG00000044080,16.250614,1.8218414,2.2113977273087304e-59,2.9747906510900984e-56
ENSMUSG00000029580,16.210249,1.2983996,4.2683769538381e-59,5.300174998256272e-56
ENSMUSG00000037706,15.966605,1.5088905,2.183524795273683e-57,2.5176820719789594e-54
ENSMUSG00000071866,15.890238,2.3015652,7.404623288348563e-57,8.243388374632184e-54
ENSMUSG00000031765,15.8845625,2.5622985,8.10615273014254e-57,8.723571363088397e-54
ENSMUSG00000027447,15.7204075,2.3269897,1.0961722705066626e-55,1.1416103791389549e-52
ENSMUSG00000064370,15.5506115,0.7271888,1.5759320820208273e-54,1.541786886910376e-51
ENSMUSG00000041329,15.416783,1.6653056,1.2623760494103783e-53,1.1644517358632588e-50
ENSMUSG00000039830,15.27093,0.9368036,1.1945670162754078e-52,1.0712943366792094e-49
ENSMUSG00000063531,15.23507,4.046412,2.069053641903525e-52,1.805389103482576e-49
ENSMUSG00000035885,14.829399,1.0884665,9.457617989823062e-50,7.633479920035939e-47
ENSMUSG00000022123,14.809004,4.218869,1.2812567171686324e-49,1.0089115393607144e-46
ENSMUSG00000033208,14.634029,1.398557,1.703892740513497e-48,1.2793064448250755e-45
ENSMUSG00000092341,14.578696,0.37332943,3.8377548917254113e-48,2.815952651803521e-45
ENSMUSG00000032324,14.555641,1.1808429,5.377963125384334e-48,3.858389766734072e-45
ENSMUSG00000046768,14.36201,3.583609,8.959103224960688e-47,6.025930158705329e-44
