gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000032238,7.4481235,1.0950197,9.467726685257852e-14,7.992756411042209e-10
ENSMUSG00000097156,7.442193,0.9741492,9.902749154148625e-14,7.992756411042209e-10
ENSMUSG00000040118,7.189785,4.0788846,6.489332529207275e-13,2.9929728672208125e-09
ENSMUSG00000030077,6.589359,4.1902947,4.417302856282253e-11,1.4261262271507253e-07
ENSMUSG00000022112,6.4675665,0.7957613,9.959363892110098e-11,2.296700451834104e-07
ENSMUSG00000036466,6.2932677,0.93346584,3.108511292303391e-10,5.575460392889721e-07
ENSMUSG00000029309,6.25349,2.9681354,4.0137974504861616e-10,6.820286878365564e-07
ENSMUSG00000063972,6.132132,3.433561,8.670909701050113e-10,1.2171318247756647e-06
ENSMUSG00000063531,6.0453444,4.1996365,1.4909127938544997e-09,1.8983943190692688e-06
ENSMUSG00000050272,6.041294,0.5568187,1.5288292487471268e-09,1.8983943190692688e-06
ENSMUSG00000045095,5.830834,1.6027228,5.515104872057865e-09,5.935172026479606e-06
ENSMUSG00000060882,5.771529,0.47207665,7.855544144902353e-09,8.181169119941047e-06
ENSMUSG00000022123,5.6825714,4.503147,1.3268436629134395e-08,1.298095383550315e-05
ENSMUSG00000055435,5.6764965,4.0340123,1.3748143220563385e-08,1.3054670702232026e-05
ENSMUSG00000060924,5.5202785,0.4333426,3.3846280023720874e-08,3.0353531960161897e-05
ENSMUSG00000049044,5.4904814,3.6487637,4.008397613237356e-08,3.497597755226163e-05
ENSMUSG00000059974,5.4805007,0.48934397,4.2412363479438935e-08,3.6033767235097e-05
ENSMUSG00000066392,5.3011394,0.6252433,1.1508212923358056e-07,9.062015956844264e-05
ENSMUSG00000044349,5.291882,1.3008664,1.2106392771021892e-07,9.27848502334246e-05
ENSMUSG00000008658,5.288121,0.69092274,1.2357901688205848e-07,9.27848502334246e-05
ENSMUSG00000095041,5.266858,2.6978803,1.38778233254925e-07,0.00010182852865080122
ENSMUSG00000074415,5.234602,2.4466388,1.6534056352017019e-07,0.00011482664406468537
ENSMUSG00000046768,5.1531663,3.5100849,2.5612453110475047e-07,0.00015601849974937487
ENSMUSG00000087259,5.1417394,1.5226461,2.722066170329256e-07,0.0001627442709427408
ENSMUSG00000008575,5.105578,0.65351486,3.2978531656459303e-07,0.0001935839808234161
ENSMUSG00000053141,5.091981,0.5055834,3.5434156889203724e-07,0.00020428424199427542
ENSMUSG00000069769,5.0351353,1.9119941,4.775120318167386e-07,0.00025272911388858046
ENSMUSG00000061080,4.989282,0.27825907,6.060405746678208e-07,0.000305719061767978
ENSMUSG00000029608,4.9065447,2.2928224,9.269493331920172e-07,0.00043371824959571414
ENSMUSG00000050965,4.849843,1.4098786,1.2355907945295853e-06,0.0005618457577660234
ENSMUSG00000020668,4.8349447,2.9713016,1.3318266285626246e-06,0.0005890140096321142
ENSMUSG00000038718,4.741937,3.585626,2.116842858486157e-06,0.0008542783960778198
ENSMUSG00000003949,4.638515,3.1389203,3.5092127609321317e-06,0.001302240620536711
ENSMUSG00000023004,4.4772344,3.2216086,7.5616150454447406e-06,0.0025970929972572708
ENSMUSG00000063142,4.4564056,1.0472766,8.334530804401074e-06,0.0028029200731259237
ENSMUSG00000030657,4.3876987,0.34293705,1.1455639446033375e-05,0.003625934505050858
ENSMUSG00000043154,4.3438706,1.843554,1.3999389626789482e-05,0.00426387069906508
ENSMUSG00000030020,4.316388,1.1966215,1.5860311536589475e-05,0.00469770787118157
ENSMUSG00000039202,4.3095894,1.4376981,1.6355778269195754e-05,0.004714699119830223
ENSMUSG00000058325,4.3019233,1.1253245,1.6932188897087557e-05,0.004837661226039573
ENSMUSG00000025555,4.2598314,2.1800263,2.045812549719523e-05,0.005693884324801276
ENSMUSG00000052512,4.2339396,0.71451014,2.2963261711449716e-05,0.006282787325035204
ENSMUSG00000040037,4.231191,0.5460115,2.3245681296904514e-05,0.006306611938408086
ENSMUSG00000020354,4.224538,0.40398365,2.3943185353432975e-05,0.00644171449279653
ENSMUSG00000032356,4.2113748,2.5427911,2.538211993608485e-05,0.006772411092037184
ENSMUSG00000037653,4.2060227,2.919254,2.599039042558472e-05,0.006877866843360678
ENSMUSG00000033392,4.171308,1.5063107,3.028564298667647e-05,0.0078736420120035
ENSMUSG00000002107,4.1646543,0.6357942,3.118249768386479e-05,0.0078736420120035
ENSMUSG00000052581,4.1633525,0.451945,3.1360896102917304e-05,0.0078736420120035
ENSMUSG00000021991,4.162629,1.6599754,3.1460424951167774e-05,0.0078736420120035
ENSMUSG00000021338,4.136882,1.9586344,3.5205702204760253e-05,0.00854598568180966
ENSMUSG00000052572,4.135146,0.3911503,3.54728647014941e-05,0.008546577887221917
ENSMUSG00000053477,4.1260333,0.3808432,3.6907346143875536e-05,0.008761424045992807
ENSMUSG00000093497,4.067307,2.82534,4.755953347411085e-05,0.010662913459803254
ENSMUSG00000000275,4.0447426,3.8214822,5.2380695055645915e-05,0.011582534707894148
ENSMUSG00000024534,4.0431514,3.8956063,5.273757478892488e-05,0.011582534707894148
ENSMUSG00000062380,4.0414157,3.2014353,5.312952545182451e-05,0.011589775197379422
ENSMUSG00000037999,3.993393,2.8456707,6.513449078621666e-05,0.013225578836685565
ENSMUSG00000028565,3.934811,0.643386,8.326210968643896e-05,0.01613532990902818
ENSMUSG00000105265,3.921793,0.5580315,8.789245867624518e-05,0.01681075502295997
ENSMUSG00000061143,3.9194787,2.6603158,8.874069038173646e-05,0.01685290111161389
ENSMUSG00000025151,3.8931532,1.5663847,9.894965182863242e-05,0.018309318796908832
ENSMUSG00000044471,3.881726,2.5351326,0.00010371767075965193,0.018918220341668717
ENSMUSG00000047907,3.8418038,1.5443487,0.00012213349130734143,0.02190599870476399
ENSMUSG00000096768,3.8378983,2.5553355,0.00012409187085506818,0.022134287572131914
ENSMUSG00000027273,3.8339927,1.8172292,0.00012607982504200162,0.022365314019126496
ENSMUSG00000098760,3.8170693,1.9641048,0.00013504629851626303,0.023695487758682344
ENSMUSG00000049690,3.7929132,0.79051226,0.00014889015894572745,0.025983344765204384
ENSMUSG00000024758,3.7746878,0.563357,0.00016020813636578068,0.027080207762142563
ENSMUSG00000002688,3.7608018,2.4338224,0.00016936957453597424,0.028332107325875273
ENSMUSG00000054728,3.7567518,0.97222376,0.00017213311219211816,0.02864596663465224
ENSMUSG00000021010,3.736212,0.5785111,0.0001868132093727309,0.030460931639386957
ENSMUSG00000021838,3.7295582,2.2652311,0.00019181576659209231,0.030657287249632178
ENSMUSG00000018378,3.6975915,1.3195436,0.00021765483858847203,0.033783588768407785
ENSMUSG00000022095,3.6868875,2.9755256,0.00022701355971432293,0.03457138101592885
ENSMUSG00000031618,3.6563673,2.2040195,0.000255814788600295,0.037689304777851124
ENSMUSG00000033948,3.638431,2.4768016,0.0002743039675326887,0.04007196195381382
ENSMUSG00000000538,3.6362615,2.1813266,0.00027662359874942486,0.04014030556889111
ENSMUSG00000037736,3.6333685,2.347444,0.00027974504423108253,0.04014030556889111
ENSMUSG00000019996,3.6333685,2.181291,0.00027974504423108253,0.04014030556889111
ENSMUSG00000028760,3.619193,1.0828094,0.0002955229787789688,0.042030658017088135
ENSMUSG00000038872,3.6118162,2.2834446,0.00030406002849543565,0.04268077399989191
ENSMUSG00000032562,3.6076214,1.4947346,0.0003090168720222657,0.04300262807430538
ENSMUSG00000063458,3.5990872,2.1814961,0.0003193359238373733,0.0438713204301685
