gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,33.30503,4.757093,3.2648392877904213e-243,1.0540533640631376e-238
ENSMUSG00000060143,27.595415,2.3754067,1.263023692180156e-167,1.3592239967345446e-163
ENSMUSG00000062997,26.020367,1.4863164,2.9133175379398196e-149,2.351411417809677e-145
ENSMUSG00000090733,23.407513,1.0725088,3.5833095193495814e-121,1.9281191305366874e-117
ENSMUSG00000079523,22.77143,1.1803266,8.803028818729307e-115,4.0600826487525096e-111
ENSMUSG00000035885,22.43632,0.87744546,1.7407104690800363e-111,7.024854686781122e-108
ENSMUSG00000041841,20.957232,0.89088035,1.6119458203482585e-97,5.782407867771502e-94
ENSMUSG00000014313,20.929384,0.9990024,2.892047221733559e-97,9.336974455366795e-94
ENSMUSG00000064341,20.868017,0.9005719,1.0458048806193344e-96,3.0694373246177464e-93
ENSMUSG00000035530,20.746359,0.69396096,1.3223687368218294e-95,3.557722889024397e-92
ENSMUSG00000064357,20.590075,0.8104136,3.368547098539506e-94,8.365657159719073e-91
ENSMUSG00000057863,20.493837,1.0145458,2.443519861035981e-93,5.634931336681904e-90
ENSMUSG00000071528,20.315626,1.12087,9.355002771243752e-92,2.0135084297973635e-88
ENSMUSG00000057322,20.267355,0.875738,2.497257969765903e-91,5.038998347118262e-88
ENSMUSG00000016252,20.182312,1.0457373,1.4004044254318481e-90,2.659532757356895e-87
ENSMUSG00000055839,19.757591,1.2268221,6.902149690373102e-87,1.237977237520531e-83
ENSMUSG00000046330,19.515682,0.91429234,8.078478470911984e-85,1.3727035654389126e-81
ENSMUSG00000079641,19.409325,0.9812335,6.43673625303437e-84,1.0390501496460732e-80
ENSMUSG00000037152,19.33109,1.100957,2.9413389797544478e-83,4.521958521970112e-80
ENSMUSG00000075706,19.303612,1.1385239,5.0082795771806315e-83,7.349650279512577e-80
ENSMUSG00000028998,19.245834,1.3341447,1.5298264815599828e-82,2.1474107807462625e-79
ENSMUSG00000064370,19.072376,0.7763901,4.283966842195849e-81,5.76282789584554e-78
ENSMUSG00000039001,19.052502,0.84179837,6.263515886929995e-81,8.088704416381395e-78
ENSMUSG00000079435,18.92569,1.0260749,7.00656712985444e-80,8.700269991821176e-77
ENSMUSG00000031760,18.885178,1.1893862,1.510286223572523e-79,1.8059107677051446e-76
ENSMUSG00000032330,18.808815,1.0703485,6.395203149739004e-79,7.373897631761562e-76
ENSMUSG00000001175,18.774435,0.6327752,1.2224006422816422e-78,1.3608691288297523e-75
ENSMUSG00000022285,18.503607,0.5870651,1.931092466015907e-76,2.078177342177452e-73
ENSMUSG00000029632,18.431843,1.2277975,7.295453677272906e-76,7.597861999056637e-73
ENSMUSG00000031818,18.364527,0.9830225,2.526415059891868e-75,2.471676066927544e-72
ENSMUSG00000064354,18.331068,0.702882,4.676310969887353e-75,4.440432343023918e-72
ENSMUSG00000113902,18.257435,0.99213237,1.8057982456964795e-74,1.665719896066024e-71
ENSMUSG00000064358,18.185856,0.67425334,6.680530031030474e-74,5.991136445883856e-71
ENSMUSG00000070858,18.138842,1.4500976,1.5731360140768087e-73,1.3726674652559398e-70
ENSMUSG00000014294,18.118263,1.064429,2.2870277130224156e-73,1.9430707819718075e-70
ENSMUSG00000045128,18.082228,1.0166397,4.399419937629388e-73,3.641930068881149e-70
ENSMUSG00000038717,17.925268,0.9386597,7.488743985697257e-72,6.044352489455898e-69
ENSMUSG00000044894,17.854242,1.3241662,2.678935652263347e-71,2.1094984764224915e-68
ENSMUSG00000035242,17.680416,0.66495025,5.935705446868531e-70,4.5627202464797746e-67
ENSMUSG00000030432,17.610155,0.8895371,2.058798429854329e-69,1.5457745885545816e-66
ENSMUSG00000062328,17.466322,0.7493032,2.586390247967962e-68,1.8977638444464923e-65
ENSMUSG00000039221,17.46068,0.73244244,2.855163914222707e-68,2.0484214882373353e-65
ENSMUSG00000038690,17.370148,1.06046,1.388689542750314e-67,9.746487366889974e-65
