gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,22.065933,2.7215102,6.7167899203806465e-108,5.421289064487229e-104
ENSMUSG00000024758,19.188465,0.55995923,4.620904014850876e-82,2.1312269445637222e-78
ENSMUSG00000030704,17.12101,0.6699537,1.0346566819811306e-65,3.711543441973422e-62
ENSMUSG00000022285,16.847076,0.506159,1.1023263096810529e-63,3.558860490805279e-60
ENSMUSG00000026797,15.436369,0.5475111,9.320142820507855e-54,1.8806300685006008e-50
ENSMUSG00000027273,14.6953535,0.73592716,6.903721063328566e-49,1.0613649263312511e-45
ENSMUSG00000021939,14.352172,0.68917656,1.0325236979833694e-46,1.5152285267905946e-43
ENSMUSG00000026959,14.327518,0.74230754,1.4728956397512604e-46,1.9813514887237266e-43
ENSMUSG00000051853,14.148274,0.7164615,1.9139658319992416e-45,2.4716954754438207e-42
ENSMUSG00000064358,13.842841,0.462354,1.405393977291885e-43,1.6204694484595897e-40
ENSMUSG00000002265,13.752709,0.38582006,4.905720191653708e-43,5.461419875432412e-40
ENSMUSG00000004207,13.729941,0.5724983,6.718812888148316e-43,7.230562469795612e-40
ENSMUSG00000045095,13.395259,0.8715254,6.445071059516296e-41,6.305427853226777e-38
ENSMUSG00000026825,13.309377,0.5939631,2.041767059004738e-40,1.938777926469646e-37
ENSMUSG00000073590,13.260225,3.447162,3.937136298729282e-40,3.4354174433641857e-37
ENSMUSG00000020894,13.175554,0.43592876,1.2133289597363474e-39,1.0044186016689226e-36
ENSMUSG00000019923,13.153248,0.41924572,1.6301981925979906e-39,1.315773716200653e-36
ENSMUSG00000004267,13.039405,0.73118424,7.302495287689283e-39,5.7502697649524017e-36
ENSMUSG00000022973,13.002771,0.5200232,1.1798885393460805e-38,9.06969083161624e-36
ENSMUSG00000017466,12.43602,0.5669218,1.6660145072020263e-35,1.0976995584697433e-32
ENSMUSG00000030654,12.190661,0.591239,3.4857930007565104e-34,2.1642082121043064e-31
ENSMUSG00000046434,12.1579895,0.65706736,5.202319538342256e-34,3.168997854629806e-31
ENSMUSG00000056851,11.813847,0.5698603,3.310616307074202e-32,1.811580465659163e-29
ENSMUSG00000076432,11.792405,0.58156055,4.2716672852088625e-32,2.2985129717161355e-29
ENSMUSG00000068923,11.755079,0.36550954,6.64984987645297e-32,3.519514807562035e-29
ENSMUSG00000025630,11.5820265,0.7729939,5.082993042981636e-31,2.524683544502494e-28
ENSMUSG00000021577,11.488414,0.6442502,1.5085571649379953e-30,7.269219114928832e-28
ENSMUSG00000023004,11.424436,0.6099424,3.157006963067686e-30,1.4988819088623565e-27
ENSMUSG00000001847,11.345976,0.53227794,7.765466078394708e-30,3.581543890585331e-27
ENSMUSG00000040097,11.341688,0.59640217,8.155601034118315e-30,3.708501118119856e-27
ENSMUSG00000096768,11.249903,1.5310749,2.3184862674105218e-29,9.980310552446493e-27
ENSMUSG00000031996,11.240056,0.77588934,2.592164197177887e-29,1.1011581724458957e-26
ENSMUSG00000021087,11.222211,0.2672406,3.1723865555379656e-29,1.3301363629291327e-26
ENSMUSG00000003469,11.213846,1.7110342,3.487058914443626e-29,1.4433294493950316e-26
ENSMUSG00000072825,11.158732,1.2889451,6.49106982301214e-29,2.619552365449337e-26
ENSMUSG00000052459,11.156848,0.46400118,6.630108317703459e-29,2.6426302103340266e-26
ENSMUSG00000003410,10.949296,0.40229192,6.696586522216215e-28,2.485049377813224e-25
ENSMUSG00000022456,10.948066,0.54072565,6.788183722439283e-28,2.490414903169912e-25
ENSMUSG00000045193,10.890856,1.3370345,1.2743713622438168e-27,4.622817913487823e-25
ENSMUSG00000025190,10.873817,1.1493613,1.5363443807816728e-27,5.511208703726256e-25
ENSMUSG00000043384,10.85453,0.32716885,1.8978070244583673e-27,6.659858672243303e-25
ENSMUSG00000027301,10.832011,2.6002264,2.4276322741812597e-27,8.337883826802337e-25
ENSMUSG00000018411,10.819897,0.3180686,2.770904201065233e-27,9.416699171725373e-25
ENSMUSG00000007564,10.812108,0.60760677,3.016566782275119e-27,1.0040191604716723e-24
ENSMUSG00000026123,10.573058,0.55212307,3.973240393128301e-26,1.2576084910994823e-23
ENSMUSG00000027438,10.487965,0.6923299,9.811953767564837e-26,2.9884804470361394e-23
ENSMUSG00000030058,10.430274,0.7782283,1.80367760276409e-25,5.442217888340061e-23
ENSMUSG00000000826,10.394467,0.44152665,2.627511734659022e-25,7.854557069765419e-23
ENSMUSG00000020297,10.370525,0.44371638,3.3766211986239837e-25,1.0001304164915167e-22
ENSMUSG00000025393,10.345084,0.666998,4.405291163904489e-25,1.2813047317716795e-22
ENSMUSG00000029405,10.307681,0.4145395,6.505174626714681e-25,1.8422768668726623e-22
ENSMUSG00000004071,10.240645,0.5100665,1.3036425503336635e-24,3.628284460131235e-22
ENSMUSG00000034187,10.204243,0.48147964,1.8979664662680325e-24,5.192868420632495e-22
ENSMUSG00000028809,10.186474,0.4903505,2.278806630716187e-24,6.171076027995319e-22
ENSMUSG00000025855,10.185839,0.344306,2.2937250220208712e-24,6.171076027995319e-22
ENSMUSG00000020340,10.160475,0.4449694,2.976245134315467e-24,7.87607165257171e-22
ENSMUSG00000021288,10.126187,0.4460817,4.228166765152495e-24,1.0920509121035864e-21
ENSMUSG00000032193,10.087765,2.2815223,6.257796512715886e-24,1.5783825032268155e-21
ENSMUSG00000028833,10.081265,0.9634439,6.685947200104976e-24,1.673300816708443e-21
ENSMUSG00000034891,10.014825,0.88130236,1.3119372054749061e-23,3.2087797483907077e-21
ENSMUSG00000017390,9.961039,2.0723693,2.2569311180368363e-23,5.437688145210392e-21
ENSMUSG00000022199,9.954557,0.411611,2.4089150720747036e-23,5.760875785328282e-21
ENSMUSG00000058297,9.949654,0.36706012,2.530613603604782e-23,6.0074161906162055e-21
ENSMUSG00000027634,9.925962,0.5803702,3.2099075094140056e-23,7.5643696307614e-21
ENSMUSG00000026575,9.890964,1.2518705,4.556210727363241e-23,1.0659221980646539e-20
ENSMUSG00000038486,9.858907,0.39973885,6.272857663629239e-23,1.4363064515621986e-20
ENSMUSG00000060450,9.826158,0.55544555,8.686993390511279e-23,1.9612558154731232e-20
ENSMUSG00000045294,9.810543,1.8863374,1.0142134212906082e-22,2.2738805768310613e-20
ENSMUSG00000022564,9.739584,0.52144796,2.0439008207823527e-22,4.399155866597217e-20
ENSMUSG00000011752,9.727968,0.67718464,2.291227098673017e-22,4.8988256212356524e-20
ENSMUSG00000000792,9.720699,2.1638339,2.460848582577687e-22,5.22687476898162e-20
ENSMUSG00000034341,9.718257,0.5173186,2.5205816287633577e-22,5.318756724485294e-20
ENSMUSG00000018326,9.680355,0.29180694,3.6544592044521274e-22,7.563090731778009e-20
ENSMUSG00000026576,9.648836,0.38343447,4.97166192584001e-22,1.022357358444234e-19
ENSMUSG00000013921,9.582665,0.542675,9.457220286475738e-22,1.8847305984498097e-19
ENSMUSG00000025151,9.562282,0.53990257,1.1518897766674768e-21,2.281519106730643e-19
ENSMUSG00000006273,9.546244,0.3481936,1.3448446716605418e-21,2.6314127408824605e-19
ENSMUSG00000027620,9.487592,0.32576948,2.3643399441921892e-21,4.543613993943144e-19
ENSMUSG00000030161,9.438631,0.30027077,3.776800681081748e-21,7.172588822866131e-19
ENSMUSG00000033419,9.429228,0.32841632,4.131189153442011e-21,7.799733439700312e-19
ENSMUSG00000022463,9.365672,1.1237556,7.556778908116158e-21,1.4021299255662653e-18
ENSMUSG00000055067,9.352153,0.589707,8.588118354102862e-21,1.5843851489269197e-18
ENSMUSG00000028756,9.339615,1.2630016,9.66848393513541e-21,1.7635423946093035e-18
ENSMUSG00000008348,9.332654,0.7256458,1.0325254608314884e-20,1.8727575563452026e-18
ENSMUSG00000035847,9.326385,0.42368206,1.0954356557449084e-20,1.9757620193142104e-18
ENSMUSG00000056812,9.304232,0.6807582,1.3496454422969107e-20,2.420739061364209e-18
ENSMUSG00000047126,9.278617,0.38992745,1.7169240127035783e-20,3.0456533928645615e-18
ENSMUSG00000040035,9.276098,0.3928368,1.7579897583942998e-20,3.1014589808612002e-18
ENSMUSG00000006373,9.268848,0.38614145,1.8816686710614758e-20,3.283766110552419e-18
ENSMUSG00000022415,9.2633095,0.60071087,1.981911396795408e-20,3.4217117350556015e-18
ENSMUSG00000030806,9.258579,0.6130029,2.0717036985558975e-20,3.53888645015223e-18
ENSMUSG00000037852,9.245561,0.42414618,2.3401111824670572e-20,3.9763415539973124e-18
ENSMUSG00000024767,9.237003,0.8130426,2.5349794449789695e-20,4.284911590635918e-18
ENSMUSG00000040722,9.216965,0.56487703,3.0562778419761836e-20,5.112535239803165e-18
ENSMUSG00000076441,9.188158,1.8785961,3.996242557751281e-20,6.549172130812188e-18
ENSMUSG00000039059,9.181216,1.8309467,4.262493877041387e-20,6.915307277401064e-18
ENSMUSG00000023826,9.143525,0.49521354,6.044904545220214e-20,9.70943996231018e-18
ENSMUSG00000025203,9.126948,0.9488656,7.045707749854743e-20,1.1150523269806879e-17
ENSMUSG00000068742,9.095796,1.3963255,9.389625747028453e-20,1.4574234002058347e-17
ENSMUSG00000020149,9.060874,0.58432174,1.2940961957893361e-19,1.989518841955177e-17
ENSMUSG00000032356,8.967339,1.0671179,3.037660876064955e-19,4.498664283658581e-17
ENSMUSG00000020456,8.942301,0.52098024,3.8115121484722687e-19,5.56808460241752e-17
ENSMUSG00000044349,8.927378,0.21643503,4.36224963178469e-19,6.34392925054814e-17
ENSMUSG00000110185,8.883091,0.9991386,6.502780320070669e-19,9.330767228154736e-17
ENSMUSG00000024423,8.856861,0.32269624,8.22991177568354e-19,1.175675671141341e-16
ENSMUSG00000040907,8.84415,0.33933032,9.222784847267972e-19,1.3059544245352916e-16
ENSMUSG00000031066,8.816554,0.54776037,1.1803579860232978e-18,1.6640985842254221e-16
ENSMUSG00000031144,8.811593,0.35426882,1.2337977828668676e-18,1.7318765834720357e-16
ENSMUSG00000022055,8.763767,1.3083067,1.8883085874221135e-18,2.62776046314323e-16
ENSMUSG00000020402,8.752998,0.5804507,2.0775702080706758e-18,2.8664253917761442e-16
ENSMUSG00000036564,8.734961,0.38858926,2.437405777174176e-18,3.3485806602582243e-16
ENSMUSG00000022540,8.729057,1.2719597,2.568044039723714e-18,3.513106009427123e-16
ENSMUSG00000048895,8.716115,0.5350269,2.8791021832943467e-18,3.9220174678336703e-16
ENSMUSG00000059361,8.690097,0.3713288,3.621306991336077e-18,4.91234858047417e-16
ENSMUSG00000021913,8.65829,1.8499261,4.788933930928006e-18,6.442113831667111e-16
ENSMUSG00000074657,8.636887,0.5763355,5.776550177912438e-18,7.706443078260457e-16
ENSMUSG00000029580,8.628368,0.6919586,6.223358369375133e-18,8.268359051657456e-16
"gene_symbol
Aldoa    ENSMUSG00000030695
Aldoa    ENSMUSG00000114515
Name: gene_identifier, dtype: object",8.573677,0.39602098,1.0023198430655472e-17,1.3154429322508616e-15
ENSMUSG00000021273,8.553524,1.3827565,1.19386325020106e-17,1.5541885093847265e-15
ENSMUSG00000032788,8.54089,0.71526206,1.3319207019947265e-17,1.7269501953373392e-15
ENSMUSG00000025777,8.513795,0.559785,1.6833209748509632e-17,2.1651799869746354e-15
ENSMUSG00000046785,8.51091,0.36680093,1.7257345985609017e-17,2.210926250576933e-15
ENSMUSG00000021910,8.492084,0.32769263,2.0296471220634504e-17,2.5900062188070553e-15
ENSMUSG00000061904,8.473853,0.60219026,2.374059339886971e-17,3.0175789680413726e-15
ENSMUSG00000032589,8.452489,0.78478533,2.8515794319657616e-17,3.582227313658156e-15
ENSMUSG00000025220,8.421528,0.63576704,3.716048269617836e-17,4.632147427977291e-15
ENSMUSG00000019877,8.407202,0.281027,4.199085040441039e-17,5.214133097332267e-15
ENSMUSG00000027104,8.403009,0.3752927,4.3517928366128943e-17,5.383051024139743e-15
ENSMUSG00000102494,8.401567,2.4557931,4.405586163256848e-17,5.428791957280433e-15
ENSMUSG00000046876,8.3936825,0.58522207,4.711457381430414e-17,5.761719756040943e-15
ENSMUSG00000034723,8.383375,0.29982775,5.143105412370111e-17,6.2189197842085774e-15
ENSMUSG00000034825,8.372645,1.3774772,5.633908504813616e-17,6.786967764101029e-15
ENSMUSG00000029651,8.345742,1.3941939,7.076809523347439e-17,8.462029461528596e-15
ENSMUSG00000090101,8.324127,1.736003,8.495222157541025e-17,1.0046455947113993e-14
ENSMUSG00000032294,8.317397,0.41546616,8.991631890068011e-17,1.0594702028133056e-14
ENSMUSG00000037266,8.316185,0.70034516,9.083975150875896e-17,1.0664586827128302e-14
ENSMUSG00000019428,8.30407,0.96066785,1.0060406588440307e-16,1.1725639953350012e-14
ENSMUSG00000031604,8.292032,1.451942,1.113297706396907e-16,1.2929070665836023e-14
ENSMUSG00000020917,8.26711,1.416794,1.372454306645788e-16,1.5881608347691493e-14
ENSMUSG00000021820,8.266398,0.52544755,1.380666358365252e-16,1.5919576207079342e-14
ENSMUSG00000024403,8.250226,0.572845,1.5809551016368611e-16,1.8164105144607138e-14
ENSMUSG00000015291,8.182555,0.37181556,2.7788824699445256e-16,3.170184471454382e-14
ENSMUSG00000031840,8.129729,0.30757612,4.3024932984553414e-16,4.8738946014256385e-14
ENSMUSG00000022295,8.102385,0.57124555,5.389242090596875e-16,6.062427905746345e-14
ENSMUSG00000058793,8.079865,0.35976088,6.483814432274018e-16,7.268401005068286e-14
ENSMUSG00000028020,8.071424,0.65656453,6.948317061216518e-16,7.762159734303644e-14
ENSMUSG00000030105,8.045809,0.5985749,8.567749466246698e-16,9.505491117449302e-14
ENSMUSG00000036309,8.01231,0.42874503,1.125735945495106e-15,1.240422696256297e-13
ENSMUSG00000055932,7.984176,0.3893086,1.4146367566396482e-15,1.5429576921659137e-13
ENSMUSG00000027546,7.978484,0.32968733,1.4814123773033836e-15,1.6103501212538633e-13
ENSMUSG00000115783,7.9690228,1.5986718,1.5993374475298193e-15,1.73270501656041e-13
ENSMUSG00000052512,7.9554462,0.5028923,1.7848669727053597e-15,1.9144328974681906e-13
ENSMUSG00000018865,7.9533505,0.5336393,1.815340021359257e-15,1.9406706155491262e-13
ENSMUSG00000030621,7.9527926,1.7672583,1.8235334599745e-15,1.9429959655206843e-13
ENSMUSG00000026553,7.9448314,0.5866629,1.9445508344388693e-15,2.055450950478382e-13
ENSMUSG00000028528,7.918332,0.35571945,2.407174793530768e-15,2.5150691977068236e-13
ENSMUSG00000102758,7.9109864,1.2370278,2.5535764690303884e-15,2.642378727648913e-13
ENSMUSG00000002718,7.874122,1.29823,3.4314385194239172e-15,3.528152630560547e-13
ENSMUSG00000031227,7.8494496,0.7774091,4.178666144913294e-15,4.2828011583658954e-13
ENSMUSG00000040276,7.836258,0.3827635,4.641722625969716e-15,4.742342246184566e-13
ENSMUSG00000036473,7.8161817,0.97576374,5.444983506936199e-15,5.51069882512336e-13
ENSMUSG00000057421,7.767433,1.4785988,8.009265580128236e-15,7.980837631309879e-13
ENSMUSG00000031672,7.732684,0.72289073,1.053023654708565e-14,1.0428487328915957e-12
