gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000020889,9.71677,7.7694874,2.5576573773710175e-22,2.0643492107105824e-18
ENSMUSG00000059824,8.862918,7.8829045,7.794695701857868e-19,5.033035014689625e-15
ENSMUSG00000017344,7.4890504,1.2628343,6.937365996095714e-14,1.866440509866251e-10
ENSMUSG00000021775,7.425984,5.4614925,1.1194453799234307e-13,2.7800995454483044e-10
ENSMUSG00000026678,7.2643523,0.6197504,3.748293082374308e-13,7.563352635278409e-10
ENSMUSG00000029580,7.1899567,1.2168294,6.481185715175553e-13,1.2308534165555456e-09
ENSMUSG00000003949,7.1435065,4.339753,9.09795719503387e-13,1.5459344633772025e-09
ENSMUSG00000030605,6.797585,0.95490646,1.0638736770053297e-11,1.5612346210053215e-08
ENSMUSG00000007097,6.042298,0.50640726,1.5193470133455732e-09,1.7518613687807797e-06
ENSMUSG00000041329,5.691467,1.0153532,1.2595258948996046e-08,1.311735274736572e-05
ENSMUSG00000016559,5.5098205,0.679093,3.592002077913162e-08,3.410817267218425e-05
ENSMUSG00000022389,5.4301376,4.3531504,5.631064917467663e-08,5.194255167441242e-05
ENSMUSG00000020585,5.364805,1.6454583,8.103664860944541e-08,7.070995136097149e-05
ENSMUSG00000071866,5.268506,2.6886754,1.375385220612538e-07,0.00011101077961868948
ENSMUSG00000037072,5.2337627,2.3684149,1.6609355399276398e-07,0.00013078854611357036
ENSMUSG00000095098,5.0022674,3.7619965,5.665995765053774e-07,0.0003976666810320893
ENSMUSG00000019505,4.9932036,2.2700562,5.938582118286866e-07,0.0004079300504018968
ENSMUSG00000020044,4.924473,3.5969439,8.458813485335551e-07,0.000568943319529288
ENSMUSG00000079641,4.7945633,1.753547,1.6302958063796968e-06,0.000993096228471104
ENSMUSG00000024063,4.7012854,1.891218,2.5852896325849323e-06,0.0015175650143273553
ENSMUSG00000036095,4.6537023,3.3213232,3.2602752823851872e-06,0.0018466313595053643
ENSMUSG00000039001,4.6023426,1.4574686,4.177650548634161e-06,0.0022860245417398966
ENSMUSG00000024661,4.591391,1.5702308,4.4030149770887585e-06,0.0023691889755885097
ENSMUSG00000059895,4.5517383,3.1498623,5.3204449967127495e-06,0.0027704930115946954
ENSMUSG00000037706,4.5071764,1.4748858,6.569597988854894e-06,0.0032630687856950807
ENSMUSG00000032368,4.500379,0.7056931,6.783243224805587e-06,0.0032686120524305726
ENSMUSG00000090733,4.4705453,1.7021998,7.802049529802019e-06,0.0037042524863185027
ENSMUSG00000034892,4.427116,0.7474614,9.550135035189399e-06,0.004404658708729853
ENSMUSG00000060591,4.392373,2.9290624,1.1212020136013288e-05,0.005027500973488736
ENSMUSG00000022108,4.3504543,1.1472614,1.3585569820887404e-05,0.005771185811412498
ENSMUSG00000027834,4.337992,3.1295679,1.4379027379772085e-05,0.006028920765661581
ENSMUSG00000061080,4.253022,1.3219272,2.109045072319888e-05,0.008259216119105885
ENSMUSG00000035530,4.2318745,0.66857696,2.317519050493813e-05,0.008907274112522947
ENSMUSG00000090137,4.204306,3.5261514,2.618840571663303e-05,0.009946972688958793
ENSMUSG00000025492,4.196376,2.6014328,2.712200594033738e-05,0.01018179025329991
ENSMUSG00000017778,4.179004,2.029413,2.9278826238619992e-05,0.010865136840389039
ENSMUSG00000044337,4.1385965,2.9277334,3.49437125603308e-05,0.012759636065785906
ENSMUSG00000041120,4.137086,0.6217232,3.5174465227038736e-05,0.012759636065785906
ENSMUSG00000048960,4.1344423,1.5450572,3.5581768348385096e-05,0.01276397101252903
ENSMUSG00000025366,4.117826,3.235461,3.8246337078772785e-05,0.013569043874595376
ENSMUSG00000008035,4.1117835,2.8784828,3.926141285289737e-05,0.013777768629954256
ENSMUSG00000050708,4.076663,1.4757788,4.5686672910946185e-05,0.015526255104525238
ENSMUSG00000092341,4.0740194,0.14290228,4.620865185172583e-05,0.015540065885760087
ENSMUSG00000031880,4.0558925,3.0813632,4.994324958021075e-05,0.016228718646033778
ENSMUSG00000093674,4.054382,0.9712026,5.0267054811936746e-05,0.016228718646033778
ENSMUSG00000028957,4.0015116,4.2806005,6.293907829993979e-05,0.01916969946144864
ENSMUSG00000064360,3.893128,0.59104246,9.895990390796645e-05,0.02849460164290058
ENSMUSG00000059070,3.8863304,1.6983836,0.00010177096461258818,0.028821715723836926
