gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000060143,12.156939,3.9017956,5.269691063550542e-34,1.7013197598672924e-29
ENSMUSG00000090137,11.715746,5.9159055,1.0585575367908382e-31,1.7087765037646105e-27
ENSMUSG00000041841,10.084166,1.088729,6.4914515120318294e-24,5.3289752681296716e-20
ENSMUSG00000062997,9.995927,1.7910055,1.587947583881243e-23,1.0253377549121186e-19
ENSMUSG00000090733,9.809461,1.2557341,1.0251517877377045e-22,5.516170911185298e-19
ENSMUSG00000065947,9.2700405,1.6895677,1.8607602817971114e-20,8.582092242545677e-17
ENSMUSG00000039001,8.965367,1.0835007,3.0924814956619792e-19,1.2480095635930875e-15
ENSMUSG00000057322,8.397644,1.0794313,4.5552557523883846e-17,1.4916559748771462e-13
ENSMUSG00000035530,8.395979,1.0726393,4.620275591999833e-17,1.4916559748771462e-13
ENSMUSG00000034892,8.092972,0.83087146,5.822654336975189e-16,1.708949047902218e-12
ENSMUSG00000046330,7.8582234,0.9857757,3.896193034735875e-15,1.0482382677203978e-11
ENSMUSG00000045128,7.6284704,1.3252085,2.3755525338428982e-14,5.89959335039369e-11
ENSMUSG00000067288,7.480296,0.9187467,7.415520841773025e-14,1.7100720741188723e-10
ENSMUSG00000079641,7.3670845,0.9699156,1.7439977247240996e-13,3.7536644361811703e-10
ENSMUSG00000093674,7.143991,0.689031,9.065933990817488e-13,1.8293354930846413e-09
ENSMUSG00000057863,6.804356,1.2547817,1.0150231988545784e-11,1.9276484691188274e-08
ENSMUSG00000086503,6.5479646,0.75441945,5.832649417655934e-11,9.910899286790621e-08
ENSMUSG00000008682,6.2199836,1.0146759,4.97206296392812e-10,8.026152639520967e-07
ENSMUSG00000062006,6.1908484,0.794156,5.984123835412357e-10,9.199878001251808e-07
ENSMUSG00000079523,6.1134315,0.81187415,9.751118296247562e-10,1.4309766099743298e-06
ENSMUSG00000047675,5.9386196,0.5704917,2.874322576529646e-09,4.0346741036199835e-06
ENSMUSG00000061983,5.7421637,0.784304,9.347432406740784e-09,1.2574243968817759e-05
ENSMUSG00000010342,5.6672444,3.7251189,1.4511236049879667e-08,1.819489705404819e-05
ENSMUSG00000041571,5.6655793,1.4113809,1.4652851894231156e-08,1.819489705404819e-05
ENSMUSG00000079435,5.6106386,0.71690345,2.0158150160806785e-08,2.410392140524619e-05
ENSMUSG00000064370,5.497427,0.59215534,3.853732586732555e-08,4.4434913058093056e-05
ENSMUSG00000078974,5.4757833,1.3736879,4.355803266845596e-08,4.8492106369003465e-05
ENSMUSG00000025794,5.3875446,0.9311249,7.142666231643144e-08,7.686699309619964e-05
ENSMUSG00000073590,5.3775554,3.8198254,7.550391511479263e-08,7.863367417680903e-05
ENSMUSG00000017778,5.344258,0.69792557,9.078817516361384e-08,8.882109803506887e-05
ENSMUSG00000025290,5.2410355,0.5887962,1.596779212657354e-07,0.00015162357906071375
ENSMUSG00000090000,5.087867,1.6405185,3.6211352444152686e-07,0.00030765355622617614
ENSMUSG00000035242,5.062894,0.65679526,4.1294024650326466e-07,0.00034184040662456154
ENSMUSG00000062328,5.0137796,0.601384,5.337107726605924e-07,0.00042575639671731
ENSMUSG00000037742,5.0112824,0.6400573,5.406849083292461e-07,0.00042575639671731
ENSMUSG00000028081,4.9713254,0.61087865,6.649674673152585e-07,0.000511154159101741
ENSMUSG00000003038,4.9355307,1.5030845,7.993319257139532e-07,0.0006001495632947669
ENSMUSG00000058600,4.9047303,0.5489736,9.355582195292574e-07,0.0006864658435795926
ENSMUSG00000047215,4.823151,0.50976515,1.4130774853096922e-06,0.0009917653611570306
ENSMUSG00000055839,4.8106647,1.2143285,1.5042922882450785e-06,0.001011793260958174
ENSMUSG00000064357,4.7682104,0.48291713,1.8586974415358881e-06,0.0012246540183670643
ENSMUSG00000043716,4.727421,0.841476,2.2738976603047183e-06,0.0014394663914301534
ENSMUSG00000025508,4.708275,0.57128286,2.4982234038872005e-06,0.00152179514329242
ENSMUSG00000060636,4.6749773,0.5857858,2.9398642516235764e-06,0.0017576577289567994
ENSMUSG00000021131,4.663323,2.734994,3.1114388012871175e-06,0.001826414576355538
ENSMUSG00000075706,4.654999,0.8967097,3.239829660594614e-06,0.0018678196534338773
ENSMUSG00000038274,4.64168,0.4448467,3.4558854947347277e-06,0.001954923825379242
ENSMUSG00000003429,4.63835,0.43975458,3.5120205009136142e-06,0.001954923825379242
ENSMUSG00000024425,4.6266956,0.653813,3.7154589662658776e-06,0.002033111741116845
ENSMUSG00000029614,4.6000576,0.5726006,4.2237414713871475e-06,0.0022727248900622343
ENSMUSG00000035885,4.591733,0.5677806,4.3958008663677875e-06,0.0023265316552571152
ENSMUSG00000038805,4.580079,1.428136,4.648002010994688e-06,0.002400949912958441
ENSMUSG00000074129,4.578414,0.5563005,4.685143085531416e-06,0.002400949912958441
ENSMUSG00000058546,4.5542736,0.58889365,5.256694068365984e-06,0.0026517557499561844
ENSMUSG00000061477,4.4985,0.5955195,6.843458293870472e-06,0.0033475916820849723
ENSMUSG00000000740,4.49517,0.4581434,6.951429415111709e-06,0.003349655203983306
ENSMUSG00000028234,4.4485536,0.61716765,8.645043450906794e-06,0.0041044886443018505
ENSMUSG00000064341,4.4269104,0.50546235,9.559246333028482e-06,0.004472757505243834
ENSMUSG00000095620,4.4085965,3.3884475,1.0404259458754302e-05,0.004798593094655466
ENSMUSG00000018567,4.388618,1.3369592,1.1407318201484067e-05,0.005103244045661596
ENSMUSG00000038717,4.386121,0.74530953,1.1539006205150889e-05,0.005103244045661596
ENSMUSG00000008683,4.371969,0.58589923,1.2313082943790185e-05,0.005371998416760353
ENSMUSG00000064358,4.3469963,0.43120015,1.3801463787898196e-05,0.005941070111897244
ENSMUSG00000014294,4.337007,1.1297594,1.4443610032810998e-05,0.0061356835514381975
ENSMUSG00000063524,4.327018,2.7788522,1.5114187501287503e-05,0.006337162902325545
ENSMUSG00000064351,4.2987146,0.4266349,1.717914402729704e-05,0.007020616011661834
ENSMUSG00000014313,4.2987146,0.52666515,1.717914402729704e-05,0.007020616011661834
ENSMUSG00000050708,4.253763,0.9970519,2.1020779046718895e-05,0.00837846730275703
ENSMUSG00000071415,4.253763,0.5025844,2.1020779046718895e-05,0.00837846730275703
ENSMUSG00000016349,4.2371144,1.4504157,2.2641097859767977e-05,0.008806841498826616
ENSMUSG00000009549,4.2188005,1.5642246,2.4560540710345932e-05,0.009439726867065696
ENSMUSG00000007892,4.2104764,0.4727669,2.5483300572433313e-05,0.009679157164482465
ENSMUSG00000054604,4.1971574,1.7993827,2.7028639460523913e-05,0.01014673982538389
ENSMUSG00000064354,4.1771784,0.49045405,2.951472614680424e-05,0.010907718979051304
ENSMUSG00000031818,4.1755137,0.9343336,2.973143162944137e-05,0.010907718979051304
ENSMUSG00000042675,4.138054,1.7789187,3.5026397538439464e-05,0.012564747161427978
ENSMUSG00000022174,4.130562,2.5382268,3.618774321118558e-05,0.012838695489814575
ENSMUSG00000060803,4.105589,3.3515816,4.032862130068078e-05,0.014101288869539727
ENSMUSG00000022450,4.0672965,1.8863704,4.756167681268297e-05,0.016335412084015635
