gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000064358,7.491894,0.8819609,6.788682231691083e-14,1.095863029250733e-09
ENSMUSG00000095041,6.8828373,3.1366353,5.86719633273938e-12,4.735560840062272e-08
ENSMUSG00000096768,5.02878,2.0720844,4.936109470367986e-07,0.0006882418732304628
ENSMUSG00000022285,4.7980385,0.554702,1.6022683921365483e-06,0.001619327090246991
ENSMUSG00000030704,4.713621,0.82061774,2.4335284804504916e-06,0.00218240186087067
ENSMUSG00000037852,4.675477,0.96168435,2.9327110657748667e-06,0.002367064418963539
ENSMUSG00000004207,4.656718,1.1784348,3.212906869332071e-06,0.0025299682506435585
ENSMUSG00000031028,4.6229506,0.78219914,3.783198347088842e-06,0.0029081085389467444
ENSMUSG00000064354,4.4591184,0.4759907,8.229753463206e-06,0.005776034577382732
ENSMUSG00000031822,4.3928347,1.3151761,1.1188212162118766e-05,0.007371661829673559
ENSMUSG00000001270,4.3052907,1.4438703,1.6676651953876296e-05,0.010353955929440313
ENSMUSG00000064341,4.1395826,0.54100376,3.4793854606523844e-05,0.021194709357955137
ENSMUSG00000022892,4.072674,0.6239744,4.6476498287090924e-05,0.026794531199977333
ENSMUSG00000023004,3.9951348,1.4791799,6.465745998555136e-05,0.03479110159389209
ENSMUSG00000027309,3.9863803,0.6273292,6.70889286413055e-05,0.03493493647071852
ENSMUSG00000070498,3.9576159,1.1375338,7.570155771466847e-05,0.03689388835087685
ENSMUSG00000066392,3.9388564,0.34497508,8.187088793660489e-05,0.037760023100475555
ENSMUSG00000064357,3.92635,0.39622077,8.624457153550983e-05,0.03814254783594432
ENSMUSG00000018171,3.8400567,1.9919279,0.00012300586557577805,0.05026891607739233
ENSMUSG00000063142,3.8250492,0.53759813,0.00013074596516896491,0.0521127590800004
ENSMUSG00000051853,3.7875304,0.9121901,0.00015215210999331618,0.058375307806536166
ENSMUSG00000042761,3.7706468,2.633281,0.00016282495626923833,0.06112562457153906
ENSMUSG00000031708,3.7568898,1.7231352,0.0001720381219635127,0.06240731199541582
ENSMUSG00000030861,3.7512622,1.2508681,0.0001759466544744075,0.06311597488562495
ENSMUSG00000031996,3.7262495,0.9365769,0.00019435002326908033,0.06675096277917296
ENSMUSG00000026575,3.7262495,2.3461635,0.00019435002326908033,0.06675096277917296
ENSMUSG00000022404,3.691232,2.980186,0.000223170551384633,0.074278981973741
ENSMUSG00000036699,3.673723,1.411585,0.00023904178364609268,0.07492683480596216
ENSMUSG00000040097,3.6562142,1.4727998,0.00025596741375467496,0.07742130091458976
ENSMUSG00000079037,3.6462092,0.49475825,0.0002661372891520629,0.07835431727335324
ENSMUSG00000032594,3.643708,1.0917404,0.0002687382979686062,0.07835431727335324
ENSMUSG00000045193,3.6430826,1.2845882,0.0002693922631978383,0.07835431727335324
ENSMUSG00000040035,3.5843031,0.88532066,0.00033797941146060037,0.09488404607830854
ENSMUSG00000005262,3.552412,2.480241,0.0003817165819428153,0.101848924363833
ENSMUSG00000045095,3.5455337,1.1863321,0.0003918190274801369,0.10284453091216439
ENSMUSG00000019852,3.5374045,0.50859416,0.0004040802675437163,0.10288938928638484
ENSMUSG00000001847,3.5067642,1.5716323,0.0004535910726546466,0.11172545657828122
ENSMUSG00000069601,3.504888,0.36596504,0.00045679914103556206,0.11172545657828122
ENSMUSG00000035580,3.4823768,1.8719419,0.0004969837879127341,0.11885275253898238
ENSMUSG00000005103,3.4792502,2.534995,0.0005028187890042858,0.11936400443384829
ENSMUSG00000020456,3.4742477,1.4630343,0.0005122878029492332,0.1198493602769275
ENSMUSG00000028528,3.4686198,0.43832225,0.0005231390090520114,0.12063959219460134
ENSMUSG00000085925,3.4573643,2.3507748,0.0005454869947207159,0.12315417919271547
ENSMUSG00000056124,3.4317265,0.5945336,0.0005997523999806418,0.13028230593706472
ENSMUSG00000021577,3.4204707,0.5758814,0.0006251287182061851,0.13365748786282575
ENSMUSG00000029580,3.3885796,1.1911836,0.0007025562203234629,0.14539761264835258
ENSMUSG00000070934,3.3848279,2.08017,0.0007122293132514891,0.1464606584606645
ENSMUSG00000070880,3.3723214,0.8817763,0.0007453739334547492,0.1504024840099161
ENSMUSG00000047766,3.3673189,1.2046713,0.0007590284684292086,0.1512668771804753
ENSMUSG00000052572,3.363567,0.5916148,0.0007694213976145439,0.15239736087107697
ENSMUSG00000064351,3.3598151,0.34046218,0.000779946313619494,0.15354004106832536
ENSMUSG00000055067,3.3423064,0.58972645,0.0008308530113692233,0.16038816324695157
ENSMUSG00000032384,3.3298001,0.84414405,0.0008690836102572712,0.16313002533230234
ENSMUSG00000064363,3.3072886,0.3697972,0.000942037333168443,0.17479123736404126
ENSMUSG00000029287,3.3022861,2.255631,0.0009590015320794624,0.176309455952427
ENSMUSG00000039474,3.299785,2.658091,0.0009675893302913988,0.1764893871664283
ENSMUSG00000038664,3.2954078,0.67835796,0.000982789560621219,0.1782548368800902
ENSMUSG00000013921,3.293532,1.1566327,0.0009893713823810903,0.1784461177663324
ENSMUSG00000049571,3.2847774,2.338912,0.0010206296240198496,0.1830612633971158
ENSMUSG00000033585,3.2804003,2.0808413,0.001036599221069789,0.18489837487424385
ENSMUSG00000024462,3.2753978,0.7937367,0.0010551331743415958,0.18513573116096968
ENSMUSG00000034825,3.266018,1.311809,0.001090713196675689,0.1903441921874304
ENSMUSG00000035226,3.2610154,2.4178867,0.0011101398178906495,0.19106374868151532
ENSMUSG00000027273,3.256013,0.3823295,0.001129885949471731,0.19300723745341183
ENSMUSG00000024867,3.2472587,1.5199374,0.00116522483164361,0.1959337692167393
ENSMUSG00000031207,3.2472587,3.5630805,0.00116522483164361,0.1959337692167393
ENSMUSG00000026123,3.232251,0.9594823,0.0012281912101208983,0.20439254236470722
ENSMUSG00000029472,3.2097397,1.5801526,0.001328552327835676,0.21553925579987335
ENSMUSG00000001999,3.1972334,2.7558842,0.0013875261190393607,0.22176376610488
ENSMUSG00000076432,3.178474,0.66842234,0.0014805252079217106,0.230795050379157
ENSMUSG00000079317,3.168469,2.3243108,0.0015324413394997584,0.2355946125988081
ENSMUSG00000024827,3.168469,2.9487298,0.0015324413394997584,0.2355946125988081
ENSMUSG00000021259,3.158464,1.9890462,0.0015860295952114976,0.23927553963272524
ENSMUSG00000014402,3.154712,1.7706594,0.0016065661096023635,0.2412464504581968
ENSMUSG00000030102,3.1522107,2.4317987,0.0016203928008396975,0.24219621099587796
ENSMUSG00000026959,3.1415803,0.77720296,0.0016803867010124394,0.2477227609232265
ENSMUSG00000064368,3.1196945,2.0750728,0.0018103876769579997,0.25862108916189835
ENSMUSG00000087260,3.1115654,2.0024035,0.001860983153256758,0.2617791917950561
ENSMUSG00000005125,3.11094,2.19529,0.0018649284222661577,0.2617791917950561
ENSMUSG00000015143,3.1065629,1.6951047,0.0018927611611305607,0.2633956641685351
ENSMUSG00000018326,3.100935,0.38634586,0.0019291066813741662,0.2650264221624041
ENSMUSG00000029055,3.09093,1.9967984,0.0019953072603069513,0.26731544361591286
ENSMUSG00000026854,3.0903046,1.971777,0.001999513235221823,0.26731544361591286
ENSMUSG00000015291,3.087178,0.841745,0.0020206654248615323,0.26736550508874823
ENSMUSG00000031924,3.075297,1.210857,0.002102929955688243,0.27711466783426497
