gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000023064,7.267146,5.7388773,3.6716146171813323e-13,2.3707615583139864e-09
ENSMUSG00000090137,6.9921227,5.1344824,2.707579617220015e-12,1.2487743991706886e-08
ENSMUSG00000090733,5.8687215,1.1071578,4.39168056024009e-09,1.4178540688735131e-05
ENSMUSG00000052837,5.581268,4.869092,2.387718062157028e-08,6.423956469728304e-05
ENSMUSG00000020889,5.477163,6.017519,4.321996429093164e-08,8.804420407477682e-05
ENSMUSG00000034892,5.466286,0.60957193,4.595623130723281e-08,8.804420407477682e-05
ENSMUSG00000038539,5.444533,4.844831,5.194151638619236e-08,8.825957139622211e-05
ENSMUSG00000087006,5.372281,1.5597733,7.774685956835978e-08,0.00012004274432898972
ENSMUSG00000021775,5.340428,5.76898,9.27274417180896e-08,0.0001301611067768923
ENSMUSG00000020423,5.340428,3.130148,9.27274417180896e-08,0.0001301611067768923
ENSMUSG00000038393,5.217677,4.5941443,1.811807437860569e-07,0.00023397681252531387
"gene_symbol
Aldoa    ENSMUSG00000030695
Aldoa    ENSMUSG00000114515
Name: gene_identifier, dtype: object",5.2075777,3.8300514,1.9132184822830852e-07,0.00023757022577119004
ENSMUSG00000021390,5.1819396,3.885193,2.1959008971829122e-07,0.00026257281653907527
ENSMUSG00000021250,5.101142,2.2786593,3.376102362789541e-07,0.0003633248826088677
ENSMUSG00000067288,5.0483127,1.2394406,4.45729463872239e-07,0.00044969924190985116
ENSMUSG00000044786,4.99626,3.2293053,5.845280983116184e-07,0.0005718633228481999
ENSMUSG00000060143,4.9115777,2.635374,9.034645912109436e-07,0.000833381552207009
ENSMUSG00000024190,4.8649635,2.8863642,1.144778871920571e-06,0.0010147108235373434
ENSMUSG00000041841,4.861856,0.61814946,1.162902291184194e-06,0.0010147108235373434
ENSMUSG00000037706,4.8509793,2.3234532,1.2285334964133332e-06,0.0010437685245185385
ENSMUSG00000079641,4.7942653,1.0209968,1.6327196672607745e-06,0.0013229248687284432
ENSMUSG00000053647,4.7934885,2.5897336,1.639058223606558e-06,0.0013229248687284432
ENSMUSG00000037852,4.635,2.5376153,3.5693673630076334e-06,0.002743738697969082
ENSMUSG00000071866,4.6194625,1.0957371,3.847356256753751e-06,0.0028886487616115084
ENSMUSG00000027447,4.6023707,1.1515589,4.177092342902496e-06,0.002998025944497784
ENSMUSG00000057322,4.598486,0.6143904,4.255722812079007e-06,0.002998025944497784
ENSMUSG00000055148,4.597709,4.343389,4.271618195660464e-06,0.002998025944497784
ENSMUSG00000008348,4.582171,3.1656866,4.601732164526365e-06,0.003160998360249653
ENSMUSG00000071076,4.535557,2.1418917,5.7451683760822335e-06,0.003764668174810289
ENSMUSG00000038418,4.5324492,3.188878,5.830367314248551e-06,0.003764668174810289
ENSMUSG00000017707,4.356869,0.8105615,1.3193597966956541e-05,0.007472900181810385
ENSMUSG00000038370,4.356869,1.23359,1.3193597966956541e-05,0.007472900181810385
ENSMUSG00000007097,4.318024,0.81191707,1.5743217014125875e-05,0.008614741716967016
ENSMUSG00000020029,4.2885017,1.2354224,1.798822548585569e-05,0.009520489505095918
ENSMUSG00000026547,4.2185807,2.925773,2.4584500049069305e-05,0.01280178361426133
ENSMUSG00000038530,4.024355,0.7255278,5.713166927490485e-05,0.027946908220307622
ENSMUSG00000093674,4.0026016,0.4087736,6.264970198976566e-05,0.030188740727456483
ENSMUSG00000023034,3.9730794,2.4720972,7.094936038206658e-05,0.0336852955872797
ENSMUSG00000054364,3.960649,2.4711864,7.474632164544883e-05,0.03447407134747594
ENSMUSG00000053113,3.960649,3.9407647,7.474632164544883e-05,0.03447407134747594
ENSMUSG00000023175,3.928019,2.4252558,8.56483967300192e-05,0.03837121735588529
ENSMUSG00000016559,3.913258,0.8812834,9.105915695833184e-05,0.03919793176532991
ENSMUSG00000106918,3.906266,3.4494514,9.373337773777935e-05,0.03930106623719748
ENSMUSG00000026473,3.8689744,3.4366817,0.00010929404969464723,0.04466529613154033
ENSMUSG00000035356,3.8394523,3.3076243,0.00012330910741078488,0.049762931659464875
ENSMUSG00000001270,3.8169222,2.6275663,0.00013512682224944413,0.05320206654052809
ENSMUSG00000026238,3.7842922,0.4171794,0.00015414665435112894,0.05924553256816902
ENSMUSG00000025290,3.7415626,0.41895193,0.0001828796581748684,0.06828606467835872
ENSMUSG00000021290,3.7400088,2.4714134,0.00018401386486037506,0.06828606467835872
ENSMUSG00000029580,3.7198093,0.7807493,0.00019937328560596827,0.07232321939088411
ENSMUSG00000027602,3.691064,1.5812455,0.00022331804785436236,0.07922882609866032
ENSMUSG00000050708,3.6809642,0.8003072,0.00023235368795110505,0.08153846538588506
ENSMUSG00000028776,3.6669798,2.8356457,0.000245432087026407,0.08340815715418473
ENSMUSG00000038375,3.6615415,1.8435435,0.0002507021675151241,0.08431166123151856
ENSMUSG00000024661,3.6374576,0.5520433,0.00027534250473321256,0.09164363675579142
ENSMUSG00000031765,3.5970588,3.779783,0.0003218359174990887,0.09990839035055846
ENSMUSG00000039001,3.5916204,0.5725535,0.0003286283568035619,0.100047375309005
ENSMUSG00000022528,3.578413,2.0690787,0.0003456868929885128,0.10333797537161236
ENSMUSG00000104960,3.5644288,2.8205466,0.0003646494720363157,0.10606043427650859
ENSMUSG00000064360,3.5286913,0.6602197,0.00041762007101906455,0.11931738046770353
ENSMUSG00000005873,3.4712005,2.9185772,0.0005181370499432288,0.13711520210997657
ENSMUSG00000058690,3.4082713,2.0130632,0.000653758480852548,0.16714257068974642
ENSMUSG00000090958,3.3919563,2.5591812,0.0006939548192336791,0.169729782870904
ENSMUSG00000026576,3.3849642,1.923211,0.0007118751833890189,0.1728036864339434
ENSMUSG00000062997,3.3670955,0.76018167,0.0007596437171450122,0.18033159858843176
ENSMUSG00000026826,3.3111584,3.834328,0.0009291055423047966,0.2118279037714735
ENSMUSG00000026003,3.3103817,3.061763,0.000931688472527466,0.2118279037714735
ENSMUSG00000004951,3.3018358,1.493259,0.0009605431395794222,0.21686108574350801
ENSMUSG00000028945,3.2855208,1.720919,0.0010179404270717696,0.22480226723650593
ENSMUSG00000078302,3.2629905,2.441501,0.0011024318356396949,0.23887256250756744
ENSMUSG00000002980,3.2552216,1.0939078,0.001133039383428361,0.24131825918267572
ENSMUSG00000032518,3.2303607,0.47193775,0.0012363414475683211,0.2558672027868157
ENSMUSG00000021270,3.2171533,2.1019835,0.0012946938499187356,0.264551841421686
ENSMUSG00000022010,3.2093842,1.0366602,0.0013301956648773983,0.2700966480538793
ENSMUSG00000029713,3.204723,2.431077,0.001351925691307827,0.2718314863474691
ENSMUSG00000054766,3.2039459,2.3062475,0.0013555790398619338,0.2718314863474691
ENSMUSG00000073616,3.1868541,2.1947799,0.0014382929108381105,0.2848790590577202
ENSMUSG00000040435,3.1814158,2.6599588,0.0014655710923475005,0.28676341040266096
ENSMUSG00000037242,3.1736467,1.7717723,0.0015053675898876377,0.2927758592742312
ENSMUSG00000046532,3.1604395,2.9965026,0.0015753134449255557,0.2954263813710015
ENSMUSG00000071528,3.1588857,1.3620886,0.0015837362078480514,0.2954263813710015
ENSMUSG00000029467,3.1503396,0.57365113,0.001630807130825914,0.2990471213065383
ENSMUSG00000068566,3.1487858,2.1978476,0.0016395025699630565,0.2990471213065383
ENSMUSG00000019505,3.1394632,0.7768188,0.0016925774069712883,0.30270681661945287
ENSMUSG00000063694,3.1386862,2.3017373,0.0016970708938553807,0.30270681661945287
ENSMUSG00000036570,3.1114945,1.6255147,0.001861428845031028,0.3188046244017013
ENSMUSG00000032515,3.1107178,4.975866,0.001866332756012328,0.3188046244017013
ENSMUSG00000040128,3.0796416,1.3111469,0.0020724983505312528,0.346687094543531
ENSMUSG00000018567,3.0493424,1.8750951,0.0022934293746305883,0.37395640080782094
ENSMUSG00000021520,3.011274,2.166956,0.002601538405249512,0.4117189579092181
ENSMUSG00000037664,3.011274,2.4860756,0.002601538405249512,0.4117189579092181
ENSMUSG00000050732,3.0058358,2.7529855,0.0026485193453382153,0.41710949787436236
ENSMUSG00000041329,3.0003974,0.53871894,0.002696274577703142,0.42256905214148516
ENSMUSG00000035621,2.9848595,2.7746756,0.002837086223516786,0.44036215733768963
ENSMUSG00000018102,2.9825287,2.6169071,0.0028587777628300446,0.4416059333634832
ENSMUSG00000054452,2.9794211,2.4069126,0.0028879353508832377,0.44398568001554917
ENSMUSG00000058600,2.973206,0.45366454,0.002947066423081291,0.44460766107093214
ENSMUSG00000055436,2.973206,2.5063508,0.002947066423081291,0.44460766107093214
ENSMUSG00000017404,2.9553373,0.27523574,0.0031232750002308904,0.4646771123615405
ENSMUSG00000062929,2.9530065,2.6584282,0.0031469536069130112,0.4660522807302136
ENSMUSG00000055839,2.9436836,2.0562835,0.0032433133720710743,0.47595623735143017
ENSMUSG00000052684,2.924261,2.3277214,0.003452750171490553,0.4976430325293416
ENSMUSG00000030663,2.9141614,2.3129768,0.003566455219149867,0.5072379151993545
ENSMUSG00000064341,2.908723,0.4462466,0.003629082130350701,0.5138812130630368
ENSMUSG00000057132,2.9040616,3.2726173,0.003683556568660745,0.5193171345817125
ENSMUSG00000057863,2.900177,1.2228308,0.003729518695027324,0.5235109176911181
ENSMUSG00000039630,2.8698778,1.7777208,0.004106303202589035,0.5714310297223577
ENSMUSG00000062825,2.8667703,0.81915784,0.004146838746844622,0.5745952315102086
ENSMUSG00000020368,2.8582244,1.6379592,0.004260190427709192,0.5842262417318568
ENSMUSG00000031328,2.8426864,1.311942,0.004473507496794151,0.6068369308151225
ENSMUSG00000029148,2.837248,2.8308458,0.004550425168686196,0.612126985712641
ENSMUSG00000002985,2.8271482,3.3364851,0.0046964577263596706,0.6188781130429468
ENSMUSG00000050856,2.820156,1.7314811,0.004800028628324939,0.6238736770501074
ENSMUSG00000064370,2.820156,0.41335323,0.004800028628324939,0.6238736770501074
ENSMUSG00000004665,2.8154948,1.6979179,0.004870219564285744,0.6264344168644034
ENSMUSG00000090841,2.8046181,0.46148938,0.0050376229417380776,0.6403136089528104
ENSMUSG00000051043,2.8046181,1.5347558,0.0050376229417380776,0.6403136089528104
ENSMUSG00000057666,2.7991798,2.1067135,0.005123260444073363,0.6451474114246273
ENSMUSG00000018821,2.7984028,2.9238236,0.005135601199818157,0.6451474114246273
ENSMUSG00000022108,2.7859724,0.36398846,0.005336740973840746,0.6626795474632634
ENSMUSG00000026628,2.7774265,2.5076313,0.005479122938086242,0.6707209880289106
ENSMUSG00000071533,2.7758727,2.3748372,0.005505375927757823,0.6707209880289106
ENSMUSG00000044533,2.7712114,0.66036,0.005584817472373182,0.6778414740434894
ENSMUSG00000022498,2.7603347,2.8301961,0.005774217926736397,0.6930134786791249
ENSMUSG00000018750,2.741689,2.0892944,0.006112418618729143,0.7281897974378981
ENSMUSG00000020719,2.7378044,0.41389322,0.006185083590522663,0.7331781098053345
ENSMUSG00000064351,2.7370276,0.3687975,0.006199709585778421,0.7331781098053345
ENSMUSG00000070394,2.7222664,2.228128,0.006483584784183449,0.7611728536631369
ENSMUSG00000038582,2.7207127,2.480315,0.00651413643553896,0.7619887493528091
ENSMUSG00000060803,2.7075052,3.3998673,0.006779099237490347,0.776996106388541
ENSMUSG00000038803,2.7059515,1.9795303,0.006810899740063717,0.776996106388541
ENSMUSG00000024974,2.693521,1.759005,0.007070168399005402,0.7981132404261866
ENSMUSG00000028525,2.6849751,2.140012,0.007253520834091633,0.8159579098559175
ENSMUSG00000065947,2.6834214,1.3351421,0.007287312403178464,0.816912781029919
ENSMUSG00000059895,2.6601143,1.3846922,0.007811415465554975,0.8577943819913006
ENSMUSG00000011179,2.6368072,2.5777383,0.008369039535667908,0.900648138030128
ENSMUSG00000026663,2.622823,2.6848433,0.008720458784703695,0.9291749566473887
ENSMUSG00000003420,2.6189384,2.2170339,0.008820387536068806,0.9336597101704308
ENSMUSG00000033909,2.6010697,2.4406521,0.009293358780480137,0.9741431435967571
ENSMUSG00000068742,2.6010697,2.6343403,0.009293358780480137,0.9741431435967571
ENSMUSG00000078578,2.5940776,2.2014186,0.009484510141809229,0.9909624916773818
ENSMUSG00000024063,2.589416,0.5523417,0.009613884787757754,0.9980201619702865
ENSMUSG00000037152,2.5800934,1.5478381,0.009877363446117282,1.0
ENSMUSG00000079435,2.5676627,0.70413625,0.010238669129160579,1.0
ENSMUSG00000066551,2.557563,1.0473638,0.01054084341547658,1.0
ENSMUSG00000021823,2.5552323,0.99302006,0.010611692523095101,1.0
ENSMUSG00000046330,2.550571,0.29267094,0.01075466247843528,1.0
ENSMUSG00000026626,2.5202718,1.0842656,0.011726425564652483,1.0
ENSMUSG00000033307,2.5202718,2.154831,0.011726425564652483,1.0
ENSMUSG00000021127,2.5101721,1.7177474,0.012067235486367813,1.0
ENSMUSG00000064356,2.5093951,0.56067544,0.012093811706437668,1.0
ENSMUSG00000022895,2.4969647,1.9607451,0.012526142623509273,1.0
ENSMUSG00000008035,2.4969647,2.1997383,0.012526142623509273,1.0
ENSMUSG00000018293,2.4853113,1.6966416,0.012943824090117902,1.0
ENSMUSG00000029135,2.4845343,2.286807,0.012972102630567127,1.0
ENSMUSG00000030530,2.4845343,2.2364895,0.012972102630567127,1.0
ENSMUSG00000053560,2.4845343,1.9794425,0.012972102630567127,1.0
ENSMUSG00000026309,2.4775422,2.1947052,0.013229078798088772,1.0
ENSMUSG00000032279,2.4767652,2.4836104,0.013257907701549663,1.0
ENSMUSG00000007836,2.469773,1.8698696,0.0135198772679364,1.0
ENSMUSG00000053553,2.462781,2.2451007,0.013786410044330339,1.0
ENSMUSG00000008683,2.4620042,0.38146198,0.013816309347073773,1.0
ENSMUSG00000027365,2.4581196,2.0557985,0.013966666355535404,1.0
ENSMUSG00000033735,2.4557889,2.694936,0.014057572259295981,1.0
ENSMUSG00000051695,2.4519043,2.1375291,0.014210242913574292,1.0
ENSMUSG00000050295,2.4441354,1.8850147,0.014519979004763314,1.0
ENSMUSG00000032368,2.4433584,1.4122077,0.014551277632772993,1.0
ENSMUSG00000027010,2.4402509,2.2932966,0.014677067776505378,1.0
ENSMUSG00000061232,2.4394739,2.279276,0.014708664691319212,1.0
ENSMUSG00000030272,2.4363663,2.0299792,0.014835652699844765,1.0
ENSMUSG00000036478,2.4324818,1.3352673,0.014995745608765258,1.0
ENSMUSG00000022682,2.4262667,2.6308246,0.015255060602457285,1.0
ENSMUSG00000022508,2.4254897,2.1755705,0.015287750998506877,1.0
ENSMUSG00000027363,2.423159,2.3283055,0.015386192525786189,1.0
