gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000002985,12.575832,2.1426988,2.8676305096581144e-36,4.6290725502156114e-32
ENSMUSG00000034755,10.061541,4.319999,8.170990439621322e-24,3.7685775191882055e-20
ENSMUSG00000028691,9.0351515,3.2556887,1.6377587906778456e-19,5.87500472855936e-16
ENSMUSG00000052572,8.806798,3.745539,1.2877183042020924e-18,4.157398545116455e-15
ENSMUSG00000029838,8.45498,1.9990824,2.7913451349873687e-17,7.509881473588933e-14
ENSMUSG00000028444,8.367353,3.7850356,5.892660743482251e-17,1.3588896578808893e-13
ENSMUSG00000058135,8.26006,2.2282867,1.4559884531071757e-16,3.133772480571011e-13
ENSMUSG00000060802,8.217231,3.802025,2.0825673161842068e-16,3.95504034135336e-13
ENSMUSG00000039809,7.810346,4.258535,5.703122939944197e-15,8.767872576957067e-12
ENSMUSG00000030905,7.5546775,3.766736,4.198992578099964e-14,5.894107625389449e-11
ENSMUSG00000005089,7.438862,2.6284268,1.015565376859564e-13,1.2143528959967046e-10
ENSMUSG00000061232,7.393191,3.3657281,1.433462841688833e-13,1.6528338515687135e-10
ENSMUSG00000073411,7.2819643,3.429119,3.289941323830788e-13,3.426314698060548e-10
ENSMUSG00000001270,7.207886,2.6355388,5.68271776506795e-13,5.733329470163087e-10
ENSMUSG00000034912,7.0769925,1.8833632,1.4731656743900104e-12,1.4412470847782268e-09
ENSMUSG00000035964,7.01974,3.863803,2.222812208063404e-12,2.050385489637914e-09
ENSMUSG00000036019,6.964673,2.5237432,3.2916718308382186e-12,2.951989584961441e-09
ENSMUSG00000027004,6.89868,3.5323822,5.248794465463974e-12,4.579927819392012e-09
ENSMUSG00000047454,6.8628426,1.1793951,6.750353324917326e-12,5.735135713025154e-09
ENSMUSG00000092341,6.703323,0.51505065,2.0373237857835035e-11,1.6443749606005104e-08
ENSMUSG00000064215,6.5608478,3.0555813,5.350266285116453e-11,4.01705458174383e-08
ENSMUSG00000026385,6.466884,1.6742262,1.000442030647865e-10,6.922029359074669e-08
ENSMUSG00000090137,6.338176,3.0483248,2.325012567592217e-10,1.34467598225934e-07
ENSMUSG00000050663,6.3342423,3.4446356,2.385100289812698e-10,1.34467598225934e-07
ENSMUSG00000031355,6.303431,3.3405254,2.911274120777034e-10,1.5930590676150264e-07
ENSMUSG00000002459,6.257979,2.2035165,3.8999819724897134e-10,2.00700224363456e-07
ENSMUSG00000026104,6.2573233,3.2172794,3.9164051834900813e-10,2.00700224363456e-07
ENSMUSG00000031712,6.1137557,2.7846558,9.731319918864905e-10,4.760237326978083e-07
ENSMUSG00000047216,6.063496,3.130975,1.331939744355272e-09,6.232126760363762e-07
ENSMUSG00000038170,6.0532255,2.1755674,1.4197372638894859e-09,6.45580529079888e-07
ENSMUSG00000027447,5.8510947,0.94233423,4.883483648134623e-09,1.899557464819594e-06
ENSMUSG00000041353,5.847817,2.3851473,4.980666705198809e-09,1.9142955306826612e-06
ENSMUSG00000028020,5.81045,2.4946036,6.230519389154248e-09,2.366497864456999e-06
ENSMUSG00000030516,5.771772,1.9576327,7.844230548331379e-09,2.9109308419871097e-06
ENSMUSG00000038349,5.7632494,2.7624912,8.25096763646793e-09,3.027073751629172e-06
ENSMUSG00000032413,5.7418346,2.358855,9.365631332082826e-09,3.3974090736662254e-06
ENSMUSG00000047759,5.617715,3.3111262,1.9349919588475656e-08,6.864968724328972e-06
