gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000034912,9.910675,4.207743,3.7411023991961826e-23,6.039074547902438e-19
ENSMUSG00000034755,9.665469,5.163887,4.226798293252556e-22,4.5487394299219585e-18
ENSMUSG00000071424,9.487102,5.1157455,2.375480489556645e-21,1.917309690133407e-17
ENSMUSG00000092341,8.302994,0.7179535,1.0152058038840515e-16,3.33261629967797e-13
ENSMUSG00000047454,8.301016,2.5256312,1.0322491248808953e-16,3.33261629967797e-13
ENSMUSG00000032076,8.1614065,1.9573764,3.311453839066876e-16,8.909190599522841e-13
ENSMUSG00000052372,8.151124,2.3137105,3.605578540087024e-16,8.934762680196736e-13
ENSMUSG00000031517,8.093382,3.5378327,5.803065319334409e-16,1.2490130922314092e-12
ENSMUSG00000060802,7.504887,4.1794963,6.14815312078568e-14,9.924656175228284e-11
ENSMUSG00000002459,7.3739786,2.216734,1.6560955630038626e-13,2.4303202387081684e-10
ENSMUSG00000005089,7.32296,3.7168574,2.4255993103239706e-13,3.1324189493523756e-10
ENSMUSG00000071856,7.0140796,4.1851873,2.314676328306232e-12,2.1963569504286834e-09
ENSMUSG00000023004,6.9658294,3.4916797,3.2647468244167985e-12,2.5707890542999103e-09
ENSMUSG00000052572,6.95001,3.768449,3.652613328833e-12,2.7811397202853887e-09
ENSMUSG00000020598,6.8855443,1.3184679,5.7567057993587254e-12,4.040331450702097e-09
ENSMUSG00000024109,6.7736197,1.7047956,1.2559978357766462e-11,8.44789377667688e-09
ENSMUSG00000041014,6.613049,4.0772796,3.7648367822259645e-11,2.2508843613734308e-08
ENSMUSG00000061298,6.6051393,1.7956625,3.971441051227666e-11,2.33123589707064e-08
ENSMUSG00000039809,6.56559,4.0200667,5.182730882194043e-11,2.935516956695345e-08
ENSMUSG00000039419,6.5477924,3.848267,5.839374201744419e-11,3.195325357683365e-08
ENSMUSG00000039717,6.4947963,4.138845,8.314575841944123e-11,4.329614210599452e-08
ENSMUSG00000022037,6.467112,3.894356,9.989368964083099e-11,5.119155190562267e-08
