gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000023175,14.180591,1.1763902,1.2082508074248795e-45,1.3002792439237412e-41
ENSMUSG00000060802,12.708072,3.0716658,5.333367044634191e-37,3.4437551007202966e-33
ENSMUSG00000004698,11.1810465,5.53721,5.04907853829799e-29,2.7168250101491768e-25
ENSMUSG00000017754,11.098401,1.2386758,1.2770817568687848e-28,5.1538230650635895e-25
ENSMUSG00000061232,11.067446,4.1905255,1.8047119698044558e-28,6.473902882792983e-25
ENSMUSG00000073411,9.884928,2.4717627,4.8393122391153276e-23,1.5623719563983834e-19
ENSMUSG00000029580,9.289077,1.3334986,1.556318518946964e-20,3.86505718340021e-17
ENSMUSG00000009687,9.169403,3.8441598,4.7564388404810373e-20,1.0968687711780735e-16
ENSMUSG00000025780,9.149853,2.170639,5.701117948351558e-20,1.2270706197502003e-16
ENSMUSG00000044258,8.924428,3.2711902,4.480088655276042e-19,8.035536790865946e-16
ENSMUSG00000075602,8.260298,1.6270691,1.4530901971412072e-16,2.0396963919436466e-13
ENSMUSG00000040170,8.093229,4.4959445,5.810349183907637e-16,7.816130141769085e-13
ENSMUSG00000020889,7.9796276,5.6565433,1.467751527088219e-15,1.8225522327708903e-12
ENSMUSG00000071076,7.6791105,1.9972962,1.6019683546598213e-14,1.783432701041115e-11
ENSMUSG00000032562,7.5028586,1.1592978,6.244091844125712e-14,6.108803187502988e-11
ENSMUSG00000032327,7.260845,3.958453,3.846789969436728e-13,3.548388976093279e-10
ENSMUSG00000090137,7.2541804,3.363562,4.0410182864527167e-13,3.6240076493923873e-10
ENSMUSG00000093674,7.1546497,0.7668687,8.388691013791839e-13,6.944330496929988e-10
ENSMUSG00000026728,7.112882,1.98768,1.1364418037034695e-12,9.172505908141628e-10
ENSMUSG00000001175,7.028311,0.8077159,2.0904863303163183e-12,1.6461305164454227e-09
ENSMUSG00000046727,6.998985,3.3756185,2.578235309115591e-12,1.9818649274951634e-09
ENSMUSG00000055148,6.7303114,1.030071,1.6930010731684445e-11,1.1856548444301537e-08
ENSMUSG00000062960,6.693728,1.8685664,2.1755532889341695e-11,1.43342322312734e-08
ENSMUSG00000026921,6.6033807,0.5268223,4.018862710041973e-11,2.4480940112019826e-08
ENSMUSG00000030413,6.5976043,2.3592143,4.1785508236477124e-11,2.498231728545674e-08
ENSMUSG00000001946,6.577905,1.5620028,4.7712158050824304e-11,2.8007036775833868e-08
ENSMUSG00000041378,6.507108,0.5566146,7.661115465927719e-11,4.264467462370283e-08
ENSMUSG00000016559,6.4845953,1.1180825,8.897016517125869e-11,4.8684775975493e-08
ENSMUSG00000024066,6.3501105,2.943298,2.1516003737673853e-10,1.1203938397916135e-07
ENSMUSG00000035929,6.3068624,3.2957704,2.847489641721867e-10,1.4364250481717264e-07
ENSMUSG00000060550,6.2639103,5.7623053,3.754419656362735e-10,1.8647913631641676e-07
ENSMUSG00000057863,6.187337,0.9088688,6.118917170748794e-10,2.905135894965071e-07
ENSMUSG00000060143,6.139645,2.1397932,8.270610997829889e-10,3.81808197791302e-07
ENSMUSG00000002985,6.1106153,2.506803,9.924778881031026e-10,4.5129786785082624e-07
ENSMUSG00000069833,6.1073565,1.566814,1.0129463377385421e-09,4.542079515817893e-07
ENSMUSG00000039167,6.092842,0.5126368,1.1092359516646283e-09,4.905709958834593e-07
ENSMUSG00000079523,6.0882506,2.5150054,1.141511942217763e-09,4.980231493851416e-07
ENSMUSG00000020019,6.054185,3.4805725,1.4113039882626428e-09,6.033986231079608e-07
ENSMUSG00000046314,6.0531483,2.8483992,1.420421104420165e-09,6.033986231079608e-07
ENSMUSG00000053714,5.99731,2.8122652,2.0061247970938084e-09,8.318711286606415e-07
ENSMUSG00000024048,5.989016,1.9830436,2.111142643057791e-09,8.627625345711492e-07
ENSMUSG00000037706,5.8825245,2.0570343,4.040559960789019e-09,1.4722991051437795e-06
ENSMUSG00000026547,5.8771925,2.1402566,4.172833631702591e-09,1.4804388329617376e-06
ENSMUSG00000021708,5.8613443,3.4190106,4.5913451522599356e-09,1.611212806964261e-06
ENSMUSG00000041445,5.8225393,2.5950289,5.7960148525814785e-09,2.012089672210678e-06
ENSMUSG00000042116,5.812912,1.309244,6.139529197885115e-09,2.108667022911925e-06
ENSMUSG00000038007,5.795139,2.316771,6.826469391454752e-09,2.3199217295064914e-06
ENSMUSG00000030096,5.786548,0.91349804,7.184740300468957e-09,2.4162431312566693e-06
ENSMUSG00000006356,5.7517424,1.306233,8.832837461247534e-09,2.939877911715223e-06
ENSMUSG00000090733,5.7345614,0.87688154,9.77649948000543e-09,3.1882251082017707e-06
