gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000020889,5.6148667,7.3152075,1.96713883922184e-08,0.00031754538712138554
ENSMUSG00000062997,4.363714,4.478732,1.2787272318895062e-05,0.03753064425595701
ENSMUSG00000001025,4.184978,2.5033312,2.851938198158893e-05,0.06576773194825705
ENSMUSG00000001663,4.1543374,5.221297,3.2623143437481594e-05,0.07021587905860621
ENSMUSG00000007097,4.1288037,0.9382172,3.646555213211703e-05,0.07358064691158739
ENSMUSG00000079523,4.10327,2.9849014,4.0735140648020095e-05,0.07736082446007816
ENSMUSG00000017778,4.0522027,3.679483,5.073771161222515e-05,0.08621405365266784
ENSMUSG00000050708,4.0368824,2.2560394,5.4166225917114696e-05,0.0874378301867024
ENSMUSG00000039001,3.9807081,2.261504,6.871028193643233e-05,0.10563387868179608
ENSMUSG00000019505,3.9628346,3.1211488,7.40651295380067e-05,0.10869057759702483
ENSMUSG00000020354,3.8632529,5.4982452,0.00011188704079951693,0.15223491276700749
ENSMUSG00000064370,3.8530395,0.9916593,0.00011666057845313912,0.15223491276700749
ENSMUSG00000090137,3.850486,4.658289,0.0001178836245679166,0.15223491276700749
ENSMUSG00000015090,3.8172922,5.326486,0.00013492431635506522,0.16133450198234373
ENSMUSG00000046532,3.7764382,5.282799,0.00015908695574030172,0.18343294164555862
ENSMUSG00000035227,3.7662249,4.218852,0.00016573458378621803,0.18450831163924306
ENSMUSG00000071866,3.7457979,2.8236306,0.00017982138145287735,0.18727526774858533
ENSMUSG00000078974,3.7202642,3.0504756,0.00019901457067769416,0.2007870441977924
ENSMUSG00000022108,3.6972837,2.0497408,0.00021791873685697864,0.2069266593949281
ENSMUSG00000002985,3.5977023,3.20773,0.0003210409084634021,0.29613730656402676
ENSMUSG00000042682,3.5798285,3.239779,0.0003438196752931026,0.30000589775237346
ENSMUSG00000037072,3.5670617,2.385842,0.00036100647751717205,0.30671300333268153
ENSMUSG00000068220,3.5364213,4.3041067,0.00040558740883226427,0.3214635430949613
ENSMUSG00000016559,3.5262077,2.169896,0.0004215561354351305,0.3214635430949613
ENSMUSG00000027447,3.5185475,1.7291199,0.0004339159063698615,0.3214635430949613
ENSMUSG00000035530,3.4700336,1.6611996,0.0005203933504458235,0.3500187358154877
ENSMUSG00000020585,3.4547133,1.2628747,0.0005508782381137403,0.36217249880342894
ENSMUSG00000010406,3.4496067,4.314343,0.0005614040862190187,0.36217249880342894
ENSMUSG00000046516,3.4444997,3.2876031,0.0005721170029107907,0.36217249880342894
ENSMUSG00000075706,3.4087527,2.9112642,0.0006526063307508978,0.39753576204325913
ENSMUSG00000020719,3.3883257,1.2945033,0.0007032072600978589,0.40541154271891744
ENSMUSG00000032383,3.357685,3.8721483,0.0007859808384738312,0.4300913791547058
ENSMUSG00000039016,3.3449183,3.6949332,0.0008230681474673033,0.4428792523496981
ENSMUSG00000020949,3.3066177,4.5704913,0.0009442967078844732,0.4928104371451943
ENSMUSG00000024121,3.3040643,2.695305,0.0009529396422232316,0.4928104371451943
ENSMUSG00000018567,3.2427833,2.9314897,0.0011836816983896085,0.560791498759324
ENSMUSG00000079426,3.2376766,4.0571804,0.001205073148339567,0.560791498759324
ENSMUSG00000037573,3.2351232,4.653835,0.001215902273909019,0.560791498759324
ENSMUSG00000071528,3.2146962,3.5587084,0.0013058260609290443,0.5775149914670438
ENSMUSG00000042737,3.2070363,3.5609868,0.0013411013665109526,0.5851007786190014
ENSMUSG00000093674,3.1661823,1.8161981,0.0015445401706948548,0.6347252427079186
ENSMUSG00000034892,3.1636288,2.1363895,0.0015581537538536716,0.6347252427079186
ENSMUSG00000024661,3.1585221,1.426065,0.0015857129698595397,0.6347252427079186
ENSMUSG00000003380,3.1559687,3.343477,0.0015996602184408942,0.6347252427079186
ENSMUSG00000022820,3.1534154,3.3340347,0.0016137203130398045,0.6347252427079186
ENSMUSG00000047787,3.1483085,4.165193,0.0016421823279105412,0.6347252427079186
ENSMUSG00000025351,3.1457553,3.138834,0.0016565859048829476,0.6347252427079186
ENSMUSG00000045817,3.1278815,3.8865037,0.001760710893517967,0.6609831534561345
ENSMUSG00000023175,3.1176682,3.7015848,0.00182287949279902,0.6764559129312225
ENSMUSG00000090733,3.0972412,1.6813358,0.001953309137868857,0.7085683765853488
ENSMUSG00000021775,3.0768142,3.7304604,0.0020922570391652957,0.7422914121917755
ENSMUSG00000028998,3.048727,4.2176723,0.0022981317722666297,0.7977976802970768
ENSMUSG00000051695,3.041067,3.1463573,0.00235741418720738,0.8011486003577923
ENSMUSG00000024048,3.0334067,3.216323,0.0024180937856203614,0.8116634889498164
ENSMUSG00000036199,3.0308535,2.5577753,0.0024386358503370666,0.8116634889498164
ENSMUSG00000038717,3.0155332,2.8102753,0.0025652784807605345,0.836565815670241
ENSMUSG00000028618,3.0027664,2.6338325,0.002675377538823772,0.8551937013953018
ENSMUSG00000027712,2.9899995,3.1425428,0.0027897792316578483,0.8830198283732709
ENSMUSG00000024054,2.9823394,3.9136596,0.002860547222990421,0.8954425774766366
ENSMUSG00000026238,2.9695725,1.2481599,0.002982144366281655,0.896649657990111
ENSMUSG00000030717,2.9695725,1.8370385,0.002982144366281655,0.896649657990111
ENSMUSG00000041736,2.967019,4.2893624,0.0030070225476092507,0.896649657990111
ENSMUSG00000020473,2.959359,3.6133862,0.0030827973373672704,0.896649657990111
ENSMUSG00000048546,2.959359,3.8367052,0.0030827973373672704,0.896649657990111
ENSMUSG00000029178,2.9440389,3.163827,0.0032395941508371693,0.9338419389265894
ENSMUSG00000039221,2.9363787,2.8220625,0.0033206871313584663,0.9487467613797176
ENSMUSG00000025337,2.9312718,3.4315495,0.00337577167264118,0.9560244600984253
ENSMUSG00000049751,2.9236119,3.5527074,0.0034599596368635964,0.9713460597925323
ENSMUSG00000060802,2.9082916,2.6386874,0.0036340935862510036,0.9942941646789293
ENSMUSG00000021248,2.9082916,2.405925,0.0036340935862510036,0.9942941646789293
ENSMUSG00000024327,2.9006314,3.62206,0.0037241162307458746,1.0
ENSMUSG00000075701,2.898078,1.9621146,0.0037545712888997,1.0
ENSMUSG00000016194,2.8955247,3.9188192,0.003785252546400034,1.0
ENSMUSG00000041084,2.8929713,3.0347002,0.003816161481783018,1.0
ENSMUSG00000004285,2.8878646,2.7550871,0.003878668340331928,1.0
ENSMUSG00000019689,2.8878646,4.089305,0.003878668340331928,1.0
ENSMUSG00000090247,2.8878646,4.9176793,0.003878668340331928,1.0
ENSMUSG00000022940,2.882758,3.7277052,0.003942103853218553,1.0
ENSMUSG00000014313,2.877651,1.9319309,0.0040064801384332325,1.0
ENSMUSG00000020571,2.8674376,3.9385583,0.004138104150186755,1.0
ENSMUSG00000004044,2.857224,3.7599976,0.004273639942543987,1.0
ENSMUSG00000037742,2.841904,1.948844,0.004484501273966639,1.0
ENSMUSG00000028036,2.8189235,3.699765,0.00481849997089636,1.0
ENSMUSG00000021131,2.8112633,3.9446397,0.004934737146225189,1.0
ENSMUSG00000090841,2.8112633,2.3990533,0.004934737146225189,1.0
"gene_symbol
Aldoa    ENSMUSG00000030695
Aldoa    ENSMUSG00000114515
Name: gene_identifier, dtype: object",2.8061566,2.943581,0.005013631348953699,1.0
ENSMUSG00000018293,2.7933898,3.1926131,0.0052158801035346375,1.0
ENSMUSG00000025492,2.7908363,2.9769492,0.005257203677833378,1.0
ENSMUSG00000040824,2.7755163,3.490897,0.005511415883674078,1.0
ENSMUSG00000029038,2.7755163,3.6441724,0.005511415883674078,1.0
ENSMUSG00000032179,2.7729628,3.9007146,0.005554847102990296,1.0
ENSMUSG00000041881,2.7653027,2.7957175,0.005687000003487663,1.0
ENSMUSG00000033379,2.7653027,3.2041254,0.005687000003487663,1.0
ENSMUSG00000041841,2.760196,1.5270865,0.005776670480253985,1.0
ENSMUSG00000063870,2.7474291,2.3627405,0.006006449952795292,1.0
ENSMUSG00000027673,2.739769,3.2703295,0.006148238882322194,1.0
ENSMUSG00000017344,2.7372155,2.739095,0.006196167409342546,1.0
ENSMUSG00000006304,2.7346623,3.197272,0.006244432088301605,1.0
ENSMUSG00000018102,2.7270021,2.8795652,0.00639126349381804,1.0
ENSMUSG00000036181,2.7040217,3.5422008,0.006850580865887379,1.0
ENSMUSG00000024208,2.6682744,3.1776044,0.0076241936005015535,1.0
ENSMUSG00000053898,2.6631677,3.3867083,0.00774088096618135,1.0
ENSMUSG00000039323,2.658061,2.4012575,0.007859166131062821,1.0
ENSMUSG00000034120,2.6555076,3.41752,0.007918913741431926,1.0
ENSMUSG00000075702,2.6478474,2.2278874,0.008100605036689515,1.0
ENSMUSG00000016256,2.6478474,2.8878725,0.008100605036689515,1.0
ENSMUSG00000032171,2.637634,4.079332,0.008348662392798759,1.0
ENSMUSG00000022858,2.637634,2.579391,0.008348662392798759,1.0
ENSMUSG00000019960,2.6350806,3.3946984,0.008411728949330696,1.0
ENSMUSG00000044447,2.6274207,3.196008,0.008603493043925983,1.0
ENSMUSG00000038803,2.6274207,2.8811622,0.008603493043925983,1.0
ENSMUSG00000023089,2.6197605,3.1029963,0.008799155731762947,1.0
ENSMUSG00000058600,2.6044402,1.7401989,0.00920244796619212,1.0
ENSMUSG00000051234,2.6044402,2.922558,0.00920244796619212,1.0
ENSMUSG00000038690,2.6044402,2.4949825,0.00920244796619212,1.0
ENSMUSG00000000563,2.5993335,2.8959625,0.00934049921536654,1.0
ENSMUSG00000062963,2.5993335,3.332689,0.00934049921536654,1.0
ENSMUSG00000046230,2.5840132,3.159787,0.009765805297172062,1.0
ENSMUSG00000027593,2.5814598,3.0642574,0.00983834373599821,1.0
ENSMUSG00000001270,2.5737996,2.4641914,0.010058848102690933,1.0
ENSMUSG00000023944,2.5661397,2.1455977,0.010283742964473626,1.0
ENSMUSG00000009549,2.5610328,2.5974007,0.01043614852175728,1.0
ENSMUSG00000021843,2.535499,2.0463743,0.011228720706134085,1.0
ENSMUSG00000057322,2.5303924,1.8898875,0.011393502973891138,1.0
ENSMUSG00000025825,2.5303924,3.169901,0.011393502973891138,1.0
ENSMUSG00000071180,2.5303924,3.3291814,0.011393502973891138,1.0
ENSMUSG00000032946,2.5303924,3.2267094,0.011393502973891138,1.0
ENSMUSG00000035215,2.5252857,3.9932377,0.011560428382052698,1.0
ENSMUSG00000062563,2.5252857,3.6329465,0.011560428382052698,1.0
ENSMUSG00000006299,2.5201788,3.241489,0.011729520394298719,1.0
ENSMUSG00000031765,2.5201788,2.7903032,0.011729520394298719,1.0
ENSMUSG00000025743,2.5201788,3.6467607,0.011729520394298719,1.0
ENSMUSG00000018770,2.5201788,2.8781538,0.011729520394298719,1.0
ENSMUSG00000037242,2.5176256,3.4941804,0.011814886261511065,1.0
ENSMUSG00000041329,2.512519,2.3748357,0.011987272591847028,1.0
ENSMUSG00000029309,2.5099654,1.1881537,0.012074299040422988,1.0
ENSMUSG00000073411,2.5099654,3.443234,0.012074299040422988,1.0
ENSMUSG00000030341,2.5048587,3.1792562,0.012250033558142442,1.0
ENSMUSG00000043833,2.5048587,4.343567,0.012250033558142442,1.0
ENSMUSG00000032092,2.5023053,4.591302,0.012338747684911434,1.0
ENSMUSG00000019929,2.4997518,0.28306442,0.012428030448814976,1.0
ENSMUSG00000078812,2.4895384,3.1764617,0.012790909237639739,1.0
ENSMUSG00000060143,2.4895384,2.7759523,0.012790909237639739,1.0
ENSMUSG00000031839,2.4793248,3.0095432,0.013163133124842219,1.0
ENSMUSG00000004951,2.4793248,3.4937086,0.013163133124842219,1.0
ENSMUSG00000079435,2.4767716,2.7135198,0.013257672734892046,1.0
ENSMUSG00000046330,2.4742181,2.011022,0.013352812119070448,1.0
ENSMUSG00000029614,2.4742181,1.3717114,0.013352812119070448,1.0
ENSMUSG00000051154,2.4742181,3.3645988,0.013352812119070448,1.0
ENSMUSG00000067288,2.4691114,2.383961,0.013544902945472928,1.0
ENSMUSG00000021939,2.4691114,2.0591319,0.013544902945472928,1.0
ENSMUSG00000032554,2.4691114,3.1401405,0.013544902945472928,1.0
ENSMUSG00000035585,2.4640048,3.2333753,0.013739431198178423,1.0
