gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000090137,13.449979,4.7139688,3.0796091054528366e-41,4.971258998477242e-37
ENSMUSG00000062997,12.559022,1.7585387,3.546888154754149e-36,3.8170428025412565e-32
ENSMUSG00000041841,12.206038,1.0580823,2.8860174469852054e-34,2.329376831897934e-30
ENSMUSG00000090733,11.658587,1.1410728,2.0745542349574643e-31,1.3395396695120346e-27
ENSMUSG00000046330,11.571976,1.1391671,5.715121639973858e-31,2.75918462716208e-27
ENSMUSG00000060143,11.568054,2.2641394,5.9824353074599844e-31,2.75918462716208e-27
ENSMUSG00000057863,11.390255,1.2321851,4.6762120574136216e-30,1.8871438284199846e-26
ENSMUSG00000039001,11.320312,0.9934706,1.04101237011397e-29,3.7343427076810575e-26
ENSMUSG00000062006,11.229451,1.1029865,2.9228887723662896e-29,9.436546401584566e-26
ENSMUSG00000008682,11.094794,1.2449211,1.329654507166292e-28,3.902535978533067e-25
ENSMUSG00000039221,11.057535,1.05359,2.0156087281657045e-28,5.422827315735813e-25
ENSMUSG00000047215,11.0425005,0.93832237,2.383075084331275e-28,5.918275315202709e-25
ENSMUSG00000057322,11.013085,1.095072,3.3048882630154407e-28,7.621308397960965e-25
ENSMUSG00000058546,10.753577,1.1468298,5.700709559728574e-27,1.1791912539215763e-23
ENSMUSG00000079641,10.751289,1.1847248,5.8439089554731985e-27,1.1791912539215763e-23
ENSMUSG00000028234,10.493415,1.1873198,9.261898901112672e-26,1.6612244779023477e-22
ENSMUSG00000014313,10.449945,1.2572732,1.466089867290549e-25,2.4411773423579855e-22
ENSMUSG00000025508,10.447004,1.034578,1.512267209142317e-25,2.4411773423579855e-22
ENSMUSG00000086503,10.430009,1.2793559,1.8087159990734633e-25,2.780685525242227e-22
ENSMUSG00000060636,10.382291,0.7491092,2.985251084780052e-25,4.380855966914726e-22
ENSMUSG00000004267,10.371179,1.3700899,3.3536409561681142e-25,4.707491229125546e-22
ENSMUSG00000009927,10.3496065,0.9939375,4.20207241525257e-25,5.652662830267883e-22
ENSMUSG00000055839,10.245019,1.612167,1.2460005126517341e-24,1.5471971750369707e-21
ENSMUSG00000030432,10.135856,1.1590052,3.830047505851502e-24,4.579743841719102e-21
ENSMUSG00000037742,10.112977,0.88582575,4.839091229470298e-24,5.579645012266021e-21
ENSMUSG00000061477,10.092386,0.9003626,5.9700082378962176e-24,6.6462660676027375e-21
