gene,z_score,avg_log2FC,p_val,p_val_adj
ENSMUSG00000095041,12.049867,2.6331675,1.9426472173637872e-33,1.686485448421395e-29
ENSMUSG00000030704,10.617617,0.6234408,2.467809992444092e-26,1.1381892229436787e-22
ENSMUSG00000024758,9.808429,0.43799165,1.0356825479589024e-22,3.0397282782593787e-19
ENSMUSG00000027273,7.964299,0.47709894,1.661627575879747e-15,1.9159159388313442e-12
ENSMUSG00000064358,7.8955245,0.43300164,2.890965503791227e-15,2.889858770327546e-12
ENSMUSG00000002265,7.89284,0.39037398,2.953859049738548e-15,2.889858770327546e-12
ENSMUSG00000039852,7.8801847,0.6099381,3.268977965500251e-15,3.104086871063989e-12
ENSMUSG00000036699,7.7317696,0.7285332,1.0606178494981908e-14,9.011065071328707e-12
ENSMUSG00000026959,7.7264004,0.5085925,1.106301362566443e-14,9.15818961293785e-12
ENSMUSG00000022285,7.662867,0.43192393,1.8182735092288163e-14,1.4317795181817642e-11
ENSMUSG00000068923,7.2929163,0.38416916,3.033166044247916e-13,1.8830610504530718e-10
ENSMUSG00000069601,7.2596793,0.35646474,3.8800859399323424e-13,2.236938831619923e-10
ENSMUSG00000043384,7.1735196,0.34648725,7.309381566493614e-13,3.9330563979041055e-10
ENSMUSG00000051853,7.122514,0.5640726,1.0597608863094523e-12,5.430854002301693e-10
ENSMUSG00000029405,6.946998,0.3582679,3.731407087159656e-12,1.6502531206705411e-09
ENSMUSG00000096768,6.7992225,2.066938,1.0518542514550165e-11,4.116947616005411e-09
ENSMUSG00000074657,6.7983274,0.70315284,1.0584068518768751e-11,4.116947616005411e-09
ENSMUSG00000019923,6.363565,0.2748965,1.9712416562957032e-10,5.8927348956950726e-08
ENSMUSG00000040687,6.2905717,1.047641,3.162988622924859e-10,9.199737629831448e-08
ENSMUSG00000044770,6.246597,2.3630066,4.1949178782198064e-10,1.1880081026168987e-07
ENSMUSG00000073590,6.2315125,4.5364046,4.619530501777265e-10,1.2857029504299913e-07
ENSMUSG00000027620,6.1707916,0.43263778,6.794898252373723e-10,1.828110750649047e-07
ENSMUSG00000023004,6.089745,0.4725989,1.1309075808528846e-09,2.852449316237139e-07
ENSMUSG00000021939,6.0884666,0.49905023,1.1399726935475338e-09,2.8530246830373744e-07
ENSMUSG00000032503,6.0825863,1.0663553,1.1825928648249816e-09,2.936923895451887e-07
ENSMUSG00000061578,6.078112,0.47494426,1.216058041405556e-09,2.996979684486899e-07
ENSMUSG00000021288,6.069164,0.54548335,1.2857807916786463e-09,3.0978681238317235e-07
ENSMUSG00000047126,6.056508,0.42660707,1.3910813756192532e-09,3.3267453490272294e-07
ENSMUSG00000031066,6.0103602,0.77616507,1.851116763651483e-09,4.268807479606295e-07
ENSMUSG00000021087,5.9730325,0.24055481,2.328832636930085e-09,5.185266322985365e-07
ENSMUSG00000029823,5.9576926,0.41145763,2.5582413290853235e-09,5.657042555446553e-07
ENSMUSG00000004207,5.9447813,0.37833792,2.7682604492615732e-09,6.079815551320401e-07
ENSMUSG00000027104,5.9360886,0.66883606,2.919019265639639e-09,6.367603850755118e-07
ENSMUSG00000069072,5.916658,0.86507624,3.285489290143477e-09,6.978422482386983e-07
ENSMUSG00000072825,5.911161,1.066211,3.3970456342300426e-09,7.16821034647823e-07
ENSMUSG00000026123,5.8800974,0.36069182,4.100248725538221e-09,8.464246467198922e-07
ENSMUSG00000030161,5.878308,0.31299496,4.1448159941264975e-09,8.469328124707213e-07
ENSMUSG00000076432,5.8613057,0.5301916,4.592409508214906e-09,9.26662131079489e-07
ENSMUSG00000028439,5.79675,0.62498116,6.761240855505216e-09,1.3149798856625658e-06
ENSMUSG00000020894,5.791381,0.3409802,6.98100652044127e-09,1.3336200917896238e-06
ENSMUSG00000013160,5.7869067,0.6019496,7.1694375826353656e-09,1.3615605432669574e-06
ENSMUSG00000044349,5.77962,0.21582092,7.48694621499303e-09,1.4135442020529236e-06
