cell_type,outgoing_count,incoming_count,outgoing_weight,incoming_weight
Glutamatergic_Neuron,1804,1965,6.09278107404937e-05,5.02840595743601e-05
GABAergic_Neuron,1715,1641,5.76336245644797e-05,8.27018953402999e-05
VLMC,1574,1987,1.34977922138782e-07,7.22356822440572e-07
Tanycyte,1531,1310,2.43286369942353e-06,2.9335380772018e-06
OPC,1364,1563,4.4485656149748e-05,3.24729950790475e-05
SMC,1326,1384,2.92728894756602e-07,2.27917317851541e-07
Astrocyte,1244,1037,1.07542010296757e-05,9.78858149222039e-06
Ependymal,1183,1172,7.71155196603193e-08,6.09598750298699e-08
COP,1128,1076,1.61934293524417e-06,9.03791434715725e-07
Endothelial,1058,1158,8.73678521224434e-07,1.17273612751699e-06
Microglia,986,324,1.33199142328312e-06,6.50068847213855e-07
MFOL,879,845,5.3937456292798e-07,3.17814342351285e-07
Pericyte,812,1135,2.9511971140971e-07,1.02707337880805e-06
MOL,784,791,7.60148037991145e-06,5.73617834531964e-06
