key,prob_young,prob_aged,change,log2FC,LR_pair,direction
CADM1_CADM1|Microglia→Tanycyte,1.42845077565543e-09,5.52835729828626e-09,4.09990652263083e-09,1.95239953833489,CADM1_CADM1,Microglia→Tanycyte
PSAP_GPR37L1|Microglia→Tanycyte,2.92601099473935e-10,2.62671505652826e-09,2.33411395705433e-09,3.16625261116661,PSAP_GPR37L1,Microglia→Tanycyte
GRN_SORT1|Microglia→Tanycyte,4.38486384571544e-10,1.8570094005602e-09,1.41852301598866e-09,2.08237716711347,GRN_SORT1,Microglia→Tanycyte
F11R_JAM3|Microglia→Tanycyte,3.4017496946912e-10,8.25741291061882e-10,4.85566321592762e-10,1.27941285928878,F11R_JAM3,Microglia→Tanycyte
SEMA4D_PLXNB2|Microglia→Tanycyte,3.0580947257909e-10,7.66833951106786e-10,4.61024478527696e-10,1.32628111737935,SEMA4D_PLXNB2,Microglia→Tanycyte
SEMA4D_PLXNB1|Microglia→Tanycyte,1.79578546583327e-10,5.80797329793375e-10,4.01218783210048e-10,1.69341981229789,SEMA4D_PLXNB1,Microglia→Tanycyte
PSAP_GPR37|Microglia→Tanycyte,8.60591555988496e-11,4.65729784936082e-10,3.79670629337232e-10,2.43609256021998,PSAP_GPR37,Microglia→Tanycyte
PTPRM_PTPRM|Microglia→Tanycyte,6.54505343104557e-10,9.62074018469678e-10,3.07568675365122e-10,0.555742924195163,PTPRM_PTPRM,Microglia→Tanycyte
VSIR_IGSF11|Microglia→Tanycyte,2.156933780088e-10,5.20001250152706e-10,3.04307872143906e-10,1.26953320661745,VSIR_IGSF11,Microglia→Tanycyte
NRXN3_NLGN1|Microglia→Tanycyte,7.91553206870758e-10,5.10531527835907e-10,-2.81021679034851e-10,-0.632686271770498,NRXN3_NLGN1,Microglia→Tanycyte
F11R_JAM2|Microglia→Tanycyte,3.24040190866018e-10,5.78449000781846e-10,2.54408809915827e-10,0.83601700668676,F11R_JAM2,Microglia→Tanycyte
PROS1_AXL|Microglia→Tanycyte,1.87666873191243e-10,0,-1.87666873191243e-10,-67.3467359069967,PROS1_AXL,Microglia→Tanycyte
ENTPD1_ADORA1|Microglia→Tanycyte,1.4221219823943e-10,3.17837721984012e-10,1.75625523744582e-10,1.16024514113733,ENTPD1_ADORA1,Microglia→Tanycyte
ITGA9_ITGB1_VCAM1|Microglia→Tanycyte,0,1.64106488959518e-10,1.64106488959518e-10,67.1531941835497,ITGA9_ITGB1_VCAM1,Microglia→Tanycyte
TNF_TNFRSF1A|Microglia→Tanycyte,6.37016878684174e-11,2.21433509933049e-10,1.57731822064631e-10,1.7974700598937,TNF_TNFRSF1A,Microglia→Tanycyte
PDGFB_PDGFRB|Microglia→Tanycyte,3.65449285923865e-11,1.82307461027492e-10,1.45762532435105e-10,2.31863048591857,PDGFB_PDGFRB,Microglia→Tanycyte
LGALS9_CD44|Microglia→Tanycyte,8.49076680937237e-11,1.75145896045201e-10,9.02382279514774e-11,1.04459042787085,LGALS9_CD44,Microglia→Tanycyte
