LR_pair,direction,prob_young,prob_aged,change,log2FC
PTN_NCL,Tanycyte→Microglia,1.06067538850816e-09,6.70693906070861e-09,5.64626367220046e-09,2.66067129562337
CADM1_CADM1,Microglia→Tanycyte,1.42845077565543e-09,5.52835729828626e-09,4.09990652263083e-09,1.95239953833489
CADM1_CADM1,Tanycyte→Microglia,1.42845077565543e-09,5.52835729828626e-09,4.09990652263083e-09,1.95239953833489
CX3CL1_CX3CR1,Tanycyte→Microglia,1.77365923913299e-09,4.83457269884901e-09,3.06091345971602e-09,1.44665952224478
PTN_SDC4,Tanycyte→Microglia,5.14647367387116e-10,2.90114289204455e-09,2.38649552465743e-09,2.49496520354002
PSAP_GPR37L1,Microglia→Tanycyte,2.92601099473935e-10,2.62671505652826e-09,2.33411395705433e-09,3.16625261116661
PTN_ITGAV_ITGB3,Tanycyte→Microglia,6.09242902689907e-10,2.0544146118162e-09,1.4451717091263e-09,1.75363792399452
GRN_SORT1,Microglia→Tanycyte,4.38486384571544e-10,1.8570094005602e-09,1.41852301598866e-09,2.08237716711347
MDK_LRP1,Tanycyte→Microglia,4.70099939214726e-10,1.66034198666526e-09,1.19024204745053e-09,1.82044103021387
PTN_SDC3,Tanycyte→Microglia,6.27618896789338e-12,1.11856694115436e-09,1.11229075218647e-09,7.47754709175993
CSF1_CSF1R,Tanycyte→Microglia,0,6.13870739278621e-10,6.13870739278621e-10,69.0564968018216
MDK_ITGA6_ITGB1,Tanycyte→Microglia,3.02611873366537e-10,8.31193964032025e-10,5.28582090665488e-10,1.45771658304806
JAM3_ITGAM_ITGB2,Tanycyte→Microglia,2.24110155506943e-10,7.28478006047588e-10,5.04367850540645e-10,1.70067738983746
MDK_NCL,Tanycyte→Microglia,1.28554859224151e-10,6.32451306247831e-10,5.03896447023681e-10,2.29857026456983
F11R_JAM3,Microglia→Tanycyte,3.4017496946912e-10,8.25741291061882e-10,4.85566321592762e-10,1.27941285928878
JAM3_F11R,Tanycyte→Microglia,3.4017496946912e-10,8.25741291061882e-10,4.85566321592762e-10,1.27941285928878
SEMA4D_PLXNB2,Microglia→Tanycyte,3.0580947257909e-10,7.66833951106786e-10,4.61024478527696e-10,1.32628111737935
TGFB2_TGFBR1_TGFBR2,Tanycyte→Microglia,1.44218257090695e-09,9.93681753276901e-10,-4.48500817630053e-10,-0.537398033376867
GAS6_MERTK,Tanycyte→Microglia,3.22249229196766e-09,3.67061559354059e-09,4.48123301572936e-10,0.187845127881872
SEMA4D_PLXNB1,Microglia→Tanycyte,1.79578546583327e-10,5.80797329793375e-10,4.01218783210048e-10,1.69341981229789
PSAP_GPR37,Microglia→Tanycyte,8.60591555988496e-11,4.65729784936082e-10,3.79670629337232e-10,2.43609256021998
COL4A5_ITGA9_ITGB1,Tanycyte→Microglia,4.62819856283632e-10,7.90069482541529e-10,3.27249626257897e-10,0.771528774987489
PTPRM_PTPRM,Microglia→Tanycyte,6.54505343104557e-10,9.62074018469678e-10,3.07568675365122e-10,0.555742924195163
PTPRM_PTPRM,Tanycyte→Microglia,6.54505343104557e-10,9.62074018469678e-10,3.07568675365122e-10,0.555742924195163
