LR_pair,Tany_to_MG_young,MG_to_Tany_young,Tany_to_MG_aged,MG_to_Tany_aged,Tany_to_MG_change,MG_to_Tany_change,max_prob,Tany_to_MG_log2FC,MG_to_Tany_log2FC,total_change
TGFB2_TGFBR1_TGFBR2,1.44218257090695e-09,0,9.93681753276901e-10,0,-4.48500817630053e-10,0,1.44218257090695e-09,-0.537398033376867,0,4.48500817630053e-10
TGFB3_TGFBR1_TGFBR2,0,0,2.46141381892937e-10,0,2.46141381892937e-10,0,2.46141381892937e-10,67.738049125364,0,2.46141381892937e-10
TGFB2_ACVR1_TGFBR1,6.6380937372542e-10,0,4.33324066781627e-10,0,-2.30485306943794e-10,0,6.6380937372542e-10,-0.615322636021699,0,2.30485306943794e-10
TGFB3_ACVR1_TGFBR1,0,0,1.07337159892888e-10,0,1.07337159892888e-10,0,1.07337159892888e-10,66.540711518224,0,1.07337159892888e-10
GDF11_TGFBR1_ACVR2B,1.72118892348539e-10,0,1.53888581251203e-10,0,-1.82303110973357e-11,0,1.72118892348539e-10,-0.161519275489777,0,1.82303110973357e-11
TGFB3_ACVR1B_TGFBR2,0,0,1.70359809414875e-11,0,1.70359809414875e-11,0,1.70359809414875e-11,63.8852188238882,0,1.70359809414875e-11
INHABA_ACVR2A,3.06216286968598e-12,0,0,0,-3.06216286968598e-12,0,3.06216286968598e-12,-61.4092567266167,0,3.06216286968598e-12
GDF11_ACVR1B_ACVR2B,8.10626072234738e-12,0,1.06509636057183e-11,0,2.5447028833709e-12,0,1.06509636057183e-11,0.393875475976585,0,2.5447028833709e-12
GDF11_TGFBR1_ACVR2A,2.94271795270543e-10,0,2.9284200291213e-10,0,-1.42979235841358e-12,0,2.94271795270543e-10,-0.00702677548781748,0,1.42979235841358e-12
INHBA_ACVR1B_ACVR2A,3.72561309219826e-12,0,2.30638511209065e-12,0,-1.41922798010761e-12,0,3.72561309219826e-12,-0.69184442780466,0,1.41922798010761e-12
INHBA_ACVR1B_ACVR2B,2.17910235103498e-12,0,1.21200620528469e-12,0,-9.67096145750299e-13,0,2.17910235103498e-12,-0.846336875297132,0,9.67096145750299e-13
TGFB2_ACVR1B_TGFBR2,6.79223221331531e-11,0,6.87748854397126e-11,0,8.52563306559496e-13,0,6.87748854397126e-11,0.0179960487110314,0,8.52563306559496e-13
