"","Astrocyte","COP","Endothelial","Ependymal","GABAergic_Neuron","Glutamatergic_Neuron","MFOL","Microglia","MOL","OPC","Pericyte","SMC","Tanycyte","VLMC"
"Astrocyte",-7.49538255322249e-10,-7.71820353595273e-11,1.09804775092209e-10,-4.47080792584052e-11,-2.70890521236557e-09,-2.98301814892257e-09,-3.88128017724523e-11,1.02959501385244e-09,-3.20166047429776e-10,-2.41548628355883e-10,4.86423945979877e-11,6.07627977732313e-11,-2.39101652381421e-10,1.86848836126339e-11
"COP",-5.35096176976676e-09,-2.53080801309659e-10,8.21315087381323e-13,-1.21349746363331e-10,-1.10310889082683e-08,-1.1936398571056e-08,-1.63140360279902e-10,-1.00353564135561e-10,-1.60499038378926e-09,-1.88969645531483e-09,-3.56211777643305e-11,-2.21973425708478e-11,-1.36305093879453e-09,-2.97231832371867e-11
"Endothelial",2.13469406336439e-10,0,5.71442326256685e-10,2.09529820070266e-11,0,0,0,7.17476553195754e-09,0,0,1.21672181360019e-10,5.80078164891303e-11,0,2.08279827942411e-10
"Ependymal",-2.73828769552708e-10,-2.88064152845654e-11,1.48058848349051e-11,-9.59209982532611e-12,-1.09003841494118e-09,-1.19340650214867e-09,-1.4407349475182e-11,5.64975388925211e-11,-1.27592787351376e-10,-1.30192134343575e-10,9.86859912208092e-12,1.21863441662788e-11,-9.18567656709802e-11,2.08311172351635e-12
"GABAergic_Neuron",-3.91214480274186e-10,-8.9704920587109e-11,4.87155819836669e-12,-3.70104898573673e-11,-2.30458588116514e-09,-2.50404677781488e-09,-3.91583358904012e-11,1.16410056454426e-10,-2.33914268660118e-10,-4.51929138985003e-10,-3.27901661940356e-12,1.19420985885963e-11,-1.36977534760949e-10,-1.6997229386723e-11
"Glutamatergic_Neuron",-3.78744610992313e-10,-9.51097729781854e-11,7.26288050580424e-11,-7.22520167217975e-11,-3.08203421695801e-09,-3.32403232491612e-09,-3.9902239073115e-11,1.30246744487752e-09,-2.35295160086802e-10,-5.16428468171881e-10,9.45213170589655e-12,2.87734092875722e-11,-1.55687431981501e-10,-6.34816869056073e-12
"MFOL",-2.50104364758006e-10,-3.40896927159156e-12,-4.65477487975015e-13,-1.36990171389698e-12,-1.29492076967601e-10,-1.40292583268667e-10,-1.98067863318763e-12,-7.59090788119065e-12,-1.90361339886256e-11,-2.61906596097576e-11,-4.41659543095947e-12,-1.0050751723627e-12,-1.46078827679108e-11,-1.3096173490241e-12
"Microglia",3.97392123634523e-10,0,1.81851514793969e-09,6.35022097957819e-11,0,0,0,2.28624112973268e-08,0,0,3.70572787830365e-10,1.86929010894813e-10,0,6.60858203831152e-10
"MOL",-3.66121977292886e-09,-2.28699418777577e-11,7.16027578213535e-11,-1.28441345160589e-11,-1.0079975954004e-09,-1.08996296888507e-09,-1.48888249608811e-11,9.34624012133702e-10,-1.45934839036339e-10,-1.68264812262776e-10,-2.11891524030937e-11,-6.82644936458569e-12,-1.24955862169775e-10,9.55263486691378e-12
"OPC",-5.75845354304814e-09,-2.82793167299209e-10,5.13907317859901e-10,-5.19650003622065e-11,-8.20435101148233e-09,-9.03992900558381e-09,-1.32547515086878e-10,2.52832531576373e-09,-7.35823962272437e-10,-4.47158551642649e-11,2.24990370002691e-10,2.83849333886883e-10,-6.0596776189255e-10,1.15267967092009e-10
"Pericyte",4.45891247131727e-10,-5.68519278140117e-12,2.86816184311574e-10,2.36842718275809e-11,1.12862503078584e-09,1.320202598226e-09,3.46389042483268e-12,1.26353477199887e-09,3.98514666228114e-10,1.01050458111631e-09,1.83639105599664e-10,2.17913899149357e-10,2.36717439278187e-10,9.34650881518372e-11
"SMC",1.43275856544991e-11,-1.0415475508802e-11,2.45627681578802e-10,6.66102349348967e-12,-5.79377909419759e-11,-4.58958467500503e-11,-4.26471988978917e-12,2.56766756893276e-09,5.82002785004448e-11,2.1261858658315e-10,7.92618330418435e-11,7.10236533390331e-11,2.2307875291048e-11,8.58226798761165e-11
"Tanycyte",8.54839822452214e-12,-7.49147014167895e-11,-5.50634644319807e-11,-5.92459328997892e-11,-2.02210363463764e-09,-2.18761350510208e-09,-3.24679969400019e-11,-3.30182926107897e-10,-1.98246977785047e-10,-4.08584218688408e-10,-8.404004929633e-12,9.49019076401083e-12,-1.14442352646906e-10,-4.24471729239271e-11
"VLMC",-3.72928659354985e-10,-1.23726401448129e-10,5.52616690848312e-10,8.88712971186035e-12,-2.16506399653292e-09,-2.24558046468541e-09,-5.02684396856783e-11,1.3433190698335e-09,2.00850542555681e-10,1.3119050111706e-09,3.43360596864044e-10,4.13144135080717e-10,4.21901661685248e-11,1.45542794940348e-10
