"","Astrocyte","COP","Endothelial","Ependymal","GABAergic_Neuron","Glutamatergic_Neuron","MFOL","Microglia","MOL","OPC","Pericyte","SMC","Tanycyte","VLMC"
"Astrocyte",1.30379920748531e-09,1.06785075257974e-10,2.57429386993380e-10,8.02046320672436e-11,4.73834159040843e-09,5.22742752918e-09,5.81155177464802e-11,1.79805746095746e-09,7.14888779500561e-10,1.05012945776626e-09,7.94598495361357e-11,6.51787417719648e-11,4.80108604367213e-10,9.84824983514769e-11
"COP",6.66903187900246e-09,2.91697682482541e-10,3.74619860724473e-12,1.5292904187279e-10,1.35172989859627e-08,1.47558339503154e-08,1.88646986512618e-10,4.80811960518552e-10,2.13890363898996e-09,2.87651421128554e-09,1.9033910255799e-10,2.13184777002322e-10,1.76342243969062e-09,8.92317800399341e-11
"Endothelial",2.76275803220206e-10,0,7.14715281879466e-11,1.76837795707585e-11,0,0,0,7.55178518040736e-10,0,0,2.01839982815947e-11,3.42807862743528e-12,0,3.35374208091328e-11
"Ependymal",4.38709178466415e-10,3.70561293749305e-11,4.40558553352069e-11,1.70368298006005e-11,1.67147766141674e-09,1.83807266713889e-09,1.99631855986369e-11,1.57651752756137e-10,2.42063918212323e-10,3.6146500923331e-10,1.82505863158579e-11,2.04150388366175e-11,1.63085648051008e-10,1.37601085586564e-11
"GABAergic_Neuron",6.68341439956172e-10,1.14650175244797e-10,1.54414607743045e-10,5.05891465669034e-11,3.3256438973178e-09,3.56634597289636e-09,4.75761326699948e-11,1.70497993923421e-09,3.93671104986965e-10,9.14237101237062e-10,5.3308887872968e-11,1.26412857820456e-11,1.80989104385598e-10,7.75459450652975e-11
"Glutamatergic_Neuron",6.33516767368555e-10,1.23114209195667e-10,3.51286114950869e-10,1.03086280801107e-10,4.34974361975752e-09,4.627761843999e-09,4.91248581589309e-11,3.6796843128953e-09,4.10218769626077e-10,1.04540791686631e-09,9.10104224051891e-11,2.2629881269252e-11,2.07038313994909e-10,1.63540005134959e-10
"MFOL",3.08227823597801e-10,3.72631656333309e-12,4.65477487975015e-13,1.63395701208674e-12,1.50167942410447e-10,1.63758352495168e-10,2.19266091727053e-12,1.05376494026877e-11,2.3480657953111e-11,3.43551137852588e-11,7.2998458785231e-12,2.61316645747175e-12,1.79740069640515e-11,1.94104972366871e-12
"Microglia",2.88230979092606e-10,0,2.44405140510982e-10,6.04717274157731e-11,0,0,0,2.58241777927827e-09,0,0,5.47140203382644e-11,1.02006043967284e-11,0,1.1244575036425e-10
"MOL",6.84154334659192e-09,2.66023714899535e-11,3.2266436301776e-11,2.21918604506621e-11,1.25117349522448e-09,1.36595187850692e-09,1.73820208290183e-11,3.81185048737163e-10,1.98208399402199e-10,2.64289739298847e-10,1.59587784966236e-10,3.56652654422053e-11,1.64545995531668e-10,4.40810606632408e-11
"OPC",1.26648707710664e-08,4.40928149128120e-10,4.17541832958575e-10,1.7990719196773e-10,1.92213032573588e-08,2.10356862358974e-08,2.28912520288115e-10,1.46810729233925e-09,2.62077440790338e-09,4.12042941291717e-09,3.61592106525633e-10,2.26102207540263e-10,1.72227518896934e-09,1.60008328213947e-10
"Pericyte",8.94482695674287e-10,6.5343882891604e-11,6.04536121736757e-11,3.00429572583377e-11,2.93439996448962e-09,3.23019572682462e-09,3.69952110500657e-11,2.07804608575716e-10,4.47380737623442e-10,6.43917725633489e-10,3.35113271324368e-11,3.90671082405732e-11,3.15965365573373e-10,2.21711798339188e-11
"SMC",3.32715427874701e-10,2.94944419579834e-11,5.61614775588597e-11,2.0301724428292e-11,1.22514843513906e-09,1.34551900849147e-09,1.59078044978482e-11,4.47601639027353e-10,1.817204412559e-10,2.76973533557303e-10,1.95304623307829e-11,1.58873884381764e-11,1.23971209502304e-10,2.41596614380914e-11
"Tanycyte",1.00842947513579e-10,9.06516835878654e-11,2.41244272764309e-10,7.26490988501001e-11,2.5799186125145e-09,2.78539102116857e-09,3.82108064102838e-11,2.65737809341988e-09,3.00569726438328e-10,6.88398919502333e-10,5.57698474230869e-11,1.44596591815273e-11,1.40321801154372e-10,1.15488049038815e-10
"VLMC",3.34122016748218e-09,2.62023775985311e-10,2.48000784648592e-10,1.08178498478797e-10,1.16708793356647e-08,1.28665607330507e-08,1.4441455950031e-10,5.26689472839889e-10,1.7667195034608e-09,2.57842829167992e-09,1.2459413732286e-10,1.48771259938944e-10,1.20613140020307e-09,7.45633726584117e-11
