cell_type,outgoing_count,incoming_count,outgoing_weight,incoming_weight
Glutamatergic_Neuron,1683,1604,0.000203789970696252,0.000156360025726771
GABAergic_Neuron,1436,1440,0.000183583070656108,0.000253751003920827
Tanycyte,1388,1063,3.10015440573616e-06,1.50349344787881e-06
Ependymal,1228,1251,8.90037792791274e-08,5.76684489272925e-08
OPC,1181,1314,8.37729217400966e-05,5.91236768155062e-05
VLMC,1149,1830,1.02223947248486e-07,5.47424273215813e-07
SMC,1104,1254,1.57464055886514e-07,1.39565611931487e-07
Astrocyte,1064,871,1.89604921975113e-05,3.04172949764086e-05
COP,1001,859,7.86131528593918e-06,4.22964377208847e-06
Endothelial,979,1087,4.2322900325139e-07,6.30508830317867e-07
Pericyte,880,1144,1.44602230061422e-07,6.43371048240674e-07
Microglia,877,258,4.58428414826087e-07,1.46011709824359e-07
MFOL,753,788,2.23916946858889e-06,1.43798051635748e-06
MOL,622,582,1.72200541189209e-05,1.2914430901412e-05
