source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Endothelial,Endothelial,Tgfb1,TGFbR1_R2,0.0313845846105186,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Endothelial,Tgfb1,TGFbR1_R2,0.143150558823996,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb1,TGFbR1_R2,0.0916356147854402,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.342169723603858,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Endothelial,Tgfb2,TGFbR1_R2,0.0299004361837529,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Endothelial,Tgfb2,TGFbR1_R2,0.0352781408428504,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Endothelial,Tgfb2,TGFbR1_R2,0.0304117981448767,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Endothelial,Tgfb2,TGFbR1_R2,0.0223699687773025,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,Endothelial,Tgfb2,TGFbR1_R2,0.0223040726062892,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Endothelial,Tgfb2,TGFbR1_R2,0.0596253934798668,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Endothelial,Tgfb2,TGFbR1_R2,0.0325450404855529,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Microglia,Tgfb2,TGFbR1_R2,0.0875598102726234,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb2,TGFbR1_R2,0.102215100141854,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Microglia,Tgfb2,TGFbR1_R2,0.0889668377235308,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0665032465403428,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,Microglia,Tgfb2,TGFbR1_R2,0.0663161638168868,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb2,TGFbR1_R2,0.151538223242689,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Microglia,Tgfb2,TGFbR1_R2,0.0948058212089425,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
