Var1,Var2,Freq
Astrocyte,Astrocyte,37
Endothelial,Astrocyte,54
Ependymal,Astrocyte,45
GABAergic_Neuron,Astrocyte,45
Glutamatergic_Neuron,Astrocyte,49
Microglia,Astrocyte,18
MOL,Astrocyte,23
OPC,Astrocyte,64
Pericyte,Astrocyte,51
SMC,Astrocyte,64
Tanycyte,Astrocyte,52
Astrocyte,Endothelial,26
Endothelial,Endothelial,46
Ependymal,Endothelial,35
GABAergic_Neuron,Endothelial,33
Glutamatergic_Neuron,Endothelial,34
Microglia,Endothelial,11
MOL,Endothelial,16
OPC,Endothelial,45
Pericyte,Endothelial,37
SMC,Endothelial,45
Tanycyte,Endothelial,37
Astrocyte,Ependymal,30
Endothelial,Ependymal,44
Ependymal,Ependymal,41
GABAergic_Neuron,Ependymal,34
Glutamatergic_Neuron,Ependymal,39
Microglia,Ependymal,12
MOL,Ependymal,22
OPC,Ependymal,52
Pericyte,Ependymal,50
SMC,Ependymal,55
Tanycyte,Ependymal,48
Astrocyte,GABAergic_Neuron,43
Endothelial,GABAergic_Neuron,51
Ependymal,GABAergic_Neuron,41
GABAergic_Neuron,GABAergic_Neuron,85
Glutamatergic_Neuron,GABAergic_Neuron,93
Microglia,GABAergic_Neuron,7
MOL,GABAergic_Neuron,44
OPC,GABAergic_Neuron,86
Pericyte,GABAergic_Neuron,54
SMC,GABAergic_Neuron,62
Tanycyte,GABAergic_Neuron,59
Astrocyte,Glutamatergic_Neuron,48
Endothelial,Glutamatergic_Neuron,64
Ependymal,Glutamatergic_Neuron,53
GABAergic_Neuron,Glutamatergic_Neuron,92
Glutamatergic_Neuron,Glutamatergic_Neuron,99
Microglia,Glutamatergic_Neuron,13
MOL,Glutamatergic_Neuron,47
OPC,Glutamatergic_Neuron,94
Pericyte,Glutamatergic_Neuron,67
SMC,Glutamatergic_Neuron,77
Tanycyte,Glutamatergic_Neuron,71
Astrocyte,Microglia,21
Endothelial,Microglia,44
Ependymal,Microglia,45
GABAergic_Neuron,Microglia,33
Glutamatergic_Neuron,Microglia,37
Microglia,Microglia,24
MOL,Microglia,15
OPC,Microglia,43
Pericyte,Microglia,47
SMC,Microglia,50
Tanycyte,Microglia,40
Astrocyte,MOL,22
Endothelial,MOL,29
Ependymal,MOL,31
GABAergic_Neuron,MOL,39
Glutamatergic_Neuron,MOL,39
Microglia,MOL,12
MOL,MOL,20
OPC,MOL,38
Pericyte,MOL,37
SMC,MOL,44
Tanycyte,MOL,32
Astrocyte,OPC,46
Endothelial,OPC,56
Ependymal,OPC,55
GABAergic_Neuron,OPC,72
Glutamatergic_Neuron,OPC,76
Microglia,OPC,18
MOL,OPC,31
OPC,OPC,83
Pericyte,OPC,60
SMC,OPC,67
Tanycyte,OPC,67
Astrocyte,Pericyte,23
Endothelial,Pericyte,46
Ependymal,Pericyte,25
GABAergic_Neuron,Pericyte,29
Glutamatergic_Neuron,Pericyte,28
Microglia,Pericyte,13
MOL,Pericyte,16
OPC,Pericyte,35
Pericyte,Pericyte,41
SMC,Pericyte,43
Tanycyte,Pericyte,33
Astrocyte,SMC,32
Endothelial,SMC,59
Ependymal,SMC,53
GABAergic_Neuron,SMC,45
Glutamatergic_Neuron,SMC,46
Microglia,SMC,13
MOL,SMC,23
OPC,SMC,59
Pericyte,SMC,69
SMC,SMC,72
Tanycyte,SMC,54
Astrocyte,Tanycyte,44
Endothelial,Tanycyte,64
Ependymal,Tanycyte,69
GABAergic_Neuron,Tanycyte,58
Glutamatergic_Neuron,Tanycyte,61
Microglia,Tanycyte,21
MOL,Tanycyte,32
OPC,Tanycyte,80
Pericyte,Tanycyte,77
SMC,Tanycyte,90
Tanycyte,Tanycyte,74
