Var1,Var2,Freq
Astrocyte,Astrocyte,5.2602539816368
Endothelial,Astrocyte,6.57286287535809
Ependymal,Astrocyte,4.39932910579611
GABAergic_Neuron,Astrocyte,6.90693085208293
Glutamatergic_Neuron,Astrocyte,7.46347203339521
Microglia,Astrocyte,2.27910639940585
MOL,Astrocyte,4.51406922421155
OPC,Astrocyte,7.82936814330937
Pericyte,Astrocyte,7.99921738337182
SMC,Astrocyte,9.11990530054039
Tanycyte,Astrocyte,6.25877905446779
Astrocyte,Endothelial,3.56165994013613
Endothelial,Endothelial,6.56320897124091
Ependymal,Endothelial,3.20072478812882
GABAergic_Neuron,Endothelial,3.30329298509239
Glutamatergic_Neuron,Endothelial,3.58529565037511
Microglia,Endothelial,1.44246101430478
MOL,Endothelial,2.65689484645703
OPC,Endothelial,4.43641042302871
Pericyte,Endothelial,5.48337482101768
SMC,Endothelial,6.71627534414745
Tanycyte,Endothelial,4.12858213676314
Astrocyte,Ependymal,4.167338925344
Endothelial,Ependymal,5.71938273799696
Ependymal,Ependymal,3.8733786226393
GABAergic_Neuron,Ependymal,4.57741838948525
Glutamatergic_Neuron,Ependymal,4.81679015634333
Microglia,Ependymal,1.96348391914906
MOL,Ependymal,4.39533052025597
OPC,Ependymal,5.16761693566596
Pericyte,Ependymal,6.41306258893185
SMC,Ependymal,6.7373668609684
Tanycyte,Ependymal,6.28273675310344
Astrocyte,GABAergic_Neuron,7.16595922006495
Endothelial,GABAergic_Neuron,5.97770915315309
Ependymal,GABAergic_Neuron,3.10586158520982
GABAergic_Neuron,GABAergic_Neuron,11.456545211796
Glutamatergic_Neuron,GABAergic_Neuron,12.4118608728089
Microglia,GABAergic_Neuron,0.735811022594195
MOL,GABAergic_Neuron,7.67939893079562
OPC,GABAergic_Neuron,11.685909691
Pericyte,GABAergic_Neuron,6.46816624442607
SMC,GABAergic_Neuron,5.63810732927189
Tanycyte,GABAergic_Neuron,7.66199606050041
Astrocyte,Glutamatergic_Neuron,7.94978978282434
Endothelial,Glutamatergic_Neuron,6.34689855293655
Ependymal,Glutamatergic_Neuron,3.54667116375257
GABAergic_Neuron,Glutamatergic_Neuron,12.3224548576026
Glutamatergic_Neuron,Glutamatergic_Neuron,13.3464131649736
Microglia,Glutamatergic_Neuron,0.89891823291862
MOL,Glutamatergic_Neuron,8.41940645140116
OPC,Glutamatergic_Neuron,12.3895865393523
Pericyte,Glutamatergic_Neuron,6.65352875070798
SMC,Glutamatergic_Neuron,5.96195405558537
Tanycyte,Glutamatergic_Neuron,8.66131003625073
Astrocyte,Microglia,2.27721043254249
Endothelial,Microglia,5.12996534351444
Ependymal,Microglia,3.95588365484433
GABAergic_Neuron,Microglia,3.49934232154651
Glutamatergic_Neuron,Microglia,3.72222396885082
Microglia,Microglia,3.47466245066619
MOL,Microglia,2.66534631381141
OPC,Microglia,3.91702024206086
Pericyte,Microglia,5.94760451702252
SMC,Microglia,6.78585863154355
Tanycyte,Microglia,3.84010896514871
Astrocyte,MOL,3.54603792140004
Endothelial,MOL,4.0675038859872
Ependymal,MOL,3.61809066063513
GABAergic_Neuron,MOL,5.80843293193245
Glutamatergic_Neuron,MOL,5.75464162942194
Microglia,MOL,2.55865308126394
MOL,MOL,5.42302053120382
OPC,MOL,5.18490416751783
Pericyte,MOL,6.17198863592581
SMC,MOL,6.85341337367988
Tanycyte,MOL,3.5305000921827
Astrocyte,OPC,6.33966848738499
Endothelial,OPC,7.4454940021484
Ependymal,OPC,5.56334131418344
GABAergic_Neuron,OPC,10.3900575953093
Glutamatergic_Neuron,OPC,10.513882938245
Microglia,OPC,1.90615339272561
MOL,OPC,5.12570845341219
OPC,OPC,11.3052777806598
Pericyte,OPC,8.98682631314604
SMC,OPC,9.13435208456178
Tanycyte,OPC,8.37644779080931
Astrocyte,Pericyte,2.68594147452665
Endothelial,Pericyte,6.67855251767645
Ependymal,Pericyte,2.81510931308205
GABAergic_Neuron,Pericyte,2.80168616176005
Glutamatergic_Neuron,Pericyte,2.37211758145098
Microglia,Pericyte,1.50942206071421
MOL,Pericyte,2.42349348662713
OPC,Pericyte,3.22225972930965
Pericyte,Pericyte,7.63640486593534
SMC,Pericyte,7.57602445427162
Tanycyte,Pericyte,4.09655698984636
Astrocyte,SMC,4.00171959333172
Endothelial,SMC,8.98920496865438
Ependymal,SMC,5.27507624166007
GABAergic_Neuron,SMC,4.61198187240193
Glutamatergic_Neuron,SMC,4.50327632340018
Microglia,SMC,1.42001473749729
MOL,SMC,3.71588420552998
OPC,SMC,5.52827185078341
Pericyte,SMC,11.8929257960451
SMC,SMC,13.0112299604407
Tanycyte,SMC,5.82778836500817
Astrocyte,Tanycyte,5.13768139682782
Endothelial,Tanycyte,7.15848073009493
Ependymal,Tanycyte,5.30714875114377
GABAergic_Neuron,Tanycyte,7.12245083234978
Glutamatergic_Neuron,Tanycyte,6.80051361154197
Microglia,Tanycyte,1.9310808429253
MOL,Tanycyte,4.39158269434027
OPC,Tanycyte,7.2746489096159
Pericyte,Tanycyte,9.39008798117109
SMC,Tanycyte,10.2885554502422
Tanycyte,Tanycyte,7.13800316402536
