Var1,Var2,Freq
Astrocyte,Astrocyte,42
Endothelial,Astrocyte,62
Ependymal,Astrocyte,43
GABAergic_Neuron,Astrocyte,56
Glutamatergic_Neuron,Astrocyte,66
Microglia,Astrocyte,18
MOL,Astrocyte,29
OPC,Astrocyte,66
Pericyte,Astrocyte,56
SMC,Astrocyte,59
Tanycyte,Astrocyte,59
Astrocyte,Endothelial,33
Endothelial,Endothelial,58
Ependymal,Endothelial,33
GABAergic_Neuron,Endothelial,39
Glutamatergic_Neuron,Endothelial,49
Microglia,Endothelial,13
MOL,Endothelial,14
OPC,Endothelial,49
Pericyte,Endothelial,37
SMC,Endothelial,42
Tanycyte,Endothelial,38
Astrocyte,Ependymal,30
Endothelial,Ependymal,40
Ependymal,Ependymal,25
GABAergic_Neuron,Ependymal,33
Glutamatergic_Neuron,Ependymal,38
Microglia,Ependymal,9
MOL,Ependymal,20
OPC,Ependymal,40
Pericyte,Ependymal,30
SMC,Ependymal,25
Tanycyte,Ependymal,38
Astrocyte,GABAergic_Neuron,50
Endothelial,GABAergic_Neuron,63
Ependymal,GABAergic_Neuron,38
GABAergic_Neuron,GABAergic_Neuron,87
Glutamatergic_Neuron,GABAergic_Neuron,104
Microglia,GABAergic_Neuron,7
MOL,GABAergic_Neuron,42
OPC,GABAergic_Neuron,84
Pericyte,GABAergic_Neuron,55
SMC,GABAergic_Neuron,46
Tanycyte,GABAergic_Neuron,63
Astrocyte,Glutamatergic_Neuron,53
Endothelial,Glutamatergic_Neuron,68
Ependymal,Glutamatergic_Neuron,43
GABAergic_Neuron,Glutamatergic_Neuron,97
Glutamatergic_Neuron,Glutamatergic_Neuron,108
Microglia,Glutamatergic_Neuron,10
MOL,Glutamatergic_Neuron,42
OPC,Glutamatergic_Neuron,85
Pericyte,Glutamatergic_Neuron,56
SMC,Glutamatergic_Neuron,48
Tanycyte,Glutamatergic_Neuron,69
Astrocyte,Microglia,25
Endothelial,Microglia,49
Ependymal,Microglia,41
GABAergic_Neuron,Microglia,34
Glutamatergic_Neuron,Microglia,44
Microglia,Microglia,20
MOL,Microglia,13
OPC,Microglia,46
Pericyte,Microglia,55
SMC,Microglia,46
Tanycyte,Microglia,49
Astrocyte,MOL,22
Endothelial,MOL,35
Ependymal,MOL,24
GABAergic_Neuron,MOL,37
Glutamatergic_Neuron,MOL,42
Microglia,MOL,11
MOL,MOL,19
OPC,MOL,29
Pericyte,MOL,32
SMC,MOL,33
Tanycyte,MOL,33
Astrocyte,OPC,57
Endothelial,OPC,70
Ependymal,OPC,53
GABAergic_Neuron,OPC,83
Glutamatergic_Neuron,OPC,91
Microglia,OPC,19
MOL,OPC,33
OPC,OPC,88
Pericyte,OPC,64
SMC,OPC,59
Tanycyte,OPC,79
Astrocyte,Pericyte,26
Endothelial,Pericyte,50
Ependymal,Pericyte,29
GABAergic_Neuron,Pericyte,28
Glutamatergic_Neuron,Pericyte,36
Microglia,Pericyte,13
MOL,Pericyte,16
OPC,Pericyte,41
Pericyte,Pericyte,42
SMC,Pericyte,43
Tanycyte,Pericyte,39
Astrocyte,SMC,25
Endothelial,SMC,54
Ependymal,SMC,34
GABAergic_Neuron,SMC,31
Glutamatergic_Neuron,SMC,37
Microglia,SMC,12
MOL,SMC,17
OPC,SMC,44
Pericyte,SMC,51
SMC,SMC,53
Tanycyte,SMC,45
Astrocyte,Tanycyte,52
Endothelial,Tanycyte,70
Ependymal,Tanycyte,54
GABAergic_Neuron,Tanycyte,58
Glutamatergic_Neuron,Tanycyte,70
Microglia,Tanycyte,21
MOL,Tanycyte,30
OPC,Tanycyte,78
Pericyte,Tanycyte,78
SMC,Tanycyte,80
Tanycyte,Tanycyte,75
