Var1,Var2,Freq
Astrocyte,Astrocyte,5.93517398050798
Endothelial,Astrocyte,7.41630604982907
Ependymal,Astrocyte,4.23881557246038
GABAergic_Neuron,Astrocyte,7.73476747806898
Glutamatergic_Neuron,Astrocyte,7.72410890690286
Microglia,Astrocyte,2.21097802758624
MOL,Astrocyte,4.71795188209319
OPC,Astrocyte,8.02515500528489
Pericyte,Astrocyte,8.09921974086159
SMC,Astrocyte,7.95029832594635
Tanycyte,Astrocyte,6.48761385925457
Astrocyte,Endothelial,4.15161836349072
Endothelial,Endothelial,7.82940019624869
Ependymal,Endothelial,2.8384662691983
GABAergic_Neuron,Endothelial,3.9064317289176
Glutamatergic_Neuron,Endothelial,4.27713637867955
Microglia,Endothelial,1.51750713656477
MOL,Endothelial,2.26147788467531
OPC,Endothelial,4.91301942056423
Pericyte,Endothelial,5.75611646050334
SMC,Endothelial,6.55494263875244
Tanycyte,Endothelial,4.46531347260398
Astrocyte,Ependymal,3.97025817718751
Endothelial,Ependymal,5.50699326933007
Ependymal,Ependymal,2.71444056050285
GABAergic_Neuron,Ependymal,4.53886969623557
Glutamatergic_Neuron,Ependymal,4.33909056379763
Microglia,Ependymal,1.53451455953941
MOL,Ependymal,3.87914548232152
OPC,Ependymal,4.61940795095582
Pericyte,Ependymal,5.04824728600666
SMC,Ependymal,4.59012191490147
Tanycyte,Ependymal,5.921059831959
Astrocyte,GABAergic_Neuron,8.10041000945959
Endothelial,GABAergic_Neuron,7.18704495930778
Ependymal,GABAergic_Neuron,3.36119120385282
GABAergic_Neuron,GABAergic_Neuron,11.0409761969424
Glutamatergic_Neuron,GABAergic_Neuron,12.1824975880462
Microglia,GABAergic_Neuron,0.786060684373281
MOL,GABAergic_Neuron,7.50885640260171
OPC,GABAergic_Neuron,12.3279417051518
Pericyte,GABAergic_Neuron,6.94908325211639
SMC,GABAergic_Neuron,5.31743991306089
Tanycyte,GABAergic_Neuron,7.78644801756793
Astrocyte,Glutamatergic_Neuron,8.90469796836583
Endothelial,Glutamatergic_Neuron,7.58272089332106
Ependymal,Glutamatergic_Neuron,3.72797782392341
GABAergic_Neuron,Glutamatergic_Neuron,13.1654120422545
Glutamatergic_Neuron,Glutamatergic_Neuron,13.2408471797248
Microglia,Glutamatergic_Neuron,1.00496895563379
MOL,Glutamatergic_Neuron,8.05654415864129
OPC,Glutamatergic_Neuron,12.8668536403288
Pericyte,Glutamatergic_Neuron,6.90661047674416
SMC,Glutamatergic_Neuron,5.45236558603859
Tanycyte,Glutamatergic_Neuron,9.12796979886904
Astrocyte,Microglia,2.54472047423385
Endothelial,Microglia,6.20101429694512
Ependymal,Microglia,3.38483656657266
GABAergic_Neuron,Microglia,3.93429763206357
Glutamatergic_Neuron,Microglia,4.36357127909835
Microglia,Microglia,3.22435890620819
MOL,Microglia,2.28262856267191
OPC,Microglia,4.44802170764138
Pericyte,Microglia,6.4840427414576
SMC,Microglia,5.86675466364258
Tanycyte,Microglia,4.14044958769443
Astrocyte,MOL,3.47124700961006
Endothelial,MOL,4.66661183235626
Ependymal,MOL,3.27867870069908
GABAergic_Neuron,MOL,5.88254544711588
Glutamatergic_Neuron,MOL,5.86320230846418
Microglia,MOL,2.32974269162821
MOL,MOL,5.06049455474211
OPC,MOL,4.59024000848211
Pericyte,MOL,5.44803194004319
SMC,MOL,5.62687713684029
Tanycyte,MOL,3.78804048093158
Astrocyte,OPC,7.23114531620673
Endothelial,OPC,8.75480274923479
Ependymal,OPC,6.21892691860537
GABAergic_Neuron,OPC,11.2594568922736
Glutamatergic_Neuron,OPC,10.8067576138066
Microglia,OPC,1.95281987640633
MOL,OPC,5.29744760901232
OPC,OPC,11.7150076357359
Pericyte,OPC,9.95556888736002
SMC,OPC,9.25156372624378
Tanycyte,OPC,9.28575733694186
Astrocyte,Pericyte,2.71390946786731
Endothelial,Pericyte,7.06537284831508
Ependymal,Pericyte,2.40594939925727
GABAergic_Neuron,Pericyte,3.03437213405584
Glutamatergic_Neuron,Pericyte,2.8813496728387
Microglia,Pericyte,1.32497371682856
MOL,Pericyte,2.00517847849981
OPC,Pericyte,3.58227858414204
Pericyte,Pericyte,7.45889845128868
SMC,Pericyte,6.77884247701488
Tanycyte,Pericyte,4.21000458087522
Astrocyte,SMC,3.29154016586167
Endothelial,SMC,8.52727286264244
Ependymal,SMC,3.84783096910871
GABAergic_Neuron,SMC,3.82618069637308
Glutamatergic_Neuron,SMC,3.93707810716259
Microglia,SMC,1.49374098030766
MOL,SMC,2.68270664085864
OPC,SMC,4.5025488220026
Pericyte,SMC,9.34532380849582
SMC,SMC,9.58504688166162
Tanycyte,SMC,5.1573108478228
Astrocyte,Tanycyte,5.26171708983649
Endothelial,Tanycyte,7.5976174476681
Ependymal,Tanycyte,4.43094809272192
GABAergic_Neuron,Tanycyte,6.81120879024099
Glutamatergic_Neuron,Tanycyte,6.98499831485881
Microglia,Tanycyte,2.14751791816107
MOL,Tanycyte,3.88304656350665
OPC,Tanycyte,6.78824235441453
Pericyte,Tanycyte,8.68500245563299
SMC,Tanycyte,8.64933308631402
Tanycyte,Tanycyte,7.41013794757257
