source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Endothelial,Endothelial,Tgfb1,TGFbR1_R2,0.0290268295394557,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Endothelial,Tgfb1,TGFbR1_R2,0.13244192887034,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb1,TGFbR1_R2,0.0872671361789546,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.328069552862683,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Endothelial,Tgfb2,TGFbR1_R2,0.0276978157724866,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Endothelial,Tgfb2,TGFbR1_R2,0.105030003101982,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Endothelial,Tgfb2,TGFbR1_R2,0.0380574789433121,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Endothelial,Tgfb2,TGFbR1_R2,0.0221663694481632,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
OPC,Endothelial,Tgfb2,TGFbR1_R2,0.0160342066741886,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,Endothelial,Tgfb2,TGFbR1_R2,0.0350551661042652,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Endothelial,Tgfb2,TGFbR1_R2,0.0510827705974037,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Endothelial,Tgfb2,TGFbR1_R2,0.0354599038548213,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Microglia,Tgfb2,TGFbR1_R2,0.082745796213076,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb2,TGFbR1_R2,0.27290464864678,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Microglia,Tgfb2,TGFbR1_R2,0.112321124242834,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0675999753000453,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
OPC,Microglia,Tgfb2,TGFbR1_R2,0.0490521074808487,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Pericyte,Microglia,Tgfb2,TGFbR1_R2,0.104094205083087,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb2,TGFbR1_R2,0.133075732916605,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Microglia,Tgfb2,TGFbR1_R2,0.105209139933112,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Endothelial,Tgfb3,TGFbR1_R2,0.0198648860881916,0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb3,TGFbR1_R2,0.058365253304829,0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Endothelial,Tgfb1,ACVR1_TGFbR,0.0229681635900972,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Microglia,Endothelial,Tgfb1,ACVR1_TGFbR,0.107180503460823,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Microglia,Tgfb1,ACVR1_TGFbR,0.0500284707365711,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.211935216723564,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Astrocyte,Endothelial,Tgfb2,ACVR1_TGFbR,0.0254179837707458,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Endothelial,Tgfb2,ACVR1_TGFbR,0.0844878394080592,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
