source,target,interaction_name,ligand,receptor,interaction_name_2,pathway_name,annotation,evidence,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Astrocyte,Tanycyte,NRXN1_NLGN1,Nrxn1,Nlgn1,Nrxn1  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.509736077555578,0.02,0.0,1.0,-0.509736077555578,-38.89095951014924,Female,lost
Tanycyte,GABAergic_Neuron,NRXN1_NLGN1,Nrxn1,Nlgn1,Nrxn1  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.508406867041171,0.04,0.0,1.0,-0.508406867041171,-38.88719256069076,Female,lost
Ependymal,OPC,NRXN3_NLGN1,Nrxn3,Nlgn1,Nrxn3  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.499620812054132,0.0,0.0,1.0,-0.499620812054132,-38.862042618431744,Female,lost
Ependymal,Glutamatergic_Neuron,NRXN3_NLGN1,Nrxn3,Nlgn1,Nrxn3  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.491086028925354,0.0,0.0,1.0,-0.491086028925354,-38.83718482315559,Female,lost
Ependymal,GABAergic_Neuron,NRXN3_NLGN1,Nrxn3,Nlgn1,Nrxn3  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.485670796038667,0.0,0.0,1.0,-0.485670796038667,-38.821187781768785,Female,lost
Ependymal,Astrocyte,NRXN3_NLGN1,Nrxn3,Nlgn1,Nrxn3  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.468891002472271,0.03,0.0,1.0,-0.468891002472271,-38.770461639280086,Female,lost
Astrocyte,OPC,NRXN3_NLGN1,Nrxn3,Nlgn1,Nrxn3  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.454372821371549,0.0,0.0,1.0,-0.454372821371549,-38.72508558537356,Female,lost
MOL,OPC,NCAM1_NCAM1,Ncam1,Ncam1,Ncam1  - Ncam1,NCAM,Cell-Cell Contact,KEGG: mmu04514,0.442418071911261,0.0,0.0,1.0,-0.442418071911261,-38.68661936180578,Female,lost
OPC,MOL,NCAM1_NCAM1,Ncam1,Ncam1,Ncam1  - Ncam1,NCAM,Cell-Cell Contact,KEGG: mmu04514,0.442418071911261,0.0,0.0,1.0,-0.442418071911261,-38.68661936180578,Female,lost
Ependymal,MOL,NCAM1_NCAM1,Ncam1,Ncam1,Ncam1  - Ncam1,NCAM,Cell-Cell Contact,KEGG: mmu04514,0.440842378794358,0.03,0.0,1.0,-0.440842378794358,-38.68147196263168,Female,lost
MOL,Ependymal,NCAM1_NCAM1,Ncam1,Ncam1,Ncam1  - Ncam1,NCAM,Cell-Cell Contact,KEGG: mmu04514,0.440842378794358,0.03,0.0,1.0,-0.440842378794358,-38.68147196263168,Female,lost
OPC,MOL,NRXN3_NLGN1,,,,,,,0.0,1.0,0.414251554134935,0.02,0.414251554134935,38.59171615373638,Female,gained
Glutamatergic_Neuron,OPC,NRXN3_NLGN1,,,,,,,0.0,1.0,0.408329804307358,0.0,0.408329804307358,38.57094391859463,Female,gained
MOL,OPC,NRXN2_NLGN1,Nrxn2,Nlgn1,Nrxn2  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.405669694776803,0.0,0.0,1.0,-0.405669694776803,-38.561514574979526,Female,lost
Glutamatergic_Neuron,Glutamatergic_Neuron,NRXN3_NLGN1,,,,,,,0.0,1.0,0.399077085100744,0.0,0.399077085100744,38.53787648582946,Female,gained
Tanycyte,Tanycyte,CADM1_CADM1,,,,,,,0.0,1.0,0.397689447403714,0.0,0.397689447403714,38.53285132484082,Female,gained
MOL,Glutamatergic_Neuron,NRXN2_NLGN1,Nrxn2,Nlgn1,Nrxn2  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.397464999797306,0.0,0.0,1.0,-0.397464999797306,-38.53203686808102,Female,lost
OPC,Glutamatergic_Neuron,NEGR1_NEGR1,,,,,,,0.0,1.0,0.396980859673315,0.0,0.396980859673315,38.530278493651565,Female,gained
Glutamatergic_Neuron,OPC,NEGR1_NEGR1,,,,,,,0.0,1.0,0.396980859673315,0.0,0.396980859673315,38.530278493651565,Female,gained
Tanycyte,OPC,NRXN2_NLGN1,Nrxn2,Nlgn1,Nrxn2  - Nlgn1,NRXN,Cell-Cell Contact,KEGG: mmu04514,0.396428505585916,0.0,0.0,1.0,-0.396428505585916,-38.52826974844049,Female,lost
Glutamatergic_Neuron,GABAergic_Neuron,NRXN3_NLGN1,,,,,,,0.0,1.0,0.392978924052244,0.0,0.392978924052244,38.51566098479649,Female,gained
Glutamatergic_Neuron,Astrocyte,NRXN3_NLGN1,,,,,,,0.0,1.0,0.379773470408076,0.0,0.379773470408076,38.4663481713493,Female,gained
OPC,Tanycyte,NRG3_ERBB4,,,,,,,0.0,1.0,0.378659380215427,0.0,0.378659380215427,38.46210971160755,Female,gained
GABAergic_Neuron,Astrocyte,NRXN2_NLGN1,,,,,,,0.0,1.0,0.377410791419383,0.0,0.377410791419383,38.45734471870276,Female,gained
Ependymal,Tanycyte,CADM1_CADM1,,,,,,,0.0,1.0,0.376280787691053,0.04,0.376280787691053,38.45301867329702,Female,gained
Tanycyte,Ependymal,CADM1_CADM1,,,,,,,0.0,1.0,0.376280787691053,0.04,0.376280787691053,38.45301867329702,Female,gained
