source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Ependymal,Glutamatergic_Neuron,NRXN,1.86979118601556,0.0016666666666666,0.218804277446169,0.02,-1.6509869085693911,-3.0951643151981587,Female,shared
Ependymal,OPC,NRXN,1.98674075872529,0.0,0.477401342555434,0.015,-1.5093394161698561,-2.0571291050749534,Female,shared
Ependymal,GABAergic_Neuron,NRXN,1.36550293878125,0.0,0.0,1.0,-1.36550293878125,-40.312569557666976,Female,lost
SMC,SMC,COLLAGEN,2.45932988167081,0.0,3.71979607429811,0.0,1.2604661926273,0.5969582689506043,Female,shared
Ependymal,SMC,LAMININ,1.95249797938898,0.0025,0.760861994459197,0.0,-1.191635984929783,-1.3596143495434505,Female,shared
SMC,Tanycyte,COLLAGEN,2.315686196403,0.0,3.30442007071153,0.0,0.9887338743085299,0.5129573355345355,Female,shared
SMC,Ependymal,COLLAGEN,1.16240328114253,0.0,1.90892893355036,0.0,0.7465256524078301,0.7156527140351006,Female,shared
Ependymal,Pericyte,LAMININ,1.1999259183442,0.0,0.464286141334201,0.0,-0.7356397770099989,-1.369859215648984,Female,shared
Ependymal,OPC,LAMININ,1.2087621190548,0.0,0.482146967221214,0.0,-0.7266151518335859,-1.3259854757785892,Female,shared
MOL,OPC,NRXN,0.915584742556806,0.0,0.212260563438869,0.0,-0.703324179117937,-2.1088570685316075,Female,shared
MOL,Glutamatergic_Neuron,NRXN,0.874610414847412,0.0,0.177260187046044,0.0,-0.697350227801368,-2.302771987362745,Female,shared
Ependymal,Endothelial,LAMININ,1.08946526204789,0.0,0.412521314103767,0.0,-0.6769439479441229,-1.4010796289890644,Female,shared
Astrocyte,OPC,NRXN,2.55954256306722,0.0,1.90282360380214,0.0,-0.65671895926508,-0.4277441707424475,Female,shared
OPC,Endothelial,VEGF,0.466790182621093,0.0,1.11555718790021,0.0,0.648767005279117,1.25691834957893,Female,shared
Ependymal,Tanycyte,MK,0.39455499032084,0.0,1.01369177873652,0.0,0.61913678841568,1.36132076367579,Female,shared
Ependymal,Astrocyte,MK,0.418953162118197,0.0016666666666666,1.01402055316119,0.0016666666666666,0.5950673910429931,1.275226026119037,Female,shared
Pericyte,SMC,COLLAGEN,2.05896366573569,0.0,2.65133733234769,0.0,0.5923736666120001,0.36480186629876354,Female,shared
Ependymal,Ependymal,MK,0.430244371880225,0.0,1.02044253363593,0.0,0.5901981617557049,1.2459667137878012,Female,shared
OPC,Tanycyte,NRG,0.0,1.0,0.584222029492585,0.01,0.584222029492585,39.08772580323232,Female,gained
Ependymal,GABAergic_Neuron,LAMININ,0.995056595659173,0.0,0.43230078067245,0.0,-0.5627558149867231,-1.202743142366438,Female,shared
Tanycyte,GABAergic_Neuron,NRXN,1.60689333592287,0.008,1.04994995944133,0.0,-0.5569433764815401,-0.6139535966812302,Female,shared
Ependymal,SMC,MK,0.321390065560253,0.0,0.872206081244613,0.0,0.55081601568436,1.4403437145179399,Female,shared
Ependymal,Microglia,LAMININ,0.838540814336162,0.0,0.291656946758549,0.0,-0.5468838675776131,-1.523608568823949,Female,shared
Ependymal,Glutamatergic_Neuron,LAMININ,0.978399972098245,0.0,0.441691941537738,0.0,-0.536708030560507,-1.147383851397143,Female,shared
Ependymal,Pericyte,MK,0.308204054351706,0.0025,0.841724102457328,0.0,0.5335200481056219,1.4494615886713513,Female,shared
Ependymal,OPC,MK,0.378820825884258,0.0,0.911312353280918,0.0,0.53249152739666,1.26642997810722,Female,shared
Ependymal,MOL,LAMININ,0.92760800496342,0.0,0.398036536557031,0.0,-0.529571468406389,-1.2206144053727963,Female,shared
Glutamatergic_Neuron,Glutamatergic_Neuron,NRG,0.263361449616484,0.02,0.779102875351802,0.0,0.515741425735318,1.5647696572454908,Female,shared
Astrocyte,Tanycyte,NRXN,0.509736077555578,0.02,0.0,1.0,-0.509736077555578,-38.89095951014924,Female,lost
Ependymal,Astrocyte,LAMININ,0.821755784384799,0.003,0.331951049192321,0.0,-0.489804735192478,-1.307739194779388,Female,shared
Pericyte,Ependymal,LAMININ,1.44316562296054,0.0,1.92528319810249,0.0,0.48211757514194997,0.4158337952869345,Female,shared
