source,target,pathway_name,prob_young,pval_young,prob_aged,pval_aged,delta_prob,log2FC,sex,status
Pericyte,SMC,LAMININ,6.11037980730802,0.0,4.6305594792005,0.0,-1.4798203281075208,-0.4000755423663904,Male,shared
Pericyte,Tanycyte,LAMININ,4.17085195929076,0.0,2.90657324506053,0.0,-1.2642787142302296,-0.5210228412961175,Male,shared
SMC,SMC,LAMININ,5.82874970159861,0.0,4.77798646174979,0.0,-1.0507632398488198,-0.2867836847303973,Male,shared
SMC,Tanycyte,LAMININ,3.88643851524551,0.0,2.88066838231971,0.0,-1.0057701329257998,-0.43204510306316657,Male,shared
Pericyte,Tanycyte,COLLAGEN,3.12284323937338,0.0,2.13233743711866,0.0,-0.9905058022547197,-0.5504243916242267,Male,shared
Pericyte,SMC,COLLAGEN,2.66830258027548,0.0,1.7989823826606,0.0,-0.8693201976148799,-0.5687412161625811,Male,shared
Ependymal,Glutamatergic_Neuron,NRXN,1.39380353673346,0.0,0.588891448254639,0.0,-0.804912088478821,-1.2429535924714825,Male,shared
Astrocyte,OPC,NRXN,2.80828333763178,0.005,2.0241199353682,0.0,-0.7841634022635802,-0.4723937248782262,Male,shared
Astrocyte,Tanycyte,NRXN,0.776949173772583,0.0,0.0,1.0,-0.776949173772583,-39.49902926769232,Male,lost
Pericyte,Endothelial,LAMININ,3.78952080616625,0.0,3.0143384142141,0.002,-0.7751823919521503,-0.3301740330032846,Male,shared
Endothelial,SMC,LAMININ,2.69628419852845,0.0,1.94303920908096,0.0,-0.75324498944749,-0.47265755630921885,Male,shared
Pericyte,GABAergic_Neuron,LAMININ,4.15844864920061,0.0,3.47671926008023,0.0,-0.6817293891203797,-0.2583188406551083,Male,shared
Pericyte,Astrocyte,COLLAGEN,2.29826398745173,0.0,1.65690923971593,0.0,-0.6413547477358001,-0.4720499425890478,Male,shared
Endothelial,Tanycyte,LAMININ,1.73978798895215,0.0,1.11606130836368,0.0005263157894736,-0.62372668058847,-0.6404952289555097,Male,shared
SMC,Endothelial,LAMININ,3.62895265336858,0.0,3.03378295475899,0.0,-0.59516969860959,-0.258435359347433,Male,shared
MOL,SMC,LAMININ,1.21854558984258,0.0,0.624397184091156,0.0,-0.5941484057514241,-0.9646242919173418,Male,shared
