source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Endothelial,Microglia,Tgfb1,TGFbR1_R2,0.0986065011888796,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.35783554703275,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Microglia,Tgfb2,TGFbR1_R2,0.082970391387594,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb2,TGFbR1_R2,0.111544674827451,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Microglia,Tgfb2,TGFbR1_R2,0.115790756464287,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0743898684699419,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb2,TGFbR1_R2,0.0656736671438039,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Microglia,Tgfb2,TGFbR1_R2,0.123080531548431,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb3,TGFbR1_R2,0.0691166647830177,0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Ependymal,Tgfb1,ACVR1B_TGFbR2,0.0311676567759756,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Microglia,Ependymal,Tgfb1,ACVR1B_TGFbR2,0.140798113910198,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Astrocyte,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0262126606453299,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0356067080859785,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Ependymal,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.037082772221932,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Glutamatergic_Neuron,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0230889980995484,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
SMC,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0212187598344311,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Tanycyte,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0396395147871695,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
SMC,Ependymal,Tgfb3,ACVR1B_TGFbR2,0.0224472791607856,0,TGFB3_ACVR1B_TGFBR2,Tgfb3  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Microglia,Tgfb1,ACVR1_TGFbR,0.0797201043706787,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.306162396602534,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Astrocyte,Microglia,Tgfb2,ACVR1_TGFbR,0.0791924194231132,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Microglia,Tgfb2,ACVR1_TGFbR,0.0904287955118071,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Ependymal,Microglia,Tgfb2,ACVR1_TGFbR,0.093956079639256,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.0598338694022028,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
SMC,Microglia,Tgfb2,ACVR1_TGFbR,0.103476666090954,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Tanycyte,Microglia,Tgfb2,ACVR1_TGFbR,0.100026727271604,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
SMC,Microglia,Tgfb3,ACVR1_TGFbR,0.109057010067376,0,TGFB3_ACVR1_TGFBR1,Tgfb3  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
SMC,Ependymal,Bmp2,BMPR1A_ACVR2A,0.0158253994847218,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,GABAergic_Neuron,Bmp2,BMPR1A_ACVR2A,0.0308907697872479,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Glutamatergic_Neuron,Bmp2,BMPR1A_ACVR2A,0.031469972948358,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Microglia,Bmp2,BMPR1A_ACVR2A,0.0109076739625726,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,OPC,Bmp2,BMPR1A_ACVR2A,0.0247237257881853,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Tanycyte,Bmp2,BMPR1A_ACVR2A,0.0180931977760831,0,BMP2_BMPR1A_ACVR2A,Bmp2  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,GABAergic_Neuron,Bmp2,BMPR1A_ACVR2B,0.0231003728533112,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Glutamatergic_Neuron,Bmp2,BMPR1A_ACVR2B,0.0244837378786457,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,MOL,Bmp2,BMPR1A_ACVR2B,0.0163482016125694,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,OPC,Bmp2,BMPR1A_ACVR2B,0.0144175049910668,0,BMP2_BMPR1A_ACVR2B,Bmp2  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Astrocyte,Bmp2,BMPR1A_BMPR2,0.0319826605785319,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Ependymal,Bmp2,BMPR1A_BMPR2,0.0175333464718939,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,GABAergic_Neuron,Bmp2,BMPR1A_BMPR2,0.0347979737411919,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Glutamatergic_Neuron,Bmp2,BMPR1A_BMPR2,0.0356849321083117,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Microglia,Bmp2,BMPR1A_BMPR2,0.0199726925184347,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,MOL,Bmp2,BMPR1A_BMPR2,0.0320594002117066,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,OPC,Bmp2,BMPR1A_BMPR2,0.0310446255258558,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Pericyte,Bmp2,BMPR1A_BMPR2,0.0141777933869425,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,SMC,Bmp2,BMPR1A_BMPR2,0.0250591421097474,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Tanycyte,Bmp2,BMPR1A_BMPR2,0.0347690704279126,0,BMP2_BMPR1A_BMPR2,Bmp2  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Ependymal,Bmp2,BMPR1B_ACVR2A,0.00856934597676184,0,BMP2_BMPR1B_ACVR2A,Bmp2  - (Bmpr1b+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Tanycyte,Bmp2,BMPR1B_ACVR2A,0.0100588186336637,0,BMP2_BMPR1B_ACVR2A,Bmp2  - (Bmpr1b+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Astrocyte,Bmp2,BMPR1B_BMPR2,0.0382266397433047,0,BMP2_BMPR1B_BMPR2,Bmp2  - (Bmpr1b+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Ependymal,Bmp2,BMPR1B_BMPR2,0.00951057630984494,0,BMP2_BMPR1B_BMPR2,Bmp2  - (Bmpr1b+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
SMC,Tanycyte,Bmp2,BMPR1B_BMPR2,0.0195907814723218,0,BMP2_BMPR1B_BMPR2,Bmp2  - (Bmpr1b+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Ependymal,Bmp4,BMPR1A_ACVR2A,0.0153106035368309,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,GABAergic_Neuron,Bmp4,BMPR1A_ACVR2A,0.0297717156222604,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Glutamatergic_Neuron,Bmp4,BMPR1A_ACVR2A,0.0303199728980608,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Microglia,Bmp4,BMPR1A_ACVR2A,0.0105748084833954,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,OPC,Bmp4,BMPR1A_ACVR2A,0.0238874732275455,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Tanycyte,Bmp4,BMPR1A_ACVR2A,0.0175098819749888,0,BMP4_BMPR1A_ACVR2A,Bmp4  - (Bmpr1a+Acvr2a),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,GABAergic_Neuron,Bmp4,BMPR1A_ACVR2B,0.0223117896442814,0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Glutamatergic_Neuron,Bmp4,BMPR1A_ACVR2B,0.0236357408817765,0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,MOL,Bmp4,BMPR1A_ACVR2B,0.0158279744834807,0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,OPC,Bmp4,BMPR1A_ACVR2B,0.0139653871462047,0,BMP4_BMPR1A_ACVR2B,Bmp4  - (Bmpr1a+Acvr2b),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Astrocyte,Bmp4,BMPR1A_BMPR2,0.030845597315321,0,BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Ependymal,Bmp4,BMPR1A_BMPR2,0.016954257365755,0,BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,GABAergic_Neuron,Bmp4,BMPR1A_BMPR2,0.0335010377764025,0,BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Glutamatergic_Neuron,Bmp4,BMPR1A_BMPR2,0.0343399646584151,0,BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
Pericyte,Microglia,Bmp4,BMPR1A_BMPR2,0.0193198022632471,0,BMP4_BMPR1A_BMPR2,Bmp4  - (Bmpr1a+Bmpr2),BMP,Secreted Signaling,KEGG: mmu04350; PMID:26893264
