Var1,Var2,Freq
Astrocyte,Astrocyte,5.69452443505861
Endothelial,Astrocyte,6.64841434161798
Ependymal,Astrocyte,4.9652880500943
GABAergic_Neuron,Astrocyte,7.09782774966437
Glutamatergic_Neuron,Astrocyte,7.44819837958018
Microglia,Astrocyte,1.98232438600176
MOL,Astrocyte,5.26818211979056
OPC,Astrocyte,7.50879699016392
Pericyte,Astrocyte,8.19622739969455
SMC,Astrocyte,8.28202015802396
Tanycyte,Astrocyte,6.05651156880419
Astrocyte,Endothelial,3.47484526958271
Endothelial,Endothelial,6.68750275341339
Ependymal,Endothelial,3.71220463248859
GABAergic_Neuron,Endothelial,3.47537664101119
Glutamatergic_Neuron,Endothelial,3.91243281165371
Microglia,Endothelial,1.12567115638765
MOL,Endothelial,3.10572428303004
OPC,Endothelial,3.77922101618277
Pericyte,Endothelial,6.01236653697035
SMC,Endothelial,6.23340103277573
Tanycyte,Endothelial,3.96598374757026
Astrocyte,Ependymal,3.82965904921642
Endothelial,Ependymal,5.58468743436402
Ependymal,Ependymal,3.46631467522158
GABAergic_Neuron,Ependymal,4.55032828115132
Glutamatergic_Neuron,Ependymal,4.18030633296152
Microglia,Ependymal,1.88886650948464
MOL,Ependymal,5.07302444826104
OPC,Ependymal,4.64619483264962
Pericyte,Ependymal,4.99698879578573
SMC,Ependymal,5.05759315811442
Tanycyte,Ependymal,5.42286505418987
Astrocyte,GABAergic_Neuron,7.62377063929448
Endothelial,GABAergic_Neuron,6.34061553926345
Ependymal,GABAergic_Neuron,4.89165511952977
GABAergic_Neuron,GABAergic_Neuron,12.3113623535696
Glutamatergic_Neuron,GABAergic_Neuron,12.9790747474812
Microglia,GABAergic_Neuron,0.753999122975038
MOL,GABAergic_Neuron,8.80996592601332
OPC,GABAergic_Neuron,11.9578539189993
Pericyte,GABAergic_Neuron,7.30561403768892
SMC,GABAergic_Neuron,5.5595864233936
Tanycyte,GABAergic_Neuron,8.8342893607808
Astrocyte,Glutamatergic_Neuron,8.35250805010441
Endothelial,Glutamatergic_Neuron,6.6270438624179
Ependymal,Glutamatergic_Neuron,5.88652278264464
GABAergic_Neuron,Glutamatergic_Neuron,13.2579622462073
Glutamatergic_Neuron,Glutamatergic_Neuron,13.3964820650164
Microglia,Glutamatergic_Neuron,0.818611003339264
MOL,Glutamatergic_Neuron,9.67222159345862
OPC,Glutamatergic_Neuron,12.2570608469448
Pericyte,Glutamatergic_Neuron,7.41813151370034
SMC,Glutamatergic_Neuron,5.65225198982393
Tanycyte,Glutamatergic_Neuron,8.89392389276716
Astrocyte,Microglia,2.39226334189032
Endothelial,Microglia,5.5302160175237
Ependymal,Microglia,4.00687397155766
GABAergic_Neuron,Microglia,3.7206127808914
Glutamatergic_Neuron,Microglia,3.98152231463266
Microglia,Microglia,3.70240520844709
MOL,Microglia,2.86718988032745
OPC,Microglia,3.92804665744838
Pericyte,Microglia,6.22895290716837
SMC,Microglia,6.10292867201105
Tanycyte,Microglia,4.28552532107174
Astrocyte,MOL,3.43944397440893
Endothelial,MOL,3.96368813217766
Ependymal,MOL,4.19479107821945
GABAergic_Neuron,MOL,6.0920562358104
Glutamatergic_Neuron,MOL,6.11689980757259
Microglia,MOL,2.56943692537862
MOL,MOL,6.09823163764937
OPC,MOL,5.07893663155467
Pericyte,MOL,6.00906710195277
SMC,MOL,5.96036247387223
Tanycyte,MOL,3.40693881889763
Astrocyte,OPC,7.07634664309257
Endothelial,OPC,7.61802319523644
Ependymal,OPC,7.0611308736294
GABAergic_Neuron,OPC,11.0676038612703
Glutamatergic_Neuron,OPC,10.3684615916337
Microglia,OPC,1.80517755973529
MOL,OPC,7.10869248400574
OPC,OPC,11.5081401745512
Pericyte,OPC,9.41752618278937
SMC,OPC,8.54948535392868
Tanycyte,OPC,9.37804617366898
Astrocyte,Pericyte,2.5612036102892
Endothelial,Pericyte,6.05345529641587
Ependymal,Pericyte,2.884691250072
GABAergic_Neuron,Pericyte,3.05233512326993
Glutamatergic_Neuron,Pericyte,2.81769395864627
Microglia,Pericyte,1.43706648829428
MOL,Pericyte,2.40703642142364
OPC,Pericyte,2.75565189400064
Pericyte,Pericyte,7.25398124804411
SMC,Pericyte,7.07322251353354
Tanycyte,Pericyte,3.54252660198851
Astrocyte,SMC,3.60556587829976
Endothelial,SMC,7.99157433583314
Ependymal,SMC,5.30670411000514
GABAergic_Neuron,SMC,4.66707036772098
Glutamatergic_Neuron,SMC,4.53230734892168
Microglia,SMC,1.24217287538522
MOL,SMC,3.86264955232233
OPC,SMC,4.48237217275996
Pericyte,SMC,10.5749627951638
SMC,SMC,10.7432447385866
Tanycyte,SMC,5.30096565869824
Astrocyte,Tanycyte,4.79212218235027
Endothelial,Tanycyte,6.74921393627084
Ependymal,Tanycyte,3.86492056771047
GABAergic_Neuron,Tanycyte,6.86308011256364
Glutamatergic_Neuron,Tanycyte,6.26922454253355
Microglia,Tanycyte,1.67937720374818
MOL,Tanycyte,4.31260454712759
OPC,Tanycyte,6.32761238991936
Pericyte,Tanycyte,8.25508307863041
SMC,Tanycyte,8.28329332536229
Tanycyte,Tanycyte,6.05224292329436
