source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Endothelial,Microglia,Tgfb1,TGFbR1_R2,0.0986065011888796,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.35783554703275,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Astrocyte,Microglia,Tgfb2,TGFbR1_R2,0.082970391387594,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Microglia,Tgfb2,TGFbR1_R2,0.111544674827451,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Ependymal,Microglia,Tgfb2,TGFbR1_R2,0.115790756464287,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0743898684699419,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb2,TGFbR1_R2,0.0656736671438039,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Tanycyte,Microglia,Tgfb2,TGFbR1_R2,0.123080531548431,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Tgfb3,TGFbR1_R2,0.0691166647830177,0,TGFB3_TGFBR1_TGFBR2,Tgfb3  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Endothelial,Ependymal,Tgfb1,ACVR1B_TGFbR2,0.0311676567759756,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Microglia,Ependymal,Tgfb1,ACVR1B_TGFbR2,0.140798113910198,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Astrocyte,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0262126606453299,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0356067080859785,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Ependymal,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.037082772221932,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Glutamatergic_Neuron,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0230889980995484,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
SMC,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0212187598344311,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Tanycyte,Ependymal,Tgfb2,ACVR1B_TGFbR2,0.0396395147871695,0,TGFB2_ACVR1B_TGFBR2,Tgfb2  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
SMC,Ependymal,Tgfb3,ACVR1B_TGFbR2,0.0224472791607856,0,TGFB3_ACVR1B_TGFBR2,Tgfb3  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Endothelial,Microglia,Tgfb1,ACVR1_TGFbR,0.0797201043706787,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.306162396602534,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Astrocyte,Microglia,Tgfb2,ACVR1_TGFbR,0.0791924194231132,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Endothelial,Microglia,Tgfb2,ACVR1_TGFbR,0.0904287955118071,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Ependymal,Microglia,Tgfb2,ACVR1_TGFbR,0.093956079639256,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.0598338694022028,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
SMC,Microglia,Tgfb2,ACVR1_TGFbR,0.103476666090954,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Tanycyte,Microglia,Tgfb2,ACVR1_TGFbR,0.100026727271604,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
SMC,Microglia,Tgfb3,ACVR1_TGFbR,0.109057010067376,0,TGFB3_ACVR1_TGFBR1,Tgfb3  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0155429166401095,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.015575509356915,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
OPC,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0187242630933414,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
SMC,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.02867143383582,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0675056778770834,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0152718878486043,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0153039210666826,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
OPC,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0183987965201158,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
SMC,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0281780297975373,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.0663896564529549,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.0277042818682751,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2A,0.0277616572089836,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
OPC,Microglia,Gdf11,TGFBR1_ACVR2A,0.0332906583553337,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
SMC,Microglia,Gdf11,TGFBR1_ACVR2A,0.0505773016642546,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,Microglia,Gdf11,TGFBR1_ACVR2A,0.115552409085075,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,OPC,Gdf11,TGFBR1_ACVR2A,0.0228856065381385,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,OPC,Gdf11,TGFBR1_ACVR2A,0.022933237823619,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
OPC,OPC,Gdf11,TGFBR1_ACVR2A,0.0275278401605679,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
SMC,OPC,Gdf11,TGFBR1_ACVR2A,0.0419519200589624,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,OPC,Gdf11,TGFBR1_ACVR2A,0.0969781010133098,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Tanycyte,Gdf11,TGFBR1_ACVR2A,0.00887552793121658,0.01,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Tanycyte,Gdf11,TGFBR1_ACVR2A,0.00889426578387369,0.01,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
SMC,Tanycyte,Gdf11,TGFBR1_ACVR2A,0.016466551286976,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,Tanycyte,Gdf11,TGFBR1_ACVR2A,0.0394410436463466,0,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0114839182335603,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0115080989320995,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
OPC,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0138461480972453,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
SMC,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.021257985456116,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0505738392416402,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0117486762002817,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0117734077372254,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
OPC,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0141645861271357,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
SMC,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0217431248654739,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,Glutamatergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.0516926755958623,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,MOL,Gdf11,TGFBR1_ACVR2B,0.00906015983657217,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,MOL,Gdf11,TGFBR1_ACVR2B,0.00907928391001992,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
OPC,MOL,Gdf11,TGFBR1_ACVR2B,0.0109293374381127,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
SMC,MOL,Gdf11,TGFBR1_ACVR2B,0.0168064166872418,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Tanycyte,MOL,Gdf11,TGFBR1_ACVR2B,0.0402356979832136,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,OPC,Gdf11,TGFBR1_ACVR2B,0.0132291506863788,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,OPC,Gdf11,TGFBR1_ACVR2B,0.0132569568883002,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
OPC,OPC,Gdf11,TGFBR1_ACVR2B,0.0159445825416082,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
