Var1,Var2,Freq
Astrocyte,Astrocyte,40
Endothelial,Astrocyte,65
Ependymal,Astrocyte,49
GABAergic_Neuron,Astrocyte,57
Glutamatergic_Neuron,Astrocyte,66
Microglia,Astrocyte,18
MOL,Astrocyte,34
OPC,Astrocyte,70
Pericyte,Astrocyte,60
SMC,Astrocyte,67
Tanycyte,Astrocyte,60
Astrocyte,Endothelial,32
Endothelial,Endothelial,62
Ependymal,Endothelial,40
GABAergic_Neuron,Endothelial,43
Glutamatergic_Neuron,Endothelial,51
Microglia,Endothelial,11
MOL,Endothelial,24
OPC,Endothelial,51
Pericyte,Endothelial,43
SMC,Endothelial,47
Tanycyte,Endothelial,44
Astrocyte,Ependymal,32
Endothelial,Ependymal,44
Ependymal,Ependymal,36
GABAergic_Neuron,Ependymal,35
Glutamatergic_Neuron,Ependymal,41
Microglia,Ependymal,14
MOL,Ependymal,24
OPC,Ependymal,46
Pericyte,Ependymal,32
SMC,Ependymal,37
Tanycyte,Ependymal,45
Astrocyte,GABAergic_Neuron,44
Endothelial,GABAergic_Neuron,60
Ependymal,GABAergic_Neuron,41
GABAergic_Neuron,GABAergic_Neuron,89
Glutamatergic_Neuron,GABAergic_Neuron,105
Microglia,GABAergic_Neuron,7
MOL,GABAergic_Neuron,47
OPC,GABAergic_Neuron,88
Pericyte,GABAergic_Neuron,58
SMC,GABAergic_Neuron,59
Tanycyte,GABAergic_Neuron,62
Astrocyte,Glutamatergic_Neuron,46
Endothelial,Glutamatergic_Neuron,64
Ependymal,Glutamatergic_Neuron,46
GABAergic_Neuron,Glutamatergic_Neuron,95
Glutamatergic_Neuron,Glutamatergic_Neuron,107
Microglia,Glutamatergic_Neuron,10
MOL,Glutamatergic_Neuron,47
OPC,Glutamatergic_Neuron,91
Pericyte,Glutamatergic_Neuron,60
SMC,Glutamatergic_Neuron,61
Tanycyte,Glutamatergic_Neuron,65
Astrocyte,Microglia,16
Endothelial,Microglia,41
Ependymal,Microglia,32
GABAergic_Neuron,Microglia,29
Glutamatergic_Neuron,Microglia,35
Microglia,Microglia,19
MOL,Microglia,14
OPC,Microglia,37
Pericyte,Microglia,38
SMC,Microglia,42
Tanycyte,Microglia,34
Astrocyte,MOL,20
Endothelial,MOL,33
Ependymal,MOL,32
GABAergic_Neuron,MOL,36
Glutamatergic_Neuron,MOL,44
Microglia,MOL,11
MOL,MOL,22
OPC,MOL,38
Pericyte,MOL,39
SMC,MOL,41
Tanycyte,MOL,31
Astrocyte,OPC,49
Endothelial,OPC,69
Ependymal,OPC,62
GABAergic_Neuron,OPC,82
Glutamatergic_Neuron,OPC,95
Microglia,OPC,18
MOL,OPC,43
OPC,OPC,91
Pericyte,OPC,64
SMC,OPC,71
Tanycyte,OPC,75
Astrocyte,Pericyte,25
Endothelial,Pericyte,50
Ependymal,Pericyte,31
GABAergic_Neuron,Pericyte,27
Glutamatergic_Neuron,Pericyte,34
Microglia,Pericyte,13
MOL,Pericyte,22
OPC,Pericyte,40
Pericyte,Pericyte,44
SMC,Pericyte,43
Tanycyte,Pericyte,37
Astrocyte,SMC,30
Endothelial,SMC,64
Ependymal,SMC,51
GABAergic_Neuron,SMC,39
Glutamatergic_Neuron,SMC,48
Microglia,SMC,11
MOL,SMC,24
OPC,SMC,55
Pericyte,SMC,71
SMC,SMC,69
Tanycyte,SMC,50
Astrocyte,Tanycyte,43
Endothelial,Tanycyte,66
Ependymal,Tanycyte,61
GABAergic_Neuron,Tanycyte,56
Glutamatergic_Neuron,Tanycyte,64
Microglia,Tanycyte,16
MOL,Tanycyte,31
OPC,Tanycyte,80
Pericyte,Tanycyte,81
SMC,Tanycyte,84
Tanycyte,Tanycyte,68
