Var1,Var2,Freq
Astrocyte,Astrocyte,5.81654387957411
Endothelial,Astrocyte,8.47030257886007
Ependymal,Astrocyte,5.15076014065959
GABAergic_Neuron,Astrocyte,7.82524182463556
Glutamatergic_Neuron,Astrocyte,7.90063256720585
Microglia,Astrocyte,2.31014793686242
MOL,Astrocyte,5.62714654717335
OPC,Astrocyte,9.15782434995694
Pericyte,Astrocyte,9.84854862481054
SMC,Astrocyte,9.39398701177942
Tanycyte,Astrocyte,6.72560385130639
Astrocyte,Endothelial,3.89180911979503
Endothelial,Endothelial,9.86305569466255
Ependymal,Endothelial,3.84184602330521
GABAergic_Neuron,Endothelial,4.1033293682004
Glutamatergic_Neuron,Endothelial,4.93841623957421
Microglia,Endothelial,1.59816364639983
MOL,Endothelial,3.40296467977119
OPC,Endothelial,5.98771141533567
Pericyte,Endothelial,7.26226744684806
SMC,Endothelial,7.75293144164089
Tanycyte,Endothelial,4.95122716673849
Astrocyte,Ependymal,4.59221289186563
Endothelial,Ependymal,6.32559781834636
Ependymal,Ependymal,3.81837617480052
GABAergic_Neuron,Ependymal,4.60688064348317
Glutamatergic_Neuron,Ependymal,4.63015531605422
Microglia,Ependymal,2.43640322301649
MOL,Ependymal,4.90036901238267
OPC,Ependymal,5.6788090943056
Pericyte,Ependymal,5.56689517244828
SMC,Ependymal,5.65403558468814
Tanycyte,Ependymal,6.60084230491235
Astrocyte,GABAergic_Neuron,7.94652091414907
Endothelial,GABAergic_Neuron,7.71618630259508
Ependymal,GABAergic_Neuron,3.65255463341705
GABAergic_Neuron,GABAergic_Neuron,11.5043079981525
Glutamatergic_Neuron,GABAergic_Neuron,13.5067257871866
Microglia,GABAergic_Neuron,0.836204258227869
MOL,GABAergic_Neuron,8.83186461818954
OPC,GABAergic_Neuron,12.7590930806222
Pericyte,GABAergic_Neuron,7.79883419643272
SMC,GABAergic_Neuron,6.40990689563227
Tanycyte,GABAergic_Neuron,8.22167681015429
Astrocyte,Glutamatergic_Neuron,8.51259560478627
Endothelial,Glutamatergic_Neuron,7.98048479242907
Ependymal,Glutamatergic_Neuron,4.35859739460803
GABAergic_Neuron,Glutamatergic_Neuron,13.6258194658319
Glutamatergic_Neuron,Glutamatergic_Neuron,14.4805412290848
Microglia,Glutamatergic_Neuron,1.04848192854836
MOL,Glutamatergic_Neuron,9.42423806133444
OPC,Glutamatergic_Neuron,13.3424706062833
Pericyte,Glutamatergic_Neuron,7.51154487282522
SMC,Glutamatergic_Neuron,6.25810842774492
Tanycyte,Glutamatergic_Neuron,8.86850119222027
Astrocyte,Microglia,2.13869803423573
Endothelial,Microglia,6.20930983368316
Ependymal,Microglia,3.42798153194651
GABAergic_Neuron,Microglia,3.61965159673829
Glutamatergic_Neuron,Microglia,4.09158216003139
Microglia,Microglia,2.61655578280635
MOL,Microglia,2.59223936553112
OPC,Microglia,4.10744884678195
Pericyte,Microglia,6.17421359716673
SMC,Microglia,6.02725742370666
Tanycyte,Microglia,4.16228322446629
Astrocyte,MOL,3.42224065735561
Endothelial,MOL,5.15087940397425
Ependymal,MOL,3.69824777850042
GABAergic_Neuron,MOL,6.09273446660585
Glutamatergic_Neuron,MOL,6.44500540361498
Microglia,MOL,2.62430138108423
MOL,MOL,5.80925010613107
OPC,MOL,5.96685070497027
Pericyte,MOL,6.46798817639941
SMC,MOL,6.17458228285489
Tanycyte,MOL,3.68122129682992
Astrocyte,OPC,7.59491087166724
Endothelial,OPC,9.34844997735502
Ependymal,OPC,7.20333649772187
GABAergic_Neuron,OPC,11.4060543224905
Glutamatergic_Neuron,OPC,11.4883496859683
Microglia,OPC,2.0156186389897
MOL,OPC,7.09502534383635
OPC,OPC,12.8201455442239
Pericyte,OPC,10.4301155377057
SMC,OPC,9.92947561105569
Tanycyte,OPC,9.70909031048143
Astrocyte,Pericyte,3.07266191961829
Endothelial,Pericyte,7.74899754857462
Ependymal,Pericyte,2.93741089625902
GABAergic_Neuron,Pericyte,3.2339547852228
Glutamatergic_Neuron,Pericyte,3.04466882213109
Microglia,Pericyte,1.51190367323098
MOL,Pericyte,2.69606540528034
OPC,Pericyte,3.68254016999631
Pericyte,Pericyte,8.2769922451674
SMC,Pericyte,7.12025425048159
Tanycyte,Pericyte,4.38240515922974
Astrocyte,SMC,3.78297677536181
Endothelial,SMC,10.0365937448885
Ependymal,SMC,4.90790855204238
GABAergic_Neuron,SMC,4.64020245514801
Glutamatergic_Neuron,SMC,4.85088796806043
Microglia,SMC,1.60832676938482
MOL,SMC,3.95490841508058
OPC,SMC,5.64860451815538
Pericyte,SMC,11.8701137182457
SMC,SMC,11.3127159739676
Tanycyte,SMC,5.8045988721799
Astrocyte,Tanycyte,5.86687627936774
Endothelial,Tanycyte,9.16025046083256
Ependymal,Tanycyte,4.85711982087239
GABAergic_Neuron,Tanycyte,7.18547769457799
Glutamatergic_Neuron,Tanycyte,6.95631990277292
Microglia,Tanycyte,1.9502886942794
MOL,Tanycyte,4.65012734063448
OPC,Tanycyte,8.55027566814185
Pericyte,Tanycyte,10.851336799284
SMC,Tanycyte,10.4572338321135
Tanycyte,Tanycyte,7.09601156756524
