source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.196065169479415,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1B_TGFbR2,0.0645272781660704,0,TGFB1_ACVR1B_TGFBR2,Tgfb1  - (Acvr1b+Tgfbr2),TGFb,Secreted Signaling,PMID: 27449815
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.101795704994379,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,GABAergic_Neuron,Wnt4,FZD3_LRP6,0.00368521917070003,0,WNT4_FZD3_LRP6,Wnt4  - (Fzd3+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Glutamatergic_Neuron,Glutamatergic_Neuron,Wnt4,FZD3_LRP6,0.00312713161147307,0.02,WNT4_FZD3_LRP6,Wnt4  - (Fzd3+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Glutamatergic_Neuron,GABAergic_Neuron,Wnt4,FZD5_LRP6,0.000972066373976317,0,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Glutamatergic_Neuron,Glutamatergic_Neuron,Wnt4,FZD5_LRP6,0.000937847120939749,0,WNT4_FZD5_LRP6,Wnt4  - (Fzd5+Lrp6),WNT,Secreted Signaling,KEGG: mmu04310; PMID: 23209147
Glutamatergic_Neuron,GABAergic_Neuron,Wnt5a,Fzd3,0.0158575204921475,0,WNT5A_FZD3,Wnt5a  - Fzd3,ncWNT,Secreted Signaling,KEGG: mmu04310
Glutamatergic_Neuron,Glutamatergic_Neuron,Wnt5a,Fzd3,0.0140131336027829,0,WNT5A_FZD3,Wnt5a  - Fzd3,ncWNT,Secreted Signaling,KEGG: mmu04310
Glutamatergic_Neuron,GABAergic_Neuron,Wnt5b,Fzd3,0.003352232033289,0,WNT5B_FZD3,Wnt5b  - Fzd3,ncWNT,Secreted Signaling,KEGG: mmu04310
