source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.215274853199604,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0134546268284311,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.103436160039176,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.00570277528299198,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000867679973333044,0.02,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000577249607615015,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00310618974045844,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00265308991068435,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,ACVR1B_ACVR2B,0.00142560782751074,0,GDF11_ACVR1B_ACVR2B,Gdf11  - (Acvr1b+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Nrg1,Erbb4,0.148723797658156,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg1,Erbb4,0.178507439241773,0,NRG1_ERBB4,Nrg1  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg2,Erbb4,0.0630774849067772,0.02,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0687685286869286,0.01,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg2,Erbb4,0.0772662458428836,0,NRG2_ERBB4,Nrg2  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,GABAergic_Neuron,Nrg3,Erbb4,0.262220027916901,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.265811331607381,0.03,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
Glutamatergic_Neuron,Glutamatergic_Neuron,Nrg3,Erbb4,0.306547817349014,0,NRG3_ERBB4,Nrg3  - Erbb4,NRG,Secreted Signaling,KEGG: mmu04012
GABAergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr1,0.00222978824252359,0,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,Glutamatergic_Neuron,Fgf1,Fgfr1,0.00204380809780532,0.02,FGF1_FGFR1,Fgf1  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,GABAergic_Neuron,Fgf9,Fgfr1,0.00154914335974457,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Glutamatergic_Neuron,Glutamatergic_Neuron,Fgf9,Fgfr1,0.00194827985821126,0,FGF9_FGFR1,Fgf9  - Fgfr1,FGF,Secreted Signaling,PMC: 4393358
Microglia,Microglia,Ccl4,Ccr5,0.20096047774589,0,CCL4_CCR5,Ccl4  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Ccl3,Ccr5,0.140558236828657,0,CCL3_CCR5,Ccl3  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,GABAergic_Neuron,Cxcl10,Ackr1,0.000897962339037746,0,CXCL10_ACKR1,Cxcl10  - Ackr1,CXCL,Secreted Signaling,KEGG: mmu04060
Microglia,Glutamatergic_Neuron,Cxcl10,Ackr1,0.000871490875211439,0,CXCL10_ACKR1,Cxcl10  - Ackr1,CXCL,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.194413902888982,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.192055935133126,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Microglia,GABAergic_Neuron,Clcf1,CNTFR_LIFR,0.000455845590908446,0,CLCF1_CNTFR_LIFR,Clcf1  - (Cntfr+Lifr),LIFR,Secreted Signaling,KEGG: mmu04060
Microglia,Glutamatergic_Neuron,Clcf1,CNTFR_LIFR,0.000461833779268989,0,CLCF1_CNTFR_LIFR,Clcf1  - (Cntfr+Lifr),LIFR,Secreted Signaling,KEGG: mmu04060
