source,target,ligand,receptor,prob,pval,interaction_name,interaction_name_2,pathway_name,annotation,evidence
Microglia,Microglia,Tgfb1,TGFbR1_R2,0.215274853199604,0,TGFB1_TGFBR1_TGFBR2,Tgfb1 - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Tgfb2,TGFbR1_R2,0.0134546268284311,0,TGFB2_TGFBR1_TGFBR2,Tgfb2  - (Tgfbr1+Tgfbr2),TGFb,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Tgfb1,ACVR1_TGFbR,0.103436160039176,0,TGFB1_ACVR1_TGFBR1,Tgfb1  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
Glutamatergic_Neuron,Microglia,Tgfb2,ACVR1_TGFbR,0.00570277528299198,0,TGFB2_ACVR1_TGFBR1,Tgfb2  - (Acvr1+Tgfbr1),TGFb,Secreted Signaling,PMID: 29376829
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2A,0.000867679973333044,0.02,GDF11_TGFBR1_ACVR2A,Gdf11  - (Tgfbr1+Acvr2a),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,GABAergic_Neuron,Gdf11,TGFBR1_ACVR2B,0.000577249607615015,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
GABAergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00310618974045844,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Glutamatergic_Neuron,Microglia,Gdf11,TGFBR1_ACVR2B,0.00265308991068435,0,GDF11_TGFBR1_ACVR2B,Gdf11  - (Tgfbr1+Acvr2b),GDF,Secreted Signaling,KEGG: mmu04350
Microglia,Microglia,Ccl4,Ccr5,0.20096047774589,0,CCL4_CCR5,Ccl4  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,Microglia,Ccl3,Ccr5,0.140558236828657,0,CCL3_CCR5,Ccl3  - Ccr5,CCL,Secreted Signaling,KEGG: mmu04060
Microglia,GABAergic_Neuron,Cxcl10,Ackr1,0.000897962339037746,0,CXCL10_ACKR1,Cxcl10  - Ackr1,CXCL,Secreted Signaling,KEGG: mmu04060
Microglia,Glutamatergic_Neuron,Cxcl10,Ackr1,0.000871490875211439,0,CXCL10_ACKR1,Cxcl10  - Ackr1,CXCL,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.194413902888982,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Cx3cl1,Cx3cr1,0.192055935133126,0,CX3CL1_CX3CR1,Cx3cl1  - Cx3cr1,CX3C,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Csf1,Csf1r,0.016556345383564,0,CSF1_CSF1R,Csf1  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
Glutamatergic_Neuron,Microglia,Csf1,Csf1r,0.0175398479461456,0,CSF1_CSF1R,Csf1  - Csf1r,CSF,Secreted Signaling,KEGG: mmu04060
GABAergic_Neuron,Microglia,Gas6,Axl,0.00243723587156747,0,GAS6_AXL,Gas6  - Axl,GAS,Secreted Signaling,PMID: 27801848
Glutamatergic_Neuron,Microglia,Gas6,Axl,0.000777451587748822,0,GAS6_AXL,Gas6  - Axl,GAS,Secreted Signaling,PMID: 27801848
Microglia,Microglia,Gas6,Axl,0.00178832255897931,0,GAS6_AXL,Gas6  - Axl,GAS,Secreted Signaling,PMID: 27801848
GABAergic_Neuron,Microglia,Gas6,Mertk,0.0519964955621289,0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848
Glutamatergic_Neuron,Microglia,Gas6,Mertk,0.0171671263371587,0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848
Microglia,Microglia,Gas6,Mertk,0.0386638658639036,0,GAS6_MERTK,Gas6  - Mertk,GAS,Secreted Signaling,PMID: 27801848
Microglia,GABAergic_Neuron,Grn,Sort1,0.0413250186156828,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
Microglia,Glutamatergic_Neuron,Grn,Sort1,0.0397031871537972,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
GABAergic_Neuron,Microglia,Grn,Sort1,0.00361718316722179,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
Glutamatergic_Neuron,Microglia,Grn,Sort1,0.00341661701825853,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
Microglia,Microglia,Grn,Sort1,0.102756805162974,0,GRN_SORT1,Grn  - Sort1,GRN,Secreted Signaling,PMID: 29555433
GABAergic_Neuron,Microglia,Pros1,Axl,0.000615141014451918,0,PROS1_AXL,Pros1  - Axl,PROS,Secreted Signaling,PMID: 29531161
Glutamatergic_Neuron,Microglia,Pros1,Axl,0.00089722809633184,0,PROS1_AXL,Pros1  - Axl,PROS,Secreted Signaling,PMID: 29531161
Microglia,Microglia,Pros1,Axl,0.0126675559477325,0,PROS1_AXL,Pros1  - Axl,PROS,Secreted Signaling,PMID: 29531161
