source,target,pathway_name,prob,pval
GABAergic_Neuron,GABAergic_Neuron,CDH,0.00952288162066281,0
GABAergic_Neuron,GABAergic_Neuron,CNTN,0.189458589434868,0.01
GABAergic_Neuron,GABAergic_Neuron,COLLAGEN,0.00266843378672424,0
GABAergic_Neuron,GABAergic_Neuron,EPHA,0.136482515856412,0.0075
GABAergic_Neuron,GABAergic_Neuron,EPHB,0.00436713153867845,0
GABAergic_Neuron,GABAergic_Neuron,GALANIN,0.00327858212514954,0
GABAergic_Neuron,GABAergic_Neuron,GDF,0.0028705374084588,0.00666666666666667
GABAergic_Neuron,GABAergic_Neuron,NECTIN,0.00364765631864425,0
GABAergic_Neuron,GABAergic_Neuron,NGL,0.041092182491684,0
GABAergic_Neuron,GABAergic_Neuron,NRG,0.148723797658156,0
GABAergic_Neuron,GABAergic_Neuron,NRXN,1.67344363391768,0
GABAergic_Neuron,GABAergic_Neuron,PTN,0.00680517415053987,0.01
GABAergic_Neuron,GABAergic_Neuron,PTPRM,0.024067787408758,0
GABAergic_Neuron,GABAergic_Neuron,SEMA3,0.0224809294432044,0.00333333333333333
GABAergic_Neuron,GABAergic_Neuron,SEMA6,0.0116353259622985,0
GABAergic_Neuron,Glutamatergic_Neuron,CADM,0.254949528661154,0
GABAergic_Neuron,Glutamatergic_Neuron,CDH,0.109537645552491,0
GABAergic_Neuron,Glutamatergic_Neuron,CNTN,0.122225756282261,0
GABAergic_Neuron,Glutamatergic_Neuron,ENHO,0.00156825639259555,0
GABAergic_Neuron,Glutamatergic_Neuron,EPHA,0.0846792187296203,0
GABAergic_Neuron,Glutamatergic_Neuron,EPHB,0.0829908132537369,0.00166666666666667
GABAergic_Neuron,Glutamatergic_Neuron,FGF,0.00222978824252359,0
GABAergic_Neuron,Glutamatergic_Neuron,JAM,0.0142039543235856,0
GABAergic_Neuron,Glutamatergic_Neuron,NECTIN,0.00155840542001594,0.04
GABAergic_Neuron,Glutamatergic_Neuron,NEGR,0.354415160026046,0
GABAergic_Neuron,Glutamatergic_Neuron,NGL,0.169625957130618,0
GABAergic_Neuron,Glutamatergic_Neuron,NRG,0.513087299536083,0.0133333333333333
GABAergic_Neuron,Glutamatergic_Neuron,NRXN,0.745268402391519,0
GABAergic_Neuron,Glutamatergic_Neuron,PTN,0.0515708230833355,0
GABAergic_Neuron,Glutamatergic_Neuron,SEMA3,0.0187577321491394,0
GABAergic_Neuron,Glutamatergic_Neuron,SEMA4,0.00293659807959476,0
GABAergic_Neuron,Glutamatergic_Neuron,SEMA6,0.0948803171929001,0.00666666666666667
GABAergic_Neuron,Microglia,APP,0.0199378409720613,0
GABAergic_Neuron,Microglia,COLLAGEN,0.0174030847874945,0
GABAergic_Neuron,Microglia,CSF,0.016556345383564,0
GABAergic_Neuron,Microglia,CX3C,0.194413902888982,0
GABAergic_Neuron,Microglia,EPHA,0.0173905598711849,0
GABAergic_Neuron,Microglia,GAS,0.0544337314336963,0
GABAergic_Neuron,Microglia,GDF,0.00310618974045844,0
GABAergic_Neuron,Microglia,GRN,0.00361718316722179,0
GABAergic_Neuron,Microglia,JAM,0.0859758866661591,0
GABAergic_Neuron,Microglia,NOTCH,0.104512591646133,0
GABAergic_Neuron,Microglia,PROS,0.000615141014451918,0
GABAergic_Neuron,Microglia,PTN,0.0051572056399782,0
GABAergic_Neuron,Microglia,PTPRM,0.0562291813114158,0
GABAergic_Neuron,Microglia,SEMA3,0.0107756587106707,0
GABAergic_Neuron,Microglia,SEMA4,0.0441497151653124,0
GABAergic_Neuron,Microglia,TENASCIN,0.0884094200129562,0
GABAergic_Neuron,Microglia,THBS,0.00124637367940964,0
GABAergic_Neuron,Microglia,THY1,0.0394304638917491,0
Glutamatergic_Neuron,GABAergic_Neuron,CADM,0.254949528661154,0
Glutamatergic_Neuron,GABAergic_Neuron,CDH,0.109537645552491,0
Glutamatergic_Neuron,GABAergic_Neuron,CNTN,0.0518907730620485,0.02
Glutamatergic_Neuron,GABAergic_Neuron,EPHA,0.297398584735191,0
Glutamatergic_Neuron,GABAergic_Neuron,EPHB,0.047534993377684,0
Glutamatergic_Neuron,GABAergic_Neuron,FGF,0.00154914335974457,0
Glutamatergic_Neuron,GABAergic_Neuron,GALANIN,0.000324349244855963,0
Glutamatergic_Neuron,GABAergic_Neuron,JAM,0.0142039543235856,0
